step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
234,PAYMENT,58719.94,C1465737531,52934.0,0.0,M1025945013,0.0,0.0
234,PAYMENT,43091.63,C702401976,21372.0,0.0,M967238554,0.0,0.0
234,PAYMENT,14478.39,C89000236,143.0,0.0,M218978101,0.0,0.0
234,PAYMENT,7566.25,C1249573665,0.0,0.0,M1154382791,0.0,0.0
234,CASH_IN,76749.11,C826023195,182392.0,259141.11,C1430959250,234777.88,158028.77
234,PAYMENT,5306.99,C1450131702,259141.11,253834.12,M1263606505,0.0,0.0
234,PAYMENT,2639.95,C2088128519,253834.12,251194.16,M770924119,0.0,0.0
234,TRANSFER,1059627.76,C28824559,212844.0,0.0,C291069018,429890.19,1489517.95
234,CASH_IN,254148.58,C1114773346,0.0,254148.58,C1871341533,410209.5,156060.92
234,CASH_IN,243439.13,C214602051,254148.58,497587.71,C319669849,552507.14,309068.01
234,CASH_IN,62273.68,C1006397291,497587.71,559861.39,C1375333831,417999.49,355725.81
234,CASH_IN,126421.26,C82572112,559861.39,686282.65,C917766394,597882.4,471461.14
234,CASH_IN,202813.78,C1450192296,686282.65,889096.43,C1477890125,1161233.13,958419.35
234,CASH_IN,105151.81,C250150572,889096.43,994248.24,C1170182768,1432582.86,1327431.05
234,CASH_IN,48621.12,C1450641189,994248.24,1042869.36,C156603568,132853.37,84232.25
234,CASH_IN,23540.56,C232591304,1042869.36,1066409.91,C218076699,312998.94,289458.38
234,CASH_IN,300202.84,C1519873718,1066409.91,1366612.76,C1420324089,915685.26,615482.42
234,CASH_IN,145399.06,C331609814,1366612.76,1512011.82,C898938619,275065.11,129666.05
234,CASH_IN,16188.82,C2103674276,1512011.82,1528200.64,C142512571,193034.12,176845.3
234,CASH_IN,76290.44,C413492879,1528200.64,1604491.08,C1134344507,327816.42,251525.98
234,CASH_IN,116943.37,C2032556531,1604491.08,1721434.45,C658375895,344509.41,227566.04
234,CASH_IN,187840.37,C1977574727,1721434.45,1909274.82,C125759404,2521073.18,2333232.81
234,CASH_IN,244490.91,C351310077,1909274.82,2153765.73,C920901794,605954.68,361463.77
234,CASH_IN,203559.73,C659688946,2153765.73,2357325.46,C1698136320,392470.98,188911.24
234,CASH_IN,92237.88,C1827680554,2357325.46,2449563.34,C927109225,2112517.13,2020279.25
234,CASH_IN,41332.07,C1644922030,2449563.34,2490895.41,C1888422012,752169.46,710837.39
234,CASH_IN,219735.34,C1919719274,2490895.41,2710630.75,C196216864,1203709.57,1055405.81
234,CASH_IN,50408.24,C1164323144,2710630.75,2761038.99,C1835692511,454660.25,559093.03
234,CASH_IN,283837.9,C678570415,2761038.99,3044876.89,C1305789168,885088.62,601250.73
234,CASH_IN,23630.23,C383969019,3044876.89,3068507.12,C1916724575,1947638.75,1993434.72
234,CASH_IN,95644.35,C10744970,3068507.12,3164151.47,C1154402539,99195.1,3550.76
234,CASH_IN,3827.72,C1954259391,3164151.47,3167979.18,C966888737,83114.86,79287.14
234,CASH_IN,323273.33,C1300087246,3167979.18,3491252.51,C162402976,5733517.66,5410244.34
234,CASH_IN,235884.61,C1286153124,3491252.51,3727137.12,C1239541793,248321.88,12437.27
234,CASH_IN,262779.92,C1395755295,3727137.12,3989917.03,C62735747,1377998.66,1115218.74
234,CASH_IN,256546.01,C2062466207,3989917.03,4246463.05,C1566897453,2591290.77,2334744.76
234,CASH_IN,59175.08,C1497264573,4246463.05,4305638.13,C914550036,1.026421728E7,1.02050422E7
234,CASH_IN,161096.04,C1552932157,4305638.13,4466734.17,C963712724,4630348.77,4469252.73
234,CASH_IN,91383.51,C61460162,4466734.17,4558117.68,C1684992043,1637483.72,1257157.48
234,CASH_IN,68985.34,C212635756,4558117.68,4627103.02,C1982260009,79771.14,10785.8
234,CASH_IN,262368.71,C641051613,4627103.02,4889471.73,C1400682242,1248845.41,986476.7
234,CASH_IN,114507.94,C82963475,4889471.73,5003979.68,C2083629894,180614.91,66106.97
234,CASH_IN,35125.94,C1239674257,5003979.68,5039105.62,C263701668,1875839.72,1840713.78
234,CASH_IN,17321.15,C556018481,5039105.62,5056426.76,C2100747128,2583299.82,2565978.68
234,CASH_IN,57900.31,C709101451,5056426.76,5114327.07,C236587513,89312.16,31411.85
234,CASH_IN,6860.0,C559867812,5114327.07,5121187.07,C700102130,1011824.61,1004964.62
234,PAYMENT,4183.74,C1996953979,51854.0,47670.26,M2004535561,0.0,0.0
234,PAYMENT,26290.66,C2097733682,16007.0,0.0,M725437424,0.0,0.0
234,CASH_IN,280589.11,C1690190637,20745.0,301334.11,C421841699,7541939.87,7261350.76
234,CASH_OUT,20064.82,C1160641586,301334.11,281269.29,C1942163793,704485.22,724550.04
234,CASH_OUT,193635.7,C2132712917,418069.0,224433.3,C437398334,168215.26,452285.39
234,PAYMENT,6583.15,C1052584717,102866.0,96282.85,M680304860,0.0,0.0
234,TRANSFER,320146.43,C48895379,30297.0,0.0,C782504604,6023506.2,6343652.62
234,CASH_OUT,62339.7,C152162350,656.0,0.0,C984845348,754381.03,816720.74
234,PAYMENT,13762.61,C1579382594,0.0,0.0,M325363226,0.0,0.0
234,PAYMENT,18617.12,C1097887592,0.0,0.0,M1181177800,0.0,0.0
234,PAYMENT,3057.65,C54243617,0.0,0.0,M895062826,0.0,0.0
234,PAYMENT,4487.73,C2005971398,0.0,0.0,M196436459,0.0,0.0
234,PAYMENT,6125.4,C1440312069,0.0,0.0,M752906839,0.0,0.0
234,PAYMENT,7213.28,C1586292876,0.0,0.0,M2123784335,0.0,0.0
234,PAYMENT,9803.89,C1611250971,0.0,0.0,M1330911623,0.0,0.0
234,PAYMENT,81.93,C1990541417,0.0,0.0,M997905450,0.0,0.0
234,PAYMENT,16069.49,C372655931,0.0,0.0,M2042756187,0.0,0.0
234,PAYMENT,28075.3,C633036034,0.0,0.0,M1208817179,0.0,0.0
234,PAYMENT,1234.72,C1822859198,0.0,0.0,M452171093,0.0,0.0
234,PAYMENT,14151.69,C1709148228,0.0,0.0,M1170405162,0.0,0.0
234,PAYMENT,8831.12,C499243843,0.0,0.0,M454995091,0.0,0.0
234,PAYMENT,19419.8,C35297820,0.0,0.0,M1353930450,0.0,0.0
234,PAYMENT,4012.98,C1127973956,503686.0,499673.02,M766497412,0.0,0.0
234,PAYMENT,31073.01,C2066966359,75708.0,44634.99,M838642469,0.0,0.0
234,PAYMENT,145.46,C788136186,31302.0,31156.54,M2106776659,0.0,0.0
234,CASH_OUT,390818.35,C494605673,7057.0,0.0,C1531043046,262661.63,653479.98
234,CASH_OUT,225696.69,C1233793120,28732.0,0.0,C1616532180,22587.59,248284.28
234,CASH_IN,243625.35,C923341947,47738.0,291363.35,C455686824,32701.18,0.0
234,CASH_OUT,24828.12,C1544693389,16607.0,0.0,C570937842,0.0,24828.12
234,PAYMENT,3594.13,C419930171,38832.0,35237.87,M18254411,0.0,0.0
234,PAYMENT,1040.29,C2126773470,35237.87,34197.58,M858295237,0.0,0.0
234,PAYMENT,561.24,C394982371,132537.0,131975.76,M586905483,0.0,0.0
234,CASH_OUT,38979.64,C1128221190,15061.0,0.0,C65996979,46828.53,85808.16
234,PAYMENT,14911.11,C876517127,0.0,0.0,M1961586568,0.0,0.0
234,CASH_OUT,15833.5,C232069553,109.0,0.0,C2078497356,250205.08,266038.58
234,CASH_OUT,137925.32,C872619383,21260.0,0.0,C23068349,0.0,137925.32
234,PAYMENT,9860.12,C1950691935,33043.0,23182.88,M1534956656,0.0,0.0
234,TRANSFER,166096.12,C2118129215,153493.0,0.0,C1085458325,869069.93,1035166.05
234,CASH_IN,240843.9,C1384404005,14951.0,255794.9,C473983790,110632.0,0.0
234,DEBIT,659.59,C260981728,191.0,0.0,C1584687860,9058853.64,9059513.22
234,CASH_OUT,67117.14,C954701941,824.0,0.0,C1913679266,923711.13,990828.27
234,CASH_OUT,200437.69,C1181253816,59832.0,0.0,C517064320,96363.98,296801.66
234,CASH_IN,456630.55,C910020908,166.0,456796.55,C996606021,194813.12,0.0
234,PAYMENT,1221.36,C1263600968,456796.55,455575.2,M1332807783,0.0,0.0
234,PAYMENT,10304.49,C1293827185,455575.2,445270.71,M359800911,0.0,0.0
234,CASH_OUT,481139.41,C1447697644,27015.0,0.0,C1510944881,0.0,481139.41
234,PAYMENT,27051.81,C289346674,0.0,0.0,M771645328,0.0,0.0
234,CASH_IN,19548.45,C688550456,51600.0,71148.45,C1244462481,211213.78,191665.33
234,CASH_OUT,265594.23,C799127177,146.0,0.0,C1546855808,469370.2,734964.43
234,PAYMENT,21855.06,C1188346763,787.0,0.0,M420048414,0.0,0.0
234,CASH_OUT,95002.76,C1667781813,32694.0,0.0,C29342063,0.0,95002.76
234,CASH_OUT,144931.18,C1105179567,10043.0,0.0,C1996076380,0.0,144931.18
234,CASH_OUT,240026.3,C573849852,21907.0,0.0,C933391722,861496.18,1101522.48
234,PAYMENT,2134.12,C1889510202,0.0,0.0,M1366527072,0.0,0.0
234,PAYMENT,1574.59,C1829576490,0.0,0.0,M1841205719,0.0,0.0
234,TRANSFER,292916.95,C1614113065,207349.0,0.0,C948606485,0.0,292916.95
234,CASH_OUT,41890.81,C761854403,0.0,0.0,C24934049,1110535.49,1152426.3
234,CASH_OUT,260817.75,C672745227,571.0,0.0,C1447001995,1333260.74,1594078.48
234,PAYMENT,15827.84,C833637366,104708.0,88880.16,M2047283400,0.0,0.0
234,PAYMENT,13589.52,C281757866,88880.16,75290.65,M1921541287,0.0,0.0
234,CASH_OUT,337365.79,C1104441083,31070.0,0.0,C1694766135,3108439.19,3445804.99
234,PAYMENT,33624.18,C60274521,30542.0,0.0,M1238577561,0.0,0.0
234,CASH_OUT,161663.72,C2026883416,19376.0,0.0,C397174873,0.0,161663.72
234,CASH_OUT,248500.92,C445563660,103992.0,0.0,C1909979907,1001527.49,1250028.4
234,PAYMENT,9557.63,C614306427,1170.0,0.0,M1947349128,0.0,0.0
234,PAYMENT,25324.72,C1913758299,214.0,0.0,M518756790,0.0,0.0
234,CASH_OUT,58427.03,C1445846618,19184.0,0.0,C1652233164,0.0,58427.03
234,CASH_OUT,308544.36,C870195815,11685.0,0.0,C743500120,0.0,308544.36
234,CASH_OUT,385119.01,C1277316413,0.0,0.0,C1119983443,7572993.91,7668412.33
234,CASH_OUT,494269.65,C239487782,99598.0,0.0,C685988779,76941.29,571210.94
234,PAYMENT,6875.63,C908172218,0.0,0.0,M1957583363,0.0,0.0
234,CASH_OUT,421457.83,C716941838,128760.0,0.0,C263406590,0.0,421457.83
234,CASH_OUT,270909.97,C379116292,36008.0,0.0,C1716265995,8474946.21,8745856.18
234,PAYMENT,24011.21,C752778790,0.0,0.0,M707151868,0.0,0.0
234,CASH_IN,260200.97,C1572496236,826.0,261026.97,C1613920962,5027087.65,4766886.68
234,CASH_OUT,164905.19,C229294884,73675.0,0.0,C1982926479,119078.16,283983.35
234,PAYMENT,14581.06,C1381676025,0.0,0.0,M1255868393,0.0,0.0
234,CASH_OUT,103437.09,C1148501213,4108.0,0.0,C1348633169,2994225.81,3097662.89
234,PAYMENT,5338.36,C521991316,0.0,0.0,M408832501,0.0,0.0
234,PAYMENT,1156.32,C178843992,0.0,0.0,M1801135748,0.0,0.0
234,PAYMENT,11696.25,C320591663,12446.0,749.75,M2036344152,0.0,0.0
234,CASH_IN,71453.56,C881801501,107811.0,179264.56,C580844095,13892.75,0.0
234,CASH_OUT,300787.01,C114443790,10977.0,0.0,C1286047119,208808.14,509595.15
234,CASH_OUT,151636.5,C1270700884,643.0,0.0,C1009685695,0.0,151636.5
234,CASH_IN,463546.04,C865074590,19273.0,482819.04,C1496186846,87232.03,0.0
234,CASH_OUT,54283.26,C2114284835,29810.0,0.0,C1999194167,192686.27,246969.54
234,CASH_OUT,359017.05,C1794352859,19911.0,0.0,C127331302,36788.0,0.0
234,CASH_OUT,147788.98,C1261774634,26088.0,0.0,C353253045,0.0,147788.98
234,PAYMENT,4731.31,C119161055,7052.0,2320.69,M1386436970,0.0,0.0
234,DEBIT,1154.74,C621934747,2320.69,1165.95,C903577729,37365.73,38520.47
234,CASH_OUT,9799.19,C1207932772,124.0,0.0,C1623663955,0.0,9799.19
234,CASH_OUT,188598.53,C305544188,670.0,0.0,C1053260575,0.0,188598.53
234,CASH_IN,145283.24,C1519798489,60498.0,205781.24,C1580987924,559056.14,413772.9
234,TRANSFER,86724.48,C1885976112,20340.0,0.0,C49813781,0.0,86724.48
234,PAYMENT,9559.28,C1268141038,11296.0,1736.72,M1750884539,0.0,0.0
234,PAYMENT,5898.81,C6565353,107589.0,101690.19,M1031914467,0.0,0.0
234,CASH_IN,45352.82,C1144075910,224.0,45576.82,C552533216,2745086.55,2699733.73
234,CASH_OUT,288379.29,C1331945219,53063.0,0.0,C269784058,1399700.31,1688079.6
234,CASH_OUT,316958.48,C1850325091,36370.0,0.0,C2005743831,0.0,316958.48
234,PAYMENT,8170.04,C1575284882,0.0,0.0,M279738542,0.0,0.0
234,TRANSFER,690142.8,C1097217663,24590.0,0.0,C252338509,1278250.66,1968393.46
234,CASH_IN,63590.58,C1657734288,144485.0,208075.58,C1811717567,143302.96,79712.37
234,CASH_OUT,108762.92,C416618555,49980.0,0.0,C1532692628,499514.51,608277.43
234,PAYMENT,17324.9,C1800366727,397.0,0.0,M459963487,0.0,0.0
234,CASH_IN,136363.66,C18546726,11552.0,147915.66,C645674832,2794245.33,2657881.68
234,CASH_OUT,84699.38,C826266878,147915.66,63216.28,C628456965,2291363.42,2376062.8
234,CASH_OUT,75527.4,C557095692,155245.0,79717.6,C1156174609,0.0,75527.4
234,CASH_OUT,429478.43,C1769247729,51206.0,0.0,C888957227,0.0,429478.43
234,PAYMENT,19212.81,C817341641,129540.0,110327.19,M2145394181,0.0,0.0
234,CASH_OUT,159171.38,C2055804430,20222.0,0.0,C1427823524,494253.9,653425.28
234,PAYMENT,25879.86,C925886901,31194.0,5314.14,M976458357,0.0,0.0
234,CASH_IN,252653.64,C1172087552,40463.0,293116.64,C1050743169,457544.79,204891.15
234,CASH_OUT,196640.05,C2010641619,11329.0,0.0,C1580282775,0.0,196640.05
234,CASH_OUT,74559.18,C1073600989,0.0,0.0,C8922341,193235.07,267794.25
234,CASH_OUT,93840.35,C427508845,0.0,0.0,C589299609,238043.49,331883.83
234,DEBIT,1855.22,C958341345,2152.0,296.78,C794381992,6589.07,8444.3
234,CASH_OUT,111605.13,C1906715261,187.0,0.0,C709275603,0.0,111605.13
234,PAYMENT,27528.07,C541337253,12465.0,0.0,M1675577068,0.0,0.0
234,TRANSFER,107949.7,C596081246,1959.0,0.0,C2068531907,110257.48,218207.18
234,PAYMENT,1911.13,C1664240017,0.0,0.0,M1656896092,0.0,0.0
234,CASH_OUT,154269.64,C2075388110,4066.0,0.0,C1692214470,0.0,154269.64
234,CASH_OUT,143361.91,C1677604972,98.0,0.0,C240020563,31749.25,175111.16
234,PAYMENT,27878.56,C309431107,5079.0,0.0,M1636979595,0.0,0.0
234,CASH_OUT,77347.35,C92484335,19220.0,0.0,C475370663,763016.67,1387741.71
234,PAYMENT,13598.45,C388777835,11524.0,0.0,M152698206,0.0,0.0
234,CASH_IN,94766.5,C2061826557,21458.0,116224.5,C356139072,81427.96,0.0
234,TRANSFER,864383.71,C1718401028,10230.0,0.0,C509394885,0.0,864383.71
234,TRANSFER,385238.26,C319732925,10875.0,0.0,C2052998626,159338.93,544577.2
234,PAYMENT,11238.35,C1429946511,10785.0,0.0,M147677380,0.0,0.0
234,PAYMENT,13113.59,C190993729,124546.0,111432.41,M1844440004,0.0,0.0
