step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
66,TRANSFER,548269.98,C172609143,548269.98,0.0,C106756368,0.0,0.0
66,CASH_OUT,548269.98,C145966586,548269.98,0.0,C979594589,0.0,548269.98
66,TRANSFER,150405.2,C1433490225,150405.2,0.0,C1414864266,0.0,0.0
66,CASH_OUT,150405.2,C1857116353,150405.2,0.0,C690687822,170707.62,321112.82
66,TRANSFER,813133.35,C718215446,813133.35,0.0,C1200993280,0.0,0.0
66,CASH_OUT,813133.35,C952177952,813133.35,0.0,C884699340,0.0,813133.35
66,TRANSFER,2096634.43,C1735799250,2096634.43,0.0,C106378482,0.0,0.0
66,CASH_OUT,2096634.43,C65342125,2096634.43,0.0,C282355647,183429.98,2280064.41
66,TRANSFER,272791.44,C476640492,272791.44,0.0,C1370530926,0.0,0.0
66,CASH_OUT,272791.44,C1671353324,272791.44,0.0,C1524911570,715267.02,988058.46
66,TRANSFER,7169129.94,C1016521533,7169129.94,0.0,C475877892,0.0,0.0
66,CASH_OUT,7169129.94,C877157675,7169129.94,0.0,C357180483,0.0,7169129.94
66,TRANSFER,107188.41,C1876689114,107188.41,0.0,C1824138036,0.0,0.0
66,CASH_OUT,107188.41,C2059976574,107188.41,0.0,C1021456304,696135.43,803323.83
66,TRANSFER,3444943.59,C1900819473,3444943.59,0.0,C526266879,0.0,0.0
66,CASH_OUT,3444943.59,C127639062,3444943.59,0.0,C1426710143,217174.65,3662118.24
66,TRANSFER,126715.84,C147756271,126715.84,0.0,C650234869,0.0,0.0
66,CASH_OUT,126715.84,C935524807,126715.84,0.0,C1309332634,273157.93,399873.77
66,TRANSFER,4631432.03,C658423698,4631432.03,0.0,C329899379,0.0,0.0
66,CASH_OUT,4631432.03,C2089741901,4631432.03,0.0,C434503423,122727.22,4754159.25
66,TRANSFER,2322909.69,C1795295,2322909.69,0.0,C658604431,0.0,0.0
66,CASH_OUT,2322909.69,C548911578,2322909.69,0.0,C1075176822,875613.05,3198522.74
66,TRANSFER,79441.66,C1915179121,79441.66,0.0,C36534041,0.0,0.0
66,CASH_OUT,79441.66,C2043684094,79441.66,0.0,C795372753,2051790.44,2131232.1
