step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
135,CASH_OUT,257958.99,C1247881623,132545.0,0.0,C1202861229,4070.51,262029.5
135,PAYMENT,3866.82,C1100322165,0.0,0.0,M1773586881,0.0,0.0
135,CASH_OUT,520318.48,C1696203414,932.0,0.0,C721832530,885071.72,1405390.2
135,CASH_IN,225121.07,C653570611,92.0,225213.07,C994595926,1544789.0,1319667.92
135,CASH_OUT,210899.79,C1260889509,225213.07,14313.28,C1073858020,331890.12,542789.92
135,CASH_IN,230754.11,C343971265,12282.0,243036.11,C341113189,0.0,0.0
135,PAYMENT,986.82,C557525877,396702.0,395715.18,M576548939,0.0,0.0
135,PAYMENT,53309.32,C1411506984,142.0,0.0,M1142901488,0.0,0.0
135,CASH_OUT,606144.87,C1007137157,0.0,0.0,C763784736,764945.02,1371089.89
135,CASH_OUT,216835.41,C1972457830,0.0,0.0,C801560797,940502.98,1157338.39
135,CASH_OUT,225021.67,C779277407,0.0,0.0,C1033425869,6197390.79,6422412.46
135,CASH_OUT,246117.37,C268719019,0.0,0.0,C464117087,538726.14,784843.5
135,CASH_OUT,15770.91,C286147511,0.0,0.0,C2143998843,4637900.73,4653671.64
135,CASH_OUT,97374.84,C1852517009,0.0,0.0,C1583481523,457489.17,554864.01
135,CASH_OUT,218776.09,C1443089199,0.0,0.0,C2125806259,482679.75,701455.84
135,CASH_OUT,85572.81,C1688752975,0.0,0.0,C20536994,226568.92,312141.73
135,CASH_OUT,109375.27,C123254678,0.0,0.0,C597159026,3014549.26,3123924.54
135,CASH_OUT,44724.55,C818952782,0.0,0.0,C1862644717,247232.31,291956.85
135,CASH_OUT,388190.77,C2026034632,0.0,0.0,C788373773,2373380.24,2761571.01
135,CASH_OUT,52606.81,C1591133108,0.0,0.0,C472615110,251886.13,304492.94
135,CASH_OUT,26583.43,C477113343,0.0,0.0,C43717972,1387157.63,1413741.06
135,CASH_OUT,89550.17,C767778933,0.0,0.0,C386941827,707012.71,796562.88
135,CASH_OUT,48696.15,C1136757904,0.0,0.0,C428795109,308161.05,356857.2
135,CASH_OUT,235000.48,C736246847,0.0,0.0,C367508966,4217818.14,4452818.62
135,CASH_OUT,173535.76,C911263087,0.0,0.0,C1352752499,723033.77,896569.53
135,CASH_OUT,18734.99,C2546456,0.0,0.0,C1088395349,2623762.65,2642497.64
135,CASH_OUT,80757.76,C1330410112,0.0,0.0,C1926031086,411389.17,492146.93
135,CASH_OUT,14094.27,C1970646162,0.0,0.0,C279640198,37859.6,51953.87
135,CASH_IN,15471.02,C1161721070,22059.0,37530.02,C1262358532,594113.19,578642.18
135,PAYMENT,31885.96,C1945536842,30372.0,0.0,M1602371014,0.0,0.0
135,CASH_OUT,68721.94,C130751384,104700.0,35978.06,C358227896,0.0,68721.94
135,PAYMENT,9723.97,C828671627,31990.0,22266.03,M1990190388,0.0,0.0
135,CASH_IN,182265.26,C951945772,16987.0,199252.26,C1717835369,23983.87,0.0
135,PAYMENT,738.52,C1744126328,199252.26,198513.75,M1924187091,0.0,0.0
135,CASH_IN,59908.35,C2072985332,7041.0,66949.35,C884017599,676126.51,616218.16
135,PAYMENT,3375.78,C800532291,66949.35,63573.57,M1652841804,0.0,0.0
135,PAYMENT,2225.69,C383693972,63573.57,61347.89,M337924133,0.0,0.0
135,PAYMENT,24784.23,C37744861,61347.89,36563.66,M1116840939,0.0,0.0
135,PAYMENT,697.9,C554227001,36563.66,35865.76,M387648581,0.0,0.0
135,PAYMENT,4250.58,C1784659811,35865.76,31615.18,M631162680,0.0,0.0
135,PAYMENT,21087.86,C1113096111,31615.18,10527.32,M225323653,0.0,0.0
135,PAYMENT,9545.37,C442312940,10527.32,981.95,M1227463576,0.0,0.0
135,PAYMENT,12653.48,C1208823829,981.95,0.0,M877334931,0.0,0.0
135,PAYMENT,17687.05,C1193432510,0.0,0.0,M1121117081,0.0,0.0
135,PAYMENT,21249.9,C1677651534,0.0,0.0,M265661483,0.0,0.0
135,PAYMENT,28741.51,C1519359946,0.0,0.0,M252999977,0.0,0.0
135,PAYMENT,10824.88,C453798427,0.0,0.0,M966408613,0.0,0.0
135,PAYMENT,20908.81,C529389723,0.0,0.0,M872163186,0.0,0.0
135,PAYMENT,21257.03,C1264111524,0.0,0.0,M593989755,0.0,0.0
135,CASH_IN,330827.03,C1390398860,24542.0,355369.03,C1944087812,0.0,0.0
135,PAYMENT,21397.41,C13285138,13608.0,0.0,M232942912,0.0,0.0
135,PAYMENT,4766.87,C312070351,0.0,0.0,M1049021629,0.0,0.0
135,CASH_OUT,131181.72,C1797361240,5264.0,0.0,C257051267,36861.1,168042.82
135,PAYMENT,1039.51,C1966564881,0.0,0.0,M703909840,0.0,0.0
135,TRANSFER,332675.19,C564071799,24953.0,0.0,C2056963037,0.0,332675.19
135,PAYMENT,22329.77,C1185612882,51094.0,28764.23,M149091704,0.0,0.0
135,CASH_OUT,443355.14,C132588027,28764.23,0.0,C627722054,3770859.82,4214214.96
135,CASH_OUT,324077.67,C1581932741,18263.0,0.0,C889437609,686770.63,1010848.3
135,CASH_OUT,11775.11,C1079867082,24329.0,12553.89,C625879082,0.0,11775.11
135,TRANSFER,947646.69,C1602949772,10890.0,0.0,C812513210,0.0,947646.69
135,CASH_OUT,225549.52,C1633486975,131.0,0.0,C1664225855,66011.92,291561.43
135,CASH_OUT,369395.52,C1813774553,112138.0,0.0,C1117140000,1218285.0,1587680.52
135,PAYMENT,2663.55,C1205649590,109382.0,106718.45,M1086629299,0.0,0.0
135,CASH_OUT,505290.44,C1230193444,504960.0,0.0,C1431689012,4421700.43,4926990.87
135,PAYMENT,10641.84,C1170573343,74280.0,63638.16,M1690118497,0.0,0.0
135,PAYMENT,3000.83,C20046200,63638.16,60637.33,M1378408473,0.0,0.0
135,CASH_OUT,129361.77,C1002714931,3083.0,0.0,C323824974,0.0,129361.77
135,PAYMENT,4868.49,C910161675,41852.0,36983.51,M940309141,0.0,0.0
135,CASH_OUT,223051.75,C746001821,51236.0,0.0,C391328519,112221.99,335273.74
135,PAYMENT,20577.0,C915456655,3148.0,0.0,M2136931577,0.0,0.0
135,CASH_OUT,57535.61,C409366229,10239.0,0.0,C1045890688,205923.8,263459.41
135,PAYMENT,5196.24,C204032953,145819.0,140622.76,M1016947721,0.0,0.0
135,CASH_OUT,327153.13,C875363927,84174.0,0.0,C249949987,1200354.72,1527507.84
135,CASH_OUT,234730.75,C521617089,102148.0,0.0,C373496977,284037.02,518767.76
135,CASH_IN,193099.03,C1504041497,295.0,193394.03,C289176443,0.0,0.0
135,CASH_OUT,127860.53,C240074760,193394.03,65533.5,C975595553,569118.7,696979.23
135,CASH_OUT,165948.65,C1564662224,114383.0,0.0,C814720871,0.0,165948.65
135,TRANSFER,720395.51,C2072319375,311.0,0.0,C1943248125,2.679498103E7,2.751537653E7
135,PAYMENT,9564.12,C210202100,0.0,0.0,M2025599852,0.0,0.0
135,CASH_OUT,485512.8,C872151538,41449.0,0.0,C202039973,0.0,485512.8
135,CASH_IN,30407.62,C1610726255,218.0,30625.62,C727866850,664572.65,634165.03
135,PAYMENT,789.94,C1465811542,30625.62,29835.68,M1314978946,0.0,0.0
135,PAYMENT,19052.57,C582527189,29835.68,10783.11,M1334813998,0.0,0.0
135,PAYMENT,36176.15,C1818284731,10783.11,0.0,M632137561,0.0,0.0
135,PAYMENT,19059.42,C1110723897,0.0,0.0,M1889543812,0.0,0.0
135,PAYMENT,12245.06,C448775969,0.0,0.0,M1390427200,0.0,0.0
135,PAYMENT,9919.99,C853409440,0.0,0.0,M1136163449,0.0,0.0
135,PAYMENT,5089.09,C668613600,0.0,0.0,M1946882407,0.0,0.0
135,PAYMENT,1296.71,C696175032,0.0,0.0,M697636188,0.0,0.0
135,PAYMENT,3318.24,C1608924853,0.0,0.0,M1934265351,0.0,0.0
135,PAYMENT,28758.75,C749119711,0.0,0.0,M764962786,0.0,0.0
135,PAYMENT,4106.66,C1130751858,0.0,0.0,M1692950957,0.0,0.0
135,PAYMENT,357.97,C2098322879,0.0,0.0,M324534920,0.0,0.0
135,PAYMENT,2916.01,C2146056678,0.0,0.0,M1479072447,0.0,0.0
135,PAYMENT,8659.54,C723978272,0.0,0.0,M2016940942,0.0,0.0
135,PAYMENT,5591.71,C1446191206,0.0,0.0,M1221649725,0.0,0.0
135,CASH_IN,173778.13,C1529188879,301041.0,474819.13,C1385975603,130684.66,0.0
135,CASH_OUT,150908.25,C1673092742,11366.0,0.0,C1369248292,4043131.5,4194039.75
135,CASH_OUT,70687.46,C751202951,51806.0,0.0,C1336937616,215897.42,286584.88
135,PAYMENT,22337.6,C1668317999,203261.0,180923.4,M347263140,0.0,0.0
135,TRANSFER,509745.69,C1029108186,180923.4,0.0,C10573518,2055744.12,2565489.81
