step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
231,PAYMENT,15964.33,C414249456,89449.0,73484.67,M587140645,0.0,0.0
231,CASH_OUT,89774.39,C11588774,1266.0,0.0,C247430407,66832.66,156607.05
231,PAYMENT,3951.52,C400477709,0.0,0.0,M142508663,0.0,0.0
231,PAYMENT,27533.72,C1378499451,11578.0,0.0,M1413070972,0.0,0.0
231,CASH_OUT,14573.89,C896975440,385433.0,370859.11,C1966186446,861753.44,876327.33
231,CASH_IN,172268.28,C1231520691,201627.0,373895.28,C899359721,0.0,0.0
231,CASH_OUT,205035.51,C1251313671,373895.28,168859.77,C815677236,1.223913793E7,1.244417344E7
231,CASH_OUT,529835.44,C1345686281,168859.77,0.0,C1707726229,663540.46,1193375.9
231,CASH_OUT,202211.27,C1397925661,0.0,0.0,C549182876,260491.77,462703.04
231,CASH_OUT,235733.48,C652070111,0.0,0.0,C859243905,393882.17,629615.65
231,CASH_OUT,20181.44,C1080999347,0.0,0.0,C125647353,210207.83,230389.28
231,CASH_OUT,190051.92,C1023347572,0.0,0.0,C830373861,342131.5,532183.42
231,CASH_OUT,22985.11,C2052270521,0.0,0.0,C1531363466,3569275.6,3592260.71
231,CASH_OUT,116302.68,C849393944,0.0,0.0,C1907574902,320091.29,436393.97
231,CASH_OUT,257250.9,C127273434,0.0,0.0,C1079562330,489618.14,746869.04
231,CASH_OUT,259404.41,C1140197111,0.0,0.0,C277805067,1113623.37,1373027.78
231,CASH_OUT,40422.91,C546038225,0.0,0.0,C863225821,6205663.47,6246086.38
231,CASH_OUT,137867.02,C391439521,0.0,0.0,C515797843,1061470.96,1199337.98
231,CASH_OUT,34550.65,C540796744,0.0,0.0,C433577682,706258.2,740808.85
231,CASH_OUT,125236.52,C1401523206,0.0,0.0,C1978003947,261510.77,386747.29
231,CASH_OUT,321173.16,C754154191,0.0,0.0,C1197172858,636485.21,957658.37
231,CASH_OUT,387396.55,C473096732,0.0,0.0,C1383678107,815239.74,1202636.29
231,CASH_OUT,17305.47,C1665947509,0.0,0.0,C150616792,199378.91,216684.38
231,CASH_OUT,185329.17,C2084183718,0.0,0.0,C1246959847,529831.67,715160.84
231,CASH_OUT,321882.32,C1269315308,0.0,0.0,C862356971,1112047.09,1433929.42
231,CASH_OUT,93257.25,C1082199943,0.0,0.0,C587518182,821419.03,914676.27
231,CASH_OUT,69684.56,C1106714397,0.0,0.0,C1256629499,2857529.44,2927214.0
231,CASH_OUT,40533.56,C1838479019,0.0,0.0,C26191487,376577.14,417110.7
231,CASH_OUT,213397.78,C1728160419,0.0,0.0,C1488090172,786609.15,1000006.93
231,CASH_OUT,334895.02,C791962867,0.0,0.0,C1879893787,1182156.61,1517051.63
231,CASH_OUT,27524.54,C1455589887,0.0,0.0,C428930603,2315351.18,2342875.72
