step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
281,PAYMENT,3337.46,C1183535470,39509.0,36171.54,M1703234864,0.0,0.0
281,PAYMENT,2413.68,C2096660062,36171.54,33757.86,M1536186297,0.0,0.0
281,CASH_OUT,69857.79,C1200385412,45028.0,0.0,C192760715,0.0,69857.79
281,TRANSFER,448678.34,C137319560,0.0,0.0,C1548641239,1691976.41,2140654.74
281,CASH_OUT,211015.07,C932888925,45408.0,0.0,C1995734207,0.0,211015.07
281,PAYMENT,3950.4,C1861121416,0.0,0.0,M1252709788,0.0,0.0
281,PAYMENT,6341.88,C953373525,0.0,0.0,M1503849787,0.0,0.0
281,CASH_OUT,32224.14,C1157464498,349.0,0.0,C2067228788,0.0,32224.14
281,TRANSFER,258329.03,C1483188868,499596.0,241266.97,C199692345,0.0,258329.03
281,CASH_OUT,97063.52,C2056000294,7083.0,0.0,C1246768163,998064.37,1095127.89
281,CASH_OUT,163078.67,C881455737,21035.0,0.0,C84206476,495092.54,658171.21
281,CASH_OUT,126684.95,C475075915,10378.0,0.0,C347265436,423342.9,550027.84
281,CASH_OUT,37124.66,C2030546895,10069.0,0.0,C493896063,711487.93,748612.59
281,CASH_IN,179896.02,C1669895914,19961.0,199857.02,C2128775644,2241401.88,2061505.86
281,PAYMENT,3589.77,C417966808,10762.0,7172.23,M210112451,0.0,0.0
281,PAYMENT,3984.94,C1220255819,15817.0,11832.06,M1864585328,0.0,0.0
281,CASH_OUT,211425.41,C977901606,11383.0,0.0,C1332383170,2472963.53,2684388.94
281,PAYMENT,1132.25,C109932731,10720.0,9587.75,M329331161,0.0,0.0
281,CASH_OUT,195715.0,C1727288077,148386.0,0.0,C1195582803,1590206.32,1785921.32
281,DEBIT,5145.14,C269123421,11892.0,6746.86,C669220745,20929.0,26074.15
281,PAYMENT,7404.19,C2104483151,6746.86,0.0,M1742341314,0.0,0.0
281,CASH_IN,286170.53,C594693903,6077.0,292247.53,C9300813,538784.55,252614.02
281,CASH_OUT,227471.14,C1623272619,10640.0,0.0,C899447051,0.0,227471.14
281,PAYMENT,7547.56,C1665597529,150.0,0.0,M1418519783,0.0,0.0
281,PAYMENT,17762.05,C1698157390,10045.0,0.0,M217718583,0.0,0.0
281,CASH_IN,120194.93,C1474593593,41278.0,161472.93,C1348186742,1359995.41,1239800.48
281,PAYMENT,6713.17,C1685909246,161472.93,154759.76,M1066073244,0.0,0.0
281,PAYMENT,16894.21,C1674924029,154759.76,137865.55,M282846709,0.0,0.0
281,PAYMENT,20044.26,C332657166,1354.0,0.0,M2069201652,0.0,0.0
281,CASH_OUT,14922.78,C850825412,14154.0,0.0,C938511703,978616.72,993539.5
281,PAYMENT,9402.04,C2106408746,0.0,0.0,M1900212503,0.0,0.0
281,CASH_OUT,40421.25,C643272681,9949.0,0.0,C840752912,509978.21,550399.46
281,TRANSFER,44511.45,C543234903,0.0,0.0,C1523928001,91277.87,135789.32
281,CASH_IN,153354.45,C872485918,19443.0,172797.45,C151630400,0.0,0.0
281,PAYMENT,8565.03,C1378714048,50717.0,42151.97,M1210016939,0.0,0.0
281,CASH_OUT,98047.56,C1611429212,54011.0,0.0,C1225093797,14177.61,112225.17
281,CASH_IN,164583.32,C1544629415,16882.0,181465.32,C420301826,214310.75,49727.43
281,CASH_IN,23352.33,C1644987748,8032.0,31384.33,C1470199087,406966.62,383614.29
281,CASH_OUT,94048.17,C1367707570,717290.0,623241.83,C598939184,67305.96,161354.13
281,PAYMENT,7829.91,C1386260043,794362.0,786532.09,M117558444,0.0,0.0
281,PAYMENT,11917.77,C18898573,20194.0,8276.23,M2082842884,0.0,0.0
281,PAYMENT,4396.69,C736152117,24672.0,20275.31,M571279177,0.0,0.0
281,CASH_OUT,14510.94,C559608243,54884.0,40373.06,C700383932,652995.77,667506.71
281,CASH_OUT,24784.55,C1885737237,12593.0,0.0,C1434498326,0.0,24784.55
281,CASH_OUT,230537.51,C1576717390,607.0,0.0,C411656248,0.0,230537.51
281,CASH_OUT,213188.24,C386383863,11075.0,0.0,C1075900735,0.0,213188.24
281,CASH_IN,4496.31,C1629885389,109.0,4605.31,C1934506991,4537933.88,4533437.57
281,CASH_OUT,122243.76,C562579525,18091.0,0.0,C1123689972,0.0,122243.76
281,PAYMENT,8201.14,C714827910,0.0,0.0,M13206053,0.0,0.0
281,CASH_OUT,30127.37,C1361068426,19713.0,0.0,C918691837,766448.79,796576.16
281,CASH_OUT,31878.06,C847896971,351.0,0.0,C922577585,549287.38,581165.45
281,PAYMENT,15077.37,C1126653956,298264.0,283186.63,M263396079,0.0,0.0
281,CASH_OUT,23908.35,C1556883074,82048.0,58139.65,C1317113674,2389173.54,2413081.89
281,TRANSFER,85735.54,C557060393,21590.0,0.0,C280883535,1126105.06,1211840.6
281,CASH_IN,187860.75,C1500213835,6017.0,193877.75,C403649458,1743114.02,1555253.27
281,CASH_IN,72780.38,C1318617067,21510.0,94290.38,C1799316394,265945.25,193164.87
281,CASH_IN,32989.17,C1935517836,181.0,33170.17,C1071378687,24815.29,0.0
281,CASH_IN,7614.68,C1918980759,19415.0,27029.68,C1991426633,0.0,0.0
281,CASH_OUT,350675.83,C1889177530,23959.0,0.0,C2014523216,86380.38,437056.2
281,PAYMENT,12577.9,C2112930149,0.0,0.0,M1677139871,0.0,0.0
281,PAYMENT,3132.64,C460983452,0.0,0.0,M1060747030,0.0,0.0
281,PAYMENT,808.97,C1144631933,0.0,0.0,M535385730,0.0,0.0
281,PAYMENT,7950.23,C1413265167,0.0,0.0,M651115417,0.0,0.0
281,PAYMENT,5405.55,C804048743,0.0,0.0,M2053423454,0.0,0.0
281,PAYMENT,5780.82,C1263633874,0.0,0.0,M337476818,0.0,0.0
281,PAYMENT,15268.86,C1564675777,0.0,0.0,M24205830,0.0,0.0
281,PAYMENT,5889.46,C1179201775,0.0,0.0,M969748248,0.0,0.0
281,PAYMENT,37316.42,C2092768230,0.0,0.0,M2006441757,0.0,0.0
281,PAYMENT,61144.52,C2018920264,0.0,0.0,M682820277,0.0,0.0
281,PAYMENT,21114.65,C1011179118,0.0,0.0,M1969422796,0.0,0.0
281,PAYMENT,2991.47,C1061512239,0.0,0.0,M265514968,0.0,0.0
281,PAYMENT,77527.82,C427030114,0.0,0.0,M1953757665,0.0,0.0
281,PAYMENT,4502.2,C1610846044,0.0,0.0,M1949991211,0.0,0.0
281,PAYMENT,12910.26,C1920776488,0.0,0.0,M422312567,0.0,0.0
281,PAYMENT,34823.57,C1697578849,0.0,0.0,M1161627958,0.0,0.0
281,PAYMENT,3641.43,C1377787200,74772.0,71130.57,M337767734,0.0,0.0
281,CASH_OUT,18202.62,C107404580,28590.0,10387.38,C1969624308,0.0,18202.62
281,PAYMENT,6555.64,C725553255,9039.0,2483.36,M56802589,0.0,0.0
281,PAYMENT,16712.04,C414300186,2483.36,0.0,M672057813,0.0,0.0
281,CASH_IN,168616.69,C2069977243,269319.0,437935.69,C1418740624,0.0,0.0
281,CASH_OUT,90931.66,C1836947647,51628.0,0.0,C320816636,0.0,90931.66
281,PAYMENT,3557.74,C2023328866,629.0,0.0,M646427333,0.0,0.0
281,TRANSFER,441316.95,C1473479438,240664.0,0.0,C922579836,2250191.64,2691508.59
281,CASH_OUT,186187.84,C1458196779,100564.0,0.0,C1937021112,525324.51,711512.35
281,CASH_IN,29734.19,C1646537992,31128.0,60862.19,C807846141,0.0,0.0
281,CASH_OUT,71836.79,C2041494035,5076.0,0.0,C297947074,153457.78,225294.57
281,PAYMENT,23437.57,C850300379,247677.0,224239.43,M910815660,0.0,0.0
281,PAYMENT,7313.0,C1975965184,134.0,0.0,M2041877641,0.0,0.0
281,PAYMENT,16707.83,C1068637745,45941.0,29233.17,M1175407866,0.0,0.0
281,CASH_OUT,185740.4,C96134381,29233.17,0.0,C1644328526,255528.88,441269.29
281,PAYMENT,7463.67,C1492596751,191540.0,184076.33,M1998321334,0.0,0.0
281,PAYMENT,1315.13,C1263471667,9991.0,8675.87,M427824187,0.0,0.0
281,CASH_OUT,93917.21,C2027315268,1076.0,0.0,C569167831,6412207.37,6506124.58
281,CASH_OUT,675.02,C1355843502,13996.0,13320.98,C1237110660,1471721.24,1472396.25
281,PAYMENT,4322.56,C1674389267,13320.98,8998.42,M2062931613,0.0,0.0
281,PAYMENT,5859.62,C837443015,8998.42,3138.81,M1699955107,0.0,0.0
281,CASH_OUT,191329.33,C1865156517,14702.0,0.0,C1776729015,253143.83,444473.16
281,PAYMENT,6675.03,C993617379,0.0,0.0,M1482560294,0.0,0.0
281,CASH_OUT,66373.89,C671027159,20733.0,0.0,C1546808884,654291.0,720664.89
281,CASH_OUT,161796.79,C677459362,0.0,0.0,C9422261,3137987.93,3299784.72
281,TRANSFER,37958.99,C1476873008,298817.39,260858.4,C809014026,0.0,37958.99
