step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
699,PAYMENT,568.72,C1865045738,33207.0,32638.28,M1289935403,0.0,0.0
699,PAYMENT,2740.83,C1399920238,45548.0,42807.17,M227426161,0.0,0.0
699,PAYMENT,541.8,C816756012,11040.0,10498.2,M1791427216,0.0,0.0
699,TRANSFER,181545.14,C828287936,181545.14,0.0,C1135968742,0.0,0.0
699,CASH_OUT,181545.14,C1305964333,181545.14,0.0,C1072558316,2357597.32,2539142.46
699,TRANSFER,84480.05,C144024686,84480.05,0.0,C241184394,0.0,0.0
699,CASH_OUT,84480.05,C1511318638,84480.05,0.0,C540530453,4455890.61,4540370.65
699,TRANSFER,148714.54,C516969543,148714.54,0.0,C2034859520,0.0,0.0
699,CASH_OUT,148714.54,C1745419959,148714.54,0.0,C1737815990,0.0,148714.54
699,PAYMENT,1602.71,C1302040844,41742.0,40139.29,M819018565,0.0,0.0
699,PAYMENT,6500.96,C742335348,40139.29,33638.33,M65899778,0.0,0.0
699,TRANSFER,257643.59,C309297026,257643.59,0.0,C2081259491,0.0,0.0
699,CASH_OUT,257643.59,C735929753,257643.59,0.0,C48659119,0.0,257643.59
699,PAYMENT,2263.69,C2125256469,10810.0,8546.31,M298242143,0.0,0.0
699,CASH_OUT,50222.71,C2017209994,8546.31,0.0,C1703793994,107228.82,157451.54
699,PAYMENT,3580.96,C948796857,46508.0,42927.04,M536940994,0.0,0.0
699,PAYMENT,20477.07,C123890101,42927.04,22449.97,M515067821,0.0,0.0
699,PAYMENT,442.53,C1300273527,59.0,0.0,M1705451012,0.0,0.0
699,DEBIT,1283.3,C1897721028,6775.0,5491.7,C909521757,2234632.21,2235915.51
699,CASH_OUT,91910.17,C1968573293,5491.7,0.0,C1175772635,140620.49,232530.66
699,CASH_OUT,165316.45,C1012170641,0.0,0.0,C104789705,3611074.64,3776391.09
699,CASH_OUT,242895.76,C1641939233,0.0,0.0,C86170378,495302.03,738197.79
699,CASH_OUT,68294.2,C1999813394,0.0,0.0,C844456949,445677.21,513971.41
699,CASH_OUT,101126.62,C846908410,0.0,0.0,C149536126,470825.02,571951.64
699,CASH_OUT,64448.47,C768443091,0.0,0.0,C477622584,4085511.07,4149959.54
699,CASH_OUT,64573.62,C1015761218,0.0,0.0,C1471545751,265437.18,330010.8
699,CASH_OUT,223734.66,C1577291754,0.0,0.0,C875581231,234475.67,458210.33
699,CASH_OUT,214607.78,C977451723,0.0,0.0,C1734283234,1.166316854E7,1.187777632E7
699,TRANSFER,129541.15,C2069396554,20829.0,0.0,C804640291,0.0,129541.15
699,TRANSFER,193810.34,C503315258,0.0,0.0,C1503563529,3459649.4,3653459.73
699,TRANSFER,379443.68,C1606503344,0.0,0.0,C1109514168,534776.42,914220.1
699,TRANSFER,308357.91,C1887053409,0.0,0.0,C200155693,1133408.62,1441766.53
699,TRANSFER,108797.28,C1224257032,0.0,0.0,C314710813,349661.68,458458.96
699,TRANSFER,1060258.62,C717011462,0.0,0.0,C598828771,8484340.2,9544598.82
699,TRANSFER,1089273.14,C2146826282,0.0,0.0,C181520854,2651907.27,3741180.41
699,TRANSFER,66517.32,C1587384475,0.0,0.0,C403956241,102737.93,169255.25
699,TRANSFER,191016.86,C1394146734,0.0,0.0,C2101791705,1178472.83,1369489.69
699,TRANSFER,1493437.59,C473633089,0.0,0.0,C1012236862,2180749.51,3674187.1
699,TRANSFER,808134.52,C1289719364,0.0,0.0,C901371341,2044669.92,2852804.45
699,TRANSFER,37754.83,C2121582092,0.0,0.0,C173072070,8601039.03,8638793.86
699,TRANSFER,53415.53,C1779806689,0.0,0.0,C616946479,376183.87,429599.41
699,TRANSFER,716298.41,C778044667,0.0,0.0,C1136379970,7578526.2,8294824.61
699,TRANSFER,549094.49,C519897821,0.0,0.0,C1595954485,628327.62,1177422.11
699,TRANSFER,125500.53,C1180820392,0.0,0.0,C733485865,174727.81,300228.35
699,TRANSFER,215013.3,C29153340,215013.3,0.0,C1227830084,0.0,0.0
699,CASH_OUT,215013.3,C802509612,215013.3,0.0,C1827355513,1.730173496E7,1.751674826E7
699,PAYMENT,302.09,C1506297825,3691.0,3388.91,M276665299,0.0,0.0
699,TRANSFER,62372.43,C2003289304,62372.43,0.0,C7749792,0.0,0.0
699,CASH_OUT,62372.43,C1915659563,62372.43,0.0,C421781202,1195387.47,1257759.9
699,PAYMENT,573.88,C1774322624,561.0,0.0,M358479392,0.0,0.0
699,TRANSFER,162326.52,C1557504343,162326.52,0.0,C404511346,0.0,0.0
699,CASH_OUT,162326.52,C1532317723,162326.52,0.0,C446134087,0.0,162326.52
699,TRANSFER,2763398.31,C577803442,2763398.31,0.0,C619602282,0.0,0.0
699,CASH_OUT,2763398.31,C1491503658,2763398.31,0.0,C454424230,339515.35,3102913.66
699,DEBIT,578.21,C700991352,10575.0,9996.79,C1275804655,127072.23,127650.44
