step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
649,DEBIT,3746.85,C613575005,41817.0,38070.15,C610819027,128506.63,132253.48
649,CASH_OUT,229455.32,C1308076636,38070.15,0.0,C2038378180,270059.82,499515.14
649,CASH_OUT,320457.26,C1926304576,0.0,0.0,C802179871,1015742.35,1336199.61
649,CASH_OUT,128536.81,C1757962810,0.0,0.0,C1700992909,911227.01,1039763.82
649,CASH_OUT,447200.93,C1604790015,0.0,0.0,C1718536311,6566858.5,7014059.43
649,CASH_OUT,92862.88,C796049949,0.0,0.0,C1299203835,170502.28,263365.16
649,CASH_OUT,455513.37,C1438883744,0.0,0.0,C1097962726,3505801.1,3961314.47
649,CASH_OUT,309881.94,C2125590160,0.0,0.0,C1192360872,2303285.16,2613167.09
649,CASH_OUT,230794.55,C407351143,0.0,0.0,C411354522,3775016.63,4005811.18
649,CASH_OUT,419031.94,C563930200,0.0,0.0,C576942108,573092.49,992124.43
649,PAYMENT,2592.39,C1751863636,317.0,0.0,M425719719,0.0,0.0
649,PAYMENT,2028.05,C1011240828,100606.0,98577.95,M2059321992,0.0,0.0
649,PAYMENT,1195.76,C1215155578,756.0,0.0,M787085599,0.0,0.0
649,CASH_IN,124341.11,C542801425,0.0,124341.11,C1548300107,1523763.49,1399422.38
649,CASH_IN,97462.87,C754733584,124341.11,221803.98,C946208200,149260.03,51797.16
649,CASH_IN,199009.85,C173821160,221803.98,420813.83,C1632925136,271829.95,72820.1
649,CASH_IN,545227.32,C1805417917,420813.83,966041.15,C1262561275,4104906.74,3559679.42
649,CASH_IN,63256.41,C415575081,966041.15,1029297.56,C1001841442,520990.97,457734.56
649,CASH_IN,108989.56,C1449624051,1029297.56,1138287.12,C410686175,9176868.02,9067878.46
649,CASH_IN,355368.06,C1043643611,1138287.12,1493655.18,C697445869,643236.43,287868.37
649,CASH_IN,343770.74,C919428917,1493655.18,1837425.92,C115408826,453024.59,109253.85
649,CASH_IN,451603.48,C131631521,1837425.92,2289029.4,C2047970367,5427250.34,4975646.85
649,CASH_IN,19024.0,C1843067056,2289029.4,2308053.4,C503741971,1020925.26,1001901.25
649,CASH_IN,133138.86,C1989362612,2308053.4,2441192.27,C931030789,220611.3,87472.44
649,CASH_IN,129419.69,C712744612,2441192.27,2570611.95,C161164320,1103895.75,974476.06
649,CASH_IN,99089.16,C1764593611,2570611.95,2669701.12,C107310607,1091761.16,992671.99
649,CASH_IN,4977.92,C1401484582,2669701.12,2674679.04,C1620760574,136370.76,131392.84
649,CASH_IN,87276.04,C1063948800,2674679.04,2761955.08,C197756659,404966.36,317690.32
649,CASH_IN,6797.78,C1225958903,2761955.08,2768752.86,C1577494959,4549604.06,4542806.28
649,CASH_IN,80031.32,C1287928009,2768752.86,2848784.18,C550880194,133704.06,53672.74
649,CASH_IN,184254.28,C1492243890,2848784.18,3033038.46,C2034492789,290388.7,106134.42
649,CASH_IN,279148.04,C861976126,3033038.46,3312186.5,C1732919979,413143.48,133995.43
649,CASH_IN,222429.01,C1862373560,3312186.5,3534615.51,C55828529,513874.42,291445.4
649,CASH_IN,247084.0,C40824801,3534615.51,3781699.51,C1308548424,2512135.5,2265051.5
649,CASH_IN,77802.44,C1424291419,3781699.51,3859501.95,C555743044,3071999.35,2994196.91
649,CASH_IN,185633.41,C1644395455,3859501.95,4045135.36,C103223214,935071.74,749438.32
649,CASH_IN,116456.34,C31765271,4045135.36,4161591.7,C262637556,310820.02,194363.68
649,CASH_IN,67848.21,C1954567469,4161591.7,4229439.91,C1836327815,3664409.03,3596560.82
649,CASH_IN,263114.14,C119878600,4229439.91,4492554.06,C1608729875,3224762.26,2961648.12
649,CASH_IN,19127.14,C2114088464,4492554.06,4511681.19,C1630852720,1544656.39,1525529.26
649,CASH_IN,4296.51,C1524238028,4511681.19,4515977.7,C957390065,8946321.47,8942024.97
649,PAYMENT,5940.56,C738531719,129098.0,123157.44,M43041980,0.0,0.0
649,DEBIT,597.49,C1863272464,99335.0,98737.51,C653645882,6736227.21,6736824.7
649,PAYMENT,1757.16,C1701433179,29751.0,27993.84,M1629764432,0.0,0.0
649,TRANSFER,445578.43,C1704306412,27993.84,0.0,C640186620,2739522.79,3185101.21
649,TRANSFER,215534.3,C1892625798,0.0,0.0,C325441489,4825665.88,5041200.18
649,TRANSFER,790918.41,C1534535635,0.0,0.0,C806667375,4332501.78,5123420.19
649,TRANSFER,2515431.98,C466188630,0.0,0.0,C357066329,3389508.81,5904940.79
649,TRANSFER,278413.98,C1403194885,0.0,0.0,C162641,2686078.75,2964492.74
649,TRANSFER,960852.09,C1510587114,0.0,0.0,C861936738,1358554.96,2319407.05
649,TRANSFER,175359.92,C941770695,0.0,0.0,C189254756,4109856.95,4285216.87
649,TRANSFER,1073679.92,C1760660060,0.0,0.0,C525502359,9530652.34,1.060433227E7
