step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
74,TRANSFER,4375931.29,C775816840,4375931.29,0.0,C1539861914,0.0,0.0
74,CASH_OUT,4375931.29,C367894534,4375931.29,0.0,C397644656,68494.86,4444426.16
74,TRANSFER,74177.92,C1294027751,74177.92,0.0,C1027008059,0.0,0.0
74,CASH_OUT,74177.92,C146952243,74177.92,0.0,C570435842,79018.51,153196.43
74,TRANSFER,59127.34,C1444290021,59127.34,0.0,C959470338,0.0,0.0
74,CASH_OUT,59127.34,C780368561,59127.34,0.0,C1227289239,17207.02,76334.36
74,TRANSFER,2451423.58,C554032564,2451423.58,0.0,C1773822709,0.0,0.0
74,CASH_OUT,2451423.58,C1267904754,2451423.58,0.0,C858620596,4870.65,2456294.22
74,TRANSFER,59813.61,C1934910898,59813.61,0.0,C547328121,0.0,0.0
74,CASH_OUT,59813.61,C1784961866,59813.61,0.0,C1245192492,0.0,59813.61
74,TRANSFER,158489.29,C1694745551,158489.29,0.0,C43669214,0.0,0.0
74,CASH_OUT,158489.29,C1003023037,158489.29,0.0,C1969565765,0.0,158489.29
74,TRANSFER,85637.08,C1809932675,85637.08,0.0,C1098977292,0.0,0.0
74,CASH_OUT,85637.08,C588765630,85637.08,0.0,C766485430,235137.06,320774.13
74,TRANSFER,1311150.9,C1492220840,1311150.9,0.0,C839360691,0.0,0.0
74,CASH_OUT,1311150.9,C605093641,1311150.9,0.0,C721605153,0.0,1311150.9
74,TRANSFER,4582074.51,C1151172465,4582074.51,0.0,C2088124795,0.0,0.0
74,CASH_OUT,4582074.51,C1507497077,4582074.51,0.0,C910594371,154034.94,4736109.45
74,TRANSFER,455074.13,C178620637,455074.13,0.0,C479353061,0.0,0.0
74,CASH_OUT,455074.13,C695129655,455074.13,0.0,C1013511446,9237170.74,9692244.86
74,TRANSFER,3284197.88,C103236252,3284197.88,0.0,C1710384366,0.0,0.0
74,CASH_OUT,3284197.88,C198379281,3284197.88,0.0,C857746237,200942.08,3485139.96
