step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
477,TRANSFER,338293.14,C958803448,338293.14,0.0,C229298168,0.0,0.0
477,CASH_OUT,338293.14,C1232836519,338293.14,0.0,C1361370826,4293922.64,4632215.78
477,TRANSFER,6646879.72,C2023738276,6646879.72,0.0,C1104022737,0.0,0.0
477,CASH_OUT,6646879.72,C356905617,6646879.72,0.0,C1736990542,1290212.82,7937092.54
477,TRANSFER,9639524.7,C1490771263,9639524.7,0.0,C486822956,0.0,0.0
477,CASH_OUT,9639524.7,C560583390,9639524.7,0.0,C1975522590,0.0,9639524.7
477,TRANSFER,1720600.92,C535695455,1720600.92,0.0,C888712424,0.0,0.0
477,CASH_OUT,1720600.92,C1928293922,1720600.92,0.0,C2120663616,5085691.59,6806292.51
477,TRANSFER,815297.9,C1885333477,815297.9,0.0,C742632200,0.0,0.0
477,CASH_OUT,815297.9,C533672978,815297.9,0.0,C1910425961,363475.49,1178773.39
