step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
216,PAYMENT,4729.31,C1781001654,781.0,0.0,M1875333125,0.0,0.0
216,PAYMENT,17695.01,C1542152455,0.0,0.0,M688878220,0.0,0.0
216,PAYMENT,4910.1,C2089840710,29104.0,24193.9,M696402089,0.0,0.0
216,PAYMENT,4942.22,C702676935,10380.0,5437.78,M2074633061,0.0,0.0
216,PAYMENT,13764.36,C71646742,5437.78,0.0,M1073324351,0.0,0.0
216,PAYMENT,10525.53,C423653056,11658.0,1132.47,M566990278,0.0,0.0
216,PAYMENT,508.85,C215198311,81153.0,80644.15,M2119242395,0.0,0.0
216,PAYMENT,4615.05,C1685935615,5589.0,973.95,M426084627,0.0,0.0
216,PAYMENT,8045.3,C150243530,9919.0,1873.7,M2118620805,0.0,0.0
216,CASH_OUT,114283.82,C1889269279,1873.7,0.0,C2120340616,303231.26,417515.09
216,PAYMENT,958.56,C1157878798,167.0,0.0,M1771943612,0.0,0.0
216,PAYMENT,9025.84,C732755636,19907.0,10881.16,M78169808,0.0,0.0
216,PAYMENT,1461.27,C1599132143,198.0,0.0,M1543288047,0.0,0.0
216,PAYMENT,5238.87,C388624498,11476.0,6237.13,M1433745921,0.0,0.0
216,CASH_OUT,92089.63,C217269993,6237.13,0.0,C1456942573,173836.84,265926.47
216,PAYMENT,6025.55,C840355924,13440.0,7414.45,M1784941572,0.0,0.0
216,PAYMENT,2347.71,C373134971,22292.0,19944.29,M7294555,0.0,0.0
216,PAYMENT,6633.28,C83864178,14575.0,7941.72,M1320256197,0.0,0.0
216,PAYMENT,16027.18,C876956454,7941.72,0.0,M1310901859,0.0,0.0
216,PAYMENT,7101.01,C930568687,102041.0,94939.99,M1964130926,0.0,0.0
216,CASH_OUT,217271.27,C1796221841,94939.99,0.0,C567043508,1221471.73,1438743.0
216,PAYMENT,1118.52,C861530446,297720.0,296601.48,M1055684331,0.0,0.0
216,CASH_OUT,183607.45,C1493844586,296601.48,112994.03,C1456297454,2079063.75,2262671.2
216,PAYMENT,7340.92,C866956921,6173.0,0.0,M1329806043,0.0,0.0
216,CASH_OUT,129397.82,C306534134,28.0,0.0,C218131908,1180728.31,1310126.13
216,PAYMENT,5117.53,C433541062,16984.0,11866.47,M1335766523,0.0,0.0
216,TRANSFER,246364.06,C433935153,2601.0,0.0,C2123084184,266922.02,513286.08
216,PAYMENT,228.93,C563565594,92002.0,91773.07,M43878033,0.0,0.0
216,PAYMENT,870.99,C1020433100,30635.0,29764.01,M1340410556,0.0,0.0
216,PAYMENT,3770.3,C1414115550,15522.0,11751.7,M982388168,0.0,0.0
216,PAYMENT,3129.17,C308456615,11751.7,8622.53,M1974858941,0.0,0.0
216,PAYMENT,5672.21,C1826846101,5065.0,0.0,M650757516,0.0,0.0
216,PAYMENT,139.08,C566841958,15897.0,15757.92,M2063817470,0.0,0.0
216,PAYMENT,6278.9,C213637078,31810.0,25531.1,M1681299048,0.0,0.0
216,PAYMENT,3407.07,C252158698,23883.0,20475.93,M1848827230,0.0,0.0
216,TRANSFER,294446.97,C1021682217,494525.0,200078.03,C213471909,1110975.24,1405422.21
216,PAYMENT,60298.2,C1823536651,200078.03,139779.83,M1586628997,0.0,0.0
216,PAYMENT,505.84,C640870180,363.0,0.0,M936897825,0.0,0.0
216,PAYMENT,1996.67,C1555846526,7265.0,5268.33,M304918861,0.0,0.0
216,PAYMENT,1909.67,C588673003,51091.0,49181.33,M731914317,0.0,0.0
216,TRANSFER,351849.77,C361334754,49181.33,0.0,C1260069952,1977136.29,2328986.07
216,PAYMENT,17290.33,C1658383047,42354.0,25063.67,M1923201088,0.0,0.0
216,CASH_OUT,74568.75,C1487494161,25063.67,0.0,C1355699536,637393.78,711962.54
