step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
263,PAYMENT,1164.26,C1944203695,43177.0,42012.74,M1379275317,0.0,0.0
263,PAYMENT,3597.27,C291666524,135088.0,131490.73,M1936997744,0.0,0.0
263,PAYMENT,4125.89,C301532664,6429.0,2303.11,M1933318728,0.0,0.0
263,PAYMENT,725.52,C1896759017,100255.0,99529.48,M599982597,0.0,0.0
263,PAYMENT,1609.91,C2060191040,99529.48,97919.57,M1773256203,0.0,0.0
263,PAYMENT,8063.82,C1774726306,97919.57,89855.75,M1386272948,0.0,0.0
263,PAYMENT,3058.03,C1213997477,89855.75,86797.72,M746168131,0.0,0.0
263,PAYMENT,7712.84,C83630930,86797.72,79084.88,M1347229185,0.0,0.0
263,PAYMENT,2963.04,C2033534116,79084.88,76121.84,M433475398,0.0,0.0
263,PAYMENT,4870.69,C2106909093,76121.84,71251.16,M1162939656,0.0,0.0
263,PAYMENT,1656.39,C378696034,71251.16,69594.77,M1033220233,0.0,0.0
263,PAYMENT,1520.47,C1742137175,69594.77,68074.3,M706908136,0.0,0.0
263,PAYMENT,16675.87,C792654511,68074.3,51398.43,M1069489721,0.0,0.0
263,PAYMENT,5761.19,C1862515398,51398.43,45637.24,M1365259521,0.0,0.0
263,CASH_OUT,95673.38,C152243720,31195.0,0.0,C1173080709,1661512.52,1757185.9
263,PAYMENT,1778.75,C1310365637,21460.0,19681.25,M1010680138,0.0,0.0
263,CASH_IN,67468.88,C1814373361,19681.25,87150.13,C446932876,132653.89,65185.01
263,PAYMENT,74.57,C2111243059,3035.0,2960.43,M1743325171,0.0,0.0
263,CASH_OUT,184268.18,C898411989,2960.43,0.0,C774869052,986413.75,1170681.94
263,PAYMENT,5552.93,C1894988350,2872.0,0.0,M897081736,0.0,0.0
263,PAYMENT,12990.48,C444673611,0.0,0.0,M1244908235,0.0,0.0
263,PAYMENT,4549.24,C603466617,0.0,0.0,M1434086063,0.0,0.0
263,TRANSFER,155414.01,C1184556349,40053.0,0.0,C202431461,101846.5,257260.51
263,PAYMENT,3822.81,C304814775,29.0,0.0,M1894402152,0.0,0.0
263,CASH_OUT,96728.68,C1984129992,0.0,0.0,C1946994067,4227593.5,4324322.18
