step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
659,TRANSFER,1738301.32,C2079842139,31016.0,0.0,C900098175,1158417.51,2896718.83
659,CASH_OUT,135940.75,C424975574,118172.0,0.0,C1897808051,0.0,135940.75
659,PAYMENT,10261.38,C1462356830,158.0,0.0,M1184029225,0.0,0.0
659,CASH_OUT,490501.89,C56281255,20217.0,0.0,C827493676,0.0,490501.89
659,CASH_IN,174750.54,C1045780022,51229.0,225979.54,C1390854323,141037.43,0.0
659,PAYMENT,26408.97,C666831257,225979.54,199570.56,M2007817429,0.0,0.0
659,PAYMENT,1555.32,C577125751,106248.0,104692.68,M915811307,0.0,0.0
659,CASH_OUT,156011.14,C1773801313,17713.0,0.0,C1026806509,106951.1,262962.25
659,CASH_IN,173080.93,C2028027127,58055.0,231135.93,C1580126608,0.0,0.0
659,CASH_OUT,350316.09,C1811888921,231135.93,0.0,C1056352446,1449290.12,1799606.21
659,CASH_IN,145087.7,C1815190782,5570.0,150657.7,C1994164329,8278.21,0.0
659,PAYMENT,5544.06,C1430865694,5694.0,149.94,M608096196,0.0,0.0
659,CASH_IN,421183.16,C906698665,149.94,421333.11,C1318864729,4256359.25,3835176.09
659,CASH_IN,150393.45,C1455268858,421333.11,571726.56,C1798680989,3643725.09,3493331.63
659,CASH_IN,378592.06,C1238593412,571726.56,950318.62,C1406193485,2.3604631174E8,2.3566771967E8
659,CASH_IN,86993.0,C457296277,950318.62,1037311.63,C735046115,121461.02,34468.02
659,CASH_IN,24062.3,C1977187075,1037311.63,1061373.93,C1977057293,1908433.27,1884370.98
659,CASH_IN,312323.93,C1321251889,1061373.93,1373697.86,C1972960586,592770.87,280446.94
659,CASH_IN,411549.51,C482172194,1373697.86,1785247.37,C1025635971,4641567.88,4230018.38
659,CASH_IN,72836.57,C153428545,1785247.37,1858083.93,C1347263385,3636197.93,3563361.36
659,CASH_IN,45684.03,C924467461,1858083.93,1903767.96,C841728129,68679.13,22995.1
659,CASH_IN,264808.36,C2083527403,1903767.96,2168576.33,C1228995097,438817.84,174009.48
659,CASH_IN,134314.75,C168954882,2168576.33,2302891.08,C628671004,509100.63,374785.88
659,CASH_IN,37221.25,C704974891,2302891.08,2340112.33,C1469894062,7895693.04,7858471.79
659,CASH_IN,64091.37,C1341287943,2340112.33,2404203.71,C465417823,601966.8,537875.43
659,CASH_IN,171150.02,C870961744,2404203.71,2575353.72,C1059584393,5239170.97,5068020.96
659,CASH_IN,17813.64,C687979059,2575353.72,2593167.36,C1181804121,112925.39,95111.75
659,CASH_IN,86831.36,C730293104,2593167.36,2679998.73,C1188118455,713790.0,626958.64
659,CASH_IN,123806.14,C2002362961,2679998.73,2803804.86,C1348015692,290891.34,167085.2
659,CASH_IN,263176.68,C174036408,2803804.86,3066981.54,C1739267259,5433411.8,5170235.12
659,CASH_IN,23024.29,C774600418,3066981.54,3090005.83,C1676364016,2518633.55,2495609.26
659,CASH_IN,35354.98,C1042746548,3090005.83,3125360.81,C316254247,95460.9,60105.92
659,CASH_IN,183522.21,C72776203,3125360.81,3308883.02,C831899861,2223983.7,2040461.49
659,CASH_OUT,139489.36,C1926417772,166.0,0.0,C1290982222,0.0,139489.36
659,CASH_OUT,143589.95,C121317810,69726.0,0.0,C1421188316,575340.43,718930.38
659,CASH_OUT,15259.49,C33544013,0.0,0.0,C750116854,962365.4,977624.89
659,CASH_OUT,171091.35,C911111003,41654.0,0.0,C1818176280,1186448.91,1357540.26
659,CASH_IN,173622.08,C1385390419,25257.0,198879.08,C1674573147,1170535.6,996913.52
659,TRANSFER,481426.15,C213623818,198879.08,0.0,C718893316,860671.31,1342097.46
659,PAYMENT,8650.28,C1929469807,61634.0,52983.72,M915422975,0.0,0.0
659,PAYMENT,7302.63,C2143307911,27340.0,20037.37,M780806273,0.0,0.0
659,CASH_IN,119181.96,C1468653592,15301.0,134482.96,C262877863,7420.74,0.0
659,CASH_OUT,432087.72,C1624853456,5532.0,0.0,C1537755714,345541.01,777628.73
659,CASH_OUT,60783.45,C488682300,3198.0,0.0,C1915912405,145816.8,206600.26
659,CASH_IN,180681.29,C1645305401,0.0,180681.29,C525510474,1533174.75,1352493.46
659,CASH_IN,236226.48,C2055269187,180681.29,416907.77,C1341362139,961106.02,724879.54
659,CASH_IN,124809.7,C1353562120,416907.77,541717.46,C526035976,5137335.06,5012525.36
659,CASH_IN,686196.72,C1208768626,541717.46,1227914.19,C1271106480,1973025.2,1286828.48
659,CASH_IN,348387.85,C545531868,1227914.19,1576302.04,C144643495,1741336.71,1392948.86
659,CASH_IN,299174.78,C1570966140,1576302.04,1875476.81,C699788990,3742988.96,3443814.18
659,CASH_IN,27689.22,C1626571832,1875476.81,1903166.03,C1648479848,86790.64,59101.42
659,CASH_IN,113753.12,C1242996636,1903166.03,2016919.16,C456683047,2275956.15,2162203.02
659,CASH_IN,168621.74,C1269693381,2016919.16,2185540.9,C2136731753,1869599.0,1700977.25
659,CASH_IN,76198.9,C244906022,2185540.9,2261739.8,C1502372420,142437.61,66238.7
659,CASH_IN,96723.06,C1916170121,2261739.8,2358462.86,C1850853068,3256842.94,3160119.88
659,CASH_IN,179960.64,C212005932,2358462.86,2538423.5,C1793438943,615654.21,435693.58
659,CASH_IN,91436.4,C678778286,2538423.5,2629859.9,C207007874,1142569.27,1051132.87
659,CASH_IN,299321.65,C1642451278,2629859.9,2929181.55,C958478197,454817.07,155495.42
659,CASH_IN,139966.81,C544125148,2929181.55,3069148.36,C1137805002,1.05992323E7,1.045926548E7
659,CASH_IN,280751.64,C997602153,3069148.36,3349899.99,C589408189,4270833.54,3990081.91
659,CASH_IN,124056.25,C967629196,3349899.99,3473956.24,C1814688333,338037.7,213981.45
659,CASH_IN,372660.23,C1988886614,3473956.24,3846616.47,C2129147768,2926406.73,2553746.5
659,CASH_IN,133535.48,C598844939,3846616.47,3980151.96,C795891068,7302774.22,7169238.73
659,CASH_IN,136193.41,C693515375,3980151.96,4116345.37,C1457959119,2536942.98,2400749.57
659,CASH_IN,118990.99,C1995040880,4116345.37,4235336.36,C486321590,129742.68,10751.69
659,CASH_IN,615148.68,C1626458187,4235336.36,4850485.05,C319024949,2012309.28,1397160.59
659,CASH_IN,656364.16,C1323219872,4850485.05,5506849.2,C86246179,1218395.81,562031.65
