step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
130,CASH_OUT,245903.94,C1828966233,21803.0,0.0,C712994408,538657.13,939238.45
130,CASH_IN,295774.48,C209826891,10234.0,306008.48,C96643808,1912442.33,1616667.84
130,PAYMENT,7936.36,C1485223392,306008.48,298072.12,M28263682,0.0,0.0
130,PAYMENT,34313.41,C1923431273,298072.12,263758.71,M1938291354,0.0,0.0
130,CASH_OUT,241273.52,C516122815,65713.0,0.0,C1464417364,84299.74,251773.44
130,CASH_IN,327737.5,C1698674992,41571.0,369308.5,C1672729134,539072.04,211334.54
130,CASH_OUT,381706.01,C1041938573,18776.0,0.0,C463826424,2011.89,383717.9
130,PAYMENT,16031.07,C1912981246,0.0,0.0,M2005327505,0.0,0.0
130,TRANSFER,536198.83,C1877483368,97914.0,0.0,C1298258556,694849.83,1231048.66
130,CASH_OUT,27522.57,C81595592,10372.0,0.0,C238671854,2011517.03,2039039.6
130,PAYMENT,2403.23,C1488128155,5535.0,3131.77,M427829066,0.0,0.0
130,PAYMENT,33819.09,C909928525,83792.0,49972.91,M1516996878,0.0,0.0
130,CASH_IN,80640.77,C442279176,308620.0,389260.77,C139935065,0.0,0.0
130,CASH_OUT,47860.87,C50232190,20119.0,0.0,C492718912,0.0,40888.58
130,CASH_IN,245251.78,C1473582444,10079.0,255330.78,C391799075,716451.5,471199.72
130,PAYMENT,56223.96,C1374737761,10932.0,0.0,M788225714,0.0,0.0
130,PAYMENT,7627.7,C1605363096,0.0,0.0,M548337012,0.0,0.0
130,CASH_IN,16640.93,C2007132125,12410.0,29050.93,C1491703179,2949953.39,2933312.46
130,CASH_OUT,221463.97,C64534869,29050.93,0.0,C65910374,1767524.54,1988988.51
130,TRANSFER,269146.73,C603656083,52802.0,0.0,C1049433850,0.0,269146.73
130,CASH_OUT,399515.16,C1948867533,59425.0,0.0,C1502386425,340989.3,740504.47
130,CASH_OUT,257876.06,C273765914,52213.0,0.0,C1571774301,0.0,257876.06
130,PAYMENT,1651.45,C1443190612,0.0,0.0,M762924432,0.0,0.0
130,CASH_IN,377156.45,C321952961,29938.0,407094.45,C468400380,0.0,0.0
130,CASH_OUT,182217.19,C155973947,22106.0,0.0,C599825234,0.0,182217.19
130,CASH_OUT,74643.94,C1971888305,111539.0,36895.06,C1869641229,69250.02,143893.96
130,CASH_OUT,195155.71,C318400093,854.0,0.0,C357052764,0.0,195155.71
130,PAYMENT,13680.72,C96155223,11060.0,0.0,M1408210426,0.0,0.0
130,CASH_OUT,165993.82,C1674717726,0.0,0.0,C285368974,383003.36,548997.18
130,CASH_OUT,153676.04,C576413879,0.0,0.0,C1374630456,1759579.3,1913255.34
130,CASH_IN,72393.38,C2123293477,22550.0,94943.38,C458095189,533525.86,461132.48
130,CASH_OUT,252407.24,C1365375307,21342.0,0.0,C1561780859,269486.06,451971.06
130,CASH_IN,119199.64,C588360611,52314.0,171513.64,C251272236,101044.9,0.0
130,PAYMENT,5039.23,C1521891758,165020.41,159981.17,M1403547158,0.0,0.0
130,PAYMENT,5558.79,C224231049,159981.17,154422.38,M591368242,0.0,0.0
130,PAYMENT,46814.5,C1219475122,1229.0,0.0,M1491581295,0.0,0.0
130,DEBIT,4386.45,C1042824652,0.0,0.0,C431816186,2485474.71,2489861.16
130,CASH_OUT,198340.89,C1640600635,94281.0,0.0,C938736376,0.0,198340.89
130,PAYMENT,27190.12,C1424405654,28834.0,1643.88,M825181092,0.0,0.0
130,CASH_OUT,251566.32,C1310121488,74340.0,0.0,C211287505,0.0,251566.32
130,PAYMENT,9842.98,C1674830757,0.0,0.0,M40937805,0.0,0.0
130,CASH_IN,115855.36,C1225386180,74976.0,190831.36,C831905025,1715060.4,1888026.27
130,CASH_OUT,116755.13,C831998379,105137.0,0.0,C1913557950,1285214.38,1401969.51
130,CASH_OUT,193718.25,C1302682359,239486.0,45767.75,C61031593,0.0,378820.92
130,CASH_OUT,541141.04,C1251518671,395.0,0.0,C1437735369,2262811.17,2803952.21
130,PAYMENT,15526.53,C1280386704,0.0,0.0,M1199633568,0.0,0.0
130,PAYMENT,21956.89,C546667589,7958.0,0.0,M801400392,0.0,0.0
130,TRANSFER,1491495.24,C1793368198,0.0,0.0,C1461091531,2930659.87,4422155.11
130,CASH_OUT,41414.71,C704740494,31302.0,0.0,C153066975,3554997.97,3596412.68
130,CASH_OUT,204572.48,C561859295,0.0,0.0,C1303498195,1658097.68,1862670.17
130,PAYMENT,8632.76,C763858590,48092.0,39459.24,M1646848824,0.0,0.0
130,CASH_IN,317390.54,C1131159295,10748.0,328138.54,C1246219893,382463.92,65073.38
130,CASH_OUT,101799.69,C135041023,328138.54,226338.85,C2030343492,186758.66,288558.35
130,CASH_OUT,48151.66,C426640158,20722.0,0.0,C506834820,0.0,48151.66
130,PAYMENT,10949.43,C1018841632,0.0,0.0,M520237230,0.0,0.0
130,CASH_OUT,149218.95,C1931294662,127054.0,0.0,C1342312677,0.0,149218.95
130,CASH_OUT,74462.51,C444775496,5781.0,0.0,C677775089,164741.67,239204.17
130,CASH_OUT,39569.45,C1955008114,0.0,0.0,C61536954,2580839.65,2527002.27
130,CASH_OUT,122141.49,C2047788812,29966.0,0.0,C318594863,607579.4,729720.9
130,PAYMENT,1666.17,C1614245004,79779.0,78112.83,M1876487230,0.0,0.0
130,CASH_IN,228676.12,C593529641,38137.0,266813.12,C1281196129,3730794.48,3502118.36
130,CASH_OUT,335962.29,C794435310,102698.0,0.0,C1046453764,925237.32,1261199.61
130,TRANSFER,432163.59,C1951548549,0.0,0.0,C921298719,1303980.11,1736143.7
130,TRANSFER,344036.86,C1547956013,0.0,0.0,C933757407,2930076.45,3274113.31
130,TRANSFER,1171450.79,C2069696079,0.0,0.0,C867344810,6028977.65,9074729.51
130,TRANSFER,1399193.45,C68145828,0.0,0.0,C2091799381,1859150.79,2995600.33
130,TRANSFER,759675.39,C1654638796,0.0,0.0,C1786765410,1976413.72,2736089.11
130,TRANSFER,368129.57,C560359733,0.0,0.0,C1023013216,511673.34,879802.9
130,TRANSFER,345777.34,C844772384,0.0,0.0,C1487669283,7325591.51,7671368.86
130,TRANSFER,454820.45,C1220172349,0.0,0.0,C2073754729,4111740.83,4566561.28
130,TRANSFER,231202.26,C1417617998,0.0,0.0,C437105998,6726267.82,6957470.07
130,TRANSFER,652523.44,C1178781237,0.0,0.0,C1469682037,4615894.74,5268418.18
130,TRANSFER,159570.19,C626655721,0.0,0.0,C1175159641,1157889.12,1317459.32
130,TRANSFER,313711.74,C1068223693,0.0,0.0,C784710502,1880133.41,2193845.15
130,TRANSFER,299167.35,C309064740,0.0,0.0,C1478265303,428335.34,727502.69
130,TRANSFER,655810.79,C1112079154,0.0,0.0,C499714286,974873.58,1630684.36
130,TRANSFER,468445.79,C929628123,0.0,0.0,C1215893889,1605509.79,2073955.58
130,TRANSFER,1295788.54,C1455718495,0.0,0.0,C44518161,1577218.02,2873006.56
130,TRANSFER,13641.69,C465798263,0.0,0.0,C1175208170,960620.03,974261.71
130,TRANSFER,1915008.6,C517438806,0.0,0.0,C1437950557,2906845.65,4821854.25
130,TRANSFER,1581242.71,C1857150832,0.0,0.0,C989504089,9242926.5,1.376233808E7
130,TRANSFER,791104.07,C478506113,0.0,0.0,C597676461,1.369648356E7,1.422793775E7
130,TRANSFER,325698.11,C459449178,0.0,0.0,C189518395,9923885.48,1.024958359E7
130,TRANSFER,394637.58,C1048199341,0.0,0.0,C1037860187,655285.4,1049922.98
130,TRANSFER,71296.24,C1590706765,0.0,0.0,C1574858120,287317.74,221949.84
130,TRANSFER,872629.46,C1770441842,0.0,0.0,C2138657648,2846866.79,3719496.25
130,CASH_OUT,38646.66,C1735449195,13358.0,0.0,C1322430436,2831049.0,4839569.24
130,CASH_IN,14600.0,C191070464,82772.0,97372.0,C1263717376,2410502.77,2234093.0
130,PAYMENT,4749.75,C1467836427,97372.0,92622.26,M138922954,0.0,0.0
130,PAYMENT,318.45,C1761995563,92622.26,92303.81,M2121866378,0.0,0.0
130,PAYMENT,34674.8,C1115164286,92303.81,57629.01,M1951896672,0.0,0.0
130,PAYMENT,10479.93,C852321650,25697.0,15217.07,M73839341,0.0,0.0
130,PAYMENT,12439.18,C107956193,29432.0,16992.82,M1322461144,0.0,0.0
130,CASH_OUT,58302.59,C392969605,16992.82,0.0,C1614212604,67512.19,125814.78
130,CASH_OUT,382610.71,C648811615,0.0,0.0,C114958,465085.8,847696.5
130,TRANSFER,334076.38,C1518341924,3501.0,0.0,C231561827,0.0,334076.38
130,PAYMENT,11632.55,C230297163,32224.0,20591.45,M2068613740,0.0,0.0
130,CASH_OUT,211506.12,C1023702966,41259.0,0.0,C2073791055,4755544.11,4967050.23
130,PAYMENT,16435.3,C1739044381,29710.0,13274.7,M976368884,0.0,0.0
130,CASH_IN,11339.98,C632477236,33110.0,44449.98,C32948564,0.0,0.0
130,CASH_IN,388221.88,C999664883,250458.0,638679.88,C500671174,0.0,0.0
130,CASH_OUT,74014.31,C1633219266,61986.0,0.0,C1232569556,76677.08,150691.4
130,TRANSFER,2402126.86,C1256652681,5288.0,0.0,C786479749,0.0,2900789.74
130,CASH_OUT,356712.51,C2035712919,11012.0,0.0,C1334305123,0.0,356712.51
130,PAYMENT,7501.15,C1873959546,0.0,0.0,M1239051180,0.0,0.0
