step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
170,PAYMENT,1506.23,C112222548,5032.0,3525.77,M1398885982,0.0,0.0
170,DEBIT,403.64,C1604995789,199358.0,198954.36,C1785210621,11726.78,12130.41
170,PAYMENT,10133.38,C1766152181,45229.0,35095.62,M1828331848,0.0,0.0
170,PAYMENT,15539.91,C900759863,35095.62,19555.71,M943806830,0.0,0.0
170,PAYMENT,8548.56,C2079873900,19555.71,11007.15,M1186317626,0.0,0.0
170,PAYMENT,4457.96,C2008899042,105284.0,100826.04,M1158017106,0.0,0.0
170,PAYMENT,21191.63,C2090852517,280.0,0.0,M342586905,0.0,0.0
170,PAYMENT,366.11,C161774395,118222.0,117855.89,M1665768765,0.0,0.0
170,PAYMENT,6028.86,C1624294201,8127.0,2098.14,M801417860,0.0,0.0
170,DEBIT,142.19,C93544932,13273.0,13130.81,C879459337,2953306.95,2953449.14
170,PAYMENT,645.65,C706520094,13130.81,12485.17,M1278440303,0.0,0.0
170,PAYMENT,520.58,C1177116903,30859.0,30338.42,M1487644039,0.0,0.0
170,DEBIT,1845.2,C400086744,64909.0,63063.8,C2085922732,636233.71,638078.91
170,PAYMENT,5459.26,C1084712775,60061.0,54601.74,M1292114412,0.0,0.0
170,PAYMENT,18039.6,C1208359510,11290.0,0.0,M423193496,0.0,0.0
170,PAYMENT,2006.22,C1658825383,0.0,0.0,M267981929,0.0,0.0
170,TRANSFER,315440.64,C2002090858,19882.0,0.0,C1494484700,87248.62,402689.25
170,PAYMENT,3347.22,C635612083,0.0,0.0,M989312826,0.0,0.0
170,PAYMENT,14057.66,C2112530001,0.0,0.0,M557325485,0.0,0.0
170,PAYMENT,16137.04,C297239562,0.0,0.0,M385793889,0.0,0.0
170,PAYMENT,20557.73,C1049516993,0.0,0.0,M1597175241,0.0,0.0
170,PAYMENT,2299.6,C1921564145,50259.0,47959.4,M300810614,0.0,0.0
170,PAYMENT,3231.89,C1576141017,31283.0,28051.11,M363211283,0.0,0.0
170,PAYMENT,5886.28,C586574435,213268.0,207381.72,M1131555578,0.0,0.0
170,CASH_OUT,126798.66,C239799941,207381.72,80583.06,C1173307591,334228.87,461027.53
170,CASH_OUT,106271.05,C706300909,80583.06,0.0,C441470526,389201.88,495472.93
170,CASH_OUT,209471.46,C1001228735,0.0,0.0,C1909251658,281721.39,491192.85
170,CASH_OUT,87666.44,C1775911370,0.0,0.0,C1217769581,287190.59,374857.03
170,CASH_OUT,62346.02,C1068713298,0.0,0.0,C431406205,64824.28,127170.3
170,CASH_OUT,31924.64,C1603614570,0.0,0.0,C1534867284,126290.52,158215.15
170,CASH_OUT,154808.64,C144883030,0.0,0.0,C733431623,801739.09,956547.73
170,CASH_OUT,423254.99,C860715417,0.0,0.0,C1753164174,1827514.16,2250769.14
170,CASH_OUT,220229.53,C384906103,0.0,0.0,C947346421,1.459109633E7,1.481132587E7
