step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
261,PAYMENT,10061.07,C2078268911,529.0,0.0,M1850505998,0.0,0.0
261,CASH_OUT,92020.53,C900571085,0.0,0.0,C1324984511,3022417.61,3114438.14
261,PAYMENT,13365.5,C538841597,40099.77,26734.27,M631996596,0.0,0.0
261,PAYMENT,5593.95,C674368260,26734.27,21140.32,M1907931704,0.0,0.0
261,CASH_OUT,5078.82,C570022923,240854.0,235775.18,C973050100,1814888.68,1819967.5
261,CASH_OUT,253164.5,C1487816352,235775.18,0.0,C852552141,819438.08,886496.58
261,CASH_OUT,43179.16,C1627131034,0.0,0.0,C1037257654,121885.65,165064.81
261,CASH_IN,97586.49,C1411453895,51413.0,148999.49,C1624396191,0.0,0.0
261,PAYMENT,3977.12,C995595468,21906.0,17928.88,M300310080,0.0,0.0
261,PAYMENT,5516.64,C301860922,17727.0,12210.36,M1302175465,0.0,0.0
261,CASH_OUT,59955.63,C1248559714,12210.36,0.0,C880096255,126286.79,186242.43
261,CASH_OUT,244796.92,C1776079153,2014.0,0.0,C988836106,0.0,244796.92
261,TRANSFER,471336.57,C142785512,50786.0,0.0,C820520124,0.0,471336.57
261,CASH_IN,147552.42,C701044423,18911.0,166463.42,C935969118,33302.48,0.0
261,PAYMENT,12163.76,C1059580174,11696.0,0.0,M821944962,0.0,0.0
261,PAYMENT,10135.64,C758993550,110068.0,99932.36,M1285752512,0.0,0.0
261,PAYMENT,15594.99,C1288497603,3440.0,0.0,M326822698,0.0,0.0
261,CASH_OUT,67879.78,C1410626281,8483.0,0.0,C1237174271,526737.53,594617.31
261,PAYMENT,4149.7,C5630893,11629.0,7479.3,M729581717,0.0,0.0
261,CASH_OUT,215468.94,C1864045931,7479.3,0.0,C2076687196,1804264.61,2019733.55
261,CASH_OUT,24377.34,C409968987,20766.0,0.0,C847107075,0.0,24377.34
261,PAYMENT,8983.58,C927480184,6825.0,0.0,M2025797412,0.0,0.0
261,CASH_OUT,163838.63,C1337509141,61210.0,0.0,C94608816,1858743.32,2022581.95
261,PAYMENT,10839.28,C708362432,21257.0,10417.72,M1548599046,0.0,0.0
261,PAYMENT,8314.33,C1573565884,10417.72,2103.39,M1414742909,0.0,0.0
261,CASH_OUT,90703.01,C948025335,20239.0,0.0,C895180618,0.0,90703.01
261,PAYMENT,2417.34,C159750766,30273.0,27855.66,M32156087,0.0,0.0
261,CASH_OUT,117130.42,C1332496988,27855.66,0.0,C1849612847,914896.74,1032027.16
261,PAYMENT,11785.32,C2061984329,125231.0,113445.68,M1603588497,0.0,0.0
261,CASH_OUT,148965.58,C191327429,181.0,0.0,C651009308,0.0,148965.58
261,CASH_OUT,205778.6,C653588831,0.0,0.0,C818516309,1959109.78,2164888.38
261,CASH_IN,112987.68,C1732260578,162732.0,275719.68,C2108989774,884684.52,771696.84
261,CASH_OUT,200140.26,C513896386,275719.68,75579.42,C1093243457,7764961.99,7965102.25
261,PAYMENT,11311.99,C781199767,21772.0,10460.01,M800002843,0.0,0.0
261,PAYMENT,926.96,C1235149614,10953.0,10026.04,M1549032096,0.0,0.0
261,CASH_IN,82522.17,C1931938860,2190.0,84712.17,C1589291247,255518.76,172996.59
261,CASH_OUT,48343.06,C608698008,52421.0,4077.94,C1510918709,0.0,48343.06
261,TRANSFER,350449.51,C452914861,4077.94,0.0,C1704187000,745688.49,1096137.99
261,TRANSFER,1545053.31,C1677800968,0.0,0.0,C2124100345,3137410.14,4682463.45
261,TRANSFER,610036.56,C789319880,0.0,0.0,C931082969,1.007874336E7,1.068877991E7
261,TRANSFER,393842.88,C883202191,0.0,0.0,C737969496,3021097.96,3414940.84
261,TRANSFER,555239.69,C1505923888,0.0,0.0,C1387253902,4932551.3,5487790.98
261,TRANSFER,205664.96,C874401654,0.0,0.0,C1387665019,318538.15,524203.12
261,TRANSFER,248453.21,C2077983597,0.0,0.0,C893254900,417614.99,666068.2
261,TRANSFER,227643.76,C1806376057,0.0,0.0,C1486701305,370330.16,597973.92
261,TRANSFER,654628.96,C641550639,0.0,0.0,C1490794049,4675133.2,5329762.16
261,TRANSFER,326723.75,C1612633953,0.0,0.0,C1373794241,381315.83,708039.58
261,TRANSFER,225483.64,C1207562468,0.0,0.0,C1076328331,960170.26,1185653.91
261,CASH_OUT,52008.05,C1946313910,151.0,0.0,C246867803,0.0,52008.05
261,CASH_OUT,150749.2,C951729960,9479.0,0.0,C1617243554,0.0,150749.2
261,CASH_OUT,63827.28,C780747393,0.0,0.0,C1272565422,577274.39,641101.67
261,PAYMENT,11089.43,C645921124,74757.0,63667.57,M1103040201,0.0,0.0
261,DEBIT,2464.53,C672475817,10124.0,7659.47,C443627826,504056.45,506520.98
261,TRANSFER,58905.76,C1282209888,7659.47,0.0,C111321211,251858.16,310763.92
261,CASH_OUT,125604.9,C352422992,3840.0,0.0,C1823436122,0.0,125604.9
261,PAYMENT,6704.99,C753992063,11404.0,4699.01,M758130218,0.0,0.0
261,PAYMENT,7166.32,C104096788,4699.01,0.0,M525208462,0.0,0.0
261,PAYMENT,8592.15,C990907361,290900.0,282307.85,M389901279,0.0,0.0
261,CASH_OUT,169476.43,C848079336,25727.0,0.0,C1571077374,0.0,169476.43
261,CASH_OUT,107146.05,C1576126028,0.0,0.0,C1004020081,923380.3,1030526.35
261,PAYMENT,2645.31,C1720025360,653.0,0.0,M446332300,0.0,0.0
261,CASH_OUT,36982.28,C1292784862,50166.0,13183.72,C1718495339,0.0,36982.28
261,PAYMENT,7657.25,C505297045,13183.72,5526.47,M1423550279,0.0,0.0
261,PAYMENT,4402.69,C493278797,204425.0,200022.31,M586275227,0.0,0.0
261,CASH_IN,10775.24,C1296340928,10213.0,20988.24,C491755412,240586.75,229811.5
261,PAYMENT,9072.74,C1421796016,20622.0,11549.26,M2134999764,0.0,0.0
261,PAYMENT,430.18,C1406185894,11549.26,11119.09,M977520267,0.0,0.0
261,CASH_IN,5856.43,C424351761,5284.0,11140.43,C1594596939,0.0,0.0
261,PAYMENT,9683.95,C1785687758,10313.0,629.05,M1013235620,0.0,0.0
261,CASH_IN,78180.97,C414667069,28157.0,106337.97,C1717730362,5666847.02,5588666.04
261,PAYMENT,1728.34,C1501387178,13333.0,11604.66,M1215645013,0.0,0.0
261,CASH_OUT,40373.97,C1375033952,113187.0,72813.03,C877567695,739997.79,780371.76
261,PAYMENT,5467.11,C1944700890,20501.0,15033.89,M1080713220,0.0,0.0
261,CASH_OUT,118307.06,C576178865,15033.89,0.0,C2126280245,201226.95,319534.01
261,CASH_IN,82233.35,C1493869249,498895.0,581128.35,C1944452895,742484.34,660251.0
261,CASH_IN,204484.01,C1684044077,46953.0,251437.01,C1621221554,4434897.23,4230413.22
261,PAYMENT,1152.26,C2006540261,71849.0,70696.74,M1804009957,0.0,0.0
261,TRANSFER,318652.68,C1729604350,21333.0,0.0,C890673014,1283917.56,1602570.25
261,CASH_OUT,294733.69,C14229024,20347.0,0.0,C1293407002,13875.04,308608.74
261,CASH_OUT,89660.16,C1031933865,97081.0,7420.84,C787544174,559938.85,649599.0
261,PAYMENT,1649.22,C1859758549,7420.84,5771.62,M876850858,0.0,0.0
261,PAYMENT,4842.37,C2091097628,130299.0,125456.63,M1366374758,0.0,0.0
261,CASH_OUT,266706.79,C1925559708,74477.0,0.0,C2128407568,0.0,266706.79
261,CASH_OUT,15673.44,C1541038992,10061.0,0.0,C1474055145,539418.44,555091.88
261,CASH_IN,44530.08,C996758921,40028.0,84558.08,C262884159,0.0,0.0
261,PAYMENT,1991.31,C1670111627,84558.08,82566.77,M1010684211,0.0,0.0
261,CASH_IN,46381.1,C888398791,22088.0,68469.1,C1064363366,2781602.21,2735221.11
261,PAYMENT,1723.21,C1162292685,299036.0,297312.79,M2046561111,0.0,0.0
261,PAYMENT,7054.47,C723183890,297312.79,290258.32,M14469741,0.0,0.0
261,PAYMENT,6962.41,C2081011454,68512.0,61549.59,M1706470555,0.0,0.0
261,CASH_OUT,127874.92,C429427526,9998.0,0.0,C1994642948,530082.86,657957.77
261,CASH_IN,20120.5,C2138154426,5089.0,25209.5,C105091190,187254.42,167133.93
261,PAYMENT,6040.49,C1325290220,299902.85,293862.37,M519896540,0.0,0.0
261,PAYMENT,4001.51,C1138989054,293862.37,289860.85,M827176525,0.0,0.0
261,CASH_OUT,137253.6,C228129722,5004.0,0.0,C798666449,0.0,137253.6
261,PAYMENT,10204.66,C1962145224,1288.0,0.0,M737198287,0.0,0.0
261,CASH_OUT,54983.14,C2010375202,20136.0,0.0,C2059517242,204501.56,259484.7
261,PAYMENT,3929.68,C1029477449,16117.0,12187.32,M1458207647,0.0,0.0
261,PAYMENT,5918.35,C2075209525,31305.0,25386.65,M321595029,0.0,0.0
261,CASH_OUT,129731.26,C1242302053,29959.0,0.0,C1846263010,0.0,129731.26
261,PAYMENT,9454.74,C1337961016,13206.0,3751.26,M1032187005,0.0,0.0
261,PAYMENT,2187.81,C2010147542,3751.26,1563.45,M1564829031,0.0,0.0
261,CASH_IN,76013.72,C1863969437,165120.0,241133.72,C2006601421,74418.76,0.0
261,PAYMENT,623.47,C2104300807,10077.0,9453.53,M161433254,0.0,0.0
261,TRANSFER,129145.67,C2139583663,5052.0,0.0,C419534801,0.0,129145.67
261,CASH_OUT,293782.38,C1609184448,309810.0,16027.62,C579845543,4401073.25,4694855.64
261,PAYMENT,7193.95,C1245370135,16027.62,8833.67,M962790016,0.0,0.0
261,PAYMENT,2613.82,C2097494799,8833.67,6219.85,M1934056539,0.0,0.0
261,PAYMENT,20438.12,C1868148555,6219.85,0.0,M1318049570,0.0,0.0
261,PAYMENT,5444.17,C445010111,0.0,0.0,M1407873584,0.0,0.0
261,PAYMENT,9370.17,C1902886129,23101.0,13730.83,M1106068281,0.0,0.0
261,PAYMENT,5583.23,C1774645267,13730.83,8147.59,M1765631209,0.0,0.0
261,PAYMENT,15047.43,C1167970571,1515.0,0.0,M1858250250,0.0,0.0
261,CASH_OUT,146967.68,C811242921,5575.0,0.0,C1148910516,0.0,146967.68
261,PAYMENT,16518.24,C851617127,35359.0,18840.76,M427569085,0.0,0.0
261,CASH_IN,63873.82,C1651845230,31580.0,95453.82,C1742012217,8878.69,0.0
261,PAYMENT,3931.09,C107355732,50026.0,46094.91,M556296802,0.0,0.0
261,PAYMENT,1633.22,C1506916413,46094.91,44461.69,M313318705,0.0,0.0
261,CASH_OUT,184160.41,C604960142,9913.0,0.0,C58227255,679607.71,863768.11
261,TRANSFER,196959.53,C1184362519,154.0,0.0,C131098372,126502.11,323461.64
261,PAYMENT,2917.56,C307472552,4694.0,1776.44,M1717746310,0.0,0.0
261,PAYMENT,1039.43,C898863425,16698.0,15658.57,M1291700396,0.0,0.0
261,PAYMENT,9351.17,C1130643315,21994.0,12642.83,M815864595,0.0,0.0
261,PAYMENT,7502.0,C420580831,12642.83,5140.84,M990617337,0.0,0.0
261,PAYMENT,6110.87,C1500950860,5140.84,0.0,M1639399666,0.0,0.0
261,CASH_OUT,210076.64,C1952274030,38248.0,0.0,C1057959457,142955.24,353031.88
261,CASH_OUT,97915.17,C323416650,0.0,0.0,C495054146,370563.04,468478.2
261,CASH_OUT,427097.0,C2136395199,0.0,0.0,C705829968,1.00944813E7,1.05215783E7
261,CASH_OUT,146564.15,C616407671,0.0,0.0,C1116769718,199566.46,346130.61
261,CASH_OUT,81826.31,C986541736,0.0,0.0,C27535868,1044575.11,1126401.43
261,CASH_OUT,54580.61,C515706649,0.0,0.0,C477176820,192582.23,247162.84
261,CASH_OUT,231352.25,C1464795716,0.0,0.0,C1656206021,6281940.16,6513292.42
261,CASH_OUT,122837.89,C505982144,0.0,0.0,C1542639489,197101.28,319939.17
261,CASH_OUT,166638.02,C1329674627,0.0,0.0,C470696196,497378.98,664017.0
261,CASH_OUT,13856.64,C963781301,0.0,0.0,C2066841260,156492.18,170348.82
261,CASH_OUT,306157.94,C377510653,0.0,0.0,C1684823854,1041679.87,1347837.81
261,CASH_OUT,65722.73,C1301654081,0.0,0.0,C1743677413,2347425.65,2413148.38
261,CASH_OUT,100560.77,C199106385,0.0,0.0,C513311566,1751337.95,1851898.72
261,CASH_OUT,322156.74,C588378901,0.0,0.0,C1564492026,7153626.45,7475783.19
261,CASH_OUT,29084.2,C936510008,0.0,0.0,C1055426080,137384.8,166469.0
261,CASH_OUT,228517.64,C1467310369,0.0,0.0,C1899617893,6448629.47,6677147.1
261,CASH_OUT,54523.15,C749393929,0.0,0.0,C1991274064,8929983.3,8984506.45
261,CASH_OUT,120151.43,C991186,0.0,0.0,C1558183613,2385460.78,2505612.21
261,CASH_OUT,108159.41,C661327401,0.0,0.0,C1794068152,1009107.93,1117267.33
261,CASH_OUT,201125.83,C1542135692,0.0,0.0,C2003775691,959888.15,1161013.99
261,CASH_OUT,469687.02,C561774184,0.0,0.0,C2130872679,6396364.96,6866051.98
261,CASH_OUT,103380.03,C1500677146,0.0,0.0,C1091224955,5428401.71,5531781.74
261,CASH_OUT,162376.22,C639091547,5548.0,0.0,C438619434,0.0,162376.22
261,CASH_IN,124740.9,C629391210,46260.0,171000.9,C823744169,505692.42,380951.52
261,PAYMENT,3191.83,C1542819084,34236.0,31044.17,M384471100,0.0,0.0
261,CASH_OUT,219313.16,C251630753,31044.17,0.0,C1784238221,506020.94,725334.1
261,PAYMENT,20635.73,C918491899,42034.0,21398.27,M1096119501,0.0,0.0
261,CASH_OUT,442987.96,C66877355,329050.0,0.0,C1232647954,262558.89,705546.85
261,PAYMENT,2474.38,C1909764585,0.0,0.0,M1068654050,0.0,0.0
261,CASH_OUT,34314.28,C1428927941,53918.0,19603.72,C1897595911,3482604.41,3623646.22
261,CASH_OUT,120220.79,C898290148,409.0,0.0,C1114707030,615524.95,735745.74
261,PAYMENT,591.98,C1627743557,236201.0,235609.02,M1291155914,0.0,0.0
261,PAYMENT,1850.7,C1148745740,420985.0,419134.3,M664704150,0.0,0.0
261,CASH_IN,38091.52,C1845228141,100183.0,138274.52,C1323383823,39792.18,1700.66
261,PAYMENT,12907.4,C178777393,85171.0,72263.6,M219696241,0.0,0.0
261,PAYMENT,1043.86,C1592873824,5.0,0.0,M1814805065,0.0,0.0
261,PAYMENT,1850.82,C1506811032,0.0,0.0,M375695383,0.0,0.0
261,PAYMENT,7272.03,C1113228264,15271.0,7998.97,M1938984984,0.0,0.0
261,PAYMENT,2498.12,C712992302,99819.0,97320.88,M434657126,0.0,0.0
261,PAYMENT,16269.42,C263963248,97320.88,81051.46,M1758368207,0.0,0.0
261,PAYMENT,3674.21,C961664238,6562.0,2887.79,M1658447813,0.0,0.0
261,CASH_OUT,246549.16,C857739692,10269.0,0.0,C950711216,992069.73,1238618.89
261,TRANSFER,283248.22,C805089006,91118.0,0.0,C781880742,423742.09,706990.31
261,PAYMENT,4971.06,C415103323,0.0,0.0,M897040966,0.0,0.0
261,CASH_IN,34471.62,C107546677,21699.0,56170.62,C789331960,0.0,0.0
261,PAYMENT,2768.26,C1277713864,56170.62,53402.36,M992481847,0.0,0.0
261,PAYMENT,13982.93,C809931494,53402.36,39419.43,M2116029563,0.0,0.0
261,PAYMENT,6393.81,C1885915242,39419.43,33025.62,M187356666,0.0,0.0
261,PAYMENT,24938.0,C260028379,33025.62,8087.62,M1908547995,0.0,0.0
261,PAYMENT,17648.53,C1205832785,8087.62,0.0,M445060181,0.0,0.0
261,PAYMENT,10025.27,C1756674481,0.0,0.0,M144348101,0.0,0.0
261,PAYMENT,2530.74,C857484163,0.0,0.0,M287028233,0.0,0.0
261,PAYMENT,14587.1,C1546649258,0.0,0.0,M16206417,0.0,0.0
261,PAYMENT,9725.13,C1382361599,0.0,0.0,M504521798,0.0,0.0
261,PAYMENT,11380.18,C1038812032,0.0,0.0,M125072302,0.0,0.0
261,PAYMENT,7252.47,C2082838638,0.0,0.0,M1897456632,0.0,0.0
261,PAYMENT,11461.38,C336202072,0.0,0.0,M818405748,0.0,0.0
261,PAYMENT,5662.75,C1626466794,0.0,0.0,M1455477039,0.0,0.0
261,PAYMENT,1433.19,C314851942,0.0,0.0,M487054603,0.0,0.0
261,PAYMENT,5032.16,C1926679032,0.0,0.0,M575616804,0.0,0.0
261,PAYMENT,36417.97,C304649849,0.0,0.0,M828698290,0.0,0.0
261,CASH_IN,18667.93,C1975089263,199218.0,217885.93,C59660634,494893.75,476225.82
261,PAYMENT,16962.57,C773101547,45736.0,28773.43,M2019120910,0.0,0.0
261,PAYMENT,1721.64,C1851664329,29777.0,28055.36,M1352286317,0.0,0.0
261,CASH_OUT,182360.63,C1522216538,28055.36,0.0,C1108728930,915695.26,1098055.89
261,PAYMENT,4789.46,C1751708452,5064.0,274.54,M1998053775,0.0,0.0
261,CASH_OUT,68019.75,C1963740712,66992.0,0.0,C487583705,1378836.27,1446856.02
261,PAYMENT,1386.38,C1992718125,0.0,0.0,M1503156994,0.0,0.0
261,CASH_OUT,49483.39,C298566183,100479.0,50995.61,C722778312,319391.9,368875.29
261,PAYMENT,7823.11,C111256376,4147.0,0.0,M1134285790,0.0,0.0
261,PAYMENT,6302.65,C1489027300,2598.0,0.0,M399899425,0.0,0.0
261,PAYMENT,16977.4,C484844160,23338.0,6360.6,M33429473,0.0,0.0
261,PAYMENT,6789.03,C1608982746,25846.0,19056.97,M1733547252,0.0,0.0
261,PAYMENT,8961.49,C1242306748,20493.0,11531.51,M993808131,0.0,0.0
261,PAYMENT,9901.0,C1572559182,12321.0,2420.0,M607572601,0.0,0.0
261,CASH_OUT,253968.41,C248899515,2420.0,0.0,C1539024073,841639.8,1095608.21
261,CASH_OUT,101060.79,C1464399157,0.0,0.0,C1198291178,223112.07,324172.86
261,CASH_OUT,188228.07,C1354676155,0.0,0.0,C226722554,929739.21,1117967.28
261,CASH_OUT,130326.87,C1116275407,0.0,0.0,C689149418,185049.37,315376.24
261,CASH_OUT,80103.1,C1673579802,0.0,0.0,C732659044,1468393.83,1548496.93
261,CASH_OUT,95423.64,C1941011722,0.0,0.0,C631508606,167660.32,263083.96
