step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
129,PAYMENT,2310.17,C1136992097,53477.0,51166.83,M1469207382,0.0,0.0
129,CASH_OUT,119773.16,C1402038693,84932.0,0.0,C140725940,534101.1,653874.26
129,CASH_OUT,58771.33,C2034690167,0.0,0.0,C1356972918,209830.74,268602.07
129,CASH_IN,95878.98,C303291945,38195.0,134073.98,C2117252269,4254517.68,4158638.7
129,PAYMENT,27339.77,C1474176990,134073.98,106734.22,M265990337,0.0,0.0
129,PAYMENT,4950.19,C1091695645,1364.0,0.0,M1308592256,0.0,0.0
129,PAYMENT,4219.22,C1807332918,13960.0,9740.78,M834621240,0.0,0.0
129,PAYMENT,1203.62,C2143351822,19748.0,18544.38,M1321912574,0.0,0.0
129,CASH_OUT,156170.39,C1759829783,92419.0,0.0,C702336321,33122.0,617630.98
129,CASH_IN,188235.14,C594119612,2720.0,190955.14,C453944271,0.0,0.0
129,CASH_IN,102940.35,C1534163803,39036.0,141976.35,C74122017,0.0,0.0
129,PAYMENT,2773.28,C1130681843,22589.0,19815.72,M230074095,0.0,0.0
129,CASH_OUT,14078.45,C1651370126,249952.0,235873.55,C704768602,0.0,14078.45
129,PAYMENT,11063.26,C848751675,856.0,0.0,M1463315671,0.0,0.0
129,PAYMENT,7208.56,C1870739713,144912.0,137703.44,M1655014887,0.0,0.0
129,CASH_IN,181510.32,C1742162620,227404.0,408914.32,C1531239198,214890.11,33379.8
129,CASH_OUT,312286.0,C1931336773,59500.0,0.0,C1598592549,1338245.93,1650531.93
129,CASH_OUT,81231.75,C355641878,21279.0,0.0,C847705835,2525667.73,2606899.49
129,CASH_OUT,61870.72,C1542889450,503588.0,441717.28,C1878194289,8890.1,70760.82
129,CASH_OUT,116808.82,C103398530,261.0,0.0,C1327630813,6430487.21,6547296.02
129,PAYMENT,18011.43,C457947126,0.0,0.0,M464116883,0.0,0.0
129,PAYMENT,2530.5,C1951340995,0.0,0.0,M1070163556,0.0,0.0
129,PAYMENT,16261.9,C2046526060,0.0,0.0,M753108100,0.0,0.0
129,PAYMENT,16646.18,C552468954,0.0,0.0,M1424009701,0.0,0.0
129,PAYMENT,10677.39,C1907206647,0.0,0.0,M1096471778,0.0,0.0
129,PAYMENT,22919.03,C292224450,0.0,0.0,M1083494795,0.0,0.0
129,PAYMENT,10341.97,C1558850175,0.0,0.0,M1258293444,0.0,0.0
129,PAYMENT,15537.5,C230848651,0.0,0.0,M1799157809,0.0,0.0
129,TRANSFER,905023.27,C1711841019,5703.0,0.0,C1829175028,139888.76,1044912.03
