step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
160,TRANSFER,1915501.89,C1188441148,10938.0,0.0,C1165107879,446137.04,2361638.94
160,PAYMENT,6615.02,C1019867817,0.0,0.0,M315852565,0.0,0.0
160,CASH_OUT,394600.77,C1502203321,30137.0,0.0,C1313369755,0.0,394600.77
160,CASH_OUT,240766.43,C776580472,63709.0,0.0,C562963444,190624.26,431390.69
160,PAYMENT,18022.04,C1575378594,3416.0,0.0,M1392742692,0.0,0.0
160,PAYMENT,24135.44,C1148222200,0.0,0.0,M665922915,0.0,0.0
160,CASH_OUT,77287.66,C1221424249,26819.0,0.0,C1009091602,333017.36,410305.02
160,PAYMENT,15504.44,C117982965,0.0,0.0,M1088969558,0.0,0.0
160,CASH_OUT,321272.05,C1855765533,149558.0,0.0,C405792831,1.346492468E7,1.410450827E7
160,CASH_OUT,204656.48,C1305572107,288513.0,83856.52,C199581806,340012.51,544668.99
160,PAYMENT,5592.29,C145472426,83856.52,78264.23,M177959682,0.0,0.0
160,CASH_IN,232258.93,C32262680,50779.0,283037.93,C1956477953,3735891.63,3503632.7
160,CASH_OUT,313385.16,C1206073349,41243.0,0.0,C760904800,0.0,313385.16
160,CASH_OUT,96815.9,C306232760,6081.0,0.0,C47455981,0.0,96815.9
160,CASH_OUT,179861.02,C1125310353,8048.0,0.0,C2052679979,11068.22,190929.24
160,PAYMENT,18018.02,C541974881,0.0,0.0,M2125514365,0.0,0.0
160,CASH_OUT,108607.97,C1762269550,20261.0,0.0,C856682637,290323.43,398931.4
160,PAYMENT,29302.48,C1009888649,39733.0,10430.52,M1941443975,0.0,0.0
160,CASH_OUT,80138.51,C197375651,2193.0,0.0,C26191353,2110757.84,2190896.35
160,CASH_OUT,233787.51,C842731484,30661.0,0.0,C893953614,4101564.96,4335352.47
160,PAYMENT,16475.9,C56074743,0.0,0.0,M821069879,0.0,0.0
160,PAYMENT,25451.8,C638604836,0.0,0.0,M1279256789,0.0,0.0
160,CASH_IN,35385.71,C1918480572,18920.0,54305.71,C1950473600,0.0,0.0
160,CASH_OUT,351331.02,C1180446704,60336.0,0.0,C592532406,84058.04,435389.06
160,CASH_OUT,57497.25,C1658450025,183.0,0.0,C882111465,989897.13,1047394.37
160,CASH_OUT,65617.23,C1368638887,430343.0,364725.77,C1088527068,472251.07,537868.3
160,PAYMENT,28557.22,C1852851065,30565.0,2007.78,M1240777448,0.0,0.0
160,CASH_OUT,80911.17,C1677932807,15212.0,0.0,C19082266,377315.04,458226.21
160,PAYMENT,34375.79,C728921821,5401.0,0.0,M1207272257,0.0,0.0
160,PAYMENT,16130.08,C679078613,152983.0,136852.92,M1439639004,0.0,0.0
160,PAYMENT,16207.55,C1832088870,53236.0,37028.45,M104275018,0.0,0.0
160,PAYMENT,7530.29,C1644126491,11774.0,4243.71,M1295141181,0.0,0.0
160,CASH_OUT,131916.17,C996057080,200167.0,68250.83,C236776836,168544.06,300460.23
160,PAYMENT,5095.98,C95752597,2141.0,0.0,M534269825,0.0,0.0
160,CASH_IN,186240.5,C1081906918,95276.0,281516.5,C1743391776,352623.12,166382.63
160,TRANSFER,1032016.01,C261255246,4074.0,0.0,C1369890094,143463.36,1175479.37
160,CASH_IN,143578.21,C579264912,129394.0,272972.21,C954047943,573905.75,430327.54
160,PAYMENT,43395.1,C2147423750,1149.0,0.0,M1527805113,0.0,0.0
160,CASH_IN,257154.74,C1193045909,21470.0,278624.74,C328987252,0.0,0.0
160,TRANSFER,143416.88,C1375964295,24387.0,0.0,C1370345175,3510.43,146927.31
160,CASH_IN,313354.57,C1439432679,1085.0,314439.57,C1062263335,136741.82,0.0
160,CASH_OUT,250885.92,C229047387,314439.57,63553.65,C1079930466,3706100.84,3956986.77
160,CASH_IN,351936.94,C694307517,21465.0,373401.94,C1251297502,1854368.34,1502431.4
160,CASH_OUT,252298.32,C1741397154,105838.0,0.0,C740404424,996307.14,1248605.45
160,CASH_OUT,146682.9,C1844802427,224411.0,77728.1,C189838228,0.0,146682.9
160,TRANSFER,675501.38,C1460342458,77728.1,0.0,C1308548424,1750715.25,2426216.63
160,CASH_OUT,182082.28,C1812435268,11315.0,0.0,C1627235658,0.0,182082.28
160,CASH_IN,248213.79,C1469202154,2029.0,250242.79,C228660481,0.0,0.0
160,CASH_OUT,140413.18,C297460168,832.0,0.0,C2001277548,2817559.02,2957972.21
160,CASH_IN,252775.69,C516641691,42279.0,295054.69,C1131128312,0.0,0.0
160,PAYMENT,17707.45,C1310096567,1258.0,0.0,M137719537,0.0,0.0
160,CASH_OUT,246951.23,C1321691806,189998.0,0.0,C829810761,1743003.83,1989955.06
160,CASH_IN,372923.52,C173322070,99222.0,472145.52,C125944965,0.0,0.0
160,PAYMENT,39813.13,C2010814831,93907.0,54093.87,M1421554563,0.0,0.0
160,TRANSFER,419091.19,C568143888,107209.0,0.0,C507696410,0.0,419091.19
160,PAYMENT,9048.21,C240915810,8003.0,0.0,M770630695,0.0,0.0
160,PAYMENT,14821.38,C541392178,0.0,0.0,M1750144154,0.0,0.0
160,PAYMENT,36874.36,C105442295,5134.0,0.0,M1549658309,0.0,0.0
160,PAYMENT,9467.13,C1542923025,558.0,0.0,M1004673329,0.0,0.0
160,DEBIT,800.04,C2050247401,1452.0,651.96,C1315378774,2301538.08,2302338.13
160,CASH_OUT,109753.35,C1235001002,14703.0,0.0,C1542109238,407341.02,517094.37
160,PAYMENT,9466.59,C730972963,10233.0,766.41,M1146097,0.0,0.0
160,CASH_OUT,259975.07,C1487539480,10007.0,0.0,C158809706,1036871.87,1296846.94
160,PAYMENT,11047.59,C1978573161,0.0,0.0,M1355021356,0.0,0.0
160,CASH_IN,309169.18,C1530848305,6075.0,315244.18,C352761074,703677.11,394507.93
160,CASH_OUT,352270.15,C1408561283,19857.0,0.0,C312425594,19433.82,371703.97
160,CASH_IN,31491.73,C1393682045,5271.0,36762.73,C532348493,452207.05,420715.32
160,PAYMENT,893.21,C486294191,200529.0,199635.79,M818885229,0.0,0.0
160,CASH_IN,132248.44,C1154198559,199635.79,331884.23,C1885411730,223961.85,91713.4
160,CASH_IN,252680.6,C414550261,331884.23,584564.83,C537724917,521551.31,268870.71
160,CASH_IN,45283.73,C1721915510,584564.83,629848.56,C1680929442,91187.5,45903.77
160,CASH_IN,111020.89,C800539285,629848.56,740869.45,C677732699,434085.39,323064.5
160,CASH_IN,194712.95,C906340392,740869.45,935582.4,C1407948022,328430.99,133718.04
160,CASH_IN,191704.38,C37973053,935582.4,1127286.78,C2015493892,242283.58,50579.2
160,CASH_IN,159061.12,C1993795051,1127286.78,1286347.89,C1775951327,366430.09,207368.97
160,CASH_IN,169817.98,C1667281486,1286347.89,1456165.87,C116363521,1846588.81,1676770.83
160,CASH_IN,303941.3,C2025784034,1456165.87,1760107.17,C927879837,871696.03,567754.73
160,CASH_IN,207017.71,C1636084556,1760107.17,1967124.88,C2124094148,456711.75,258496.6
160,CASH_IN,266906.5,C540861226,1967124.88,2234031.38,C810983830,2265597.84,1998691.33
160,CASH_IN,16432.58,C1177081761,2234031.38,2250463.97,C890243271,89302.71,265998.44
160,CASH_IN,16598.83,C1174435220,2250463.97,2267062.8,C803167505,69245.42,52646.59
160,CASH_IN,44694.92,C43673811,2267062.8,2311757.72,C1863031665,2663196.0,2618501.09
160,CASH_IN,174631.04,C1165557273,2311757.72,2486388.75,C1942139940,1518471.03,1343840.0
160,CASH_IN,84706.31,C1164815560,2486388.75,2571095.07,C253724958,245078.81,160372.5
160,CASH_IN,145527.63,C8707364,2571095.07,2716622.7,C638674921,156037.56,10509.93
160,CASH_IN,263416.13,C1367994647,2716622.7,2980038.83,C670186289,289526.6,26110.47
160,CASH_IN,174530.24,C1392727305,2980038.83,3154569.07,C105223833,6296533.22,6122002.99
160,CASH_IN,140920.58,C2065737805,3154569.07,3295489.64,C142729424,1244959.42,1104038.84
160,CASH_IN,87807.55,C1567303664,3295489.64,3383297.2,C150245889,2949148.14,2861340.58
160,CASH_IN,80830.38,C1140093955,3383297.2,3464127.58,C649859852,4459225.82,4378395.44
160,CASH_IN,23108.33,C177654377,3464127.58,3487235.91,C1732354813,633068.04,609959.71
160,CASH_IN,163430.79,C1946843574,3487235.91,3650666.7,C492918152,391115.82,227685.03
160,CASH_IN,91303.03,C1893368928,3650666.7,3741969.73,C1050160130,97866.61,6563.58
160,CASH_IN,158171.35,C275685908,3741969.73,3900141.09,C1560104856,440091.49,281920.14
160,CASH_IN,198418.19,C748152818,3900141.09,4098559.27,C726048985,473667.14,275248.95
160,CASH_IN,204860.09,C192408607,4098559.27,4303419.36,C1297879685,1083591.49,878731.4
160,CASH_IN,121331.45,C799707285,4303419.36,4424750.81,C2048690594,2422038.32,2300706.87
160,CASH_IN,3026.53,C1253173622,4424750.81,4427777.35,C194399150,510623.37,507596.83
160,CASH_IN,374661.07,C1502232485,4427777.35,4802438.42,C971357464,2332874.07,1958213.0
160,CASH_IN,220411.07,C1831413663,4802438.42,5022849.49,C1966863325,398761.62,178350.55
160,CASH_IN,46686.2,C377240727,5022849.49,5069535.69,C1768641212,1.322007352E7,1.317338732E7
160,CASH_IN,41474.48,C1396940151,5069535.69,5111010.17,C1580575507,229272.97,187798.49
160,CASH_IN,106325.15,C1539106733,5111010.17,5217335.32,C795031831,274356.86,168031.71
160,CASH_IN,329041.53,C2139956890,5217335.32,5546376.85,C577837230,974397.13,645355.6
160,CASH_IN,52509.96,C149042552,5546376.85,5598886.81,C1424498078,356925.85,304415.89
160,CASH_IN,180534.0,C1199941942,5598886.81,5779420.81,C1406766038,283375.31,102841.31
160,CASH_IN,221046.45,C2075701220,5779420.81,6000467.27,C1097195832,1.634311393E7,1.612206748E7
160,CASH_IN,47158.24,C1830289407,6000467.27,6047625.51,C463413625,1343136.89,1295978.65
160,CASH_IN,15917.65,C1959222992,6047625.51,6063543.16,C1799643277,508524.74,492607.09
160,CASH_IN,73114.16,C509707623,6063543.16,6136657.32,C1410095154,640742.65,567628.5
160,CASH_IN,67188.11,C546885312,6136657.32,6203845.42,C528059845,161151.2,93963.09
160,CASH_IN,103909.35,C1914840363,6203845.42,6307754.77,C941608670,205085.08,101175.73
160,CASH_IN,384578.82,C1012778081,6307754.77,6692333.59,C939963975,856406.6,657009.21
160,CASH_IN,395874.84,C772092976,6692333.59,7088208.44,C1323040398,408552.99,12678.15
160,CASH_IN,507740.9,C1208816126,7088208.44,7595949.33,C416649323,3705632.2,3197891.3
160,CASH_IN,84735.61,C728071849,7595949.33,7680684.95,C329731901,658343.09,573607.48
160,CASH_IN,320688.2,C2043271528,7680684.95,8001373.15,C2093563024,506268.99,185580.79
160,CASH_IN,680449.33,C2120926933,8001373.15,8681822.48,C454263005,2914778.89,2234329.55
160,CASH_IN,208030.48,C1581820423,8681822.48,8889852.96,C1976697,497232.79,289202.31
160,CASH_IN,72158.56,C1582831441,8889852.96,8962011.52,C878237058,1780054.19,1707895.63
160,CASH_IN,143905.02,C1768785771,8962011.52,9105916.54,C2072682147,869197.45,725292.43
160,CASH_IN,52089.19,C1092204797,9105916.54,9158005.73,C269934012,338215.77,286126.58
160,CASH_IN,28488.65,C1520056907,9158005.73,9186494.38,C979647643,335109.34,306620.69
160,CASH_IN,10786.75,C1155947734,9186494.38,9197281.12,C197310729,3126810.74,3116023.99
160,CASH_IN,84717.53,C1102437886,9197281.12,9281998.66,C1487683616,389492.52,304774.99
160,CASH_IN,155749.72,C1307007845,9281998.66,9437748.37,C295922423,4628665.35,4472915.64
160,CASH_IN,178338.31,C1185179888,9437748.37,9616086.69,C748586093,1706548.46,1528210.14
160,CASH_IN,158638.33,C819108894,9616086.69,9774725.02,C1846277940,3404864.37,3246226.04
160,CASH_IN,22813.55,C1600650711,9774725.02,9797538.57,C1635495896,1.492174784E7,1.504732563E7
160,CASH_IN,183319.35,C682408237,9797538.57,9980857.92,C800039670,423111.68,239792.32
160,CASH_IN,105213.96,C1303029536,9980857.92,1.008607188E7,C1884639700,391835.65,286621.69
160,CASH_IN,286029.36,C1773990119,1.008607188E7,1.037210124E7,C2028021349,1.184635849E7,1.156032913E7
160,CASH_IN,127124.74,C156578114,1.037210124E7,1.049922598E7,C2094809623,163807.1,36682.36
160,CASH_IN,122975.68,C1157465236,1.049922598E7,1.062220167E7,C1984408753,1987586.57,1864610.89
160,CASH_IN,295757.14,C1551280268,1.062220167E7,1.09179588E7,C948476144,2223107.82,1927350.68
160,CASH_IN,188896.43,C1388527661,1.09179588E7,1.110685523E7,C1427068633,2950524.69,2761628.27
160,CASH_IN,261122.83,C1924969494,1.110685523E7,1.136797806E7,C957529887,1752638.93,1491516.1
160,CASH_IN,159996.43,C1515018225,1.136797806E7,1.152797448E7,C347759616,3872385.04,3688317.92
160,CASH_IN,12266.61,C857126652,1.152797448E7,1.154024109E7,C732883060,188852.75,176586.15
160,CASH_IN,142383.63,C2073840283,173004.0,315387.63,C712523549,2736929.3,2594545.67
160,CASH_OUT,295471.58,C1821855226,2291.0,0.0,C959432622,2299207.43,2594679.01
160,CASH_IN,313399.62,C1557495110,5557.0,318956.62,C1268653113,2266959.51,1953559.89
160,CASH_OUT,165752.01,C1517453686,1572.0,0.0,C649344874,0.0,165752.01
160,DEBIT,14082.59,C1134809137,0.0,0.0,C251412944,506436.68,371017.16
160,CASH_OUT,114979.15,C353221922,199833.0,84853.85,C1137592921,27781.91,142761.06
160,PAYMENT,5517.12,C1657130376,23510.0,17992.88,M745707927,0.0,0.0
160,TRANSFER,1435802.37,C1896736368,12493.0,0.0,C1665672276,908719.33,2344521.7
160,PAYMENT,12367.75,C160539102,11396.0,0.0,M1173652713,0.0,0.0
160,CASH_IN,203622.45,C2113012705,0.0,203622.45,C831670134,568137.34,364514.89
160,CASH_IN,34752.61,C1674728521,203622.45,238375.06,C418006045,984211.52,949458.91
160,CASH_IN,269984.57,C1741264572,238375.06,508359.64,C1561311029,3657975.4,3387990.83
160,CASH_IN,230421.42,C108762464,508359.64,738781.05,C2089313881,303858.56,73437.15
160,CASH_IN,361921.37,C1803248453,738781.05,1100702.42,C392620926,400470.16,38548.79
160,CASH_IN,283930.57,C452592255,1100702.42,1384632.99,C1060951315,4215532.43,4113174.93
160,CASH_IN,197414.82,C825039850,1384632.99,1582047.81,C1524675682,2625451.79,2428036.97
160,CASH_IN,119286.43,C1806129210,1582047.81,1701334.25,C928572297,124595.23,5308.79
160,CASH_IN,400382.23,C1534492480,1701334.25,2101716.47,C332883609,2183557.19,1783174.96
160,CASH_IN,151337.79,C299202475,2101716.47,2253054.27,C1089224960,3797871.96,3646534.17
160,CASH_IN,150184.54,C1216273456,2253054.27,2403238.81,C17114080,749463.44,599278.9
160,CASH_IN,13617.05,C424225677,2403238.81,2416855.86,C1199694579,432266.3,418649.25
160,CASH_IN,75430.79,C1907215259,2416855.86,2492286.65,C1772408423,174537.79,99107.01
160,CASH_IN,280898.48,C1275040298,2492286.65,2773185.13,C1349724985,3284512.77,3003614.29
160,CASH_IN,110766.58,C1969113145,2773185.13,2883951.72,C423692425,659486.0,404999.1
160,CASH_IN,138887.57,C630915164,2883951.72,3022839.28,C1960085106,883467.01,744579.44
160,CASH_IN,364263.96,C989193831,3022839.28,3387103.24,C1695901686,920153.03,555889.08
160,CASH_IN,90899.69,C229400017,3387103.24,3478002.93,C1985456617,255801.41,164901.72
160,CASH_IN,24519.4,C179622877,3478002.93,3502522.33,C1079580032,6563082.66,6538563.26
160,CASH_IN,96648.02,C2010168119,3502522.33,3599170.35,C1244199967,366264.4,269616.38
160,CASH_IN,145680.06,C1644408180,3599170.35,3744850.4,C1349342191,415702.55,270022.5
