step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
190,CASH_OUT,195794.87,C227036025,19175.0,0.0,C793844023,3262212.05,3458006.91
190,TRANSFER,603391.13,C2080239436,0.0,0.0,C337772977,4702988.69,5306379.82
190,DEBIT,609.56,C390835946,5126.0,4516.44,C1035320459,199666.47,200276.03
190,PAYMENT,5256.47,C1313736177,200364.0,195107.53,M22170818,0.0,0.0
190,PAYMENT,15070.07,C356598827,195107.53,180037.46,M1597478039,0.0,0.0
190,PAYMENT,20255.02,C1642619661,10969.0,0.0,M1917781934,0.0,0.0
190,PAYMENT,3266.04,C1840276944,23151.0,19884.96,M239130589,0.0,0.0
190,CASH_IN,14489.01,C747777299,14971.0,29460.01,C1009030300,278851.83,264362.82
190,PAYMENT,11303.86,C644492632,9238.0,0.0,M1209680544,0.0,0.0
190,TRANSFER,341341.35,C1089243713,0.0,0.0,C1344569989,591714.22,933055.57
190,PAYMENT,7418.58,C2108411386,61485.0,54066.42,M173817850,0.0,0.0
190,PAYMENT,9009.88,C281637715,20707.0,11697.12,M877878665,0.0,0.0
190,CASH_IN,108760.05,C389321444,16037.0,124797.05,C2100133408,189616.54,80856.49
190,CASH_OUT,21676.55,C2088557591,91714.0,70037.45,C544715245,0.0,21676.55
190,CASH_IN,377021.85,C670333728,37573.0,414594.85,C2128569037,94675.05,0.0
190,PAYMENT,1343.64,C157668674,694099.0,692755.36,M980796728,0.0,0.0
190,PAYMENT,1303.17,C552806917,692755.36,691452.19,M609904704,0.0,0.0
190,PAYMENT,1198.14,C62023244,691452.19,690254.04,M402276103,0.0,0.0
190,CASH_IN,28351.69,C778083583,21533.0,49884.69,C1799445899,0.0,0.0
190,PAYMENT,13340.11,C1502603547,69192.0,55851.89,M1235186784,0.0,0.0
190,CASH_OUT,248634.16,C257652819,54280.0,0.0,C1835626350,113260.99,361895.15
190,PAYMENT,12676.78,C636914211,30705.0,18028.22,M60254391,0.0,0.0
190,TRANSFER,399088.83,C823730385,18028.22,0.0,C248937559,721076.52,1120165.35
190,PAYMENT,9365.06,C1708412737,20595.0,11229.94,M1952605770,0.0,0.0
190,CASH_OUT,112276.66,C1275624097,11229.94,0.0,C1927237093,187554.21,299830.87
190,CASH_OUT,174978.86,C879739993,0.0,0.0,C702059526,331549.11,506527.97
190,PAYMENT,13462.41,C1938172882,51398.0,37935.59,M338772958,0.0,0.0
190,PAYMENT,14725.07,C467926667,3227.0,0.0,M1373940898,0.0,0.0
190,PAYMENT,380.64,C327079415,51263.0,50882.36,M223304693,0.0,0.0
190,PAYMENT,3777.3,C165477233,50882.36,47105.06,M2108278612,0.0,0.0
190,PAYMENT,9259.44,C404579451,47105.06,37845.62,M1870271614,0.0,0.0
190,PAYMENT,10124.67,C26439059,37845.62,27720.95,M850626962,0.0,0.0
190,PAYMENT,4146.66,C1107168515,27720.95,23574.3,M2123905190,0.0,0.0
190,PAYMENT,11419.54,C1685925139,23574.3,12154.75,M1244452631,0.0,0.0
190,PAYMENT,16136.77,C2064342340,12154.75,0.0,M1147737995,0.0,0.0
190,PAYMENT,17272.0,C1232187296,0.0,0.0,M1707691510,0.0,0.0
190,PAYMENT,14260.77,C1149881718,0.0,0.0,M1221615395,0.0,0.0
190,PAYMENT,4951.7,C211346742,0.0,0.0,M596750254,0.0,0.0
190,PAYMENT,486.95,C695809239,0.0,0.0,M1662672796,0.0,0.0
190,PAYMENT,764.99,C685815708,0.0,0.0,M111313393,0.0,0.0
