step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
98,TRANSFER,8055.06,C1421921119,8055.06,0.0,C133340407,0.0,0.0
98,CASH_OUT,8055.06,C1544350298,8055.06,0.0,C912405348,0.0,8055.06
98,TRANSFER,63624.08,C1872359745,63624.08,0.0,C1089130504,0.0,0.0
98,CASH_OUT,63624.08,C431038121,63624.08,0.0,C1925188324,0.0,63624.08
98,TRANSFER,1155819.58,C1274651891,1155819.58,0.0,C2045107453,0.0,0.0
98,CASH_OUT,1155819.58,C1889323500,1155819.58,0.0,C846511826,0.0,1155819.58
98,TRANSFER,427405.08,C1353657671,427405.08,0.0,C956901713,0.0,0.0
98,CASH_OUT,427405.08,C1106916781,427405.08,0.0,C583506611,0.0,427405.08
98,TRANSFER,2394623.8,C1201856349,2394623.8,0.0,C1778006925,0.0,0.0
98,CASH_OUT,2394623.8,C1374141932,2394623.8,0.0,C2044636303,4678162.27,7072786.07
98,TRANSFER,1273674.05,C2014013314,1273674.05,0.0,C315419844,0.0,0.0
98,CASH_OUT,1273674.05,C1758225011,1273674.05,0.0,C59790487,0.0,1273674.05
98,TRANSFER,1122508.34,C1836246597,1122508.34,0.0,C960827392,0.0,0.0
98,CASH_OUT,1122508.34,C502991223,1122508.34,0.0,C2005952436,816132.63,1938640.97
