step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
589,PAYMENT,32343.58,C2107628681,1395.0,0.0,M73828020,0.0,0.0
589,TRANSFER,567708.19,C2005500084,10831.0,0.0,C1649588336,0.0,567708.19
589,PAYMENT,1225.0,C1927375547,11255.0,10030.0,M1897499642,0.0,0.0
589,CASH_IN,475013.18,C1098571851,223162.0,698175.18,C294756410,1123161.49,648148.31
589,CASH_OUT,273494.68,C2060276976,698175.18,424680.5,C840432269,1203398.97,1476893.65
589,TRANSFER,285756.1,C50351520,291.0,0.0,C1425168473,381441.62,667197.72
589,CASH_OUT,365683.11,C1048264801,143408.0,0.0,C772681684,2107359.31,2473042.43
589,DEBIT,1244.44,C672503645,14298.0,13053.56,C1103349384,400216.32,401460.75
589,PAYMENT,28587.96,C955202683,13053.56,0.0,M956504971,0.0,0.0
589,CASH_OUT,406012.07,C1562328194,82300.0,0.0,C1065329270,2738768.34,3144780.41
589,CASH_OUT,137282.48,C1505031939,0.0,0.0,C1269217977,330992.54,468275.02
589,TRANSFER,972808.48,C418972842,113993.0,0.0,C1137856991,230583.2,1203391.68
589,CASH_IN,251238.1,C965184381,7054.0,258292.1,C2146320787,0.0,0.0
589,CASH_IN,523742.38,C492329955,50394.0,574136.38,C1944577131,637511.15,113768.77
589,TRANSFER,392751.4,C1663744932,99542.0,0.0,C1264413037,0.0,392751.4
589,CASH_OUT,172563.29,C866533183,152.0,0.0,C1087955840,1.9444209096E8,1.9461465425E8
589,CASH_IN,227373.81,C914327125,6655.0,234028.81,C1524038870,934908.26,707534.45
589,CASH_OUT,224539.86,C1764181050,234028.81,9488.95,C401121501,653309.06,877848.92
589,CASH_OUT,326779.57,C1608922401,124456.0,0.0,C483964107,0.0,326779.57
589,PAYMENT,22300.2,C1572582949,0.0,0.0,M389861097,0.0,0.0
589,CASH_IN,57178.82,C1156144800,2298.0,59476.82,C1667814006,0.0,0.0
589,CASH_OUT,194981.43,C709375009,24781.0,0.0,C1032783322,764.8,195746.23
589,CASH_OUT,93818.44,C709010899,0.0,0.0,C1163505068,361385.51,455203.95
589,CASH_OUT,405022.68,C1543007732,412693.0,7670.32,C463122864,7.096433654E7,7.136935922E7
589,TRANSFER,538453.81,C1433023605,21445.0,0.0,C1428871260,743830.96,1282284.77
589,TRANSFER,724794.27,C1055452101,7762.0,0.0,C1028694884,565752.03,1290546.29
589,CASH_OUT,259421.29,C29081078,21242.0,0.0,C666861549,61782.12,321203.41
589,CASH_IN,249670.09,C422897656,117.0,249787.09,C2126061983,1739558.63,1489888.54
589,CASH_IN,246812.95,C502903095,43855.0,290667.95,C1479229980,1245716.61,998903.66
589,CASH_IN,128210.5,C1681311630,165.0,128375.5,C765042490,1378607.34,1250396.84
589,PAYMENT,9845.84,C952013555,128375.5,118529.65,M101427515,0.0,0.0
589,PAYMENT,13235.0,C1454100676,118529.65,105294.65,M74676008,0.0,0.0
589,CASH_IN,375951.94,C1209422943,6296.0,382247.94,C925224809,0.0,0.0
589,PAYMENT,3522.8,C319778327,382247.94,378725.15,M464171330,0.0,0.0
589,CASH_OUT,263415.21,C83844904,9912.0,0.0,C865169311,564618.25,828033.45
589,CASH_OUT,68439.1,C2125547332,0.0,0.0,C285762604,92528.53,160967.63
589,CASH_OUT,235494.93,C380039507,244.0,0.0,C355187074,2170800.37,2406295.3
589,CASH_OUT,457342.68,C1481138788,43820.0,0.0,C1913638743,0.0,457342.68
589,TRANSFER,132395.7,C649097306,9436.0,0.0,C118228019,0.0,132395.7
589,CASH_OUT,85414.47,C1380944047,99323.0,13908.53,C248028595,1439806.48,1525220.94
589,CASH_IN,189570.62,C1942149084,20076.0,209646.62,C1184371538,1100132.82,910562.2
589,CASH_OUT,185364.78,C1753399426,209646.62,24281.84,C365973995,6981047.39,7166412.17
589,CASH_OUT,176841.13,C1301634920,24281.84,0.0,C1833805177,359643.42,536484.55
589,CASH_OUT,329381.04,C1664199813,13970.0,0.0,C1613223773,628513.69,957894.73
589,PAYMENT,19253.55,C103349000,0.0,0.0,M2026945951,0.0,0.0
589,PAYMENT,6396.45,C525980658,0.0,0.0,M1902248216,0.0,0.0
589,CASH_IN,183989.14,C810763399,53355.0,237344.14,C567345646,140156.92,0.0
589,CASH_IN,242310.18,C1293036375,42203.0,284513.18,C1410605728,0.0,0.0
589,CASH_OUT,264952.09,C470136644,9170.0,0.0,C1655374963,1085346.86,1350298.94
589,CASH_OUT,16652.58,C2098077469,205440.0,188787.42,C1419350058,412523.79,429176.38
589,CASH_OUT,55892.99,C1465064263,188787.42,132894.43,C1677168600,6371635.87,6427528.86
589,CASH_OUT,264281.65,C189254249,132894.43,0.0,C2138030415,1.128278607E7,1.154706772E7
589,CASH_OUT,149142.92,C986309586,216162.0,67019.08,C1982804574,0.0,149142.92
589,PAYMENT,18708.6,C926082401,67019.08,48310.49,M2020887011,0.0,0.0
589,PAYMENT,2546.94,C1297465350,48310.49,45763.55,M955743501,0.0,0.0
589,CASH_OUT,328559.78,C407805599,314.0,0.0,C2071534912,58444.55,387004.32
589,PAYMENT,51657.38,C1110439716,970800.0,919142.62,M555309719,0.0,0.0
589,CASH_OUT,256351.88,C570774700,17305.0,0.0,C809205187,6380455.52,6636807.4
589,CASH_IN,246132.09,C1322486805,30803.0,276935.09,C1376502544,0.0,0.0
589,CASH_OUT,212301.17,C1937294396,50322.0,0.0,C267513745,2340621.63,2552922.8
589,TRANSFER,962919.31,C408872230,0.0,0.0,C175599988,8753821.93,9716741.25
589,PAYMENT,25308.03,C284582581,14733.0,0.0,M1117251482,0.0,0.0
589,PAYMENT,11869.84,C2004587216,0.0,0.0,M409153228,0.0,0.0
589,PAYMENT,13169.18,C1000543423,0.0,0.0,M1190502246,0.0,0.0
589,CASH_OUT,199366.73,C1832085626,198.0,0.0,C1793350350,120766.82,320133.56
589,CASH_OUT,138226.49,C1822899806,3074.0,0.0,C1229864747,278833.75,417060.23
589,CASH_OUT,206761.75,C1325582745,977.0,0.0,C1706328072,0.0,206761.75
589,PAYMENT,28109.33,C635855280,31246.0,3136.67,M1398848974,0.0,0.0
589,CASH_OUT,205551.83,C115354674,20372.0,0.0,C989384175,124886.51,330438.34
589,CASH_IN,151755.78,C1610052470,19623.0,171378.78,C23885859,0.0,0.0
589,PAYMENT,23961.05,C1233806041,21016.0,0.0,M525478123,0.0,0.0
589,TRANSFER,1370400.64,C408163983,0.0,0.0,C1488069986,2758677.97,4129078.61
589,TRANSFER,366530.61,C2086447664,0.0,0.0,C1391529911,4927530.43,5294061.04
589,TRANSFER,310972.97,C1725596616,0.0,0.0,C749028068,3653798.67,3964771.63
589,TRANSFER,29405.58,C1749154440,0.0,0.0,C2106928074,56712.52,86118.11
589,TRANSFER,570369.4,C1352235361,0.0,0.0,C1793857839,1450467.77,2020837.17
589,TRANSFER,731783.69,C1233998952,0.0,0.0,C990601019,1543266.18,2275049.87
589,TRANSFER,315679.84,C2071681618,0.0,0.0,C442558273,878895.56,1194575.4
589,TRANSFER,52495.84,C478771727,0.0,0.0,C1886164550,253537.73,306033.56
589,PAYMENT,27354.45,C121657998,10774.0,0.0,M609054746,0.0,0.0
589,PAYMENT,20169.23,C88409867,0.0,0.0,M1380670638,0.0,0.0
589,PAYMENT,18906.31,C1465575491,0.0,0.0,M408461074,0.0,0.0
589,TRANSFER,856039.42,C889765453,33919.0,0.0,C2004196306,0.0,856039.42
589,PAYMENT,24827.11,C1034828398,995.0,0.0,M1035392360,0.0,0.0
589,PAYMENT,156.83,C1640660419,0.0,0.0,M289426785,0.0,0.0
589,PAYMENT,5509.13,C1567713389,0.0,0.0,M1458043710,0.0,0.0
589,PAYMENT,12079.22,C1685172292,0.0,0.0,M2009711342,0.0,0.0
589,PAYMENT,18900.9,C565051002,0.0,0.0,M1224396666,0.0,0.0
589,PAYMENT,3743.01,C559982001,0.0,0.0,M411553217,0.0,0.0
589,PAYMENT,4045.52,C1452785285,0.0,0.0,M1216883250,0.0,0.0
589,PAYMENT,7666.27,C1826706367,0.0,0.0,M1244553767,0.0,0.0
589,PAYMENT,4355.8,C564563569,0.0,0.0,M687270349,0.0,0.0
589,PAYMENT,14252.38,C1315711943,0.0,0.0,M2011842423,0.0,0.0
589,PAYMENT,7653.13,C1646955261,0.0,0.0,M2106437620,0.0,0.0
589,PAYMENT,15028.55,C1385206161,0.0,0.0,M2011473227,0.0,0.0
589,PAYMENT,26732.18,C1093645352,0.0,0.0,M1364021750,0.0,0.0
589,PAYMENT,15548.72,C117923415,0.0,0.0,M1436249345,0.0,0.0
589,PAYMENT,6134.92,C1772690798,0.0,0.0,M1380983628,0.0,0.0
589,PAYMENT,8912.48,C1872243383,0.0,0.0,M1642438944,0.0,0.0
589,PAYMENT,1656.36,C1074168351,0.0,0.0,M320836368,0.0,0.0
589,PAYMENT,3607.75,C1039982166,0.0,0.0,M1901888616,0.0,0.0
589,PAYMENT,5791.77,C96400934,0.0,0.0,M1784046226,0.0,0.0
589,PAYMENT,25927.31,C822284256,0.0,0.0,M610906732,0.0,0.0
589,PAYMENT,11158.76,C1452572417,0.0,0.0,M252695987,0.0,0.0
589,PAYMENT,5201.77,C643475389,0.0,0.0,M1338608584,0.0,0.0
589,PAYMENT,5451.76,C986749255,0.0,0.0,M1258516963,0.0,0.0
589,PAYMENT,3339.22,C949440625,0.0,0.0,M990059360,0.0,0.0
589,CASH_OUT,148172.7,C94877670,21622.0,0.0,C604386616,254496.73,402669.43
589,PAYMENT,32682.35,C1434145496,0.0,0.0,M1466799326,0.0,0.0
589,PAYMENT,1113.87,C1947622728,0.0,0.0,M1278663851,0.0,0.0
589,CASH_OUT,283407.45,C1129626215,1671.0,0.0,C1176469518,0.0,283407.45
589,CASH_OUT,181863.27,C2024021431,20450.0,0.0,C1071413470,2747150.56,2929013.83
589,CASH_OUT,153911.09,C1042215926,489567.0,335655.91,C938812516,1032420.23,1186331.33
589,CASH_OUT,161885.54,C1152885530,2753.0,0.0,C528138216,10210.2,172095.74
589,CASH_OUT,249575.01,C584494697,0.0,0.0,C1121655305,279608.95,529183.96
589,CASH_OUT,44704.72,C2059884065,69505.0,24800.28,C146404126,2308531.86,2353236.59
589,DEBIT,1277.12,C865045452,25531.0,24253.88,C1299283909,876819.35,878096.46
589,PAYMENT,9507.57,C1255756244,24253.88,14746.31,M1567296256,0.0,0.0
589,PAYMENT,39280.69,C501037266,22489.0,0.0,M1380122958,0.0,0.0
589,CASH_OUT,284380.83,C1377086755,0.0,0.0,C1263177908,4232071.77,4516452.6
589,PAYMENT,65130.19,C1470275434,51188.0,0.0,M592262884,0.0,0.0
589,TRANSFER,227668.37,C1766722226,6552.0,0.0,C1008976301,2945415.27,3173083.64
589,TRANSFER,389387.52,C516214541,56951.0,0.0,C1228684375,126447.68,515835.21
589,PAYMENT,10527.45,C1566460528,0.0,0.0,M401517865,0.0,0.0
589,CASH_OUT,19031.59,C250359548,29234.0,10202.41,C274200683,61284.75,80316.34
589,PAYMENT,1960.1,C921187467,10202.41,8242.31,M424338924,0.0,0.0
589,PAYMENT,2975.15,C2075100169,64668.0,61692.85,M341565006,0.0,0.0
589,TRANSFER,314404.81,C1675688994,21176.0,0.0,C76380404,0.0,314404.81
589,CASH_OUT,33371.94,C768278583,0.0,0.0,C763486379,761556.27,794928.22
589,CASH_IN,50619.43,C709056075,62035.0,112654.43,C1538483391,240972.31,190352.88
589,TRANSFER,1082474.54,C1612727523,32878.0,0.0,C298005938,4131361.47,5213836.01
589,PAYMENT,3246.76,C80061737,0.0,0.0,M1912260414,0.0,0.0
589,PAYMENT,32227.56,C1102788164,160621.0,128393.44,M601781708,0.0,0.0
589,CASH_IN,498147.05,C177954931,10642.0,508789.05,C69803222,0.0,0.0
589,CASH_OUT,67457.66,C771724585,19961.0,0.0,C1875552221,0.0,67457.66
589,PAYMENT,43165.95,C904830916,236984.0,193818.05,M1708059808,0.0,0.0
589,CASH_OUT,59214.7,C881299602,85443.0,26228.3,C112582871,354542.85,413757.55
589,CASH_OUT,539890.6,C1702895094,7481.0,0.0,C47273226,215043.9,754934.5
589,PAYMENT,42366.06,C609336893,21484.0,0.0,M912846331,0.0,0.0
589,CASH_OUT,280171.67,C1046735012,0.0,0.0,C719371160,4301922.03,4582093.7
589,CASH_OUT,243304.99,C1533619507,0.0,0.0,C2111396363,3181906.2,3425211.19
589,CASH_OUT,297664.21,C1927335989,0.0,0.0,C110931808,1428191.23,1725855.43
589,CASH_OUT,425524.44,C60222631,0.0,0.0,C1778801068,3.043451668E7,3.086004113E7
589,CASH_OUT,113237.29,C579928761,0.0,0.0,C1882128651,1702929.75,1816167.05
589,CASH_OUT,26404.56,C813937517,0.0,0.0,C1773900868,154212.45,180617.01
589,CASH_OUT,67278.19,C1150725168,0.0,0.0,C769557816,706436.18,773714.37
589,CASH_OUT,195569.73,C1892778961,0.0,0.0,C1006161278,290180.99,485750.72
589,CASH_OUT,184371.49,C1526715320,0.0,0.0,C1157330190,1538339.07,1722710.56
589,CASH_OUT,357115.93,C2009733969,0.0,0.0,C1644968256,1422168.65,1779284.58
589,CASH_OUT,233011.25,C114085556,0.0,0.0,C1242653860,285026.25,518037.5
589,CASH_OUT,321391.41,C2055150263,0.0,0.0,C891458459,753984.36,1075375.77
589,CASH_OUT,90580.38,C1589212243,0.0,0.0,C1812514214,6807676.93,6898257.31
589,CASH_OUT,100776.81,C2039413830,0.0,0.0,C494545896,5610277.85,5711054.66
589,CASH_OUT,314394.84,C433530029,0.0,0.0,C2115318784,485426.12,799820.95
589,CASH_OUT,59626.94,C461324162,0.0,0.0,C202120711,2481775.7,2541402.63
589,CASH_OUT,7886.32,C250731346,0.0,0.0,C358373813,116257.99,124144.32
589,CASH_OUT,261968.34,C9665030,0.0,0.0,C1369500595,752392.72,1014361.05
589,CASH_OUT,41042.01,C541181173,0.0,0.0,C1210577880,118557.45,159599.46
589,CASH_IN,182686.03,C1117809744,41062.0,223748.03,C1153089372,1613294.91,1430608.88
589,TRANSFER,1552603.15,C1108018205,223748.03,0.0,C563417165,1.001427612E7,1.156687927E7
589,PAYMENT,50737.36,C1507005712,19812.0,0.0,M2006652083,0.0,0.0
589,PAYMENT,265.01,C907556092,0.0,0.0,M749336014,0.0,0.0
589,PAYMENT,17973.87,C1829965534,51826.0,33852.13,M1115861315,0.0,0.0
589,CASH_OUT,378290.31,C902480443,10413.0,0.0,C1838527210,70061.74,448352.05
589,CASH_OUT,116656.31,C1445873353,20887.0,0.0,C1230155546,3275137.98,3391794.29
589,CASH_IN,111486.15,C599705388,48676.0,160162.15,C1387178123,0.0,0.0
589,PAYMENT,5241.52,C1952539313,404993.0,399751.48,M400145692,0.0,0.0
589,PAYMENT,30851.99,C862304544,22617.0,0.0,M1714921415,0.0,0.0
589,CASH_OUT,135631.94,C431758682,0.0,0.0,C2114646389,277385.46,413017.4
589,CASH_OUT,384790.92,C1138192940,525.0,0.0,C1881728351,129722.63,514513.55
589,TRANSFER,411481.26,C1566928847,637.0,0.0,C1388575501,162937.28,574418.54
589,CASH_IN,390217.15,C133564931,127.0,390344.15,C1746924747,73426.73,0.0
589,PAYMENT,3970.92,C2119799146,114089.0,110118.08,M115858079,0.0,0.0
589,PAYMENT,12112.29,C1888147099,17881.0,5768.71,M1201368219,0.0,0.0
589,PAYMENT,7650.22,C1971021763,5768.71,0.0,M1299212497,0.0,0.0
589,TRANSFER,524470.99,C1801994730,203228.0,0.0,C521704982,0.0,524470.99
