step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
106,TRANSFER,1409248.64,C1892918810,1409248.64,0.0,C2036490087,0.0,0.0
106,CASH_OUT,1409248.64,C1173095546,1409248.64,0.0,C1935607545,914125.46,2323374.1
106,TRANSFER,1486955.35,C1349419422,1486955.35,0.0,C199707137,0.0,0.0
106,CASH_OUT,1486955.35,C589092976,1486955.35,0.0,C1616444076,2163500.29,3650455.64
106,TRANSFER,71277.45,C1309821311,71277.45,0.0,C758876302,0.0,0.0
106,CASH_OUT,71277.45,C1811434259,71277.45,0.0,C1313595384,2698147.17,2769424.62
106,TRANSFER,8999.56,C634089015,8999.56,0.0,C1337869699,0.0,0.0
106,CASH_OUT,8999.56,C1634056682,8999.56,0.0,C46618914,0.0,8999.56
106,TRANSFER,2231.46,C170266679,2231.46,0.0,C2133347282,0.0,0.0
106,CASH_OUT,2231.46,C967408302,2231.46,0.0,C2089340835,0.0,2231.46
106,TRANSFER,186227.75,C1206714746,186227.75,0.0,C834535104,0.0,0.0
106,CASH_OUT,186227.75,C185289348,186227.75,0.0,C1709297334,225566.47,411794.22
106,TRANSFER,110457.0,C823542906,110457.0,0.0,C846435560,0.0,0.0
106,CASH_OUT,110457.0,C1134044412,110457.0,0.0,C1839671644,4174451.61,4284908.61
106,TRANSFER,219489.62,C1817254692,219489.62,0.0,C584837450,0.0,0.0
106,CASH_OUT,219489.62,C1029645120,219489.62,0.0,C1349213118,0.0,219489.62
106,TRANSFER,2708906.59,C1047102725,2708906.59,0.0,C231294595,0.0,0.0
106,CASH_OUT,2708906.59,C1012201968,2708906.59,0.0,C1330533329,0.0,2708906.59
