step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
254,PAYMENT,241.73,C441390393,4359.0,4117.27,M2108232139,0.0,0.0
254,CASH_OUT,92737.14,C1223830501,4117.27,0.0,C809296702,126953.04,219690.18
254,PAYMENT,807.53,C1769043594,11288.0,10480.47,M200626240,0.0,0.0
254,TRANSFER,780787.68,C1046949820,22757.0,0.0,C1268079198,0.0,780787.68
254,CASH_OUT,209018.61,C1729332886,349631.0,140612.39,C1561116495,101075.94,310094.55
254,PAYMENT,1581.85,C95713752,10904.0,9322.15,M618811006,0.0,0.0
254,CASH_IN,377789.92,C603950993,21116.0,398905.92,C682310601,1111313.88,733523.96
254,PAYMENT,14570.2,C1487112782,398905.92,384335.72,M2130661947,0.0,0.0
254,PAYMENT,6940.96,C1222140452,1103.0,0.0,M386199465,0.0,0.0
254,PAYMENT,5725.08,C1395779325,0.0,0.0,M1465587754,0.0,0.0
254,PAYMENT,14191.4,C1545177511,22048.0,7856.6,M1817205802,0.0,0.0
254,TRANSFER,135708.99,C805984595,7856.6,0.0,C2131627950,2450568.32,2586277.3
254,TRANSFER,1044043.4,C1067420976,37053.0,0.0,C757493898,6575060.13,7619103.53
254,PAYMENT,17206.99,C794521557,4547.0,0.0,M1090832152,0.0,0.0
254,CASH_IN,317251.96,C598134442,21135.0,338386.96,C1778166535,2184163.43,1866911.47
254,PAYMENT,9013.89,C1620259299,30410.0,21396.11,M348311523,0.0,0.0
254,PAYMENT,1903.8,C1939465828,331960.0,330056.2,M1717548323,0.0,0.0
254,PAYMENT,25124.65,C523934754,19097.0,0.0,M486925809,0.0,0.0
254,PAYMENT,9362.39,C563317491,5033.0,0.0,M981390671,0.0,0.0
254,PAYMENT,730.93,C1911457198,4067.0,3336.07,M1140247567,0.0,0.0
254,CASH_OUT,161541.86,C2123305616,3336.07,0.0,C1807113959,2624142.37,3407083.55
254,CASH_OUT,213337.43,C848786595,0.0,0.0,C1803516744,229611.56,442948.99
254,CASH_OUT,582001.59,C928072874,0.0,0.0,C583340511,2375926.05,2957927.65
254,CASH_OUT,158728.23,C1110597883,0.0,0.0,C951974035,172538.26,331266.49
254,CASH_OUT,52352.75,C1152381375,0.0,0.0,C1035585513,5489751.59,5542104.34
254,CASH_OUT,39100.95,C1293199333,0.0,0.0,C34231099,1.180288939E7,1.184199034E7
254,CASH_OUT,87346.52,C1893588729,0.0,0.0,C1141368749,615970.28,703316.8
254,CASH_OUT,9116.82,C565796257,0.0,0.0,C1786749277,235106.16,244222.98
254,CASH_OUT,51338.14,C446722592,0.0,0.0,C1680630881,2824498.63,2875836.77
254,CASH_OUT,5456.95,C1927533854,0.0,0.0,C2138879356,1359350.87,1225206.11
254,TRANSFER,313641.95,C1817700269,16016.0,0.0,C863458120,0.0,313641.95
254,CASH_OUT,365215.04,C132709331,31215.0,0.0,C450179729,4427614.62,4792829.66
254,CASH_OUT,15158.24,C515946620,183327.0,168168.76,C25073233,0.0,15158.24
254,PAYMENT,4273.65,C1927796127,168168.76,163895.11,M568213217,0.0,0.0
254,CASH_OUT,17264.95,C1638428522,50073.0,32808.05,C2100805275,0.0,17264.95
254,CASH_OUT,166208.39,C2058369147,30808.0,0.0,C22052238,0.0,166208.39
254,PAYMENT,14888.39,C917983647,681.0,0.0,M1716406430,0.0,0.0
254,PAYMENT,9652.37,C1153415170,10990.0,1337.63,M1060582158,0.0,0.0
254,CASH_IN,175312.14,C864069342,140433.0,315745.14,C1261158092,1134056.16,958744.02
254,PAYMENT,20688.72,C656278152,1369.0,0.0,M509137345,0.0,0.0
254,CASH_IN,324434.21,C410074695,359.0,324793.21,C1213974045,855378.3,530944.09
254,PAYMENT,13083.17,C779210177,19836.0,6752.83,M2041348293,0.0,0.0
254,PAYMENT,1366.28,C564302056,6752.83,5386.55,M808456605,0.0,0.0
254,PAYMENT,20116.32,C277859743,5386.55,0.0,M230219235,0.0,0.0
254,PAYMENT,1972.1,C950544748,0.0,0.0,M144993053,0.0,0.0
254,PAYMENT,16693.35,C1722395811,0.0,0.0,M758461008,0.0,0.0
254,PAYMENT,8222.46,C1420791251,0.0,0.0,M2147018968,0.0,0.0
254,PAYMENT,953.0,C1411358512,0.0,0.0,M1354530897,0.0,0.0
254,PAYMENT,6112.99,C2027249280,0.0,0.0,M1087625066,0.0,0.0
254,PAYMENT,10449.19,C1755129439,0.0,0.0,M1553435925,0.0,0.0
254,PAYMENT,247.83,C249887065,0.0,0.0,M1347557224,0.0,0.0
254,PAYMENT,1877.58,C1375501539,0.0,0.0,M837008620,0.0,0.0
254,PAYMENT,17444.82,C417637816,0.0,0.0,M1481447579,0.0,0.0
254,PAYMENT,2125.73,C1784966165,0.0,0.0,M1179433321,0.0,0.0
254,PAYMENT,2936.01,C2075663741,0.0,0.0,M1258380113,0.0,0.0
254,PAYMENT,11383.04,C38572768,0.0,0.0,M568910897,0.0,0.0
254,PAYMENT,3367.72,C436225668,0.0,0.0,M1536843078,0.0,0.0
254,PAYMENT,6032.42,C1025969991,0.0,0.0,M1535688126,0.0,0.0
254,PAYMENT,16358.0,C1126495277,0.0,0.0,M1247666530,0.0,0.0
254,PAYMENT,13417.19,C1334149721,0.0,0.0,M1367257946,0.0,0.0
254,PAYMENT,13992.65,C899653828,0.0,0.0,M275513828,0.0,0.0
254,TRANSFER,1174669.77,C1931005690,61913.0,0.0,C1239370422,1017058.24,2191728.02
254,CASH_OUT,405533.19,C1465403296,0.0,0.0,C1993588706,4369392.14,4774925.33
254,CASH_OUT,232444.74,C520700943,0.0,0.0,C1406543379,1337621.59,1570066.33
254,CASH_OUT,36493.74,C1872364843,0.0,0.0,C714893984,1861017.69,1897511.43
254,CASH_OUT,20793.4,C1514170684,0.0,0.0,C1375613410,1935722.57,1956515.97
254,CASH_IN,350552.94,C1328562323,11520.0,362072.94,C181496692,0.0,0.0
254,CASH_OUT,286652.45,C441211974,43771.0,0.0,C1604627280,499447.06,786099.51
254,PAYMENT,23112.59,C633385337,145578.0,122465.41,M2089825652,0.0,0.0
254,PAYMENT,9416.63,C829019821,122465.41,113048.77,M1237254826,0.0,0.0
254,PAYMENT,4991.84,C1775511965,113048.77,108056.93,M336763462,0.0,0.0
254,PAYMENT,18952.62,C1798437591,108056.93,89104.31,M1521098569,0.0,0.0
254,PAYMENT,5874.76,C310009152,89104.31,83229.55,M305800675,0.0,0.0
254,PAYMENT,1438.78,C1991868977,83229.55,81790.78,M2086898680,0.0,0.0
254,PAYMENT,2379.53,C1018386793,81790.78,79411.24,M2137351713,0.0,0.0
254,PAYMENT,104.92,C1165478902,79411.24,79306.32,M632005867,0.0,0.0
254,PAYMENT,4810.89,C66439462,79306.32,74495.44,M1475736343,0.0,0.0
254,PAYMENT,2881.14,C749120100,74495.44,71614.29,M1414717415,0.0,0.0
254,PAYMENT,2134.55,C2034471090,71614.29,69479.74,M30845382,0.0,0.0
254,PAYMENT,2005.59,C406509074,69479.74,67474.15,M1515560725,0.0,0.0
254,PAYMENT,10628.61,C1064714989,67474.15,56845.54,M190465116,0.0,0.0
254,PAYMENT,6888.46,C1159633251,56845.54,49957.08,M868551650,0.0,0.0
254,PAYMENT,690.89,C1042892381,49957.08,49266.19,M1728613728,0.0,0.0
254,PAYMENT,11953.64,C1449968995,49266.19,37312.55,M1307397719,0.0,0.0
254,PAYMENT,5897.32,C956494361,37312.55,31415.22,M448924628,0.0,0.0
254,PAYMENT,8548.63,C716542514,31415.22,22866.6,M219020997,0.0,0.0
254,PAYMENT,20815.03,C590436167,22866.6,2051.57,M698840158,0.0,0.0
254,PAYMENT,9431.72,C788875098,2051.57,0.0,M1302097833,0.0,0.0
254,TRANSFER,1484148.42,C1681818162,123219.0,0.0,C166839225,5112192.45,6596340.87
254,PAYMENT,160.29,C1990791023,0.0,0.0,M1939061111,0.0,0.0
254,PAYMENT,17519.2,C1574723979,0.0,0.0,M1298355984,0.0,0.0
254,CASH_OUT,81855.97,C1930423204,32228.0,0.0,C139415263,229088.5,310944.46
254,CASH_IN,163449.83,C490323123,209194.0,372643.83,C128982328,102003.48,0.0
254,CASH_OUT,27004.1,C592926374,201849.0,174844.9,C1965081539,140986.63,167990.74
254,CASH_OUT,339328.24,C1952140811,174844.9,0.0,C1651755546,724428.48,1063756.73
254,PAYMENT,15782.05,C2013649391,10890.0,0.0,M671690360,0.0,0.0
254,CASH_IN,87940.09,C837992377,79714.0,167654.09,C404578524,270746.99,182806.9
254,CASH_IN,420731.85,C527930522,205859.0,626590.85,C231529143,4060033.22,3639301.37
254,TRANSFER,62150.7,C1240202298,626590.85,564440.15,C1467736404,91877.81,154028.51
254,CASH_OUT,129342.81,C678453649,96945.33,0.0,C83479667,3566283.05,3695625.86
254,PAYMENT,448.42,C207293521,0.0,0.0,M791382532,0.0,0.0
254,CASH_IN,104205.15,C959949303,363675.0,467880.15,C1377483818,1495481.48,1391276.33
254,TRANSFER,1165859.44,C308296617,51623.0,0.0,C1296637542,239046.61,1404906.06
254,TRANSFER,206325.14,C1175290928,0.0,0.0,C1271579312,1563338.36,1769663.49
254,CASH_OUT,397359.04,C889544031,23574.0,0.0,C2104277751,9037438.97,9434798.01
254,CASH_OUT,136066.88,C838414873,0.0,0.0,C1678591698,318857.34,454924.22
254,CASH_OUT,132125.02,C576187132,2290.0,0.0,C237897832,2483135.28,2615260.3
254,CASH_OUT,286361.75,C139581058,68727.0,0.0,C1569819494,2020732.34,2307094.09
254,PAYMENT,1700.13,C396463474,0.0,0.0,M1873808485,0.0,0.0
254,PAYMENT,16421.15,C1923947365,497940.0,481518.85,M1951278708,0.0,0.0
254,TRANSFER,1349109.01,C1864363922,29840.0,0.0,C703929956,19000.42,1368109.43
254,TRANSFER,566368.63,C10687792,144081.0,0.0,C1534479936,0.0,566368.63
254,PAYMENT,27009.42,C441405554,62041.0,35031.58,M532134089,0.0,0.0
254,CASH_OUT,110621.76,C256157650,35031.58,0.0,C840299391,978209.55,1088831.31
254,TRANSFER,53854.95,C391522719,111.0,0.0,C822925526,0.0,53854.95
254,PAYMENT,4987.75,C2004498375,118712.0,113724.25,M1437186065,0.0,0.0
254,PAYMENT,26413.12,C2138697537,50041.0,23627.88,M1497705440,0.0,0.0
254,CASH_OUT,358272.9,C2133322496,23627.88,0.0,C1423434148,1.072369999E7,1.080341365E7
254,CASH_OUT,489649.97,C1742122437,11498.0,0.0,C2014467062,0.0,489649.97
254,CASH_OUT,128876.93,C1466254745,183.0,0.0,C1542534326,6454835.66,6583712.59
254,CASH_OUT,133523.83,C655322814,2461.0,0.0,C1885812592,0.0,133523.83
254,PAYMENT,23123.13,C1739648692,10213.0,0.0,M903536386,0.0,0.0
254,PAYMENT,18956.99,C1215172013,134.0,0.0,M348708992,0.0,0.0
254,CASH_IN,215116.06,C1961720291,11.0,215127.06,C89834866,1785501.38,1570385.32
254,TRANSFER,393083.43,C397187763,215127.06,0.0,C229516362,547879.69,940963.11
254,CASH_IN,288252.89,C798490254,878.0,289130.89,C1816707465,607978.87,319725.97
254,PAYMENT,3986.81,C2089342748,289130.89,285144.08,M1672841999,0.0,0.0
254,PAYMENT,1966.99,C281013448,285144.08,283177.09,M4985823,0.0,0.0
254,PAYMENT,7149.8,C986060029,283177.09,276027.29,M1969495385,0.0,0.0
254,PAYMENT,9818.76,C450000529,276027.29,266208.53,M2053135615,0.0,0.0
254,PAYMENT,727.58,C1888214706,266208.53,265480.96,M634424111,0.0,0.0
254,PAYMENT,4798.87,C750716922,265480.96,260682.08,M1421881654,0.0,0.0
254,PAYMENT,2045.4,C2056260434,260682.08,258636.68,M1530429148,0.0,0.0
254,PAYMENT,7475.45,C267133590,258636.68,251161.23,M1525738460,0.0,0.0
254,PAYMENT,1432.69,C549499211,251161.23,249728.55,M949417233,0.0,0.0
254,PAYMENT,3715.08,C1442879495,249728.55,246013.47,M192100112,0.0,0.0
254,PAYMENT,8197.33,C782009820,246013.47,237816.13,M556647267,0.0,0.0
254,PAYMENT,7783.33,C1941944289,237816.13,230032.81,M1634129201,0.0,0.0
254,PAYMENT,28662.42,C723394212,230032.81,201370.39,M1692923519,0.0,0.0
254,PAYMENT,5917.78,C1793676733,201370.39,195452.61,M1039260300,0.0,0.0
254,PAYMENT,14795.76,C1723926696,195452.61,180656.85,M1028541953,0.0,0.0
254,PAYMENT,12723.49,C497725608,1516.0,0.0,M775699499,0.0,0.0
254,CASH_OUT,91427.18,C1079440652,57650.0,0.0,C1385371148,67819.15,159246.34
254,CASH_IN,139431.28,C254252353,177628.0,317059.28,C495880155,40974.43,0.0
254,CASH_OUT,323784.98,C1203788797,2005.0,0.0,C1019845559,458532.96,782317.94
254,CASH_IN,946.7,C148040266,135.0,1081.7,C917521830,234375.76,233429.06
254,CASH_OUT,376939.87,C2136707273,35709.0,0.0,C98712941,2691.85,379631.73
254,TRANSFER,49193.89,C1281728510,0.0,0.0,C2010664081,3598249.3,3647443.19
