step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
687,CASH_IN,42588.27,C756566465,513.0,43101.27,C280545626,56842.92,14254.64
687,CASH_IN,217557.6,C143750024,43101.27,260658.88,C1358086180,292307.3,74749.69
687,CASH_IN,100537.03,C1831022581,260658.88,361195.9,C621399092,2712654.05,2612117.02
687,CASH_IN,149192.11,C295683349,361195.9,510388.01,C442411468,594763.6,445571.5
687,CASH_IN,277180.03,C2116472998,510388.01,787568.04,C1022256767,561159.29,283979.26
687,CASH_IN,21185.37,C2099835353,787568.04,808753.42,C1473136402,98531.62,267875.79
687,CASH_IN,271888.86,C159397134,808753.42,1080642.28,C1929656847,347442.52,75553.65
687,CASH_IN,152980.56,C1725492806,1080642.28,1233622.84,C1085367599,184259.09,31278.53
687,CASH_IN,224139.99,C783528411,1233622.84,1457762.83,C602712109,294668.48,70528.48
687,CASH_IN,225398.91,C347024365,1457762.83,1683161.75,C704668697,2625929.11,2400530.2
687,CASH_IN,74355.73,C479155251,1683161.75,1757517.48,C789734294,264397.21,190041.48
687,CASH_IN,265470.58,C1023685434,1757517.48,2022988.07,C1465294880,1097536.65,832066.07
687,CASH_IN,57309.17,C243953704,2022988.07,2080297.23,C2056003294,100180.2,42871.04
687,CASH_IN,177330.4,C1670890071,2080297.23,2257627.63,C643819789,739928.95,562598.56
687,CASH_IN,76889.38,C90127578,2257627.63,2334517.01,C1852753741,1.855565519E7,1.84787658E7
687,CASH_IN,52817.48,C425607848,2334517.01,2387334.5,C785398083,156062.23,103244.75
687,CASH_IN,116535.38,C1141402267,2387334.5,2503869.87,C724033290,668635.13,552099.75
687,CASH_IN,6602.37,C433098039,2503869.87,2510472.24,C2076377833,326515.6,319913.22
687,PAYMENT,15199.32,C1704315707,39169.0,23969.68,M246779427,0.0,0.0
687,CASH_IN,210274.2,C158228956,32067.0,242341.2,C218891282,94047.22,0.0
687,CASH_IN,287834.87,C348847347,28777.0,316611.87,C383679403,237263.93,0.0
687,CASH_OUT,115040.03,C1607283010,230435.0,115394.97,C506457000,83992.58,199032.61
687,CASH_OUT,170952.27,C2108385294,21597.0,0.0,C176729820,0.0,170952.27
687,CASH_OUT,41422.92,C120690406,15850.0,0.0,C1226445850,1364180.99,1405603.91
687,PAYMENT,36334.85,C1155522455,15026.0,0.0,M1924047215,0.0,0.0
687,PAYMENT,2200.2,C1424182316,23388.0,21187.8,M1609459440,0.0,0.0
687,CASH_OUT,157022.67,C1710701053,40.0,0.0,C63647017,409321.34,566344.0
687,PAYMENT,17274.07,C1658149365,0.0,0.0,M739900335,0.0,0.0
687,PAYMENT,1746.5,C7127354,0.0,0.0,M1544042523,0.0,0.0
687,CASH_OUT,18566.13,C349882526,232372.0,213805.87,C1328403550,240706.91,259273.04
687,CASH_OUT,4641.71,C2013105449,3278.0,0.0,C1867082760,819379.41,824021.12
687,CASH_OUT,78806.76,C293529597,80940.0,2133.24,C1345398290,119232.66,198039.42
687,TRANSFER,1161818.68,C204197161,20690.0,0.0,C807993550,1607589.56,2769408.24
687,CASH_OUT,364253.77,C1316452874,77660.0,0.0,C548438919,941885.33,1306139.1
687,CASH_IN,345650.85,C1442325032,70702.0,416352.85,C912099386,500026.58,154375.73
687,CASH_OUT,151581.86,C861890149,6070.0,0.0,C1468064341,3251432.14,3403014.0
687,CASH_OUT,110739.34,C1641002914,19022.0,0.0,C1535555590,322817.08,433556.42
687,TRANSFER,318516.29,C345847483,30548.0,0.0,C1847439094,0.0,318516.29
687,CASH_IN,305817.36,C14724962,112.0,305929.36,C641443108,384207.51,78390.15
687,CASH_OUT,163202.68,C1220840789,31238.0,0.0,C1113696014,0.0,163202.68
687,CASH_OUT,240597.2,C1420448072,396.0,0.0,C845076706,0.0,240597.2
687,PAYMENT,2489.78,C704617864,0.0,0.0,M744602730,0.0,0.0
687,PAYMENT,8183.3,C1084437142,0.0,0.0,M1183124443,0.0,0.0
687,PAYMENT,13765.62,C323210590,0.0,0.0,M853586352,0.0,0.0
687,PAYMENT,13305.89,C1804473080,0.0,0.0,M87754625,0.0,0.0
687,CASH_OUT,67475.27,C144638789,21157.0,0.0,C1596977592,271840.44,339315.7
687,CASH_OUT,415675.24,C1061510871,254.0,0.0,C2112298588,105025.47,520700.71
687,PAYMENT,8550.34,C617054741,0.0,0.0,M2040368643,0.0,0.0
687,CASH_IN,139738.06,C166211422,19967.0,159705.06,C1007000759,579063.4,439325.35
687,CASH_OUT,207665.18,C483289938,117228.0,0.0,C1305082118,0.0,207665.18
687,CASH_IN,250083.97,C67212788,792.0,250875.97,C1877243721,38455.81,0.0
687,CASH_OUT,78407.06,C293203681,30119.0,0.0,C1779178835,0.0,78407.06
687,CASH_OUT,202173.08,C1495511375,249443.0,47269.92,C1644581205,453922.73,656095.82
687,PAYMENT,5336.61,C920180162,47269.92,41933.31,M1048463576,0.0,0.0
687,PAYMENT,9019.09,C1613670160,41933.31,32914.22,M616811411,0.0,0.0
687,CASH_OUT,131476.54,C1413839884,483920.0,352443.46,C1657473974,34410.17,165886.71
687,TRANSFER,586436.44,C414308052,352443.46,0.0,C901461296,7.922352266E7,7.98099591E7
687,TRANSFER,426424.21,C229827829,0.0,0.0,C767951101,716164.16,1142588.37
687,TRANSFER,431117.55,C924264835,0.0,0.0,C614064794,1425462.77,1856580.32
687,TRANSFER,107625.65,C1213044337,0.0,0.0,C1528203064,289435.46,397061.1
687,TRANSFER,611214.27,C1591541466,0.0,0.0,C1491468570,1505786.5,2117000.78
