step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
199,TRANSFER,80885.48,C1191502221,80885.48,0.0,C1529468994,0.0,0.0
199,CASH_OUT,80885.48,C2065836466,80885.48,0.0,C582821182,756653.51,837538.99
199,TRANSFER,3644234.06,C1362743884,3644234.06,0.0,C1885652629,0.0,0.0
199,CASH_OUT,3644234.06,C1786460206,3644234.06,0.0,C619550945,277282.56,3921516.62
199,TRANSFER,465498.74,C169063525,465498.74,0.0,C1364144454,0.0,0.0
199,CASH_OUT,465498.74,C1620468524,465498.74,0.0,C1820811459,3709348.65,4174847.39
199,TRANSFER,590229.26,C2141349568,590229.26,0.0,C862273791,0.0,0.0
199,CASH_OUT,590229.26,C1286314834,590229.26,0.0,C333643988,236890.65,827119.91
199,TRANSFER,295054.68,C1950985216,295054.68,0.0,C1535946302,0.0,0.0
199,CASH_OUT,295054.68,C1250562537,295054.68,0.0,C728515752,0.0,295054.68
