step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
598,TRANSFER,98140.72,C458297568,22330.0,0.0,C309942063,1.223566789E7,1.233380861E7
598,CASH_IN,228789.91,C1287582966,51921.0,280710.91,C912137691,238959.58,10169.67
598,CASH_OUT,445217.47,C2123707227,280710.91,0.0,C1814499620,537854.32,983071.79
598,CASH_OUT,199163.23,C1865769742,0.0,0.0,C1801001323,385457.75,584620.99
598,PAYMENT,1882.18,C2087757848,25464.0,23581.82,M1196616228,0.0,0.0
598,PAYMENT,5893.72,C277485182,4498.0,0.0,M1415785074,0.0,0.0
598,PAYMENT,7863.31,C757753998,162060.0,154196.69,M2105128133,0.0,0.0
598,CASH_IN,9911.56,C1023440114,25993.0,35904.56,C222846720,84831.36,74919.8
598,PAYMENT,8266.72,C1895688602,93728.0,85461.28,M242061587,0.0,0.0
598,PAYMENT,142.68,C1048757127,21376.0,21233.32,M10196801,0.0,0.0
598,PAYMENT,78.25,C531963889,252.0,173.75,M2108874781,0.0,0.0
598,CASH_OUT,8015.58,C1434749655,126557.0,118541.42,C958199153,500161.15,508176.72
598,PAYMENT,7480.44,C158936761,118541.42,111060.99,M1040511728,0.0,0.0
598,PAYMENT,8537.72,C1415335717,111060.99,102523.27,M629126475,0.0,0.0
598,PAYMENT,5862.34,C1706253243,102523.27,96660.92,M2084152975,0.0,0.0
598,PAYMENT,9532.52,C1244330826,96660.92,87128.4,M304601769,0.0,0.0
598,PAYMENT,50299.53,C1832269269,87128.4,36828.87,M1544219426,0.0,0.0
598,PAYMENT,16909.93,C1097317186,36828.87,19918.94,M1840890709,0.0,0.0
598,PAYMENT,14103.76,C838720426,19918.94,5815.18,M983921996,0.0,0.0
598,PAYMENT,9204.55,C1189373169,5815.18,0.0,M1701098515,0.0,0.0
598,PAYMENT,20025.87,C983237534,0.0,0.0,M730144404,0.0,0.0
598,PAYMENT,1887.58,C1319318777,0.0,0.0,M245875986,0.0,0.0
598,PAYMENT,5222.91,C1824698539,0.0,0.0,M1873830425,0.0,0.0
598,PAYMENT,54660.64,C946046954,0.0,0.0,M148658849,0.0,0.0
598,PAYMENT,38448.92,C1902310649,0.0,0.0,M497999974,0.0,0.0
598,PAYMENT,6548.76,C970356974,0.0,0.0,M1395995687,0.0,0.0
598,PAYMENT,9001.3,C890685316,0.0,0.0,M1599188112,0.0,0.0
598,PAYMENT,11216.26,C1430961820,0.0,0.0,M790899742,0.0,0.0
598,PAYMENT,28997.31,C739112089,0.0,0.0,M2129328292,0.0,0.0
598,CASH_IN,276977.27,C2119440315,32574.0,309551.27,C921043585,0.0,0.0
598,CASH_OUT,154013.47,C1889435827,309551.27,155537.79,C1230865383,9027799.66,9181813.13
598,PAYMENT,14555.9,C871631621,22513.0,7957.1,M452131335,0.0,0.0
598,PAYMENT,6279.49,C1153818413,5042.0,0.0,M1079657502,0.0,0.0
598,PAYMENT,4656.84,C1399182131,362.0,0.0,M1590311322,0.0,0.0
598,CASH_OUT,40806.08,C874293721,101131.0,60324.92,C764895764,8312592.04,8353398.12
598,CASH_OUT,6525.64,C645161456,60324.92,53799.28,C1588817241,1119695.98,1126221.62
598,PAYMENT,5487.88,C1542836806,57006.0,51518.12,M1417426507,0.0,0.0
598,PAYMENT,6885.03,C100605820,51518.12,44633.09,M99794,0.0,0.0
598,PAYMENT,10138.73,C1972572278,44633.09,34494.36,M1080606433,0.0,0.0
598,CASH_OUT,192088.55,C1032932719,7910.0,0.0,C557097388,4166489.87,4358578.41
598,PAYMENT,4725.66,C825384986,36910.0,32184.34,M1557124842,0.0,0.0
598,CASH_IN,503390.39,C1498801188,901776.0,1405166.39,C1608375488,390708.74,0.0
598,PAYMENT,7844.51,C1855467604,42857.0,35012.49,M1275637549,0.0,0.0
598,PAYMENT,8918.45,C1859279040,505548.0,496629.55,M416347642,0.0,0.0
598,PAYMENT,3380.0,C937782308,206514.0,203134.0,M1050528818,0.0,0.0
598,PAYMENT,1081.39,C1123391353,33106.0,32024.61,M1570100728,0.0,0.0
598,CASH_OUT,42092.85,C1099761186,90649.0,48556.15,C611760222,0.0,42092.85
598,PAYMENT,9966.93,C287420029,329031.0,319064.07,M2130820479,0.0,0.0
598,PAYMENT,2059.12,C206085490,21955.0,19895.88,M635254479,0.0,0.0
598,PAYMENT,1861.73,C965944911,19895.88,18034.15,M1259048519,0.0,0.0
598,PAYMENT,18428.3,C65022297,18034.15,0.0,M1330056356,0.0,0.0
598,PAYMENT,4871.88,C1866918493,52121.0,47249.12,M2015897668,0.0,0.0
