step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
191,PAYMENT,1683.99,C808855810,27162.0,25478.01,M1983558032,0.0,0.0
191,CASH_OUT,126535.22,C252318955,25478.01,0.0,C853969967,163835.51,290370.73
191,CASH_OUT,217457.4,C776088829,0.0,0.0,C676280866,217877.05,435334.45
191,CASH_OUT,12560.36,C800947726,0.0,0.0,C1795058240,79385.78,91946.14
191,CASH_OUT,226931.92,C212401240,0.0,0.0,C728553908,970500.93,1197432.85
191,CASH_OUT,209846.35,C1406798954,0.0,0.0,C1564413784,2714275.92,2924122.27
191,PAYMENT,9659.6,C1816192808,28225.0,18565.4,M684308896,0.0,0.0
191,PAYMENT,5596.63,C1665714909,101351.0,95754.37,M1618097026,0.0,0.0
191,CASH_OUT,57162.62,C199287043,95754.37,38591.75,C1474072373,559394.91,616557.54
191,PAYMENT,7442.28,C1853967718,28977.0,21534.72,M1262120009,0.0,0.0
191,PAYMENT,9496.43,C975546511,4093.0,0.0,M910274097,0.0,0.0
191,DEBIT,1159.98,C1380925410,32595.0,31435.02,C344615087,560912.64,562072.61
191,PAYMENT,10356.35,C1250908614,5502.0,0.0,M1568268744,0.0,0.0
191,CASH_OUT,173404.75,C1718807664,0.0,0.0,C1743391776,212143.89,385548.64
191,PAYMENT,3669.06,C1298755443,26725.0,23055.94,M2098744945,0.0,0.0
191,TRANSFER,467054.07,C1870501819,584.0,0.0,C1920227379,1.349893782E7,1.396599189E7
191,PAYMENT,11202.8,C505276232,11217.0,14.2,M403243279,0.0,0.0
191,PAYMENT,2745.71,C668839865,27458.0,24712.29,M614347958,0.0,0.0
191,PAYMENT,2516.29,C1430827210,29843.0,27326.71,M85578261,0.0,0.0
191,CASH_OUT,200116.71,C1341326696,27326.71,0.0,C1803836740,273030.57,473147.28
191,CASH_IN,145921.15,C438150052,151.0,146072.15,C2086764216,338656.29,192735.14
191,CASH_OUT,282669.6,C172199629,146072.15,0.0,C1867119028,790371.0,1048064.62
191,PAYMENT,11341.18,C1099001066,84949.0,73607.82,M370076151,0.0,0.0
191,PAYMENT,6982.57,C1643739153,73607.82,66625.25,M2002429701,0.0,0.0
191,PAYMENT,2545.16,C1031168824,17802.0,15256.84,M1557558320,0.0,0.0
191,PAYMENT,7120.04,C1984276043,350961.0,343840.96,M1409631497,0.0,0.0
191,PAYMENT,3114.77,C1524925202,45840.0,42725.23,M905714570,0.0,0.0
191,PAYMENT,1207.19,C1859159168,28143.0,26935.81,M277068126,0.0,0.0
191,CASH_OUT,222333.92,C1853965391,26935.81,0.0,C391008295,322237.45,544571.36
191,DEBIT,5474.61,C1005855326,50804.0,45329.39,C783081717,312451.96,317926.57
191,PAYMENT,5212.56,C1365923108,45329.39,40116.83,M1554931486,0.0,0.0
191,CASH_OUT,29562.14,C946461688,18078.0,0.0,C33176800,44198.46,73760.6
191,CASH_OUT,91656.07,C571865209,0.0,0.0,C1680522702,125286.36,216942.43
191,DEBIT,5.61,C567626346,21438.0,21432.39,C1173023461,84870.75,84876.36
191,PAYMENT,8507.22,C254654433,718775.0,710267.78,M2037189607,0.0,0.0
191,PAYMENT,3566.66,C1949753987,57679.0,54112.34,M2134597749,0.0,0.0
191,PAYMENT,2561.47,C491471564,216815.0,214253.53,M208162993,0.0,0.0
191,DEBIT,1427.12,C1326029125,253573.0,252145.88,C408625141,872818.58,874245.71
191,TRANSFER,497094.58,C1804955673,252145.88,0.0,C843564031,670866.32,1167960.9
191,TRANSFER,545840.38,C739181189,0.0,0.0,C160396108,564052.12,1109892.51
191,PAYMENT,351.04,C1647059565,102365.0,102013.96,M1634491612,0.0,0.0
191,PAYMENT,5685.05,C565833040,5376.0,0.0,M1970723016,0.0,0.0
191,DEBIT,5609.88,C1984607041,104160.0,98550.12,C418835264,3584177.74,3589787.62
191,PAYMENT,4863.93,C1967365096,224.0,0.0,M461253501,0.0,0.0
191,PAYMENT,15396.85,C1485639746,19923.0,4526.15,M2080268457,0.0,0.0
191,PAYMENT,2114.16,C302721253,202716.0,200601.84,M2017774618,0.0,0.0
191,TRANSFER,701222.53,C1224461392,200601.84,0.0,C770914420,3117248.49,3818471.02
191,TRANSFER,214962.88,C1082656462,0.0,0.0,C448787967,1736263.93,1951226.81
191,TRANSFER,208342.55,C193937978,0.0,0.0,C1686634273,818219.47,1026562.02
191,TRANSFER,462250.89,C1442151245,0.0,0.0,C2115258305,1007276.9,1469527.8
191,TRANSFER,1748891.72,C1132111087,0.0,0.0,C1601603072,7261632.72,9010524.44
191,TRANSFER,305047.62,C1136944184,0.0,0.0,C1801395907,2.211350847E7,2.241855609E7
191,TRANSFER,1177613.64,C841703656,0.0,0.0,C1151205544,1959832.31,3137445.94
191,TRANSFER,346362.41,C1291475699,0.0,0.0,C1146763959,1.168555327E7,1.203191568E7
191,TRANSFER,231188.91,C1513210463,0.0,0.0,C501997418,348608.24,579797.15
191,TRANSFER,358100.23,C984909957,0.0,0.0,C1245885824,438081.73,796181.96
191,TRANSFER,425425.39,C1408336667,0.0,0.0,C98474301,3327909.27,3753334.66
191,TRANSFER,599796.49,C1304585812,0.0,0.0,C1814986671,3211529.33,3811325.82
191,TRANSFER,123105.36,C422934153,0.0,0.0,C1171027059,506246.8,629352.16
191,PAYMENT,9845.4,C123417994,50272.0,40426.6,M1483573025,0.0,0.0
191,PAYMENT,163.12,C113486526,10419.0,10255.88,M879756753,0.0,0.0
191,CASH_OUT,276884.56,C1784250800,828.0,0.0,C1359821203,105134.39,382018.95
191,CASH_OUT,45302.51,C1589204821,36349.0,0.0,C636031085,59858.85,105161.36
191,PAYMENT,2385.43,C1169457254,160.0,0.0,M1910397836,0.0,0.0
191,PAYMENT,7214.35,C1462501382,1057.0,0.0,M1127999049,0.0,0.0
191,PAYMENT,1620.58,C577632760,0.0,0.0,M569164802,0.0,0.0
191,PAYMENT,2445.58,C376949769,44700.0,42254.42,M174221600,0.0,0.0
191,PAYMENT,6910.62,C1200485293,31852.0,24941.38,M8840074,0.0,0.0
191,CASH_OUT,323599.97,C674848791,21118.0,0.0,C2061873180,1557971.67,1881571.64
191,PAYMENT,9801.15,C822814553,0.0,0.0,M422816334,0.0,0.0
191,PAYMENT,424.47,C773750865,0.0,0.0,M1304720477,0.0,0.0
191,PAYMENT,6578.05,C631087955,50275.0,43696.95,M561519732,0.0,0.0
191,PAYMENT,2235.19,C2067667970,1000.0,0.0,M355924388,0.0,0.0
191,PAYMENT,12862.27,C1568233322,146355.0,133492.73,M1015249677,0.0,0.0
191,PAYMENT,5592.32,C928427667,40700.0,35107.68,M361728516,0.0,0.0
191,PAYMENT,3795.27,C47861208,164.0,0.0,M631641501,0.0,0.0
191,PAYMENT,1945.49,C654710156,0.0,0.0,M1320182978,0.0,0.0
191,PAYMENT,1503.04,C508843073,11.0,0.0,M197894379,0.0,0.0
191,PAYMENT,8541.2,C477523563,39182.0,30640.8,M1361944403,0.0,0.0
191,CASH_OUT,137403.05,C1835482987,30640.8,0.0,C1446324601,1990800.45,2128203.5
191,CASH_OUT,164015.52,C998053588,0.0,0.0,C1442410928,1045563.55,1209579.07
191,PAYMENT,1692.59,C341254886,19966.0,18273.41,M700313656,0.0,0.0
191,PAYMENT,12461.52,C2113211907,17978.0,5516.48,M787311839,0.0,0.0
191,PAYMENT,5221.63,C50346998,6080.0,858.37,M1174022046,0.0,0.0
191,PAYMENT,618.3,C271236148,62.0,0.0,M1441046906,0.0,0.0
191,CASH_OUT,271846.76,C1471807419,0.0,0.0,C709970532,1472391.55,1744238.31
191,CASH_OUT,454907.63,C1139536901,0.0,0.0,C1792762595,946124.44,1401032.07
191,PAYMENT,4126.88,C107293520,10429.0,6302.12,M1996141975,0.0,0.0
191,PAYMENT,429.95,C1856428244,21792.0,21362.05,M1928413913,0.0,0.0
191,PAYMENT,11214.47,C1575082108,31523.0,20308.53,M2115274842,0.0,0.0
191,PAYMENT,2335.82,C640454452,187.0,0.0,M1580463778,0.0,0.0
191,PAYMENT,3038.7,C222488352,801486.0,798447.3,M1464789130,0.0,0.0
191,PAYMENT,47.07,C366581880,49915.0,49867.93,M1419700871,0.0,0.0
191,PAYMENT,2635.28,C1325366483,316540.0,313904.72,M1859503934,0.0,0.0
191,CASH_OUT,31886.71,C932612292,49995.0,18108.29,C1244549894,0.0,31886.71
191,PAYMENT,2990.02,C352294499,198906.0,195915.98,M559118795,0.0,0.0
191,PAYMENT,10500.31,C1635755752,71065.0,60564.69,M1647100587,0.0,0.0
191,PAYMENT,474.59,C168299523,11283.0,10808.41,M808432040,0.0,0.0
191,PAYMENT,11074.2,C746260899,18976.0,7901.8,M675725085,0.0,0.0
191,DEBIT,3999.07,C1650775554,311475.0,307475.93,C1275556765,399312.2,403311.26
191,PAYMENT,6175.32,C789289239,33118.0,26942.68,M1531558724,0.0,0.0
191,PAYMENT,1236.99,C1181374823,21592.0,20355.01,M41571182,0.0,0.0
191,PAYMENT,10023.31,C1909109015,28810.0,18786.69,M1733277681,0.0,0.0
191,PAYMENT,2714.09,C1937406750,32926.0,30211.91,M592160572,0.0,0.0
191,PAYMENT,12757.88,C120449099,10855.0,0.0,M499591008,0.0,0.0
191,PAYMENT,11432.63,C1027935565,298518.0,287085.37,M1128873886,0.0,0.0
191,PAYMENT,4562.15,C726591500,313548.0,308985.85,M261502498,0.0,0.0
191,TRANSFER,248875.59,C447512056,308985.85,60110.26,C1638408856,433681.76,682557.36
191,DEBIT,3541.86,C269681916,12857.0,9315.14,C1285205826,201746.19,205288.05
191,CASH_OUT,4625.23,C1279361146,9315.14,4689.92,C1451483831,3834874.98,3839500.2
191,PAYMENT,8290.62,C1926793462,25172.0,16881.38,M199387368,0.0,0.0
191,PAYMENT,6624.72,C56535436,16881.38,10256.67,M1130150861,0.0,0.0
191,PAYMENT,3098.83,C1978995816,10256.67,7157.84,M1841862422,0.0,0.0
191,PAYMENT,4476.86,C455889386,7157.84,2680.98,M1023935377,0.0,0.0
191,PAYMENT,1728.95,C1619203596,2680.98,952.03,M1230654765,0.0,0.0
191,PAYMENT,4863.9,C813758189,952.03,0.0,M1298759655,0.0,0.0
191,PAYMENT,3889.91,C891433776,0.0,0.0,M772416412,0.0,0.0
191,PAYMENT,1587.82,C428511022,9990.0,8402.18,M521817535,0.0,0.0
191,TRANSFER,219865.14,C998594271,8402.18,0.0,C2103935107,410228.9,630094.04
191,PAYMENT,11073.29,C1156355312,30733.0,19659.71,M164790460,0.0,0.0
191,PAYMENT,9806.23,C1156072332,21461.0,11654.77,M1430967904,0.0,0.0
191,PAYMENT,4071.66,C1973523245,70568.0,66496.34,M1760242245,0.0,0.0
191,PAYMENT,10635.79,C1847189751,30573.0,19937.21,M1835258498,0.0,0.0
191,PAYMENT,3995.48,C337779960,19937.21,15941.73,M623551803,0.0,0.0
191,TRANSFER,140116.68,C68548401,11135.0,0.0,C1435969846,0.0,140116.68
191,PAYMENT,2477.85,C2006045427,408.0,0.0,M1934677285,0.0,0.0
191,PAYMENT,1937.54,C61060361,11442.0,9504.46,M673474099,0.0,0.0
