step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
280,CASH_OUT,179727.63,C511083724,155604.0,0.0,C1214974562,0.0,179727.63
280,CASH_OUT,372753.95,C460679672,0.0,0.0,C678806779,2148656.17,2521410.12
280,PAYMENT,7656.86,C764529545,8007.0,350.14,M2066899238,0.0,0.0
280,CASH_OUT,48075.69,C1372117608,298.0,0.0,C391616943,84174.43,132250.12
280,TRANSFER,22415.69,C1631736576,0.0,0.0,C1259830233,296054.43,318470.13
280,TRANSFER,351535.33,C1110184226,0.0,0.0,C762732442,3463632.84,3815168.18
280,TRANSFER,471196.96,C721380112,0.0,0.0,C496698792,1408206.81,1879403.77
280,TRANSFER,293524.85,C1031006141,0.0,0.0,C710337264,778194.78,1071719.62
280,TRANSFER,90609.36,C1322940736,0.0,0.0,C1820208654,853616.34,944225.7
280,TRANSFER,206317.8,C1826473144,0.0,0.0,C1356906078,821762.2,1028080.0
280,TRANSFER,707654.03,C1038863824,0.0,0.0,C1889745809,3221580.11,3929234.14
280,TRANSFER,1310810.12,C528980959,0.0,0.0,C316550720,2392562.86,3703372.98
280,TRANSFER,385655.03,C42656022,0.0,0.0,C1832071209,1570194.81,1955849.84
280,TRANSFER,204267.29,C15732219,0.0,0.0,C735307429,554653.97,758921.26
280,TRANSFER,829505.2,C1670825336,0.0,0.0,C1343217730,2849425.37,3678930.57
280,TRANSFER,2560351.36,C1080878006,0.0,0.0,C189987472,9065457.98,1.162580933E7
280,TRANSFER,633322.89,C356202748,0.0,0.0,C1049228732,5580196.09,6213518.99
280,TRANSFER,115373.17,C354705525,0.0,0.0,C2050830309,1287435.56,1402808.73
280,TRANSFER,2.440718551E7,C1087167148,0.0,0.0,C1472140329,8.860005477E7,1.1300724028E8
280,TRANSFER,9588134.02,C1738207312,0.0,0.0,C729263178,1.138777888E7,2.097591291E7
280,TRANSFER,438157.8,C724228231,0.0,0.0,C516558590,1674993.66,2113151.46
280,TRANSFER,1147975.37,C490418783,0.0,0.0,C1102964638,2308510.08,3456485.45
280,TRANSFER,1015520.49,C990155502,0.0,0.0,C923534712,1.25438354E7,1.355935589E7
280,TRANSFER,499493.74,C195886510,0.0,0.0,C1873085729,2792723.81,3292217.55
280,TRANSFER,24817.41,C1983898300,0.0,0.0,C615616433,47733.19,72550.59
280,CASH_OUT,22337.62,C844275694,6391.0,0.0,C1150343986,140952.09,163289.71
280,CASH_OUT,53798.3,C769583272,0.0,0.0,C433618120,4827412.0,4881210.31
280,PAYMENT,13641.19,C1098064176,19805.0,6163.81,M1213206944,0.0,0.0
280,CASH_IN,34037.28,C1851476651,84247.0,118284.28,C488896657,780661.82,746624.54
280,CASH_IN,214782.4,C874148960,1019.0,215801.4,C1177068547,475979.64,261197.24
280,CASH_OUT,14508.19,C1815656818,16460.0,1951.81,C1681218854,0.0,14508.19
280,TRANSFER,429181.05,C615344196,32121.0,0.0,C622031403,1386815.27,1815996.31
280,TRANSFER,46865.36,C269967464,21097.0,0.0,C758807145,1074177.78,1121043.14
280,PAYMENT,15296.31,C2009706366,0.0,0.0,M1578335196,0.0,0.0
280,CASH_IN,90831.48,C288610066,105.0,90936.48,C914758904,24174.57,0.0
280,CASH_IN,63397.96,C982315388,16374.0,79771.96,C1931378286,593041.57,529643.61
280,CASH_OUT,21997.19,C269068,152926.0,130928.81,C1020615322,376095.84,398093.03
280,CASH_OUT,53709.16,C1158434123,36426.0,0.0,C546840027,559077.56,612786.72
280,CASH_OUT,12596.45,C1250466239,0.0,0.0,C201508572,271605.05,284201.5
280,PAYMENT,5168.36,C399677059,180.0,0.0,M925770510,0.0,0.0
280,PAYMENT,15825.82,C284116661,31842.0,16016.18,M505700470,0.0,0.0
280,CASH_OUT,37714.3,C490838975,7170.0,0.0,C2143993248,214640.82,252355.12
280,CASH_OUT,216325.51,C1538387274,0.0,0.0,C228420694,3874968.8,4091294.31
280,PAYMENT,4985.1,C822202983,10055.0,5069.9,M211493857,0.0,0.0
280,PAYMENT,13018.46,C496422318,19801.0,6782.54,M1234807019,0.0,0.0
280,CASH_OUT,32695.58,C1983170901,131.0,0.0,C954865774,22272.12,54967.71
280,PAYMENT,851.2,C602241113,105950.0,105098.8,M146090550,0.0,0.0
280,PAYMENT,7423.12,C208602427,105098.8,97675.68,M1547770754,0.0,0.0
280,PAYMENT,1882.47,C1424918499,97675.68,95793.21,M1974199250,0.0,0.0
280,PAYMENT,21161.46,C26834561,95793.21,74631.75,M1431363643,0.0,0.0
280,PAYMENT,12843.84,C1965139181,74631.75,61787.91,M1606319336,0.0,0.0
280,PAYMENT,11154.0,C358167776,61787.91,50633.91,M1205493576,0.0,0.0
280,PAYMENT,1721.84,C1059360146,50633.91,48912.07,M324136866,0.0,0.0
280,PAYMENT,3829.0,C1332946716,48912.07,45083.07,M1514537381,0.0,0.0
280,PAYMENT,49476.42,C1091915618,45083.07,0.0,M1571128349,0.0,0.0
280,PAYMENT,994.2,C196608882,0.0,0.0,M1629053065,0.0,0.0
280,PAYMENT,2848.28,C169627031,0.0,0.0,M2078848421,0.0,0.0
280,PAYMENT,15333.93,C813734457,0.0,0.0,M448244104,0.0,0.0
280,PAYMENT,22516.53,C1924083644,0.0,0.0,M1280637393,0.0,0.0
280,PAYMENT,20143.14,C2016535344,0.0,0.0,M1601039959,0.0,0.0
280,PAYMENT,22692.85,C1421146313,0.0,0.0,M1061493247,0.0,0.0
280,PAYMENT,13216.42,C1209685316,0.0,0.0,M2016744774,0.0,0.0
280,PAYMENT,41164.41,C196401209,0.0,0.0,M472490577,0.0,0.0
280,CASH_OUT,320557.59,C100889829,25989.0,0.0,C1095251877,276620.83,597178.42
280,PAYMENT,4550.49,C1447874118,1084.0,0.0,M2064953766,0.0,0.0
280,PAYMENT,10754.63,C721338303,0.0,0.0,M927416921,0.0,0.0
280,TRANSFER,379653.07,C130647049,5501.0,0.0,C951046153,116218.39,495871.46
280,CASH_OUT,199539.37,C1494125783,24784.0,0.0,C88200340,211287.72,410827.09
280,PAYMENT,7814.32,C114479886,0.0,0.0,M193596423,0.0,0.0
280,CASH_IN,34828.79,C1084762291,11522.0,46350.79,C1986475519,494673.97,459845.18
280,CASH_OUT,24393.47,C1835887685,46350.79,21957.32,C399769422,2379440.44,2403833.91
280,CASH_OUT,163166.28,C2109179973,21957.32,0.0,C1023337385,1569037.62,1732203.9
280,CASH_OUT,38563.99,C637946304,153590.0,115026.01,C1239234284,0.0,38563.99
280,CASH_OUT,47406.03,C661258243,90114.0,42707.97,C834246179,23938.96,71344.99
280,CASH_OUT,181454.04,C560156655,29589.0,0.0,C1118194580,1001945.64,1183399.68
