step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
402,CASH_OUT,99761.6,C1567156435,1984.0,0.0,C1360481544,595937.1,695698.7
402,PAYMENT,8244.9,C471338188,0.0,0.0,M925887127,0.0,0.0
402,CASH_OUT,149041.26,C1436733679,11760.0,0.0,C754066222,1077232.68,1226273.94
402,PAYMENT,21400.63,C1335268600,0.0,0.0,M330604458,0.0,0.0
402,TRANSFER,1279151.59,C1527227417,103891.0,0.0,C456355106,1154466.2,2433617.79
402,PAYMENT,3791.12,C417407550,0.0,0.0,M1672172686,0.0,0.0
402,PAYMENT,8173.77,C1423298206,0.0,0.0,M848600945,0.0,0.0
402,PAYMENT,10228.75,C603302863,0.0,0.0,M440632347,0.0,0.0
402,PAYMENT,13090.56,C1620576499,0.0,0.0,M1994484870,0.0,0.0
402,PAYMENT,26453.16,C2026113606,0.0,0.0,M2116106777,0.0,0.0
402,PAYMENT,20598.73,C1591634622,0.0,0.0,M598124735,0.0,0.0
402,PAYMENT,13568.05,C2070413495,0.0,0.0,M208538673,0.0,0.0
402,PAYMENT,34078.58,C566758552,0.0,0.0,M926788430,0.0,0.0
402,PAYMENT,14247.66,C208365734,0.0,0.0,M1889071774,0.0,0.0
402,PAYMENT,558.16,C299211993,0.0,0.0,M1273508470,0.0,0.0
402,PAYMENT,25446.64,C470900213,0.0,0.0,M732582123,0.0,0.0
402,PAYMENT,29306.29,C379855379,0.0,0.0,M475384115,0.0,0.0
402,PAYMENT,8617.37,C171819449,0.0,0.0,M1944712477,0.0,0.0
402,PAYMENT,14417.24,C1156249033,0.0,0.0,M1984208950,0.0,0.0
402,PAYMENT,10672.81,C303077198,0.0,0.0,M778946828,0.0,0.0
402,PAYMENT,70.84,C1035613621,0.0,0.0,M1856796452,0.0,0.0
402,CASH_OUT,148237.97,C2022713176,30471.0,0.0,C1398597896,0.0,148237.97
402,CASH_OUT,97782.69,C955622639,18649.0,0.0,C599975884,606917.35,704700.04
402,PAYMENT,7055.16,C1418602969,0.0,0.0,M1494638907,0.0,0.0
402,CASH_OUT,248105.4,C541407142,9589.0,0.0,C1980470859,8396456.04,8644561.44
402,PAYMENT,20818.37,C889339293,61961.0,41142.63,M283576837,0.0,0.0
402,CASH_OUT,14175.01,C2056437403,126980.0,112804.99,C1213102218,954836.92,969011.92
402,PAYMENT,850.73,C1935892072,112804.99,111954.26,M1462336332,0.0,0.0
402,CASH_OUT,82267.11,C2134303886,997.0,0.0,C818313643,0.0,82267.11
402,CASH_IN,170391.51,C272628629,15691.0,186082.51,C1184261216,0.0,0.0
402,CASH_OUT,81648.99,C2034657252,13322.0,0.0,C1491542323,22082.0,214610.46
402,PAYMENT,14870.59,C1705607323,165585.0,150714.41,M770902580,0.0,0.0
402,CASH_OUT,96853.14,C1115668300,150714.41,53861.27,C1971586389,2.39764489E7,2.419521106E7
402,CASH_OUT,229846.48,C139233696,294452.0,64605.52,C1276454824,911986.23,1141832.71
402,TRANSFER,426203.77,C566787434,11819.0,0.0,C1639425752,261862.7,688066.47
402,PAYMENT,855.8,C350187981,0.0,0.0,M736442821,0.0,0.0
402,PAYMENT,8895.97,C1200141456,0.0,0.0,M633975334,0.0,0.0
402,PAYMENT,951.97,C1257766475,0.0,0.0,M1222561217,0.0,0.0
402,PAYMENT,22716.93,C1257299070,0.0,0.0,M583012228,0.0,0.0
402,PAYMENT,32971.49,C1462806577,0.0,0.0,M1765722067,0.0,0.0
402,PAYMENT,9705.02,C635565478,0.0,0.0,M125792945,0.0,0.0
402,PAYMENT,8349.93,C1432105807,0.0,0.0,M1254323816,0.0,0.0
402,PAYMENT,22287.62,C1613100627,0.0,0.0,M481557020,0.0,0.0
402,PAYMENT,16537.95,C675374222,0.0,0.0,M2036348888,0.0,0.0
402,CASH_IN,181085.78,C909693385,21029.0,202114.78,C1802895382,55879.3,0.0
402,PAYMENT,11418.23,C895004168,10583.0,0.0,M379509049,0.0,0.0
402,CASH_OUT,199477.88,C1857610437,82043.0,0.0,C1079005962,58910.27,258388.15
402,CASH_OUT,48249.2,C520011842,17519.0,0.0,C1617814579,0.0,48249.2
402,CASH_IN,25624.27,C1847989627,10301.0,35925.27,C846436674,0.0,0.0
402,CASH_IN,37565.38,C236019351,63383.0,100948.38,C1685226719,0.0,0.0
402,PAYMENT,26056.98,C655768410,100948.38,74891.4,M1333920554,0.0,0.0
402,CASH_IN,84319.17,C290544236,106343.0,190662.17,C2017366905,3508225.76,3423906.59
402,PAYMENT,20177.77,C355486519,158682.0,138504.23,M65695264,0.0,0.0
402,CASH_OUT,312849.47,C1554949668,51593.0,0.0,C1375916822,1459391.76,1772241.24
402,TRANSFER,175661.09,C1194788327,23228.0,0.0,C2118077068,0.0,175661.09
402,CASH_OUT,2243.92,C1355384773,20425.0,18181.08,C480151074,0.0,2243.92
402,TRANSFER,479430.86,C161938,18181.08,0.0,C1824715587,6778756.88,7258187.74
402,CASH_OUT,49369.12,C691298608,30762.0,0.0,C801881476,0.0,49369.12
402,CASH_IN,21240.27,C1448301004,8077.0,29317.27,C1208450747,1083292.47,1062052.2
402,CASH_IN,125391.62,C1253577580,1210.0,126601.62,C2032457153,145577.11,20185.49
402,PAYMENT,2304.37,C1500324929,126601.62,124297.25,M1398465469,0.0,0.0
402,CASH_OUT,132808.17,C533402923,9510.0,0.0,C789204422,248960.25,381768.43
402,TRANSFER,440174.53,C367154893,4786.0,0.0,C685278806,0.0,440174.53
402,CASH_IN,18744.72,C622667548,16120.0,34864.72,C1235914809,2435093.25,2416348.53
402,PAYMENT,12648.7,C559836937,34864.72,22216.02,M1727743044,0.0,0.0
402,PAYMENT,2061.29,C1630024296,120100.0,118038.71,M767679638,0.0,0.0
402,CASH_OUT,42081.94,C2134231040,77170.0,35088.06,C778121464,123538.71,165620.66
402,PAYMENT,28783.75,C1137736390,8064.0,0.0,M1665907622,0.0,0.0
402,CASH_IN,9910.4,C1087241781,70660.0,80570.4,C904259080,0.0,0.0
402,PAYMENT,12965.2,C292117476,69168.0,56202.8,M1370428741,0.0,0.0
402,PAYMENT,381.25,C1862734429,21408.0,21026.75,M1083467230,0.0,0.0
402,CASH_OUT,192257.41,C460955731,198283.0,6025.59,C1347451265,1386480.49,1578737.91
402,PAYMENT,10101.34,C852859716,6025.59,0.0,M1704452793,0.0,0.0
402,CASH_OUT,229410.49,C114213184,21715.0,0.0,C1997327091,559243.49,788653.98
402,TRANSFER,1589527.53,C1348702962,49906.0,0.0,C1886793678,155059.39,1744586.92
402,CASH_OUT,101619.22,C1316105217,21087.0,0.0,C1702788229,1.367832985E7,1.377994907E7
402,PAYMENT,13499.7,C338333020,0.0,0.0,M1679727192,0.0,0.0
402,CASH_OUT,113028.28,C681992235,4295.0,0.0,C1467894401,338664.45,451692.72
402,CASH_IN,150301.43,C2003522330,20692.0,170993.43,C2088346408,265887.57,115586.15
402,CASH_OUT,102906.24,C938172614,28827.0,0.0,C326832696,122313.41,251118.2
402,TRANSFER,325021.35,C666366009,0.0,0.0,C403337298,1214054.64,1539075.99
402,PAYMENT,8042.99,C1007385564,2175.0,0.0,M290790596,0.0,0.0
402,CASH_OUT,67213.79,C2111087480,62044.0,0.0,C1533990535,422453.47,489667.26
402,CASH_OUT,182145.58,C1710924483,50936.0,0.0,C592630033,0.0,182145.58
402,CASH_IN,262722.27,C46719035,199596.0,462318.27,C1917637334,50452.31,0.0
402,PAYMENT,5743.61,C1002602394,30552.0,24808.39,M1674958073,0.0,0.0
402,CASH_OUT,222.93,C1401528058,24808.39,24585.46,C1327273706,799202.52,799425.45
402,CASH_OUT,203649.13,C377841032,24585.46,0.0,C1448987121,936833.81,1426957.95
402,CASH_OUT,213387.14,C1049880173,0.0,0.0,C1710449226,358194.41,571581.55
