step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
550,PAYMENT,7775.63,C1516240520,156.0,0.0,M1605682056,0.0,0.0
550,PAYMENT,2699.76,C697650359,867.0,0.0,M1096956238,0.0,0.0
550,TRANSFER,142420.77,C1684812884,1081.0,0.0,C2049600207,4136945.64,4279366.41
550,PAYMENT,8825.83,C490542034,42230.0,33404.17,M508429366,0.0,0.0
550,PAYMENT,4338.11,C1312220920,373.0,0.0,M1274914302,0.0,0.0
550,CASH_OUT,134562.84,C1043045584,41047.0,0.0,C752161697,2173677.87,2308240.71
550,PAYMENT,17047.24,C1344950423,47611.0,30563.76,M693267788,0.0,0.0
550,CASH_OUT,94446.9,C262602701,66742.0,0.0,C140006073,346825.15,441272.05
550,PAYMENT,6065.33,C1837711349,1092.0,0.0,M1873114171,0.0,0.0
550,PAYMENT,7852.08,C1437031566,20194.0,12341.92,M1833404768,0.0,0.0
550,CASH_OUT,35897.8,C1226139050,25712.0,0.0,C96312142,0.0,35897.8
550,PAYMENT,11700.93,C232113183,0.0,0.0,M1652144647,0.0,0.0
550,PAYMENT,18269.96,C858010529,17331.0,0.0,M1375615066,0.0,0.0
550,CASH_OUT,17148.88,C1915284294,11015.0,0.0,C941240818,250446.4,267595.28
550,CASH_OUT,144557.06,C1563352710,0.0,0.0,C1253559660,872217.93,1016774.99
550,PAYMENT,449.32,C1334138809,74.0,0.0,M1872333563,0.0,0.0
550,PAYMENT,12467.17,C1516121749,129148.0,116680.83,M1907294646,0.0,0.0
550,PAYMENT,2385.89,C351451301,113842.0,111456.11,M933181074,0.0,0.0
550,PAYMENT,4313.87,C480156786,72084.0,67770.13,M364219622,0.0,0.0
550,CASH_OUT,186715.62,C344144229,26671.0,0.0,C1484708826,632756.74,819472.36
550,PAYMENT,2484.34,C1516676801,0.0,0.0,M854842611,0.0,0.0
550,TRANSFER,64412.26,C186164471,73458.0,9045.74,C1615619256,147731.57,212143.84
550,PAYMENT,3638.37,C115207392,1095.0,0.0,M1776423508,0.0,0.0
550,PAYMENT,9619.33,C1171935199,10880.0,1260.67,M195781775,0.0,0.0
550,CASH_OUT,253819.2,C1660433398,1260.67,0.0,C1598788474,289013.11,542832.31
550,PAYMENT,14037.6,C468839759,467.0,0.0,M214101337,0.0,0.0
550,PAYMENT,15053.36,C1545437010,10104.0,0.0,M2136576164,0.0,0.0
550,PAYMENT,6829.36,C1809224085,9991.0,3161.64,M1885671827,0.0,0.0
550,PAYMENT,7314.39,C1194661666,20649.0,13334.61,M1952080848,0.0,0.0
550,PAYMENT,9350.45,C736038647,9.0,0.0,M1936620438,0.0,0.0
550,PAYMENT,6539.36,C479063774,20878.0,14338.64,M997087868,0.0,0.0
550,PAYMENT,15195.96,C1754612560,10984.0,0.0,M1755789087,0.0,0.0
550,CASH_OUT,232958.9,C464506827,54229.0,0.0,C1803738630,3486398.96,3719357.86
550,PAYMENT,9486.85,C1381747576,200395.0,190908.15,M269913504,0.0,0.0
550,PAYMENT,8725.42,C1104695154,27883.0,19157.58,M611057941,0.0,0.0
550,CASH_OUT,87487.47,C685772523,19157.58,0.0,C920749173,7103181.14,7190668.61
550,PAYMENT,4351.51,C213904858,38.0,0.0,M262111456,0.0,0.0
550,CASH_OUT,42881.97,C1270828207,69580.0,26698.03,C1475938105,58718.0,101599.97
550,PAYMENT,8359.93,C1669366885,137542.0,129182.07,M270693618,0.0,0.0
550,PAYMENT,11473.12,C1665760918,129182.07,117708.96,M1377999972,0.0,0.0
550,PAYMENT,15704.62,C895912425,72698.0,56993.38,M912322131,0.0,0.0
550,PAYMENT,10620.37,C519408583,157576.0,146955.63,M1492313537,0.0,0.0
550,PAYMENT,12021.44,C1507460855,82168.0,70146.56,M1752787433,0.0,0.0
550,CASH_OUT,74148.92,C1524657298,691.0,0.0,C1524127387,383296.41,457445.33
550,PAYMENT,15211.15,C368264930,0.0,0.0,M479663893,0.0,0.0
550,PAYMENT,2336.01,C1065489231,20084.0,17747.99,M1725922513,0.0,0.0
550,DEBIT,3362.05,C1771365054,1101.0,0.0,C1445395724,1.029947256E7,1.030283461E7
550,PAYMENT,11552.63,C1302294310,0.0,0.0,M1646790065,0.0,0.0
550,CASH_OUT,279114.56,C2139931857,13787.0,0.0,C2021192464,0.0,279114.56
550,TRANSFER,204133.83,C826493068,37563.0,0.0,C577405550,0.0,204133.83
550,PAYMENT,3420.88,C127133661,0.0,0.0,M632586003,0.0,0.0
550,CASH_IN,101992.52,C1015516472,15783.0,117775.52,C133053405,4064742.49,3962749.97
550,PAYMENT,14553.95,C388736268,294337.0,279783.05,M262018363,0.0,0.0
550,CASH_OUT,90233.95,C164933436,279783.05,189549.1,C621710049,7567572.67,7657806.61
550,CASH_OUT,199687.55,C154803571,189549.1,0.0,C1036338208,1162417.74,1362105.29
550,CASH_OUT,117370.68,C1140050589,0.0,0.0,C1452836945,447331.0,564701.68
