step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
441,TRANSFER,5429153.98,C2027207246,5429153.98,0.0,C1388180627,0.0,0.0
441,CASH_OUT,5429153.98,C415854001,5429153.98,0.0,C655461013,0.0,5429153.98
441,TRANSFER,1043934.97,C408079205,1043934.97,0.0,C1354584978,0.0,0.0
441,CASH_OUT,1043934.97,C2096913355,1043934.97,0.0,C1234389458,9298003.36,1.034193833E7
441,TRANSFER,107363.54,C564631760,107363.54,0.0,C43570912,0.0,0.0
441,CASH_OUT,107363.54,C1926290864,107363.54,0.0,C1072661124,254832.73,362196.27
441,TRANSFER,1032168.79,C2086087020,1032168.79,0.0,C1085840721,0.0,0.0
441,CASH_OUT,1032168.79,C1659569966,1032168.79,0.0,C1072956803,805209.56,1837378.34
441,TRANSFER,739856.92,C2140627643,739856.92,0.0,C1356176375,0.0,0.0
441,CASH_OUT,739856.92,C199105956,739856.92,0.0,C695036887,0.0,739856.92
