step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
594,CASH_OUT,191843.86,C1494200888,160947.0,0.0,C1277530807,29719.67,221563.53
594,CASH_OUT,116023.6,C937281039,61545.0,0.0,C833179044,315440.9,431464.5
594,CASH_OUT,219634.78,C1994895684,31743.0,0.0,C298113011,189330.26,408965.04
594,CASH_OUT,117308.84,C412546434,64.0,0.0,C980558835,0.0,117308.84
594,CASH_OUT,295371.35,C1017912026,145578.0,0.0,C215504530,0.0,295371.35
594,PAYMENT,2903.54,C1704484606,11021.0,8117.46,M784248472,0.0,0.0
594,PAYMENT,19784.15,C19625000,8117.46,0.0,M1569575965,0.0,0.0
594,PAYMENT,1655.7,C2051350268,0.0,0.0,M559195458,0.0,0.0
594,CASH_OUT,164724.1,C2063867764,25275.0,0.0,C247445098,165369.79,330093.88
594,CASH_OUT,362190.07,C1209667893,629648.0,267457.93,C501918070,545900.77,908090.84
594,CASH_OUT,144250.33,C444220468,9038.0,0.0,C743738321,2687821.07,2832071.39
594,PAYMENT,8116.16,C511741068,0.0,0.0,M1168433047,0.0,0.0
594,CASH_IN,124729.74,C1563426223,20049.0,144778.74,C274145858,0.0,0.0
594,PAYMENT,932.62,C364661210,144778.74,143846.12,M264393485,0.0,0.0
594,PAYMENT,3786.89,C1828285701,143846.12,140059.23,M1310271408,0.0,0.0
594,PAYMENT,2232.71,C966542640,140059.23,137826.52,M618341173,0.0,0.0
594,PAYMENT,5827.02,C65926126,137826.52,131999.5,M72245380,0.0,0.0
594,PAYMENT,23393.4,C1595937016,131999.5,108606.1,M572474018,0.0,0.0
594,PAYMENT,8634.89,C1317123980,108606.1,99971.21,M968664216,0.0,0.0
594,PAYMENT,8883.56,C1724171399,99971.21,91087.65,M1041666223,0.0,0.0
594,PAYMENT,1193.25,C2112384310,91087.65,89894.4,M556572279,0.0,0.0
594,PAYMENT,28416.37,C1636599337,89894.4,61478.03,M1796600159,0.0,0.0
594,PAYMENT,12404.98,C1437245654,61478.03,49073.05,M271602482,0.0,0.0
594,CASH_OUT,43084.51,C361243347,111647.0,68562.49,C1432849462,74157.71,117242.22
594,CASH_OUT,126625.92,C1372829236,167552.0,40926.08,C1036612207,56389.2,183015.11
594,PAYMENT,12050.49,C1367281864,45822.0,33771.51,M1128554518,0.0,0.0
594,CASH_OUT,50644.96,C395201559,33771.51,0.0,C1665904947,289783.36,340428.32
594,CASH_OUT,87214.67,C1537227460,410089.0,322874.33,C951037715,168035.46,255250.13
594,CASH_IN,137209.21,C1919981608,498.0,137707.21,C747836133,320139.99,182930.78
594,CASH_IN,231958.73,C307495584,137707.21,369665.94,C1032857519,277822.53,45863.8
594,CASH_IN,61795.53,C2011109897,369665.94,431461.47,C333489726,90719.38,28923.85
594,CASH_IN,32038.67,C770930732,431461.47,463500.13,C200227681,489265.11,457226.45
594,CASH_IN,201068.68,C1538528354,463500.13,664568.82,C1515832224,556423.26,355354.58
594,CASH_IN,286451.84,C1766280374,664568.82,951020.66,C790438788,3372733.07,3086281.23
594,CASH_IN,28659.6,C1724325061,951020.66,979680.26,C1279988250,409401.39,380741.79
594,CASH_IN,187622.67,C1346578985,979680.26,1167302.92,C1765379978,537420.83,349798.17
594,CASH_IN,303861.78,C724513607,1167302.92,1471164.71,C911961905,1.452638774E7,1.422252596E7
594,CASH_IN,143712.31,C2019485800,1471164.71,1614877.02,C118762766,186760.18,43047.87
594,CASH_IN,235856.11,C648147602,1614877.02,1850733.12,C727801303,1.385078904E7,1.361493294E7
594,CASH_IN,172349.57,C1878693389,1850733.12,2023082.69,C272615856,562313.68,389964.11
