step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
203,CASH_OUT,126156.12,C1180129706,37136.0,0.0,C581652589,209533.17,335689.29
203,CASH_OUT,206877.96,C1642425089,46151.0,0.0,C1290807280,161197.0,368074.96
203,TRANSFER,531469.61,C1513663479,81980.0,0.0,C232839882,1387162.79,1918632.41
203,PAYMENT,8485.23,C691614159,121887.0,113401.77,M1432336203,0.0,0.0
203,CASH_IN,45858.39,C531129218,40906.0,86764.39,C1191372904,0.0,0.0
203,PAYMENT,9149.47,C5248147,86764.39,77614.91,M1619524127,0.0,0.0
203,CASH_IN,117625.61,C1221258411,30674.0,148299.61,C807890663,59386.08,0.0
203,PAYMENT,9266.83,C337781315,148299.61,139032.78,M349591768,0.0,0.0
203,PAYMENT,7926.67,C1264455519,155339.0,147412.33,M1424887083,0.0,0.0
203,PAYMENT,10073.89,C1373314511,147412.33,137338.44,M2003668916,0.0,0.0
203,PAYMENT,7516.93,C1282560753,137338.44,129821.52,M1750173953,0.0,0.0
203,PAYMENT,4456.55,C1634583713,129821.52,125364.97,M2053564183,0.0,0.0
203,PAYMENT,23507.78,C610125680,125364.97,101857.19,M1075862395,0.0,0.0
203,PAYMENT,11520.34,C1340593938,101857.19,90336.85,M41209766,0.0,0.0
203,CASH_OUT,96537.93,C1222176479,170.0,0.0,C1691482020,1092406.05,1188943.97
203,CASH_OUT,74138.14,C174165820,30932.0,0.0,C1762190243,0.0,74138.14
203,CASH_IN,47430.85,C2077197861,6828.0,54258.85,C855754880,5038835.64,4991404.79
203,PAYMENT,15440.85,C1600290565,35641.0,20200.15,M1355013152,0.0,0.0
203,TRANSFER,396698.48,C1448980843,20341.0,0.0,C1140581642,0.0,396698.48
203,CASH_OUT,19574.59,C1369762603,132.0,0.0,C905089798,0.0,19574.59
203,CASH_OUT,228394.69,C502410317,10729.0,0.0,C898727462,1644025.04,1872419.73
203,PAYMENT,805.73,C1394524431,11654.0,10848.27,M1752429806,0.0,0.0
203,CASH_OUT,88930.75,C519612280,221585.0,132654.25,C1811864239,0.0,88930.75
203,CASH_OUT,325661.4,C308568238,21224.0,0.0,C1574251078,0.0,325661.4
203,PAYMENT,11616.56,C936893780,0.0,0.0,M1081379780,0.0,0.0
203,PAYMENT,3450.53,C468461525,52111.0,48660.47,M708597014,0.0,0.0
203,CASH_OUT,500530.17,C596115576,32216.0,0.0,C150476627,26554.58,527084.75
203,CASH_OUT,257921.85,C1195804006,0.0,0.0,C471762550,264326.09,796195.06
203,CASH_OUT,55255.05,C1039057108,0.0,0.0,C461890468,1356165.7,1411420.75
203,CASH_OUT,165996.51,C1966253722,354115.0,188118.49,C1877077680,214939.92,380936.43
203,CASH_IN,98981.38,C383447940,11031.0,110012.38,C1063874778,21198.0,0.0
203,CASH_OUT,212953.72,C1698969996,106135.0,0.0,C1239954897,0.0,212953.72
203,CASH_OUT,51158.6,C778550672,0.0,0.0,C331592741,1506752.38,1557910.98
203,CASH_OUT,8732.19,C1308743856,318452.0,309719.81,C961915120,0.0,8732.19
203,CASH_OUT,55407.73,C252072999,83649.0,28241.27,C1332620389,42183.09,97590.82
203,PAYMENT,3553.92,C1271567378,51304.0,47750.08,M1490172870,0.0,0.0
203,CASH_IN,306855.56,C416721972,47155.0,354010.56,C760966441,0.0,0.0
203,CASH_OUT,37377.06,C634156133,89.0,0.0,C290559240,63783.26,101160.32
203,CASH_OUT,50043.04,C976821962,56589.0,6545.96,C427506045,597255.89,647298.93
203,CASH_OUT,162795.75,C1945898560,6545.96,0.0,C1577853962,267613.16,430408.91
203,CASH_OUT,54659.62,C1583790855,79642.0,24982.38,C1643217162,1944085.64,1998745.25
203,TRANSFER,161926.52,C407864306,55103.0,0.0,C839893502,319135.55,481062.07
203,PAYMENT,13225.77,C1794244991,0.0,0.0,M2045742191,0.0,0.0
