step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
328,CASH_IN,18571.36,C1817328121,82738.0,101309.36,C1105426698,0.0,0.0
328,CASH_OUT,274092.36,C2040808274,44207.0,0.0,C2144089404,0.0,274092.36
328,CASH_OUT,335478.87,C1997908581,0.0,0.0,C1540941262,642170.55,977649.41
328,CASH_OUT,54643.0,C62902018,0.0,0.0,C1795689687,148075.16,202718.17
328,CASH_OUT,163788.19,C2120201085,41583.0,0.0,C730324259,0.0,6095.35
328,PAYMENT,23688.25,C624607543,11890.0,0.0,M2133197175,0.0,0.0
328,CASH_OUT,78218.77,C43783758,32253.0,0.0,C461338461,568592.2,646810.97
328,CASH_OUT,169553.54,C22776123,78.0,0.0,C533759082,0.0,169553.54
328,CASH_OUT,313148.52,C1922810718,11454.0,0.0,C814947341,46403.61,359552.13
328,CASH_OUT,323989.07,C1039747523,21433.0,0.0,C1245478798,358353.43,682342.51
328,CASH_OUT,225807.41,C1597314644,6069.0,0.0,C968552354,225408.43,451215.84
328,CASH_IN,216341.23,C49962712,30676.0,247017.23,C1759183585,0.0,0.0
328,PAYMENT,19876.07,C777518314,247017.23,227141.16,M1503072178,0.0,0.0
328,CASH_IN,149630.24,C786900322,10239.0,159869.24,C339295713,0.0,0.0
328,PAYMENT,43792.47,C2126230264,117324.0,73531.53,M1864016233,0.0,0.0
328,PAYMENT,41575.25,C244439463,101612.0,60036.75,M424288546,0.0,0.0
328,CASH_OUT,94436.19,C986020993,136743.0,42306.81,C385619969,769792.68,864228.87
328,PAYMENT,32037.52,C7246681,42306.81,10269.29,M11677202,0.0,0.0
328,CASH_IN,149380.65,C1220103191,106143.0,255523.65,C2143681784,16677.53,0.0
328,CASH_IN,150044.92,C1493762293,23505.0,173549.92,C330770139,242601.78,92556.86
328,PAYMENT,21267.25,C763995350,173549.92,152282.67,M1012587979,0.0,0.0
328,PAYMENT,2237.21,C1048704931,1581.0,0.0,M798905902,0.0,0.0
328,PAYMENT,32449.54,C1330767903,204304.0,171854.46,M621793467,0.0,0.0
328,CASH_OUT,95414.12,C335681366,171854.46,76440.34,C600512569,2058614.75,2154028.86
328,CASH_OUT,410139.65,C1240468702,152990.0,0.0,C618152096,0.0,410139.65
328,CASH_IN,92323.43,C153158895,41039.0,133362.43,C2144034507,117510.11,25186.67
328,PAYMENT,21011.29,C1383110520,133362.43,112351.15,M1447854791,0.0,0.0
328,CASH_OUT,86221.42,C521400876,29753.0,0.0,C493451095,0.0,86221.42
328,CASH_OUT,146376.35,C513051485,52290.0,0.0,C1071037287,0.0,146376.35
328,TRANSFER,968005.19,C1216939168,0.0,0.0,C285874272,1210208.37,2178213.56
328,TRANSFER,433924.25,C2053238220,0.0,0.0,C1193812640,440266.8,874191.05
328,CASH_OUT,66188.97,C2053366334,10410.0,0.0,C1634853591,780720.16,846909.13
328,PAYMENT,21218.77,C1083654220,90407.0,69188.23,M1077666042,0.0,0.0
328,CASH_OUT,272934.69,C901868220,809990.0,537055.31,C919789335,5756162.09,6029096.78
328,CASH_IN,357238.55,C1356209192,673.0,357911.55,C1644530569,1938523.27,1581284.73
328,CASH_OUT,189620.02,C716813150,85372.0,0.0,C1800824101,2292226.45,2481846.47
328,PAYMENT,12151.02,C890944195,0.0,0.0,M187740758,0.0,0.0
328,PAYMENT,18000.3,C1801967684,0.0,0.0,M212055349,0.0,0.0
328,PAYMENT,9518.14,C1812974272,0.0,0.0,M1646491413,0.0,0.0
328,PAYMENT,12413.76,C936584941,0.0,0.0,M642266943,0.0,0.0
328,PAYMENT,7671.53,C881045756,0.0,0.0,M1298264742,0.0,0.0
328,PAYMENT,9333.65,C1663783337,0.0,0.0,M71136060,0.0,0.0
328,PAYMENT,6626.05,C756033303,0.0,0.0,M1873155281,0.0,0.0
328,PAYMENT,10762.74,C1455007381,0.0,0.0,M972196845,0.0,0.0
328,PAYMENT,4740.02,C360069979,0.0,0.0,M1244247480,0.0,0.0
328,PAYMENT,13630.91,C1371484006,0.0,0.0,M2092923743,0.0,0.0
328,PAYMENT,6367.2,C1480014704,0.0,0.0,M1597292987,0.0,0.0
328,PAYMENT,53439.69,C2010644772,0.0,0.0,M1882913027,0.0,0.0
328,PAYMENT,7498.37,C288858319,0.0,0.0,M1752666699,0.0,0.0
328,PAYMENT,2527.44,C1603370816,0.0,0.0,M2026141520,0.0,0.0
328,PAYMENT,15306.88,C1423544671,0.0,0.0,M6861893,0.0,0.0
328,PAYMENT,3142.71,C1415028855,0.0,0.0,M259138394,0.0,0.0
328,PAYMENT,9035.15,C398006402,0.0,0.0,M1379294380,0.0,0.0
328,PAYMENT,1989.48,C998967941,0.0,0.0,M628987485,0.0,0.0
328,PAYMENT,2296.63,C2053109624,0.0,0.0,M451676067,0.0,0.0
328,PAYMENT,6346.13,C2035345753,0.0,0.0,M819349328,0.0,0.0
328,PAYMENT,840.55,C892830213,0.0,0.0,M1327258143,0.0,0.0
328,PAYMENT,5362.46,C829974660,0.0,0.0,M865486140,0.0,0.0
328,PAYMENT,3812.75,C985190113,0.0,0.0,M400140043,0.0,0.0
328,CASH_IN,476323.55,C1696055612,19002.0,495325.55,C850786645,0.0,0.0
328,CASH_OUT,339300.53,C1680463623,5003.0,0.0,C611141625,161819.08,501119.61
328,CASH_OUT,278737.98,C404406949,0.0,0.0,C2137543431,2410563.8,2689301.78
328,PAYMENT,21525.62,C1117904722,76598.0,55072.38,M426043419,0.0,0.0
328,CASH_IN,112637.13,C861898207,55072.38,167709.51,C1019297005,2864599.37,2751962.24
328,CASH_IN,45279.21,C2107533051,167709.51,212988.72,C270351472,6274689.01,6229409.8
328,CASH_IN,9397.22,C831090005,212988.72,222385.94,C416777209,119578.64,110181.42
328,CASH_IN,174746.4,C252931919,222385.94,397132.34,C1191007523,180625.4,5879.0
328,CASH_IN,106476.44,C1085104655,397132.34,503608.78,C1801476782,768330.22,661853.78
328,CASH_IN,91781.5,C1309306207,503608.78,595390.28,C81942206,2276212.79,2184431.29
328,CASH_IN,220557.87,C873681422,595390.28,815948.15,C969603173,557474.36,336916.49
