step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
118,TRANSFER,50845.13,C267854618,50845.13,0.0,C1253405980,0.0,0.0
118,CASH_OUT,50845.13,C835169130,50845.13,0.0,C574444599,2739530.31,2790375.44
118,TRANSFER,1.0E7,C611232899,1.181216142E7,1812161.42,C1347105871,0.0,0.0
118,CASH_OUT,1.0E7,C1348396248,1.0E7,0.0,C1954217280,0.0,1.0E7
118,TRANSFER,1812161.42,C1720181306,1812161.42,0.0,C498618435,0.0,0.0
118,CASH_OUT,1812161.42,C1788320123,1812161.42,0.0,C1343134099,0.0,1812161.42
118,TRANSFER,167963.64,C994847262,167963.64,0.0,C1096030644,0.0,0.0
118,CASH_OUT,167963.64,C471032203,167963.64,0.0,C209868118,0.0,167963.64
118,TRANSFER,897427.17,C1163712001,897427.17,0.0,C2016806245,0.0,0.0
118,CASH_OUT,897427.17,C332841872,897427.17,0.0,C1015137341,75092.82,972520.0
118,TRANSFER,3794763.63,C1987271305,3794763.63,0.0,C1225791278,0.0,0.0
118,CASH_OUT,3794763.63,C1592208539,3794763.63,0.0,C416664710,250142.64,4044906.27
