step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
146,PAYMENT,6141.38,C1998122812,93296.0,87154.62,M1553091727,0.0,0.0
146,DEBIT,5710.04,C1635766671,14701.0,8990.96,C1614371604,2608341.36,2614051.4
146,DEBIT,3209.52,C1041282867,31209.0,27999.48,C1438057097,261815.29,265024.81
146,CASH_IN,92017.74,C239193794,27999.48,120017.22,C1319409095,4050194.26,3958176.52
146,CASH_IN,479221.26,C1081679281,120017.22,599238.48,C563938666,3776226.79,3297005.53
146,CASH_IN,192281.68,C1603620760,599238.48,791520.15,C468542785,355932.48,163650.8
146,CASH_IN,455378.93,C1678230134,791520.15,1246899.09,C330275881,3533200.59,3077821.65
146,CASH_IN,228776.53,C1689266154,1246899.09,1475675.62,C1996054719,680162.94,451386.41
146,CASH_IN,246374.58,C1823226456,1475675.62,1722050.2,C521313702,256954.59,10580.01
146,CASH_IN,262858.07,C430985690,1722050.2,1984908.27,C1733012681,969213.41,706355.34
146,CASH_IN,169453.67,C1140729064,1984908.27,2154361.94,C216127664,3435806.01,3266352.33
146,CASH_IN,181540.85,C638895114,2154361.94,2335902.8,C866006386,334538.16,152997.3
146,CASH_IN,80746.3,C728192106,2335902.8,2416649.1,C891272051,175925.28,95178.98
146,CASH_IN,298258.58,C809696861,2416649.1,2714907.68,C1479096872,425019.14,126760.56
146,CASH_IN,8505.11,C44651993,2714907.68,2723412.79,C1370183104,34430.28,25925.17
146,CASH_IN,4181.9,C43902226,2723412.79,2727594.7,C544949590,5194639.32,5190457.41
146,CASH_IN,298056.06,C331887919,2727594.7,3025650.76,C834130015,654284.94,356228.88
146,CASH_IN,39077.66,C887066909,3025650.76,3064728.42,C1859764382,4141526.6,4102448.93
146,CASH_IN,242706.46,C2081430978,3064728.42,3307434.88,C1171693788,1199560.87,956854.41
146,CASH_IN,208986.92,C298373671,3307434.88,3516421.8,C972370177,836721.89,627734.97
146,CASH_IN,115332.71,C1140587644,3516421.8,3631754.5,C551209075,1049153.28,933820.57
146,CASH_IN,156118.99,C199547495,3631754.5,3787873.49,C1974576651,1921997.84,1765878.85
146,CASH_IN,28546.46,C2011572436,3787873.49,3816419.95,C335408919,643110.22,614563.76
146,CASH_IN,33516.27,C552109541,3816419.95,3849936.22,C1001831525,418452.37,384936.09
146,CASH_IN,320628.73,C1013749144,3849936.22,4170564.95,C2133068911,1467605.95,1146977.22
146,CASH_IN,204298.28,C292964240,4170564.95,4374863.23,C2082819525,649096.31,444798.03
146,CASH_IN,17907.39,C1460694498,4374863.23,4392770.62,C1394052361,447696.46,429789.07
146,CASH_IN,625104.22,C858987848,4392770.62,5017874.85,C1750787180,1846121.06,1221016.83
146,CASH_IN,19218.77,C1806405347,5017874.85,5037093.61,C1587264925,4182359.81,4163141.05
146,CASH_IN,85420.11,C1212288705,5037093.61,5122513.72,C629168510,1394643.4,1309223.3
146,CASH_IN,63244.59,C476648790,5122513.72,5185758.31,C886027023,252344.33,189099.74
146,CASH_IN,126232.59,C924549838,5185758.31,5311990.9,C54608079,304792.3,178559.72
146,CASH_IN,286184.7,C15781464,5311990.9,5598175.6,C171159400,370234.36,84049.65
146,CASH_IN,154406.78,C1478294657,5598175.6,5752582.39,C1695655997,1477624.89,1323218.11
146,CASH_IN,67026.92,C202080625,5752582.39,5819609.3,C1223529864,1805604.55,1738577.64
146,CASH_IN,324651.31,C1743617996,5819609.3,6144260.61,C1486723383,1156843.51,832192.2
146,CASH_IN,112036.52,C1642721127,6144260.61,6256297.13,C1733205881,719636.11,607599.59
146,CASH_IN,97793.7,C1580134191,6256297.13,6354090.83,C627592484,431071.07,333277.37
146,CASH_IN,206439.87,C243199378,6354090.83,6560530.7,C1859247449,445525.96,239086.09
146,CASH_IN,353716.67,C48357518,6560530.7,6914247.37,C181664679,2401477.72,2047761.06
146,CASH_IN,214654.69,C744338786,6914247.37,7128902.06,C1022619788,254938.75,40284.06
146,CASH_IN,50923.03,C86204497,7128902.06,7179825.09,C101871793,2814539.92,2763616.89
146,CASH_IN,147148.92,C2093489946,7179825.09,7326974.0,C1910508103,240478.39,93329.48
146,CASH_IN,316698.48,C1906337181,7326974.0,7643672.49,C1142600176,343219.85,26521.37
146,CASH_IN,321874.76,C806824046,7643672.49,7965547.25,C861141236,1017444.05,695569.29
146,CASH_IN,23203.3,C782825429,7965547.25,7988750.55,C2142748198,7841314.06,7818110.76
146,CASH_IN,242958.21,C312741333,7988750.55,8231708.76,C586663235,3567488.78,3324530.57
146,CASH_IN,70894.16,C1624903313,8231708.76,8302602.92,C115186930,168557.63,97663.47
146,CASH_IN,50468.44,C1770462908,8302602.92,8353071.36,C1843036676,152726.63,102258.19
146,CASH_IN,167806.13,C16271878,8353071.36,8520877.49,C738912296,391287.94,223481.81
146,CASH_IN,62862.84,C838874473,8520877.49,8583740.33,C38409832,898185.96,835323.12
146,CASH_IN,9471.61,C43911998,8583740.33,8593211.95,C819909511,2257064.22,2247592.6
146,CASH_IN,40846.05,C1396545327,8593211.95,8634057.99,C905271171,4162549.8,4121703.75
146,CASH_IN,21720.8,C299323188,8634057.99,8655778.79,C804533723,964227.01,942506.22
146,CASH_IN,39519.35,C584031002,8655778.79,8695298.13,C1396901393,97270.79,57751.44
146,CASH_IN,55753.94,C1350218630,8695298.13,8751052.07,C731607418,1542393.12,1486639.19
146,CASH_IN,103648.14,C1866580553,8751052.07,8854700.21,C2025775972,1486941.79,1383293.65
146,CASH_IN,377276.2,C1145343610,8854700.21,9231976.41,C663548282,6506923.11,6129646.91
146,CASH_IN,218877.65,C445500067,9231976.41,9450854.05,C366061880,470849.52,251971.87
146,CASH_IN,323175.89,C527346935,9450854.05,9774029.95,C1133520647,2440391.1,2117215.21
146,CASH_IN,200720.12,C2119988953,9774029.95,9974750.07,C900268372,1181533.14,980813.02
146,CASH_IN,147074.26,C512430134,9974750.07,1.012182433E7,C1480968030,5400210.29,5253136.03
146,CASH_IN,198600.09,C1780943254,1.012182433E7,1.032042442E7,C1401445535,283873.98,85273.89
146,CASH_IN,27063.98,C4458801,1.032042442E7,1.03474884E7,C1919103259,1650579.05,1623515.07
146,CASH_IN,204861.09,C489901406,1.03474884E7,1.055234949E7,C1770272060,305596.52,100735.43
146,CASH_IN,136042.47,C1543496814,1.055234949E7,1.068839196E7,C18233398,625392.67,489350.2
146,CASH_IN,274238.73,C155594046,1.068839196E7,1.09626307E7,C1476871891,3849932.35,3575693.61
146,CASH_IN,115361.72,C703307942,1.09626307E7,1.107799241E7,C192334384,130818.97,15457.25
146,CASH_IN,226435.9,C775246200,1.107799241E7,1.130442832E7,C1488948271,992445.89,766009.99
146,CASH_IN,46055.07,C181214276,1.130442832E7,1.135048338E7,C482215297,165063.89,119008.82
146,CASH_IN,280685.75,C853209086,1.135048338E7,1.163116914E7,C1091916245,444643.27,163957.52
146,CASH_IN,185771.73,C1187026835,1.163116914E7,1.181694087E7,C358666396,694359.76,508588.03
146,PAYMENT,4707.82,C1123721378,62367.0,57659.18,M548912005,0.0,0.0
146,TRANSFER,113821.77,C1455898165,399289.0,285467.23,C1373942378,0.0,113821.77
146,DEBIT,4099.58,C1144223219,32460.0,28360.42,C1699301595,2440238.59,2444338.17
146,PAYMENT,13009.14,C1990967983,28360.42,15351.28,M1953373053,0.0,0.0
146,CASH_OUT,47714.82,C456631635,72484.0,24769.18,C1501325499,1256085.69,1303800.51
146,PAYMENT,19197.99,C1156892459,24769.18,5571.19,M1818418080,0.0,0.0
146,PAYMENT,6079.2,C1750302882,69936.0,63856.8,M1315483078,0.0,0.0
146,TRANSFER,277635.16,C751302335,19561.0,0.0,C1201053559,0.0,277635.16
146,PAYMENT,12759.55,C1451399004,0.0,0.0,M572541886,0.0,0.0
146,PAYMENT,2065.64,C690869409,20215.0,18149.36,M978103605,0.0,0.0
146,PAYMENT,3885.7,C2025252183,573696.0,569810.3,M1491811396,0.0,0.0
146,PAYMENT,17548.26,C522482468,569810.3,552262.04,M1079918832,0.0,0.0
146,PAYMENT,10927.35,C260938225,31212.0,20284.65,M235248984,0.0,0.0
146,PAYMENT,15581.24,C839152367,35416.0,19834.76,M7339423,0.0,0.0
146,CASH_OUT,6277.08,C1674493554,19834.76,13557.69,C1358668286,361821.79,368098.86
146,CASH_OUT,410218.9,C1090715662,13557.69,0.0,C1735942653,863814.88,1274033.78
146,CASH_OUT,17709.52,C1342280139,0.0,0.0,C560210903,599595.35,617304.87
146,CASH_OUT,223455.7,C796724561,0.0,0.0,C1362604769,1131942.31,1355398.01
146,CASH_OUT,2637.92,C961944546,0.0,0.0,C1992124356,493029.08,495667.0
146,CASH_OUT,7915.95,C1611427766,0.0,0.0,C1927887266,1633121.57,1641037.53
146,CASH_OUT,120330.67,C1012868533,0.0,0.0,C269811226,3401214.41,3521545.08
146,CASH_OUT,244122.76,C2073010410,0.0,0.0,C1770834928,311620.93,555743.69
146,CASH_OUT,237523.57,C1921985906,0.0,0.0,C932810307,770268.06,1007791.63
146,CASH_OUT,210450.19,C1912446282,0.0,0.0,C1147545348,234998.25,445448.44
146,CASH_OUT,256934.44,C885685325,0.0,0.0,C1796998258,1.127103478E7,1.152796922E7
146,CASH_OUT,1300.61,C843322062,0.0,0.0,C802013720,20318.8,21619.41
146,CASH_OUT,24363.9,C959143241,0.0,0.0,C1178751161,1048539.52,1072903.42
146,CASH_OUT,13591.6,C606175467,0.0,0.0,C2052336563,324024.28,337615.88
146,CASH_OUT,114463.44,C1139718198,0.0,0.0,C1344874321,6626856.43,6741319.87
146,CASH_OUT,259321.47,C1370362087,0.0,0.0,C1338183450,287374.65,546696.12
146,CASH_OUT,284835.71,C839700110,0.0,0.0,C1905391052,441824.84,726660.55
146,TRANSFER,229156.61,C436352764,51575.0,0.0,C1001000923,0.0,229156.61
146,PAYMENT,5568.23,C748360322,0.0,0.0,M227739358,0.0,0.0
146,PAYMENT,1531.29,C1505743196,20904.0,19372.71,M1375840577,0.0,0.0
146,PAYMENT,6399.37,C645578369,11896.0,5496.63,M868940134,0.0,0.0
146,PAYMENT,7487.12,C349760370,5496.63,0.0,M1263276809,0.0,0.0
146,PAYMENT,7348.82,C951132759,5300.0,0.0,M1549069806,0.0,0.0
146,PAYMENT,2564.6,C260312685,22733.0,20168.4,M612077775,0.0,0.0
146,PAYMENT,1010.83,C359251341,51141.0,50130.17,M1848187219,0.0,0.0
146,PAYMENT,15173.91,C1097958813,9989.0,0.0,M972327060,0.0,0.0
146,CASH_OUT,57177.85,C1630130162,88940.0,31762.15,C2012829524,0.0,57177.85
146,PAYMENT,19944.96,C1206694149,31762.15,11817.19,M184326408,0.0,0.0
146,PAYMENT,3940.95,C391188715,11817.19,7876.23,M950537132,0.0,0.0
146,PAYMENT,7042.47,C443478309,7876.23,833.76,M1949568953,0.0,0.0
146,PAYMENT,35342.58,C1811779484,833.76,0.0,M326110244,0.0,0.0
146,PAYMENT,8996.11,C2121932982,0.0,0.0,M711434503,0.0,0.0
146,PAYMENT,8112.2,C769739448,0.0,0.0,M1055093260,0.0,0.0
146,PAYMENT,18750.34,C288594678,0.0,0.0,M105610830,0.0,0.0
146,PAYMENT,735.84,C567824565,0.0,0.0,M76424592,0.0,0.0
146,PAYMENT,9038.03,C157809629,0.0,0.0,M1409506737,0.0,0.0
146,PAYMENT,4443.83,C926806652,0.0,0.0,M1114305454,0.0,0.0
146,PAYMENT,16250.16,C1952792877,0.0,0.0,M986019013,0.0,0.0
