step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
584,PAYMENT,2844.37,C2136140490,86591.0,83746.63,M1876724447,0.0,0.0
584,PAYMENT,11246.86,C923595342,121160.0,109913.14,M1306571068,0.0,0.0
584,CASH_OUT,147030.77,C629933808,2191.0,0.0,C2120621,0.0,147030.77
584,PAYMENT,5001.64,C772668140,0.0,0.0,M2118378465,0.0,0.0
584,PAYMENT,732.03,C912442436,60913.0,60180.97,M1939664894,0.0,0.0
584,PAYMENT,314.33,C839365115,60180.97,59866.64,M1404702897,0.0,0.0
584,PAYMENT,4847.83,C1935326822,103405.0,98557.17,M1739414764,0.0,0.0
584,CASH_OUT,209218.66,C1756012939,98557.17,0.0,C2141080854,1105054.4,1314273.05
584,CASH_IN,29221.94,C1796606903,31705.0,60926.94,C2147062072,4416688.82,4387466.88
584,PAYMENT,9602.67,C1301885245,19623.0,10020.33,M1079926366,0.0,0.0
584,PAYMENT,1268.76,C2110064935,9033.0,7764.24,M651558555,0.0,0.0
584,PAYMENT,7187.26,C583087013,511425.0,504237.74,M283063565,0.0,0.0
584,PAYMENT,2188.61,C1158060544,11449.0,9260.39,M1286505757,0.0,0.0
584,CASH_OUT,40477.48,C1742326582,9260.39,0.0,C1780573864,1767709.78,1808187.25
584,CASH_OUT,587158.72,C247983517,0.0,0.0,C1767471649,4793441.46,5380600.17
584,CASH_OUT,148219.66,C2145427679,0.0,0.0,C1788564309,291861.18,440080.84
584,CASH_OUT,296615.16,C1197364307,0.0,0.0,C1818717576,2657931.91,2954547.07
584,CASH_OUT,143981.87,C1853339637,0.0,0.0,C728770047,1744425.0,1888406.87
584,CASH_OUT,4719.72,C1609372835,0.0,0.0,C263701668,2555733.43,2560453.15
584,CASH_OUT,23241.18,C636592601,0.0,0.0,C939272440,220536.41,243777.58
584,CASH_OUT,291997.47,C272139768,0.0,0.0,C705683278,993185.61,1285183.08
584,CASH_OUT,189089.04,C1126383637,0.0,0.0,C1145758091,1459253.44,1648342.48
584,CASH_OUT,70054.24,C1952189662,0.0,0.0,C945147121,310395.41,380449.65
584,CASH_OUT,192954.13,C1552651493,0.0,0.0,C895376277,7880539.79,8073493.92
584,CASH_OUT,37118.72,C147377609,0.0,0.0,C305538461,247610.37,284729.09
584,CASH_OUT,356751.48,C1370621741,0.0,0.0,C2114773531,1898980.73,2255732.21
584,CASH_OUT,11041.68,C1159514937,0.0,0.0,C540827149,2.313360169E7,2.314464337E7
584,CASH_OUT,284285.01,C1160790979,0.0,0.0,C1656995893,408559.78,692844.78
584,CASH_OUT,255820.54,C198735913,0.0,0.0,C1687897419,1642240.76,1898061.3
584,CASH_OUT,74141.92,C1251118352,0.0,0.0,C1798917187,655797.69,729939.61
584,PAYMENT,4266.53,C1777648248,482623.0,478356.47,M782088926,0.0,0.0
584,PAYMENT,4862.59,C1724683796,11967.0,7104.41,M954756560,0.0,0.0
584,PAYMENT,3814.14,C2009112503,22909.0,19094.86,M877170907,0.0,0.0
584,CASH_IN,88798.65,C909560944,19094.86,107893.51,C858133356,1676373.7,1587575.05
