step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
367,TRANSFER,520500.14,C75004200,520500.14,0.0,C687978944,0.0,0.0
367,CASH_OUT,520500.14,C940330656,520500.14,0.0,C382068653,143040.03,663540.16
367,TRANSFER,240427.17,C1605606339,240427.17,0.0,C1490951962,0.0,0.0
367,CASH_OUT,240427.17,C1541669030,240427.17,0.0,C235660797,41255.61,281682.78
367,TRANSFER,48774.46,C479368139,48774.46,0.0,C342463747,0.0,0.0
367,CASH_OUT,48774.46,C1177659319,48774.46,0.0,C363499391,0.0,48774.46
367,TRANSFER,972009.75,C397472180,972009.75,0.0,C85938481,0.0,0.0
367,CASH_OUT,972009.75,C961270274,972009.75,0.0,C1692249598,298095.31,1270105.06
367,TRANSFER,362672.57,C903484940,362672.57,0.0,C1036408252,0.0,0.0
367,CASH_OUT,362672.57,C1069202179,362672.57,0.0,C1808434552,3.51,362676.08
367,TRANSFER,435867.16,C790089745,435867.16,0.0,C1816333758,0.0,0.0
367,CASH_OUT,435867.16,C1210833971,435867.16,0.0,C363013236,186826.4,622693.55
367,TRANSFER,902483.91,C757385548,902483.91,0.0,C150262836,0.0,0.0
367,CASH_OUT,902483.91,C1202457928,902483.91,0.0,C2142717530,2271023.91,3173507.82
