step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
219,TRANSFER,555731.98,C2046149869,555731.98,0.0,C1910853781,0.0,0.0
219,CASH_OUT,555731.98,C10297666,555731.98,0.0,C412996348,78575.49,634307.48
219,TRANSFER,2312944.11,C1091954556,2312944.11,0.0,C2120902044,0.0,0.0
219,CASH_OUT,2312944.11,C740474912,2312944.11,0.0,C1148944236,0.0,2312944.11
219,TRANSFER,1128131.99,C446483369,1128131.99,0.0,C1847574055,0.0,0.0
219,CASH_OUT,1128131.99,C1399376501,1128131.99,0.0,C114022304,164146.1,1292278.09
219,TRANSFER,248242.32,C1026095459,248242.32,0.0,C1060066770,0.0,0.0
219,CASH_OUT,248242.32,C120655142,248242.32,0.0,C670432443,8007.84,256250.16
219,TRANSFER,36371.77,C2064408554,36371.77,0.0,C1562975084,0.0,0.0
219,CASH_OUT,36371.77,C1856113052,36371.77,0.0,C1590703895,0.0,36371.77
