step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
528,PAYMENT,9518.42,C978718405,50314.0,40795.58,M1436098635,0.0,0.0
528,PAYMENT,4112.99,C1657340216,47.0,0.0,M50985083,0.0,0.0
528,PAYMENT,51.79,C161738489,40346.0,40294.21,M363072766,0.0,0.0
528,TRANSFER,614152.15,C1070473139,40294.21,0.0,C856195498,1009822.0,1623974.15
528,PAYMENT,8725.19,C1942549009,83367.0,74641.81,M1695162039,0.0,0.0
528,PAYMENT,1544.09,C1350319380,65523.0,63978.91,M520127279,0.0,0.0
528,PAYMENT,8853.75,C736928420,53164.0,44310.25,M514256584,0.0,0.0
528,PAYMENT,10168.36,C797172885,298238.0,288069.64,M880874417,0.0,0.0
528,PAYMENT,24978.74,C2058780167,288069.64,263090.9,M1397690167,0.0,0.0
528,PAYMENT,6504.51,C1666772615,325.0,0.0,M1610118598,0.0,0.0
528,CASH_OUT,85648.22,C376929912,0.0,0.0,C234198764,521291.96,606940.18
528,PAYMENT,1104.22,C1030417718,33649.0,32544.78,M425853130,0.0,0.0
528,PAYMENT,3760.1,C94896229,14518.0,10757.9,M671169046,0.0,0.0
528,PAYMENT,12559.37,C1122525565,113.0,0.0,M1258638778,0.0,0.0
528,PAYMENT,10145.9,C250333079,71.0,0.0,M790339030,0.0,0.0
528,PAYMENT,4699.23,C779743937,0.0,0.0,M1332744745,0.0,0.0
528,PAYMENT,3539.98,C536322863,123719.0,120179.02,M1827760170,0.0,0.0
528,PAYMENT,750.22,C226455695,120179.02,119428.79,M1121045075,0.0,0.0
528,PAYMENT,168.67,C1612576765,65992.0,65823.33,M122319852,0.0,0.0
528,PAYMENT,6320.95,C1900515458,30566.0,24245.05,M1023954859,0.0,0.0
528,PAYMENT,10692.82,C841344488,101297.0,90604.18,M1713644883,0.0,0.0
528,PAYMENT,437.35,C732592789,41360.0,40922.65,M1411386716,0.0,0.0
528,PAYMENT,5070.64,C1228384405,73319.0,68248.36,M251531869,0.0,0.0
528,DEBIT,1028.57,C1987620805,30448.0,29419.43,C483695694,78971.22,79999.8
528,PAYMENT,21777.02,C577111739,29419.43,7642.41,M1457615202,0.0,0.0
528,PAYMENT,17922.12,C687078681,7642.41,0.0,M457599301,0.0,0.0
528,PAYMENT,13181.19,C151512904,0.0,0.0,M1420881259,0.0,0.0
528,PAYMENT,12996.5,C1671223761,0.0,0.0,M1270384806,0.0,0.0
528,PAYMENT,10961.13,C2108885822,0.0,0.0,M775649878,0.0,0.0
528,PAYMENT,13758.48,C728525841,0.0,0.0,M614349922,0.0,0.0
528,PAYMENT,4838.03,C1091647796,0.0,0.0,M881656458,0.0,0.0
528,PAYMENT,14832.84,C2085223662,0.0,0.0,M694264361,0.0,0.0
528,PAYMENT,14222.16,C1643243176,0.0,0.0,M1035215182,0.0,0.0
528,PAYMENT,9983.19,C237573274,0.0,0.0,M712875932,0.0,0.0
528,PAYMENT,43367.83,C1146611933,0.0,0.0,M1492455240,0.0,0.0
528,PAYMENT,10270.86,C515788040,0.0,0.0,M1484365884,0.0,0.0
528,PAYMENT,220.51,C596880110,0.0,0.0,M1408003739,0.0,0.0
528,PAYMENT,35809.01,C1062645731,0.0,0.0,M708542581,0.0,0.0
528,PAYMENT,28311.72,C339839750,0.0,0.0,M610903971,0.0,0.0
528,PAYMENT,15387.54,C776613242,0.0,0.0,M1476667630,0.0,0.0
528,PAYMENT,465.67,C1074106707,21394.0,20928.33,M699949647,0.0,0.0
528,PAYMENT,14076.58,C1449573375,20928.33,6851.75,M802994821,0.0,0.0
528,PAYMENT,13334.95,C1136605476,6851.75,0.0,M704614662,0.0,0.0
528,DEBIT,2013.68,C1252355717,52103.0,50089.32,C1847082548,27625.18,29638.86
528,PAYMENT,4627.9,C6811078,51027.0,46399.1,M975930103,0.0,0.0
528,PAYMENT,354.28,C1871270677,99514.0,99159.72,M247060775,0.0,0.0
528,PAYMENT,16249.83,C831458539,99159.72,82909.89,M1473580055,0.0,0.0
528,DEBIT,1347.64,C1919020035,101150.0,99802.36,C825472141,136366.69,137714.33
528,PAYMENT,484.81,C852583305,24863.0,24378.19,M2070993260,0.0,0.0
528,PAYMENT,7779.95,C70965153,40833.0,33053.05,M2043032273,0.0,0.0
528,PAYMENT,6866.13,C1085463371,16778.0,9911.87,M1039450504,0.0,0.0
528,PAYMENT,1878.55,C1864474184,31563.0,29684.45,M658078151,0.0,0.0
528,PAYMENT,23329.01,C1896322792,29684.45,6355.44,M1784996289,0.0,0.0
528,PAYMENT,5965.32,C164950299,4764.0,0.0,M1708086951,0.0,0.0
528,PAYMENT,8886.42,C674380832,9933.0,1046.58,M1704311310,0.0,0.0
528,PAYMENT,7737.84,C1273484174,1046.58,0.0,M1417862715,0.0,0.0
528,PAYMENT,4042.42,C1843932087,235.0,0.0,M635808206,0.0,0.0
528,CASH_OUT,116680.48,C1349219679,0.0,0.0,C191326779,2807707.96,2924388.45
528,CASH_OUT,53472.12,C316283503,0.0,0.0,C552411782,991508.59,1044980.71
528,TRANSFER,140508.91,C1044594192,26731.0,0.0,C2096394167,0.0,140508.91
528,PAYMENT,9405.2,C920669135,396.0,0.0,M1034551745,0.0,0.0
528,PAYMENT,5721.22,C2137095545,33551.0,27829.78,M1492483899,0.0,0.0
528,PAYMENT,10241.41,C1820326361,27829.78,17588.36,M20339102,0.0,0.0
528,PAYMENT,48433.88,C1976071796,17588.36,0.0,M104317777,0.0,0.0
528,PAYMENT,7857.66,C353715071,29916.0,22058.34,M651952874,0.0,0.0
528,PAYMENT,4310.96,C269597587,50227.0,45916.04,M679796619,0.0,0.0
528,PAYMENT,598.52,C397770591,99234.0,98635.48,M1362686993,0.0,0.0
528,CASH_OUT,211924.64,C1281884294,5725.0,0.0,C89003403,1142872.32,1354796.96
528,DEBIT,1505.07,C1117713927,255027.0,253521.93,C1976654799,2568163.46,2569668.53
528,PAYMENT,1167.15,C2129471116,69545.0,68377.85,M1751375164,0.0,0.0
528,PAYMENT,60.3,C1677958278,99996.0,99935.7,M1360552143,0.0,0.0
528,PAYMENT,3007.38,C1180099878,3080.0,72.62,M808082157,0.0,0.0
528,PAYMENT,322.96,C1211434946,24979.0,24656.04,M1513687059,0.0,0.0
528,PAYMENT,1713.5,C733456807,12590.0,10876.5,M1235776270,0.0,0.0
528,DEBIT,1609.56,C692283118,173.0,0.0,C1272718941,483341.73,484951.28
528,PAYMENT,30073.35,C1000905285,0.0,0.0,M759494150,0.0,0.0
528,DEBIT,429.61,C662618275,13997.0,13567.39,C1507025903,48120.93,48550.53
528,PAYMENT,7182.17,C364422836,11489.0,4306.83,M1790803188,0.0,0.0
528,CASH_OUT,499193.5,C1615024995,4306.83,0.0,C1521055859,3406806.83,3906000.34
528,PAYMENT,9184.62,C837413904,6540.0,0.0,M1630822815,0.0,0.0
528,PAYMENT,1815.14,C1617947537,1061.0,0.0,M441283764,0.0,0.0
528,PAYMENT,5434.46,C1689944705,77088.0,71653.54,M641744656,0.0,0.0
528,PAYMENT,774.5,C963406634,222.0,0.0,M1215647847,0.0,0.0
528,PAYMENT,9995.52,C2028694882,165.0,0.0,M1601467856,0.0,0.0
528,CASH_IN,68482.63,C85680175,14745.0,83227.63,C344216386,316387.48,247904.86
528,TRANSFER,392016.71,C1737485955,14782.0,0.0,C1606759893,94316.12,486332.83
528,PAYMENT,5499.53,C1152126829,48885.0,43385.47,M940189917,0.0,0.0
528,CASH_OUT,55248.45,C1716399595,43385.47,0.0,C1994614910,417356.01,472604.46
528,PAYMENT,4501.38,C2116889687,149.0,0.0,M1524532120,0.0,0.0
528,PAYMENT,9343.52,C872092894,10786.0,1442.48,M617436735,0.0,0.0
528,PAYMENT,12453.16,C857053541,1442.48,0.0,M502865628,0.0,0.0
528,PAYMENT,7069.5,C1993319513,9166.0,2096.5,M947746833,0.0,0.0
528,PAYMENT,2481.53,C658243786,114613.0,112131.47,M1927738639,0.0,0.0
528,PAYMENT,6545.7,C2030070374,301408.0,294862.3,M720255143,0.0,0.0
