step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
636,TRANSFER,1455839.54,C357561283,1455839.54,0.0,C1197582921,0.0,0.0
636,CASH_OUT,1455839.54,C487085645,1455839.54,0.0,C576388440,149698.53,1605538.07
636,TRANSFER,729078.34,C1326188637,729078.34,0.0,C1097922403,0.0,0.0
636,CASH_OUT,729078.34,C1723552410,729078.34,0.0,C1531239198,44848.47,773926.81
636,TRANSFER,89657.36,C136634417,89657.36,0.0,C209740901,0.0,0.0
636,CASH_OUT,89657.36,C988422154,89657.36,0.0,C1638592349,4157080.36,4246737.72
636,TRANSFER,654250.76,C440042528,654250.76,0.0,C1075308511,0.0,0.0
636,CASH_OUT,654250.76,C1137855045,654250.76,0.0,C349558333,1218721.44,1872972.21
636,TRANSFER,222517.07,C1817714534,222517.07,0.0,C1843295387,0.0,0.0
636,CASH_OUT,222517.07,C131696791,222517.07,0.0,C1282495156,130580.85,353097.93
636,TRANSFER,146095.73,C1225529288,146095.73,0.0,C1204122756,0.0,0.0
636,CASH_OUT,146095.73,C417197262,146095.73,0.0,C1598093158,0.0,146095.73
