step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
279,CASH_OUT,81619.32,C1741551837,54455.0,0.0,C169784413,251972.88,333592.2
279,TRANSFER,109464.52,C717394108,0.0,0.0,C441398584,1.32988465E7,1.340831102E7
279,CASH_OUT,320919.77,C296032995,3542.0,0.0,C1057935658,0.0,320919.77
279,PAYMENT,2012.83,C1690949956,21099.0,19086.17,M1816841744,0.0,0.0
279,CASH_OUT,30174.22,C1379132501,10346.0,0.0,C709184304,0.0,30174.22
279,CASH_OUT,308292.42,C1811451634,104503.0,0.0,C2000854367,460320.59,768613.01
279,CASH_OUT,29438.39,C1104247088,41554.0,12115.61,C1798879586,829267.67,858706.06
279,PAYMENT,16833.52,C2068907348,11779.0,0.0,M906839847,0.0,0.0
279,CASH_IN,52853.27,C422428682,252837.0,305690.27,C967158926,118022.75,65169.48
279,CASH_OUT,215316.66,C1409229542,164080.0,0.0,C987389710,387916.42,603233.07
279,CASH_OUT,142474.86,C553117288,204001.0,61526.14,C1580918409,129375.19,271850.05
279,PAYMENT,11872.91,C2082453806,45894.0,34021.09,M189074231,0.0,0.0
279,CASH_OUT,117451.79,C562557099,882.0,0.0,C1387695055,3104125.84,3221577.63
279,CASH_OUT,170436.84,C1046255189,128.0,0.0,C47393455,0.0,170436.84
279,CASH_IN,37986.38,C1057721977,0.0,37986.38,C420629091,135518.26,97531.88
279,CASH_IN,153063.05,C473183772,37986.38,191049.42,C325318303,2297640.48,2144577.43
279,CASH_IN,35073.89,C36212633,191049.42,226123.31,C453801174,55994.98,20921.1
279,PAYMENT,8446.35,C1478250423,25925.0,17478.65,M998734475,0.0,0.0
279,PAYMENT,417.96,C104742705,500806.0,500388.04,M1085029416,0.0,0.0
279,PAYMENT,1180.28,C2054660733,500388.04,499207.76,M2057620634,0.0,0.0
279,PAYMENT,2322.26,C219460424,499207.76,496885.5,M746095550,0.0,0.0
279,PAYMENT,2373.9,C1801168902,496885.5,494511.61,M935819755,0.0,0.0
279,PAYMENT,17826.73,C534839976,494511.61,476684.88,M2003568537,0.0,0.0
279,PAYMENT,4682.75,C1103203050,476684.88,472002.13,M1304804120,0.0,0.0
279,PAYMENT,13525.82,C1520833610,472002.13,458476.31,M1306624072,0.0,0.0
279,PAYMENT,17780.9,C12240324,458476.31,440695.4,M1615311792,0.0,0.0
279,PAYMENT,15914.01,C170524598,440695.4,424781.4,M1267457403,0.0,0.0
279,PAYMENT,21326.74,C491365675,424781.4,403454.66,M1087262465,0.0,0.0
279,PAYMENT,26398.92,C90168545,403454.66,377055.74,M271235380,0.0,0.0
279,PAYMENT,31245.07,C1075455719,377055.74,345810.67,M1923014562,0.0,0.0
279,PAYMENT,41475.15,C165526980,345810.67,304335.52,M1283151570,0.0,0.0
279,PAYMENT,35014.14,C1573354660,304335.52,269321.39,M1495325553,0.0,0.0
279,PAYMENT,37546.18,C1031237132,269321.39,231775.21,M732721846,0.0,0.0
279,PAYMENT,10804.56,C1307056443,231775.21,220970.65,M315402404,0.0,0.0
279,PAYMENT,14525.49,C349021183,220970.65,206445.16,M1547459090,0.0,0.0
279,PAYMENT,17731.64,C1368433007,206445.16,188713.52,M644786801,0.0,0.0
279,PAYMENT,3390.11,C1606756120,188713.52,185323.41,M1628899896,0.0,0.0
279,PAYMENT,3092.78,C894977196,185323.41,182230.63,M1714834772,0.0,0.0
279,PAYMENT,8317.36,C280841069,182230.63,173913.27,M1227019656,0.0,0.0
279,PAYMENT,1981.61,C1042842916,101351.0,99369.39,M1780495192,0.0,0.0
279,CASH_OUT,115858.76,C280820562,34523.0,0.0,C540844553,0.0,115858.76
279,PAYMENT,3408.88,C1332601432,722.0,0.0,M890654516,0.0,0.0
279,PAYMENT,152.29,C1590100029,148399.0,148246.71,M693503708,0.0,0.0
279,CASH_OUT,1171.38,C151604876,36573.0,35401.62,C1380281145,91902.95,93074.33
279,CASH_OUT,17315.59,C249683830,12901.0,0.0,C1475347254,162726.56,180042.15
279,PAYMENT,2827.35,C1749151871,527.0,0.0,M1899526989,0.0,0.0
279,CASH_OUT,95491.72,C847652552,31934.0,0.0,C2049247339,71808.85,167300.57
279,CASH_OUT,398985.01,C849102209,312134.0,0.0,C803802120,666510.16,1065495.17
279,PAYMENT,1924.68,C1429838245,17941.0,16016.32,M1734963804,0.0,0.0
279,PAYMENT,9438.33,C1683662879,26413.0,16974.67,M884623704,0.0,0.0
279,PAYMENT,2587.4,C760683227,31247.0,28659.6,M25192127,0.0,0.0
279,CASH_OUT,218284.19,C816528576,28659.6,0.0,C1857772343,723473.05,941757.24
279,CASH_IN,181518.15,C1446859524,29467.0,210985.15,C154254244,623948.13,442429.99
279,CASH_IN,294135.35,C1135151834,10593.0,304728.35,C52880631,0.0,0.0
279,CASH_OUT,367274.39,C1100888462,106634.0,0.0,C18606753,125874.39,493148.79
279,PAYMENT,9671.22,C674906177,0.0,0.0,M346260273,0.0,0.0
279,PAYMENT,11170.89,C534230181,99103.0,87932.11,M792046744,0.0,0.0
279,PAYMENT,12508.46,C1433913719,87932.11,75423.65,M1564828387,0.0,0.0
279,CASH_OUT,42014.96,C2140505970,1020.0,0.0,C1348665793,0.0,42014.96
279,PAYMENT,417.74,C2110170484,75562.0,75144.26,M378664906,0.0,0.0
279,CASH_OUT,72336.51,C1622527361,75144.26,2807.74,C2107493153,1250190.64,1322527.16
279,CASH_OUT,448947.3,C860383474,52033.0,0.0,C274359091,778689.64,1227636.94
279,TRANSFER,456827.17,C2070779626,333.0,0.0,C2037079921,2349580.0,2806407.16
279,PAYMENT,4551.09,C1650135530,206143.0,201591.91,M751567333,0.0,0.0
279,PAYMENT,1737.84,C1546908534,201591.91,199854.08,M1275000028,0.0,0.0
279,CASH_OUT,48443.15,C1905293320,5458.0,0.0,C1835425132,129372.74,177815.89
279,TRANSFER,263017.12,C1025481974,10009.0,0.0,C464707975,377831.45,640848.57
279,PAYMENT,2518.3,C2129948768,20983.0,18464.7,M1116746614,0.0,0.0
279,CASH_IN,85727.31,C808604436,26689.0,112416.31,C1748710558,0.0,0.0
279,PAYMENT,4685.2,C1896583624,18907.0,14221.8,M748787961,0.0,0.0
279,CASH_OUT,272034.36,C1869153688,59621.0,0.0,C591888653,8227510.82,8499545.17
279,TRANSFER,591334.76,C1306612114,29992.0,0.0,C1494111945,0.0,591334.76
279,TRANSFER,127670.57,C1615399991,0.0,0.0,C299913853,262314.79,389985.36
