step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
145,PAYMENT,11179.36,C1298399516,63628.0,52448.64,M130929236,0.0,0.0
145,DEBIT,519.4,C84593608,83604.0,83084.6,C799398193,955502.11,956021.51
145,PAYMENT,9092.08,C277395884,33425.0,24332.92,M2106140224,0.0,0.0
145,CASH_OUT,104162.74,C339678423,24332.92,0.0,C1539112189,8058247.25,8162409.99
145,PAYMENT,15534.05,C1203292435,10747.0,0.0,M304631185,0.0,0.0
145,DEBIT,1396.75,C640144050,18646.0,17249.25,C459967233,1783860.63,1785257.38
145,PAYMENT,3842.55,C1246950157,6126.0,2283.45,M1268996869,0.0,0.0
145,PAYMENT,807.08,C465031973,29551.0,28743.92,M60629155,0.0,0.0
145,PAYMENT,7557.54,C1586127174,49711.0,42153.46,M262169313,0.0,0.0
145,PAYMENT,9521.19,C707507915,42153.46,32632.28,M1087963925,0.0,0.0
145,PAYMENT,7181.07,C1297402393,60.0,0.0,M1106185784,0.0,0.0
145,PAYMENT,11067.69,C914711840,5507.0,0.0,M1045170510,0.0,0.0
145,PAYMENT,6851.33,C1428359324,0.0,0.0,M1812222670,0.0,0.0
145,PAYMENT,2809.03,C1907721739,40278.0,37468.97,M804120330,0.0,0.0
145,PAYMENT,5593.01,C1657240963,10597.0,5003.99,M748409143,0.0,0.0
145,PAYMENT,4531.6,C1900253041,5003.99,472.39,M827778020,0.0,0.0
145,PAYMENT,34974.49,C1755626280,472.39,0.0,M440716642,0.0,0.0
145,PAYMENT,12585.96,C1997660508,0.0,0.0,M1902015897,0.0,0.0
145,PAYMENT,4839.94,C1013902689,0.0,0.0,M16582739,0.0,0.0
145,PAYMENT,11102.43,C2023625233,0.0,0.0,M2054050342,0.0,0.0
145,PAYMENT,4211.31,C832617967,0.0,0.0,M1509393432,0.0,0.0
145,PAYMENT,3652.57,C1366367149,0.0,0.0,M1501994183,0.0,0.0
145,PAYMENT,25162.87,C1836912093,0.0,0.0,M139432750,0.0,0.0
145,PAYMENT,2049.92,C1371168249,727.0,0.0,M1010271149,0.0,0.0
145,PAYMENT,14361.12,C966881811,0.0,0.0,M1300451562,0.0,0.0
145,CASH_OUT,141886.86,C1322621238,7257.0,0.0,C1737576430,347752.31,489639.16
145,PAYMENT,835.79,C1316966826,0.0,0.0,M2096927644,0.0,0.0
145,PAYMENT,3706.54,C732928233,57941.0,54234.46,M1230088323,0.0,0.0
145,PAYMENT,13725.01,C2107064834,54234.46,40509.44,M1701793375,0.0,0.0
145,PAYMENT,6469.65,C844167883,52598.0,46128.35,M1979799986,0.0,0.0
145,DEBIT,486.85,C834765346,98387.0,97900.15,C610531364,429998.79,430485.64
145,TRANSFER,130497.14,C784543731,102301.0,0.0,C877723612,1572785.0,1703282.14
145,PAYMENT,5670.36,C468717122,76803.0,71132.64,M1732253767,0.0,0.0
145,PAYMENT,2465.93,C1521305119,14830.0,12364.07,M1831228942,0.0,0.0
145,PAYMENT,4423.77,C1992284150,12364.07,7940.3,M299526982,0.0,0.0
145,PAYMENT,6921.37,C569854684,7940.3,1018.93,M2126442186,0.0,0.0
145,PAYMENT,10784.54,C1991673484,1018.93,0.0,M888427335,0.0,0.0
145,PAYMENT,8543.72,C793661103,0.0,0.0,M638528818,0.0,0.0
145,PAYMENT,14561.37,C1682918809,0.0,0.0,M1916228668,0.0,0.0
145,PAYMENT,7840.36,C802244579,0.0,0.0,M1894291862,0.0,0.0
145,PAYMENT,2087.18,C1851077015,0.0,0.0,M646647509,0.0,0.0
145,PAYMENT,24180.48,C62958520,0.0,0.0,M936420991,0.0,0.0
145,PAYMENT,10640.16,C1884221595,0.0,0.0,M239969761,0.0,0.0
145,PAYMENT,3852.62,C148259579,0.0,0.0,M981987008,0.0,0.0
145,PAYMENT,1049.98,C1028262691,0.0,0.0,M1590412230,0.0,0.0
145,PAYMENT,20673.21,C1680900990,0.0,0.0,M1640267990,0.0,0.0
145,PAYMENT,11740.07,C213556446,0.0,0.0,M217033596,0.0,0.0
145,PAYMENT,6958.72,C1822749420,0.0,0.0,M698551710,0.0,0.0
145,PAYMENT,1049.55,C1906780184,20586.0,19536.45,M6474011,0.0,0.0
145,PAYMENT,246.86,C1260025961,30510.0,30263.14,M2053395305,0.0,0.0
145,CASH_OUT,190976.34,C843797461,13077.0,0.0,C77737777,371460.73,562437.07
145,PAYMENT,1386.84,C620199574,20978.0,19591.16,M1010209617,0.0,0.0
145,PAYMENT,7254.7,C1687253157,19818.0,12563.3,M212619801,0.0,0.0
145,PAYMENT,146.84,C321949396,12563.3,12416.46,M454310904,0.0,0.0
145,PAYMENT,15487.15,C1961845863,108.0,0.0,M440257657,0.0,0.0
145,PAYMENT,12110.68,C233617348,40633.0,28522.32,M924681850,0.0,0.0
145,PAYMENT,5493.82,C954077346,303.0,0.0,M1291079108,0.0,0.0
145,PAYMENT,11062.84,C617513225,20326.0,9263.16,M2134638012,0.0,0.0
145,PAYMENT,1498.54,C933804537,5568.0,4069.46,M1507608741,0.0,0.0
145,DEBIT,304.65,C155868254,218.0,0.0,C1763615265,25209.0,0.0
145,PAYMENT,8892.4,C700221142,35313.0,26420.6,M1537836393,0.0,0.0
145,CASH_OUT,77221.21,C1611360217,12317.0,0.0,C1982926479,0.0,77221.21
145,PAYMENT,6697.92,C997752618,0.0,0.0,M1992279205,0.0,0.0
145,CASH_OUT,81136.1,C1638565334,11376.0,0.0,C1137593369,989760.67,1070896.77
145,PAYMENT,13183.48,C1512309653,66593.0,53409.52,M576562900,0.0,0.0
145,PAYMENT,2658.46,C709870806,11148.0,8489.54,M528380028,0.0,0.0
145,TRANSFER,93899.76,C1698492589,182.0,0.0,C1715510583,1110961.44,1198749.08
145,DEBIT,4707.61,C706249176,12928.0,8220.39,C245085764,102083.66,106791.27
145,CASH_IN,78394.83,C2116389177,30145.0,108539.83,C267513745,1128717.1,1050322.27
145,PAYMENT,2854.06,C313850641,138496.0,135641.94,M269469810,0.0,0.0
145,PAYMENT,12967.3,C2121764330,8240.0,0.0,M751419228,0.0,0.0
145,PAYMENT,1873.51,C428909991,13891.0,12017.49,M1999811263,0.0,0.0
145,PAYMENT,10256.78,C896035182,89687.0,79430.22,M1413092288,0.0,0.0
145,PAYMENT,6706.95,C1209739645,19872.0,13165.05,M719244683,0.0,0.0
145,TRANSFER,1767886.02,C1544286887,1767886.02,0.0,C436837170,0.0,0.0
145,CASH_OUT,1767886.02,C1487625973,1767886.02,0.0,C1046637839,0.0,1767886.02
145,PAYMENT,8813.89,C1231737948,29898.0,21084.11,M352647791,0.0,0.0
145,TRANSFER,10752.63,C370785442,16176.0,5423.37,C1205434018,0.0,10752.63
145,PAYMENT,3131.2,C348591202,5423.37,2292.17,M185662098,0.0,0.0
145,PAYMENT,11936.93,C964017693,35333.0,23396.07,M1649600829,0.0,0.0
145,TRANSFER,6233.26,C1318753553,21818.0,15584.74,C2131119838,55043.71,61276.97
145,PAYMENT,9270.18,C1112683066,15584.74,6314.56,M1447291195,0.0,0.0
145,PAYMENT,10009.37,C590211535,136310.0,126300.63,M965071526,0.0,0.0
145,PAYMENT,1584.57,C1788212302,202.0,0.0,M592892438,0.0,0.0
145,TRANSFER,104178.14,C1878598690,29943.0,0.0,C1501536847,4992785.43,5096963.56
145,PAYMENT,4194.3,C2029964185,23753.0,19558.7,M1032611660,0.0,0.0
145,PAYMENT,1404.18,C685757577,50993.0,49588.82,M237059460,0.0,0.0
145,PAYMENT,7468.63,C9280986,30979.0,23510.37,M1592077440,0.0,0.0
145,PAYMENT,2701.15,C138989641,21404.0,18702.85,M260178393,0.0,0.0
145,PAYMENT,9990.77,C1670196926,18702.85,8712.08,M352030563,0.0,0.0
145,PAYMENT,16103.07,C1518325549,8712.08,0.0,M1173131634,0.0,0.0
145,PAYMENT,13428.22,C1327411119,0.0,0.0,M131506616,0.0,0.0
145,PAYMENT,18825.51,C603197640,0.0,0.0,M36856517,0.0,0.0
145,PAYMENT,4769.97,C946591483,0.0,0.0,M176319279,0.0,0.0
145,PAYMENT,11365.0,C166938855,0.0,0.0,M407250774,0.0,0.0
145,PAYMENT,3271.25,C2130503339,0.0,0.0,M1732129096,0.0,0.0
145,PAYMENT,12839.7,C1947855160,0.0,0.0,M1573653626,0.0,0.0
145,PAYMENT,3974.89,C1142710486,0.0,0.0,M1388232044,0.0,0.0
145,PAYMENT,11408.28,C1767235114,0.0,0.0,M1413980326,0.0,0.0
145,PAYMENT,16140.17,C1937403944,0.0,0.0,M1409869558,0.0,0.0
145,PAYMENT,15084.56,C325834451,0.0,0.0,M2059404936,0.0,0.0
145,PAYMENT,23921.14,C1511772872,0.0,0.0,M1236770859,0.0,0.0
145,PAYMENT,3482.93,C69679744,0.0,0.0,M2116651210,0.0,0.0
145,PAYMENT,3328.91,C2057341013,0.0,0.0,M249747922,0.0,0.0
145,PAYMENT,15067.63,C858526132,0.0,0.0,M32612547,0.0,0.0
145,PAYMENT,9.32,C2146267784,0.0,0.0,M1742280942,0.0,0.0
