step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
630,PAYMENT,3399.14,C1162355540,20059.0,16659.86,M2146276891,0.0,0.0
630,TRANSFER,728256.03,C586820687,728256.03,0.0,C925691503,0.0,0.0
630,CASH_OUT,728256.03,C71817191,728256.03,0.0,C1195588352,739449.0,1467705.03
630,PAYMENT,14928.65,C9504440,330886.0,315957.35,M333383167,0.0,0.0
630,PAYMENT,921.98,C1622465439,11249.0,10327.02,M1517731969,0.0,0.0
630,PAYMENT,6379.92,C1390062001,1139.0,0.0,M960605928,0.0,0.0
630,PAYMENT,7107.93,C2146427516,0.0,0.0,M326191048,0.0,0.0
630,PAYMENT,2010.04,C341963574,308.0,0.0,M543373756,0.0,0.0
630,CASH_OUT,202159.62,C538956750,31295.0,0.0,C241620957,0.0,202159.62
630,PAYMENT,1435.31,C969514754,7167.0,5731.69,M581579598,0.0,0.0
630,CASH_IN,32799.45,C465387646,410338.0,443137.45,C38820818,2055353.81,2022554.36
630,PAYMENT,15163.47,C1172468068,443137.45,427973.97,M807847765,0.0,0.0
630,PAYMENT,11818.41,C1130734172,48127.0,36308.59,M850048254,0.0,0.0
630,PAYMENT,1977.77,C1687526046,23792.0,21814.23,M1645212982,0.0,0.0
630,CASH_OUT,243586.93,C211209321,21814.23,0.0,C993553319,6500900.61,6744487.54
630,PAYMENT,3542.71,C1803326529,49573.0,46030.29,M594916058,0.0,0.0
630,CASH_OUT,94577.65,C1053709767,46030.29,0.0,C1748415008,341578.67,436156.33
630,PAYMENT,8538.19,C67183603,308075.0,299536.81,M189817262,0.0,0.0
630,TRANSFER,8380.33,C87945596,723.0,0.0,C430586817,0.0,8380.33
630,CASH_OUT,81028.12,C1225915505,0.0,0.0,C1458571439,281851.73,362879.85
630,CASH_OUT,149381.53,C1141002267,0.0,0.0,C229476232,151874.68,301256.2
630,CASH_OUT,234047.31,C1280775204,0.0,0.0,C778852708,745742.27,979789.58
630,CASH_OUT,463544.55,C638302915,0.0,0.0,C11019257,3030530.59,3494075.13
630,CASH_OUT,486448.44,C1614751751,0.0,0.0,C191326779,3041013.65,3527462.09
630,CASH_OUT,399233.23,C921382547,0.0,0.0,C1562547273,9741817.38,1.014105061E7
630,CASH_OUT,53972.68,C1122626142,0.0,0.0,C1561119912,3474075.0,3528047.68
