step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
233,CASH_OUT,51912.9,C1366873825,15892.0,0.0,C773729009,116330.4,168243.3
233,PAYMENT,14490.3,C1418951838,297183.0,282692.7,M1171515931,0.0,0.0
233,CASH_IN,186790.05,C1659855324,5076.0,191866.05,C1574289690,0.0,0.0
233,PAYMENT,4086.05,C1966570686,100574.0,96487.95,M982485258,0.0,0.0
233,PAYMENT,2429.4,C1616260978,96487.95,94058.55,M2041467685,0.0,0.0
233,PAYMENT,21071.43,C934416930,48765.0,27693.57,M1907558919,0.0,0.0
233,PAYMENT,7428.84,C550471420,107185.0,99756.16,M729013947,0.0,0.0
233,CASH_OUT,369774.55,C217578229,39888.0,0.0,C1118279224,690126.16,1059900.71
233,CASH_OUT,156575.35,C1702705758,149.0,0.0,C1869047774,0.0,156575.35
233,CASH_IN,104883.62,C962181227,82471.0,187354.62,C1419322129,0.0,0.0
233,CASH_IN,359584.21,C208289789,523977.0,883561.21,C1434141450,0.0,0.0
233,PAYMENT,12376.1,C1064918231,578.0,0.0,M869936812,0.0,0.0
233,PAYMENT,29493.26,C1202995804,47830.0,18336.74,M452724864,0.0,0.0
233,PAYMENT,13867.47,C1863737580,30191.0,16323.53,M232496364,0.0,0.0
233,CASH_OUT,295561.52,C1754827177,25550.0,0.0,C869889620,0.0,295561.52
233,CASH_OUT,401832.33,C307901490,1185.0,0.0,C934005510,2339297.29,2741129.62
233,CASH_OUT,199800.79,C1310140309,101284.0,0.0,C1035526051,971067.53,1170868.32
233,PAYMENT,18877.27,C528150087,9309.0,0.0,M855898560,0.0,0.0
233,PAYMENT,215.63,C1882959926,0.0,0.0,M132586027,0.0,0.0
233,PAYMENT,5447.67,C1328010310,0.0,0.0,M1665591707,0.0,0.0
233,PAYMENT,7367.68,C1313951685,0.0,0.0,M1909994086,0.0,0.0
233,PAYMENT,18333.55,C2903551,466.0,0.0,M1425172048,0.0,0.0
233,CASH_OUT,165533.09,C270083180,11380.0,0.0,C1059743619,113426.04,278959.12
233,CASH_IN,340453.14,C543325963,40715.0,381168.14,C661738444,482318.75,141865.61
233,CASH_IN,226424.87,C1120116045,6080.0,232504.87,C653659521,1240656.19,1014231.32
233,PAYMENT,9207.22,C96777123,108863.0,99655.78,M1554505011,0.0,0.0
233,CASH_OUT,397749.29,C1871608715,99655.78,0.0,C1246268996,1280588.1,1678337.39
233,CASH_OUT,235728.58,C838445762,0.0,0.0,C547455351,1151574.21,1387302.78
233,PAYMENT,16009.33,C285236981,53060.0,37050.67,M1940670371,0.0,0.0
233,CASH_OUT,104172.13,C1877096574,108599.0,4426.87,C1654183234,0.0,104172.13
233,CASH_OUT,355765.01,C330375418,190.0,0.0,C2054092682,91013.02,446778.03
233,TRANSFER,281270.82,C13972367,0.0,0.0,C438814661,2861068.59,3142339.41
233,TRANSFER,2342395.6,C290848105,0.0,0.0,C1550335607,2498310.75,4840706.36
233,TRANSFER,186911.61,C1862932213,0.0,0.0,C1012443151,3374782.36,3561693.97
233,TRANSFER,525527.06,C1973837086,0.0,0.0,C554846190,5177646.29,5703173.35
233,TRANSFER,77254.45,C1548112238,0.0,0.0,C921380932,289706.46,366960.91
233,TRANSFER,145278.63,C1648771386,0.0,0.0,C1639581278,634918.13,780196.77
233,TRANSFER,1190236.85,C1573146169,0.0,0.0,C1764948557,4072796.73,5263033.58
233,TRANSFER,3194618.76,C449685042,0.0,0.0,C1695438206,8844386.59,1.203900535E7
233,TRANSFER,1021066.87,C1961773348,0.0,0.0,C1005928818,1.124158565E7,1.226265253E7
233,TRANSFER,934588.41,C619809042,0.0,0.0,C587599176,1470125.04,2404713.45
233,CASH_OUT,218585.18,C1530637875,97889.0,0.0,C1467656340,5940.38,224525.56
233,CASH_OUT,309703.39,C749764432,11428.0,0.0,C1111296764,160380.34,470083.73
233,CASH_OUT,181094.11,C714187915,93710.0,0.0,C200067314,0.0,181094.11
233,TRANSFER,855341.38,C33554898,0.0,0.0,C1436747405,4313538.79,5168880.16
233,CASH_OUT,86697.18,C72121751,51799.0,0.0,C1524353208,0.0,86697.18
233,PAYMENT,42048.03,C724158641,51402.0,9353.97,M205227171,0.0,0.0
233,PAYMENT,18026.63,C238488167,52618.0,34591.37,M1777368819,0.0,0.0
233,CASH_IN,268020.45,C217665340,29970.0,297990.45,C1374767932,25989.94,0.0
233,PAYMENT,21319.33,C1555553436,297990.45,276671.12,M1793429855,0.0,0.0
233,CASH_IN,179084.88,C8940822,32.0,179116.88,C170706143,106181.4,0.0
233,CASH_OUT,34880.65,C1179538068,14159.0,0.0,C1799817534,859232.13,894112.78
233,CASH_OUT,172696.8,C612312573,15744.0,0.0,C1370736255,452873.43,625570.23
233,CASH_OUT,43765.5,C1658206020,101286.0,57520.5,C1001391530,897041.13,940806.62
233,CASH_OUT,106297.17,C569706197,325.0,0.0,C1089871432,0.0,106297.17
233,PAYMENT,1205.28,C362494605,0.0,0.0,M1217832206,0.0,0.0
233,CASH_IN,523692.31,C455726927,644.0,524336.31,C310208267,631526.0,107833.69
233,TRANSFER,28701.18,C316909905,21403.0,0.0,C672289649,638749.83,667451.01
233,CASH_OUT,224737.83,C1583392466,20417.0,0.0,C1372223897,467485.02,692222.86
233,CASH_OUT,159679.78,C589547205,6347.0,0.0,C1580083132,547226.9,706906.68
233,CASH_OUT,257119.48,C1986391617,30628.0,0.0,C1186396268,2782143.51,3039262.98
233,PAYMENT,1499.19,C2034460925,0.0,0.0,M575543089,0.0,0.0
233,CASH_OUT,245937.39,C535230547,90061.0,0.0,C474428136,534437.9,780375.29
233,PAYMENT,24762.38,C1185417736,161521.0,136758.62,M609126048,0.0,0.0
233,CASH_OUT,191537.56,C1986787975,15547.0,0.0,C1879222355,0.0,191537.56
233,PAYMENT,5535.73,C1583853689,30086.0,24550.27,M1486424567,0.0,0.0
233,PAYMENT,5962.95,C137560002,223.0,0.0,M564433793,0.0,0.0
233,PAYMENT,4171.79,C1109597108,207826.0,203654.21,M1382376630,0.0,0.0
233,CASH_OUT,88575.51,C1303793111,266746.0,178170.49,C650483086,380432.79,469008.3
233,PAYMENT,1413.1,C1208739707,178170.49,176757.4,M305118069,0.0,0.0
233,CASH_OUT,421240.42,C1796615506,7726.0,0.0,C481641970,688095.71,1109336.13
233,PAYMENT,6027.02,C338758930,0.0,0.0,M60166352,0.0,0.0
233,CASH_IN,272561.94,C1812854724,133.0,272694.94,C219082723,1525009.44,1252447.5
233,CASH_IN,348349.71,C917191594,20924.0,369273.71,C528426887,772160.45,423810.74
233,CASH_OUT,59531.53,C720300528,369273.71,309742.18,C966338350,252225.4,311756.93
233,CASH_OUT,37599.83,C424508653,20011.0,0.0,C1594895705,16157.44,53757.27
233,PAYMENT,3513.54,C452795351,0.0,0.0,M1969489225,0.0,0.0
233,CASH_IN,1160.1,C672715644,49908.0,51068.1,C1569512392,0.0,0.0
233,PAYMENT,10020.73,C1522559110,51068.1,41047.37,M672261034,0.0,0.0
233,CASH_OUT,128942.02,C2106258860,599572.0,470629.98,C1227133149,312274.88,441216.9
233,PAYMENT,24799.27,C333924946,33864.0,9064.73,M1245349104,0.0,0.0
233,PAYMENT,1470.59,C1829839534,3602.0,2131.41,M1193053493,0.0,0.0
233,PAYMENT,10694.21,C1845557854,18291.0,7596.79,M1879305834,0.0,0.0
233,CASH_OUT,291800.67,C342079126,11592.0,0.0,C1078089639,0.0,25965.73
233,PAYMENT,16455.05,C926278666,47303.0,30847.95,M1586379448,0.0,0.0
233,PAYMENT,26461.24,C831651773,40645.0,14183.76,M944711711,0.0,0.0
233,CASH_IN,289325.35,C549621416,5208.0,294533.35,C282329521,0.0,0.0
233,CASH_OUT,90955.95,C263601138,32132.0,0.0,C1112900482,0.0,90955.95
233,CASH_OUT,351186.05,C828658094,9904.0,0.0,C2066641240,272974.42,624160.47
233,CASH_OUT,123675.6,C1881835597,29581.0,0.0,C1035901240,0.0,123675.6
233,TRANSFER,308346.64,C1143602990,32.0,0.0,C775579911,290121.98,598468.62
233,PAYMENT,25917.3,C2055087602,21623.0,0.0,M1770320434,0.0,0.0
233,PAYMENT,28986.05,C1304979375,0.0,0.0,M1184047543,0.0,0.0
233,PAYMENT,497.05,C1305070882,0.0,0.0,M51557323,0.0,0.0
233,PAYMENT,7446.35,C225003801,0.0,0.0,M1378373530,0.0,0.0
233,PAYMENT,8799.57,C1368074272,0.0,0.0,M1192318257,0.0,0.0
233,PAYMENT,3789.07,C7859531,0.0,0.0,M280180288,0.0,0.0
233,PAYMENT,3886.24,C418502238,0.0,0.0,M1426366636,0.0,0.0
233,PAYMENT,17791.74,C1780880114,0.0,0.0,M1672362176,0.0,0.0
233,PAYMENT,17755.74,C1979404749,0.0,0.0,M84581918,0.0,0.0
233,PAYMENT,13294.24,C1600241103,0.0,0.0,M1293674203,0.0,0.0
233,PAYMENT,9810.47,C1656857484,0.0,0.0,M870984612,0.0,0.0
233,PAYMENT,23945.99,C1631021011,0.0,0.0,M1938323472,0.0,0.0
233,PAYMENT,10476.11,C481982510,0.0,0.0,M2121254678,0.0,0.0
233,PAYMENT,3149.44,C616316663,0.0,0.0,M340040328,0.0,0.0
233,PAYMENT,5533.57,C1542515494,0.0,0.0,M1537724473,0.0,0.0
233,CASH_OUT,217658.23,C514393660,4083.0,0.0,C375214961,0.0,217658.23
233,PAYMENT,1168.51,C772366267,6252.0,5083.49,M1929132167,0.0,0.0
233,CASH_OUT,340825.03,C390011129,378.0,0.0,C685225628,212685.55,553510.57
233,PAYMENT,10514.49,C1097950404,0.0,0.0,M627118038,0.0,0.0
233,CASH_OUT,27136.85,C910832637,106974.0,79837.15,C500084466,39877.39,67014.23
233,CASH_IN,89455.7,C1499274525,16103.0,105558.7,C368969797,0.0,0.0
233,CASH_OUT,9127.33,C322966966,9033.0,0.0,C724336475,439040.15,448167.48
233,CASH_OUT,152385.95,C1047701431,50172.0,0.0,C2003806442,636855.84,789241.8
233,PAYMENT,20502.12,C1505803871,41125.0,20622.88,M1749345679,0.0,0.0
233,TRANSFER,654842.77,C2067443860,15964.0,0.0,C612390985,0.0,654842.77
233,CASH_IN,303612.21,C1348398939,198937.0,502549.21,C923409612,53289.3,0.0
233,CASH_IN,188143.85,C212898121,19476.0,207619.85,C1511392909,8093.36,0.0
233,PAYMENT,32181.81,C1125610957,21135.0,0.0,M1829229355,0.0,0.0
233,CASH_OUT,482516.59,C1250221543,0.0,0.0,C312647747,1059841.76,1542358.35
233,CASH_OUT,102846.57,C1119237927,0.0,0.0,C1141553617,186123.03,288969.6
233,CASH_OUT,199974.85,C989305761,0.0,0.0,C816862297,795886.96,995861.82
233,CASH_OUT,82165.84,C1773836639,0.0,0.0,C990595984,341425.12,423590.96
233,CASH_OUT,158288.53,C96279146,0.0,0.0,C1660233875,1253935.68,1412224.2
233,CASH_OUT,4598.54,C1983978229,0.0,0.0,C1449140521,549968.6,554567.13
233,CASH_OUT,72229.26,C1886240015,0.0,0.0,C326926622,888982.33,961211.59
233,CASH_OUT,238989.93,C1302377020,0.0,0.0,C1436868992,3797184.3,4036174.23
233,CASH_OUT,148039.74,C539205544,0.0,0.0,C433789188,200445.23,348484.96
233,CASH_OUT,225259.79,C1582018539,0.0,0.0,C392923612,521632.8,746892.59
233,CASH_OUT,76770.22,C1129571560,0.0,0.0,C73959070,1209483.23,1286253.45
233,CASH_OUT,91017.62,C187342828,0.0,0.0,C1971557254,174330.93,265348.55
233,CASH_OUT,122048.46,C927502334,0.0,0.0,C248141927,1153367.81,1275416.27
233,CASH_OUT,57317.35,C880757259,0.0,0.0,C2142478757,1125885.84,1183203.19
233,CASH_OUT,127966.39,C1750572232,0.0,0.0,C801980121,287680.51,415646.9
233,CASH_OUT,224645.69,C928889809,0.0,0.0,C105530407,1591820.23,1816465.91
233,CASH_OUT,137763.88,C1142547899,0.0,0.0,C706020869,933716.36,1071480.23
233,CASH_OUT,76119.25,C184074273,0.0,0.0,C1749118354,185439.58,261558.83
233,CASH_OUT,53341.81,C1587391594,0.0,0.0,C1889004741,1092781.19,1146123.0
233,CASH_OUT,89908.92,C71567195,0.0,0.0,C1773238691,94996.29,184905.21
233,CASH_OUT,35754.35,C259726933,0.0,0.0,C1887290770,414384.74,450139.09
233,CASH_OUT,233801.91,C1129201235,0.0,0.0,C969813826,1572617.67,1806419.58
233,CASH_OUT,710554.33,C1887646892,0.0,0.0,C1037263119,1.537503367E7,1.608558801E7
233,CASH_OUT,152980.63,C1415158584,0.0,0.0,C830690504,192223.45,345204.08
233,CASH_OUT,148513.1,C59227728,0.0,0.0,C652785284,9853133.06,1.000164616E7
233,CASH_OUT,31080.0,C822719701,0.0,0.0,C360521926,431374.01,462454.01
233,CASH_OUT,29644.27,C1481035788,0.0,0.0,C2034264988,2987382.81,3017027.08
233,CASH_OUT,345705.32,C1088295015,0.0,0.0,C1265984626,1.650173419E7,1.684743951E7
233,CASH_OUT,207929.01,C2115322642,0.0,0.0,C848534417,1559448.57,1767377.58
