step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
574,CASH_OUT,128262.62,C776062413,1422.0,0.0,C880283620,6045128.3,6173390.92
574,CASH_OUT,85342.39,C1784066008,1910.0,0.0,C1524161565,758320.6,843663.0
574,TRANSFER,160908.88,C1670166849,25134.0,0.0,C268136889,1244407.96,1405316.84
574,PAYMENT,6493.99,C1213052925,39768.0,33274.01,M1744989332,0.0,0.0
574,CASH_IN,388463.99,C938817059,137548.0,526011.99,C1261316552,1787529.13,1399065.14
574,PAYMENT,9421.25,C833996589,195433.0,186011.75,M350383289,0.0,0.0
574,PAYMENT,6139.57,C1870648445,25388.0,19248.43,M1906684831,0.0,0.0
574,PAYMENT,11727.28,C1857457705,17756.0,6028.72,M1773576418,0.0,0.0
574,CASH_IN,236877.96,C2029739413,5588.0,242465.96,C990497960,663461.59,426583.62
574,PAYMENT,2611.13,C605954142,242465.96,239854.83,M2114139442,0.0,0.0
574,CASH_IN,433562.51,C586038176,6532.0,440094.51,C1431871178,219916.96,0.0
574,PAYMENT,16842.57,C6020509,128.0,0.0,M1427243288,0.0,0.0
574,PAYMENT,10905.79,C853480493,15556.0,4650.21,M1639910125,0.0,0.0
574,PAYMENT,11689.19,C1062638706,4650.21,0.0,M2047432769,0.0,0.0
574,PAYMENT,839.92,C809321809,263.0,0.0,M701290969,0.0,0.0
574,PAYMENT,3723.4,C573717910,50347.0,46623.6,M306819777,0.0,0.0
574,PAYMENT,2357.3,C1208248852,190356.0,187998.7,M130642140,0.0,0.0
574,CASH_OUT,77942.96,C874787646,187998.7,110055.74,C1345135313,373903.3,451846.26
574,CASH_IN,306381.12,C1805926593,41227.0,347608.12,C1647754650,420656.39,114275.27
574,PAYMENT,342.4,C10208107,70828.0,70485.6,M1276644404,0.0,0.0
574,TRANSFER,145586.17,C1496349514,846.0,0.0,C910957810,692699.74,838285.9
574,CASH_IN,2567.45,C274434789,0.0,2567.45,C1537906273,198753.95,196186.5
574,CASH_IN,44855.04,C1317376798,2567.45,47422.5,C1096502738,66167.68,21312.63
574,CASH_IN,108540.11,C1114656598,47422.5,155962.6,C164127345,2744156.09,2635615.98
574,CASH_IN,47423.31,C415274617,155962.6,203385.91,C2086484284,59237.23,11813.93
574,CASH_IN,414843.81,C1409297190,203385.91,618229.72,C242685903,820406.23,405562.42
574,CASH_IN,49225.28,C914317275,618229.72,667455.0,C836631882,102474.99,53249.71
574,CASH_IN,300707.02,C1983229117,667455.0,968162.02,C1672817664,1133902.69,833195.68
574,CASH_IN,37209.26,C1792708444,968162.02,1005371.28,C346746535,1064401.55,1027192.29
574,CASH_IN,152106.91,C1071042618,1005371.28,1157478.19,C863630632,1118390.2,966283.29
574,CASH_IN,48021.06,C1939587484,1157478.19,1205499.25,C1514634379,152626.22,104605.16
574,CASH_IN,75345.25,C672193302,1205499.25,1280844.5,C412360594,900611.71,825266.46
574,CASH_IN,147198.65,C378405159,1280844.5,1428043.15,C361077038,503418.24,356219.59
574,CASH_IN,62843.66,C533742796,1428043.15,1490886.8,C861935815,2369471.04,2306627.38
574,CASH_IN,145783.45,C854253963,1490886.8,1636670.25,C1883762588,507386.21,361602.77
574,CASH_IN,89336.97,C470566059,1636670.25,1726007.22,C544771154,114139.32,24802.35
574,CASH_IN,26218.58,C2054027572,1726007.22,1752225.81,C2077103803,7149686.68,7123468.1
574,CASH_IN,477267.62,C1736848529,1752225.81,2229493.43,C400793136,636870.97,159603.35
574,CASH_IN,14628.33,C33912659,2229493.43,2244121.76,C232289159,428529.09,413900.76
574,CASH_IN,374709.08,C2085769892,2244121.76,2618830.84,C902867512,1416577.04,1041867.96
574,CASH_IN,115989.03,C1768140867,2618830.84,2734819.87,C564582257,223576.61,107587.58
574,CASH_IN,195959.18,C1066869570,2734819.87,2930779.05,C1291118039,417666.23,221707.05
574,CASH_IN,240412.35,C377578508,2930779.05,3171191.41,C2117295888,1128810.7,888398.34
574,CASH_IN,287411.22,C2015941386,3171191.41,3458602.62,C1241327644,2328660.81,2041249.6
574,CASH_IN,304924.82,C213751268,3458602.62,3763527.45,C1749246276,2654907.34,2349982.51
574,CASH_IN,86675.84,C171321858,3763527.45,3850203.29,C39383836,918731.58,832055.74
574,CASH_IN,28961.32,C394956364,3850203.29,3879164.61,C50266713,223218.82,194257.49
574,CASH_IN,182332.57,C688176948,3879164.61,4061497.18,C1397267324,376174.82,193842.25
574,CASH_IN,103428.27,C1240866117,4061497.18,4164925.45,C866973287,186710.12,83281.85
574,CASH_IN,134606.74,C1915443267,4164925.45,4299532.2,C544585884,167101.9,32495.15
574,CASH_IN,111480.44,C831537316,4299532.2,4411012.64,C1760147534,922049.37,810568.93
574,CASH_IN,119381.97,C1029809341,4411012.64,4530394.61,C387279863,162963.18,43581.21
574,CASH_IN,328360.48,C1141148257,4530394.61,4858755.09,C1313477268,779170.19,450809.71
574,CASH_IN,72028.01,C1824861154,4858755.09,4930783.1,C1568538856,6394962.25,6322934.24
574,CASH_IN,508914.41,C1608766398,4930783.1,5439697.51,C1020412095,572861.71,63947.3
574,CASH_IN,133211.39,C1872216243,5439697.51,5572908.9,C1006195220,991004.1,857792.72
