step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
213,CASH_IN,199491.92,C823958662,20008.0,219499.92,C1740273704,0.0,0.0
213,PAYMENT,2230.24,C1737076332,219499.92,217269.68,M1899934840,0.0,0.0
213,PAYMENT,2386.29,C1461314382,3517.0,1130.71,M37006727,0.0,0.0
213,CASH_OUT,177920.67,C686070115,30806.0,0.0,C981611525,59508.96,237429.63
213,PAYMENT,28361.96,C754808179,0.0,0.0,M887550001,0.0,0.0
213,PAYMENT,18684.57,C320416703,630.0,0.0,M523929406,0.0,0.0
213,PAYMENT,861.78,C1479229255,52037.0,51175.22,M1540303627,0.0,0.0
213,PAYMENT,354.84,C22128414,203387.0,203032.16,M1251595133,0.0,0.0
213,PAYMENT,7765.39,C1263082606,138496.0,130730.61,M1769791871,0.0,0.0
213,CASH_OUT,74324.49,C1704579609,96329.0,22004.51,C147148190,727021.87,801346.36
213,PAYMENT,12497.85,C1637873644,22004.51,9506.66,M1656106461,0.0,0.0
213,TRANSFER,283260.6,C1817137133,5502.0,0.0,C800738279,1173718.51,1456979.11
213,CASH_OUT,133157.08,C1198342503,166.0,0.0,C1828497304,2477065.96,2610223.04
213,CASH_OUT,220791.76,C1498672881,95166.0,0.0,C2110019455,222264.43,443056.19
213,CASH_OUT,48190.32,C173598915,301031.0,252840.68,C516639441,0.0,48190.32
213,PAYMENT,5386.02,C486473282,41743.0,36356.98,M825619139,0.0,0.0
213,PAYMENT,2960.04,C2002237042,100037.0,97076.96,M981751467,0.0,0.0
213,TRANSFER,45799.18,C1373872983,106668.0,60868.82,C1565338361,165111.74,210910.92
213,PAYMENT,1590.18,C1340010562,155168.0,153577.82,M99630061,0.0,0.0
213,CASH_OUT,97260.75,C492377334,153577.82,56317.08,C1346580404,105836.65,203097.4
213,PAYMENT,12798.31,C1366095121,51753.0,38954.69,M1770541982,0.0,0.0
213,PAYMENT,8835.52,C1839407633,712.0,0.0,M948467191,0.0,0.0
213,CASH_OUT,62829.27,C251321226,33298.0,0.0,C1173137717,26937.43,89766.7
213,CASH_OUT,31546.82,C633695592,8549.0,0.0,C593187537,0.0,31546.82
213,CASH_OUT,1235.15,C1359114347,218.0,0.0,C1624634502,489616.57,490851.72
213,CASH_OUT,203238.82,C719229041,0.0,0.0,C1378631566,7218192.59,7421431.41
213,PAYMENT,15381.33,C1914710059,31326.0,15944.67,M2088805674,0.0,0.0
213,PAYMENT,13746.53,C1044579321,15944.67,2198.14,M1614823768,0.0,0.0
213,PAYMENT,22085.91,C324164619,2198.14,0.0,M1786905278,0.0,0.0
213,PAYMENT,22160.44,C1291360476,0.0,0.0,M785406618,0.0,0.0
213,PAYMENT,5791.5,C803465551,0.0,0.0,M1427020287,0.0,0.0
213,CASH_OUT,22106.17,C1572390394,24916.0,2809.83,C688081392,1440573.86,1462680.03
213,CASH_OUT,81531.9,C1896890461,238824.0,157292.1,C550652683,13618.83,95150.73
213,PAYMENT,2245.29,C1091135137,467320.0,465074.71,M1617546782,0.0,0.0
213,PAYMENT,8560.3,C2070237436,13010.0,4449.7,M134538597,0.0,0.0
213,PAYMENT,17524.58,C36877994,40381.0,22856.42,M746951116,0.0,0.0
213,TRANSFER,95254.9,C2100745744,67814.0,0.0,C1229901003,25758.32,121013.21
213,TRANSFER,100515.9,C1379281694,28655.0,0.0,C946019407,0.0,100515.9
213,PAYMENT,3037.98,C1160138772,15228.0,12190.02,M1169007245,0.0,0.0
213,PAYMENT,46765.42,C241199742,12190.02,0.0,M1835912823,0.0,0.0
213,PAYMENT,14110.4,C448562494,11219.0,0.0,M850257198,0.0,0.0
213,PAYMENT,12090.55,C1058228895,28522.0,16431.45,M1015952764,0.0,0.0
213,PAYMENT,978.4,C1113969318,21951.0,20972.6,M532466513,0.0,0.0
213,TRANSFER,161024.3,C987643275,13100.0,0.0,C1240828075,0.0,161024.3
213,CASH_IN,68836.75,C2008468089,0.0,68836.75,C549380764,3135872.73,3067035.98
213,CASH_IN,109925.56,C455792331,68836.75,178762.31,C974913645,4188396.42,4078470.87
213,CASH_IN,83339.57,C1647669436,178762.31,262101.88,C491998054,1169331.83,1085992.26
213,CASH_IN,57260.33,C701250324,262101.88,319362.21,C149581915,805970.79,748710.46
213,CASH_IN,456866.03,C1760090454,319362.21,776228.24,C1383933224,5254297.58,4797431.55
213,CASH_IN,436355.63,C624547342,776228.24,1212583.87,C784083892,1015158.35,578802.72
213,CASH_IN,558555.26,C1824580229,1212583.87,1771139.13,C1740699425,1357984.84,799429.58
213,CASH_IN,223892.83,C614232210,1771139.13,1995031.95,C31352535,826206.91,602314.08
213,CASH_IN,59455.12,C168832830,1995031.95,2054487.07,C728506937,64851.67,5396.55
213,CASH_IN,80252.25,C1643250132,2054487.07,2134739.33,C1149638781,1661308.89,1581056.64
213,CASH_IN,248798.19,C181212069,2134739.33,2383537.51,C2098621997,1443996.05,1195197.87
213,CASH_IN,117614.18,C1301478030,2383537.51,2501151.69,C2062088792,382078.71,264464.53
213,CASH_IN,138539.1,C1181767133,2501151.69,2639690.79,C1635631463,602513.13,463974.02
213,CASH_IN,14815.08,C930938982,2639690.79,2654505.87,C1287919935,666704.3,651889.23
213,CASH_IN,170157.88,C1439661335,2654505.87,2824663.75,C898166962,699150.32,528992.45
213,CASH_IN,379813.1,C265534378,2824663.75,3204476.85,C1654295548,1599417.13,1219604.02
213,PAYMENT,15760.71,C1271519536,403848.0,388087.29,M350785055,0.0,0.0
213,PAYMENT,9002.6,C987856464,130448.0,121445.4,M679316557,0.0,0.0
