step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
109,TRANSFER,177344.53,C950814543,177344.53,0.0,C1505728182,0.0,0.0
109,CASH_OUT,177344.53,C406935284,177344.53,0.0,C118143453,567501.75,744846.28
109,TRANSFER,126375.17,C83653019,126375.17,0.0,C1418842986,0.0,0.0
109,CASH_OUT,126375.17,C1736726302,126375.17,0.0,C1409221160,0.0,126375.17
109,TRANSFER,3523089.46,C1036579486,3523089.46,0.0,C1338642414,0.0,0.0
109,CASH_OUT,3523089.46,C799860005,3523089.46,0.0,C1997890348,8737618.15,1.226070761E7
109,TRANSFER,252417.45,C1220229602,252417.45,0.0,C1660826618,0.0,0.0
109,CASH_OUT,252417.45,C230861644,252417.45,0.0,C793059779,401309.51,653726.95
109,TRANSFER,20243.24,C2003104872,20243.24,0.0,C1716469564,0.0,0.0
109,CASH_OUT,20243.24,C1068081772,20243.24,0.0,C966943233,1132460.42,1152703.66
109,TRANSFER,94613.12,C776792146,94613.12,0.0,C282454606,0.0,0.0
109,CASH_OUT,94613.12,C919387676,94613.12,0.0,C2083130101,0.0,94613.12
