step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
611,TRANSFER,49965.92,C2139042212,49965.92,0.0,C707243062,0.0,0.0
611,CASH_OUT,49965.92,C641294007,49965.92,0.0,C1450612627,113444.65,163410.57
611,TRANSFER,40873.25,C710694637,40873.25,0.0,C1394516732,0.0,0.0
611,CASH_OUT,40873.25,C1783886401,40873.25,0.0,C2011653330,905220.62,946093.88
611,TRANSFER,904338.88,C1259697063,904338.88,0.0,C1822887102,0.0,0.0
611,CASH_OUT,904338.88,C1116522843,904338.88,0.0,C591928998,0.0,904338.88
611,TRANSFER,582725.12,C542772115,582725.12,0.0,C1024515079,0.0,0.0
611,CASH_OUT,582725.12,C1584934652,582725.12,0.0,C795947524,1066408.36,1649133.48
611,TRANSFER,59649.33,C1049687775,59649.33,0.0,C1071460933,0.0,0.0
611,CASH_OUT,59649.33,C452081223,59649.33,0.0,C1923665675,807552.55,867201.88
611,TRANSFER,1418168.85,C1778688025,1418168.85,0.0,C343288009,0.0,0.0
611,CASH_OUT,1418168.85,C1964276843,1418168.85,0.0,C164163741,1.039844086E7,1.181660971E7
611,TRANSFER,451663.55,C1275808280,451663.55,0.0,C668503841,0.0,0.0
611,CASH_OUT,451663.55,C1203772880,451663.55,0.0,C744982603,95658.45,547322.01
