step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
499,TRANSFER,558136.45,C1925386760,558136.45,0.0,C1909453139,0.0,0.0
499,CASH_OUT,558136.45,C711889939,558136.45,0.0,C1052521330,82549.61,640686.06
499,TRANSFER,488243.65,C2117568077,488243.65,0.0,C1238599279,0.0,0.0
499,CASH_OUT,488243.65,C1968880739,488243.65,0.0,C897542866,0.0,488243.65
499,TRANSFER,705529.08,C226825556,705529.08,0.0,C526627730,0.0,0.0
499,CASH_OUT,705529.08,C722954269,705529.08,0.0,C1084850642,41951.21,747480.29
499,TRANSFER,116530.2,C427871642,116530.2,0.0,C590191709,0.0,0.0
499,CASH_OUT,116530.2,C1873019648,116530.2,0.0,C636323541,1608702.22,1725232.42
499,TRANSFER,43308.07,C1244562453,43308.07,0.0,C1559662408,0.0,0.0
499,CASH_OUT,43308.07,C1516853965,43308.07,0.0,C678670921,289285.73,332593.8
