step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
591,TRANSFER,4863106.47,C355787543,4863106.47,0.0,C2072616549,0.0,0.0
591,CASH_OUT,4863106.47,C819607740,4863106.47,0.0,C346707940,0.0,4863106.47
591,CASH_OUT,242834.95,C1888378911,5807.0,0.0,C1232740248,978543.26,1221378.21
591,PAYMENT,26718.43,C34725771,0.0,0.0,M806332549,0.0,0.0
591,TRANSFER,906270.63,C1366387168,906270.63,0.0,C82363248,0.0,0.0
591,CASH_OUT,906270.63,C1392276809,906270.63,0.0,C1315942882,221709.79,1127980.43
591,CASH_OUT,190764.77,C1587352858,389496.0,198731.23,C2099007916,237075.62,427840.39
591,TRANSFER,111764.7,C328975820,111764.7,0.0,C1645485854,0.0,0.0
591,CASH_OUT,111764.7,C1233092662,111764.7,0.0,C308195819,4440481.04,4552245.74
591,PAYMENT,10736.94,C2023285357,60024.0,49287.06,M1318784417,0.0,0.0
591,CASH_OUT,330185.07,C56820763,35871.0,0.0,C1381426770,147508.88,477693.95
591,CASH_OUT,116230.29,C917002865,11640.0,0.0,C1341320635,1918889.05,2035119.34
591,CASH_OUT,179181.94,C152853827,0.0,0.0,C1347469224,257616.48,436798.42
591,CASH_OUT,14022.02,C536653764,0.0,0.0,C660237642,1014943.82,1028965.83
591,CASH_OUT,258973.06,C69481468,253.0,0.0,C2054164965,0.0,258973.06
591,TRANSFER,49339.14,C1881901787,0.0,0.0,C1923141437,84240.84,133579.98
591,TRANSFER,96039.02,C456533976,0.0,0.0,C1421826342,4744947.4,4840986.43
591,TRANSFER,612840.33,C1632512501,0.0,0.0,C11196337,1173150.71,1785991.04
591,TRANSFER,103512.0,C1146117619,0.0,0.0,C618560955,512528.05,616040.05
591,TRANSFER,307400.39,C1753316080,0.0,0.0,C2037041330,418006.26,725406.65
591,TRANSFER,318396.0,C1109625055,0.0,0.0,C1611044246,704609.04,1023005.04
591,TRANSFER,221107.56,C1387397359,221107.56,0.0,C1005726924,0.0,0.0
591,CASH_OUT,221107.56,C348872847,221107.56,0.0,C1071160283,52408.47,273516.03
591,CASH_OUT,34814.67,C2004799004,11536.0,0.0,C2146503445,1760581.31,1795395.97
591,CASH_OUT,241389.45,C692438364,0.0,0.0,C323467945,421953.95,663343.4
591,CASH_OUT,87452.23,C1806835171,0.0,0.0,C1898174760,793107.52,880559.75
591,CASH_OUT,92496.4,C607311618,0.0,0.0,C838844922,169148.06,261644.46
591,CASH_OUT,106145.66,C624812982,0.0,0.0,C976376132,223479.89,329625.55
591,CASH_OUT,31744.3,C584433000,0.0,0.0,C934662614,126108.49,157852.79
591,CASH_OUT,240948.99,C1509155284,0.0,0.0,C160137291,656013.94,896962.94
591,CASH_OUT,71032.49,C1800120111,0.0,0.0,C355646526,1165912.15,1236944.64
591,CASH_OUT,173438.7,C555866531,0.0,0.0,C2106408365,2257370.71,2430809.41
591,CASH_OUT,192482.09,C781196818,0.0,0.0,C419175108,264344.45,456826.54
591,CASH_OUT,111485.45,C1756084053,0.0,0.0,C800262248,7937114.46,8048599.91
591,CASH_OUT,152804.58,C1592727472,0.0,0.0,C1575061248,183390.93,336195.51
591,CASH_OUT,13344.23,C1898721551,0.0,0.0,C1785572065,1204254.8,1217599.03
591,CASH_OUT,46908.41,C1600311734,0.0,0.0,C2127609813,366908.45,413816.86
591,CASH_OUT,319999.89,C1783026704,0.0,0.0,C2019002612,3036138.12,3356138.01
591,CASH_OUT,145790.2,C1278352511,0.0,0.0,C1500115548,317732.35,463522.56
591,CASH_OUT,31099.02,C1552349375,0.0,0.0,C1218061488,278227.01,309326.03
591,CASH_OUT,113498.41,C354450936,0.0,0.0,C49159605,1015307.17,1128805.58
591,CASH_OUT,4277.39,C1234881816,0.0,0.0,C1775827036,248684.64,252962.03
591,PAYMENT,9019.71,C362279344,11041.0,2021.29,M2126487741,0.0,0.0
591,TRANSFER,609239.75,C1751567663,609239.75,0.0,C129769872,0.0,0.0
591,CASH_OUT,609239.75,C1997221686,609239.75,0.0,C1705000386,236427.49,845667.24
591,CASH_OUT,4309.65,C1564166678,7424.0,3114.35,C1580839097,27344.08,31653.73
591,PAYMENT,14266.33,C1585623876,3114.35,0.0,M5440014,0.0,0.0
591,PAYMENT,17188.5,C772800429,0.0,0.0,M702774144,0.0,0.0
591,CASH_OUT,11555.21,C1655764331,7079.0,0.0,C1604345858,0.0,11555.21
591,CASH_OUT,189683.69,C2062272577,80920.0,0.0,C883518625,41662.23,231345.91
591,TRANSFER,285208.87,C734568998,216.0,0.0,C1867006073,0.0,285208.87
591,TRANSFER,1777758.65,C432403364,1777758.65,0.0,C1905990879,0.0,0.0
591,CASH_OUT,1777758.65,C2084263514,1777758.65,0.0,C1480456939,0.0,1777758.65
591,CASH_OUT,143617.1,C1488334940,32092.0,0.0,C109703150,87286.13,230903.23
591,PAYMENT,9157.77,C914452734,14835.0,5677.23,M7335257,0.0,0.0
591,PAYMENT,7320.04,C641786504,5677.23,0.0,M1335694028,0.0,0.0
591,CASH_IN,319369.53,C1915133249,32352.0,351721.53,C1808479093,0.0,0.0
