step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
185,TRANSFER,1310761.16,C463279045,202368.0,0.0,C163946183,49715.15,1022882.94
185,CASH_OUT,42449.0,C663535790,45114.0,2665.0,C1363167327,0.0,42449.0
185,PAYMENT,6483.64,C1124353642,11604.0,5120.36,M509005863,0.0,0.0
185,TRANSFER,592191.87,C1839659795,219049.0,0.0,C1338569936,213727.74,805919.61
185,CASH_OUT,25148.47,C745459641,0.0,0.0,C911698694,749746.25,1051540.3
185,PAYMENT,24270.94,C1303964488,221.0,0.0,M1699204400,0.0,0.0
185,CASH_IN,169142.22,C1063505128,11653.0,180795.22,C1348972778,592903.12,423760.9
185,CASH_OUT,464376.56,C1697304506,30934.0,0.0,C625527176,0.0,464376.56
185,PAYMENT,39783.07,C1875024636,0.0,0.0,M876078201,0.0,0.0
185,PAYMENT,23369.91,C361917083,0.0,0.0,M645279884,0.0,0.0
185,PAYMENT,13630.2,C1570266052,0.0,0.0,M1443330082,0.0,0.0
185,PAYMENT,20181.53,C1355220683,0.0,0.0,M1201843727,0.0,0.0
185,PAYMENT,9031.16,C1492880196,299113.0,290081.84,M894451217,0.0,0.0
185,PAYMENT,2870.57,C1573488430,290081.84,287211.27,M264869966,0.0,0.0
185,CASH_OUT,166947.29,C191664984,24056.0,0.0,C682235594,621302.18,788249.46
185,TRANSFER,833824.97,C1073251474,150.0,0.0,C149546103,0.0,833824.97
185,PAYMENT,16956.56,C781812916,0.0,0.0,M1842442945,0.0,0.0
185,PAYMENT,22706.76,C38324848,681547.0,658840.24,M2037322431,0.0,0.0
185,CASH_OUT,265615.09,C464618754,50403.0,0.0,C2106861792,5029742.32,5295357.41
185,CASH_OUT,47887.03,C2106637263,584.0,0.0,C189761623,250887.89,298774.91
185,PAYMENT,9936.73,C961537351,0.0,0.0,M951378491,0.0,0.0
185,CASH_OUT,6647.51,C800782778,11684.0,5036.49,C1409683978,45881.7,52529.2
185,CASH_OUT,39412.47,C1460433217,5036.49,0.0,C936735296,3397299.67,3436712.14
185,CASH_IN,117993.95,C296735546,49858.0,167851.95,C356380937,0.0,0.0
185,TRANSFER,429914.02,C236277262,97.0,0.0,C136729799,131264.74,561178.76
185,PAYMENT,25274.3,C1989808479,0.0,0.0,M1118367924,0.0,0.0
185,CASH_OUT,183549.23,C770821592,11669.0,0.0,C923014941,0.0,183549.23
185,PAYMENT,4936.31,C154178390,100043.0,95106.69,M788954054,0.0,0.0
185,CASH_OUT,327878.98,C707662786,15543.0,0.0,C1986042065,0.0,327878.98
185,TRANSFER,339273.78,C152212562,3012.0,0.0,C169601327,673973.13,1013246.91
185,CASH_OUT,60456.79,C78978053,122596.0,62139.21,C670305759,1391800.55,1452257.33
185,CASH_OUT,113145.25,C418483998,62139.21,0.0,C1150473958,8144517.07,8257662.32
185,TRANSFER,353505.23,C1117466561,98531.0,0.0,C548975920,184639.06,538144.29
185,CASH_OUT,182206.0,C1605800900,0.0,0.0,C952610115,3419747.34,3601953.34
185,PAYMENT,21931.62,C1934616835,22023.0,91.38,M1741820171,0.0,0.0
185,PAYMENT,7660.76,C2091704087,5580.0,0.0,M401562613,0.0,0.0
185,CASH_OUT,246475.7,C467976186,83670.0,0.0,C348031801,0.0,219583.76
185,CASH_OUT,40938.27,C1816772548,266.0,0.0,C105876019,0.0,40938.27
185,CASH_IN,49779.46,C1988591933,5038.0,54817.46,C1496368246,0.0,0.0
185,PAYMENT,6195.95,C458906859,52034.0,45838.05,M637479701,0.0,0.0
185,PAYMENT,10230.84,C73996273,45838.05,35607.21,M1311629352,0.0,0.0
185,CASH_OUT,301409.12,C123293698,138699.0,0.0,C51907717,1122551.28,1423960.4
185,PAYMENT,698.83,C1537369215,59756.0,59057.17,M397948517,0.0,0.0
185,CASH_OUT,61445.99,C917878810,59057.17,0.0,C1029675972,3024614.5,3086060.48
185,CASH_OUT,84370.91,C2065770382,0.0,0.0,C1397760129,1.135739455E7,1.144176546E7
185,PAYMENT,35383.5,C862467337,971.0,0.0,M1706374687,0.0,0.0
185,CASH_OUT,498230.1,C2119903195,93144.0,0.0,C1229092441,349730.47,847960.57
185,PAYMENT,15327.34,C204763849,0.0,0.0,M2114379323,0.0,0.0
185,CASH_IN,95128.34,C852433450,668.0,95796.34,C1347069880,0.0,0.0
185,TRANSFER,815492.93,C361600599,116.0,0.0,C904165865,0.0,815492.93
185,PAYMENT,7079.9,C973085717,131.0,0.0,M1925184104,0.0,0.0
185,CASH_IN,388397.11,C946581599,5632.0,394029.11,C279481074,1043998.14,655601.03
185,PAYMENT,18920.52,C1101899307,394029.11,375108.59,M2079845055,0.0,0.0
185,CASH_OUT,15408.97,C1989554963,16541.0,1132.03,C1740595310,0.0,15408.97
185,CASH_IN,169568.44,C320511190,22423.0,191991.44,C1704553538,667856.33,498287.89
185,CASH_IN,10015.15,C1059781728,48679.0,58694.15,C183215708,356604.31,346589.15
185,TRANSFER,269183.75,C2068601640,58694.15,0.0,C155055158,1.141450624E7,1.168368999E7
185,TRANSFER,82613.08,C1015411193,0.0,0.0,C285974707,113996.5,295762.8
185,CASH_IN,90148.11,C2076063379,1532.0,91680.11,C1335379153,8181325.7,8091177.6
185,CASH_OUT,188150.99,C329190520,21326.0,0.0,C1783034541,89547.09,277698.08
185,CASH_OUT,309641.88,C169054264,60097.0,0.0,C1882685272,0.0,309641.88
185,CASH_OUT,391099.88,C428520122,103539.0,0.0,C906510451,3625489.9,4275851.84
185,CASH_IN,111477.34,C319428022,31440.0,142917.34,C1953212479,0.0,0.0
185,CASH_OUT,8131.34,C2023569251,249.0,0.0,C749192889,0.0,8131.34
185,CASH_OUT,132806.43,C1847192088,60.0,0.0,C1620345082,0.0,132806.43
185,PAYMENT,59775.24,C575310339,0.0,0.0,M1630444633,0.0,0.0
185,PAYMENT,21169.87,C1880725808,0.0,0.0,M1366422529,0.0,0.0
185,PAYMENT,3431.67,C664630974,0.0,0.0,M843381312,0.0,0.0
185,PAYMENT,4180.14,C237511969,0.0,0.0,M1344735513,0.0,0.0
185,CASH_IN,310897.35,C474201381,165656.0,476553.35,C474975512,1534917.17,1224019.82
185,CASH_OUT,200928.87,C155238935,11488.0,0.0,C1261544980,22772.9,223701.77
185,PAYMENT,36607.01,C1175383859,0.0,0.0,M780749098,0.0,0.0
185,PAYMENT,17298.43,C799171403,0.0,0.0,M553471186,0.0,0.0
185,CASH_IN,72612.84,C297486473,14112.0,86724.84,C1300339615,0.0,0.0
185,CASH_OUT,20568.24,C1973392269,16400.0,0.0,C387817489,0.0,20568.24
185,PAYMENT,10316.09,C1226509902,21694.0,11377.91,M55201891,0.0,0.0
185,CASH_OUT,131729.79,C1216262019,4063.0,0.0,C406052728,148719.4,280449.19
185,CASH_IN,124323.96,C1098141434,3628.0,127951.96,C25066424,672749.38,548425.42
185,CASH_OUT,362600.3,C1342980580,127951.96,0.0,C371132388,4591216.13,4893244.2
185,CASH_IN,50177.05,C26532558,173322.0,223499.05,C745898970,14930.3,0.0
185,CASH_OUT,14665.67,C1017872328,36571.0,21905.33,C1586198130,1725046.5,1739712.17
185,PAYMENT,32563.22,C1607202105,32992.0,428.78,M1836747845,0.0,0.0
185,PAYMENT,16859.18,C1243572622,428.78,0.0,M766315066,0.0,0.0
185,CASH_OUT,176221.78,C760168587,95427.0,0.0,C161721311,0.0,176221.78
185,CASH_IN,394087.37,C351205827,0.0,394087.37,C1867031196,3234424.01,2840336.64
185,CASH_IN,199408.9,C621584841,394087.37,593496.27,C567546041,1882445.8,1683036.9
185,CASH_IN,8079.07,C1614119816,593496.27,601575.34,C2067649132,1298326.91,1560495.82
185,CASH_IN,401917.83,C925486109,601575.34,1003493.17,C2127339974,1264885.11,862967.28
185,CASH_IN,582778.63,C1424628698,1003493.17,1586271.8,C801174628,1621459.38,1193074.62
185,CASH_IN,313766.65,C346618471,1586271.8,1900038.45,C1224835967,447148.0,133381.35
185,CASH_IN,191246.9,C1489834681,1900038.45,2091285.35,C468976795,641260.27,450013.37
185,CASH_IN,222024.58,C561869977,2091285.35,2313309.94,C94480112,616363.91,394339.33
185,CASH_IN,185966.22,C625844135,2313309.94,2499276.15,C676106167,1015540.88,1019621.26
185,CASH_IN,56808.86,C1986343595,2499276.15,2556085.01,C1227876333,785187.02,728378.15
185,CASH_IN,89874.17,C1175301636,2556085.01,2645959.19,C1912800766,692430.59,602556.42
185,CASH_IN,212898.68,C211735520,2645959.19,2858857.87,C4016132,1652813.93,1439915.25
185,CASH_IN,305574.68,C1172821363,2858857.87,3164432.55,C555143534,530054.17,224479.49
185,CASH_IN,229268.48,C449333006,3164432.55,3393701.02,C276492325,1685535.74,1456267.27
185,CASH_IN,261416.66,C824092637,3393701.02,3655117.68,C539961581,324214.78,62798.12
185,CASH_IN,304997.46,C1264939981,3655117.68,3960115.15,C191417729,2481146.18,2176148.72
185,CASH_IN,68438.72,C810711967,3960115.15,4028553.87,C82641283,1129851.31,1303606.25
185,CASH_IN,55404.11,C1752873644,4028553.87,4083957.97,C1389472197,68248.38,12844.27
185,CASH_IN,92516.47,C748603441,4083957.97,4176474.44,C451480127,159047.15,66530.68
185,CASH_IN,109089.19,C1275407732,4176474.44,4285563.63,C1544924837,126923.81,17834.62
185,CASH_IN,15626.03,C1864903144,4285563.63,4301189.66,C28883985,23982.38,8356.35
185,CASH_IN,96582.51,C1387938171,4301189.66,4397772.17,C268656882,872789.79,776207.28
185,CASH_IN,177316.94,C146785373,4397772.17,4575089.11,C963964059,344042.77,166725.84
185,CASH_IN,227387.08,C1840522931,4575089.11,4802476.19,C1476871993,1092538.12,865151.04
185,CASH_IN,119889.17,C1132275076,4802476.19,4922365.36,C260252679,3096534.28,2976645.11
185,CASH_IN,71875.27,C1137448201,4922365.36,4994240.63,C1229284108,669641.68,597766.41
185,CASH_IN,130830.76,C900185089,4994240.63,5125071.39,C89853846,457463.96,326633.19
185,CASH_IN,289297.27,C2045412792,5125071.39,5414368.66,C46654606,1653353.79,1364056.52
185,CASH_IN,357131.33,C1402064388,5414368.66,5771500.0,C147436212,1385029.67,1027898.34
185,CASH_IN,204037.33,C1884744994,5771500.0,5975537.33,C1429108522,364954.59,160917.26
185,CASH_IN,158884.61,C2014908573,5975537.33,6134421.93,C302941888,1881775.16,1722890.55
185,CASH_IN,175475.74,C1433640291,6134421.93,6309897.68,C1889273354,809215.46,633739.72
185,CASH_IN,215526.04,C147818535,6309897.68,6525423.72,C139099413,1575997.58,1360471.54
185,CASH_IN,140649.35,C1329028065,6525423.72,6666073.07,C1578446349,172775.23,32125.88
185,CASH_IN,183708.25,C2132424546,6666073.07,6849781.32,C1918900753,384838.67,201130.42
185,CASH_IN,72601.39,C919287143,6849781.32,6922382.7,C399460584,1870044.87,1797443.49
185,CASH_IN,178224.74,C1118903593,6922382.7,7100607.44,C493669950,6523949.1,6345724.36
185,CASH_IN,88118.18,C934063821,7100607.44,7188725.62,C1229963378,571844.8,483726.63
185,CASH_IN,26203.62,C421740157,7188725.62,7214929.24,C1362202042,362339.75,336136.13
185,CASH_IN,66346.46,C1991000115,7214929.24,7281275.7,C1106020404,440059.68,373713.22
185,CASH_IN,126893.91,C1010713498,7281275.7,7408169.61,C1056534308,3619836.23,3492942.32
185,CASH_IN,42235.87,C1849051158,7408169.61,7450405.47,C1001174492,311612.44,269376.57
185,CASH_IN,70987.58,C1852195707,7450405.47,7521393.06,C1008556918,379135.97,350910.63
185,CASH_IN,247299.91,C2061445980,7521393.06,7768692.96,C98727471,5899847.46,5652547.55
