step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
248,TRANSFER,1.0E7,C356177155,1.40113141E7,4011314.1,C803181313,0.0,0.0
248,CASH_OUT,1.0E7,C494814442,1.0E7,0.0,C242619213,9522166.24,1.952216624E7
248,TRANSFER,4011314.1,C692635750,4011314.1,0.0,C1583412522,0.0,0.0
248,CASH_OUT,4011314.1,C511866589,4011314.1,0.0,C485003808,229237.42,4240551.52
248,TRANSFER,65761.13,C1565735619,65761.13,0.0,C2066417026,0.0,0.0
248,CASH_OUT,65761.13,C845507735,65761.13,0.0,C1288737458,197135.39,262896.52
248,TRANSFER,18035.14,C742508903,18035.14,0.0,C1568770373,0.0,0.0
248,CASH_OUT,18035.14,C1218999932,18035.14,0.0,C463930958,0.0,18035.14
248,TRANSFER,26776.98,C1235100433,26776.98,0.0,C224481932,0.0,0.0
248,CASH_OUT,26776.98,C2049622163,26776.98,0.0,C1134158850,0.0,26776.98
