step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
24,PAYMENT,27003.49,C1828598998,324.0,0.0,M387058580,0.0,0.0
24,PAYMENT,5655.98,C1782546301,30307.0,24651.02,M902526484,0.0,0.0
24,PAYMENT,10791.26,C672054527,325916.0,315124.74,M793205953,0.0,0.0
24,PAYMENT,24449.53,C1049758403,315124.74,290675.21,M1342677203,0.0,0.0
24,PAYMENT,11368.09,C229840744,557128.0,545759.91,M403174219,0.0,0.0
24,PAYMENT,15970.9,C913127066,43181.0,27210.1,M1535183292,0.0,0.0
24,DEBIT,6068.97,C1318866419,2742.0,0.0,C1393425219,19929.75,25998.72
24,TRANSFER,330231.43,C1772511936,177.0,0.0,C1561072817,108467.6,438699.03
24,PAYMENT,9264.73,C908087432,776121.0,766856.27,M1698657049,0.0,0.0
24,PAYMENT,8150.79,C1239435672,10960.0,2809.21,M319455750,0.0,0.0
24,PAYMENT,21177.69,C664413439,30657.0,9479.31,M958606510,0.0,0.0
24,DEBIT,9534.3,C1917066907,1988.0,0.0,C617963620,9101808.67,9111342.97
24,CASH_OUT,421662.72,C899266663,0.0,0.0,C1817569560,1.204414887E7,1.246581159E7
24,CASH_OUT,75785.47,C1129500663,0.0,0.0,C685350961,296540.29,372325.76
24,CASH_OUT,8036.9,C1672793455,0.0,0.0,C1023529951,1939179.94,1947216.84
24,CASH_OUT,212085.75,C827766596,0.0,0.0,C549469531,2930032.99,3142118.74
24,CASH_OUT,142138.36,C1232366473,0.0,0.0,C4974976,6780407.03,6922545.38
24,CASH_OUT,11101.07,C470562855,0.0,0.0,C15387840,78131.8,89232.87
24,CASH_OUT,310729.16,C1494634876,0.0,0.0,C2040656033,1.377640772E7,1.408713689E7
24,CASH_OUT,286657.09,C1568551309,0.0,0.0,C1465186691,4491721.11,4778378.2
24,CASH_OUT,13466.2,C935080328,0.0,0.0,C254558116,2970686.78,2984152.98
24,CASH_OUT,309573.48,C1242360408,0.0,0.0,C1604984001,339163.43,648736.91
24,CASH_OUT,127317.22,C570089428,0.0,0.0,C1372793445,251788.16,379105.38
24,CASH_OUT,101679.05,C228876351,0.0,0.0,C896393489,3.276987826E7,3.287155731E7
24,CASH_OUT,91357.82,C1539448946,0.0,0.0,C1864035295,551501.03,642858.85
24,CASH_OUT,84993.03,C1982947192,0.0,0.0,C292560811,483990.99,568984.02
24,CASH_OUT,130813.26,C21117461,0.0,0.0,C953516263,244510.17,375323.43
