step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
168,PAYMENT,5406.17,C1686261025,253.0,0.0,M1401854617,0.0,0.0
168,TRANSFER,202857.78,C1852123961,3685.0,0.0,C1031841806,59885.32,262743.09
168,TRANSFER,138329.7,C181760161,99968.0,0.0,C1121802556,2845482.72,2983812.42
168,PAYMENT,9150.81,C2085146527,0.0,0.0,M1538644189,0.0,0.0
168,PAYMENT,2450.04,C474877041,448644.0,446193.96,M1027553057,0.0,0.0
168,PAYMENT,4555.18,C129049390,1351.0,0.0,M1916231733,0.0,0.0
168,PAYMENT,1427.64,C519493510,244443.0,243015.36,M1513385286,0.0,0.0
168,PAYMENT,3334.81,C1410506109,22328.0,18993.19,M493713666,0.0,0.0
168,PAYMENT,802.61,C898615246,39574.0,38771.39,M1277739620,0.0,0.0
168,PAYMENT,12656.2,C210851817,25073.0,12416.8,M2059569680,0.0,0.0
168,CASH_IN,226066.17,C825787185,12416.8,238482.97,C692605185,1446265.83,1220199.65
168,CASH_IN,123622.32,C998857872,238482.97,362105.29,C1812185777,459567.58,335945.26
168,CASH_IN,20525.16,C1033992727,362105.29,382630.45,C246347328,155352.84,134827.68
168,CASH_IN,611.81,C1398666681,382630.45,383242.27,C713888092,164667.8,164055.99
168,CASH_IN,56278.22,C646563304,383242.27,439520.49,C1070134883,198097.48,141819.25
168,CASH_IN,57214.23,C1461022837,439520.49,496734.72,C1491463581,303843.48,246629.25
168,CASH_IN,9867.38,C1641208130,496734.72,506602.09,C1887029477,5521709.86,5511842.48
168,CASH_IN,220927.76,C1562253564,506602.09,727529.85,C1069069539,1977921.82,1756994.05
168,CASH_IN,233105.0,C902836274,727529.85,960634.86,C762504323,1072182.98,839077.97
168,CASH_IN,8648.56,C1228568613,960634.86,969283.41,C1550631478,4035466.69,4026818.13
168,CASH_IN,88306.71,C1054187657,969283.41,1057590.12,C2139504442,106285.47,17978.76
168,CASH_IN,178558.78,C329356887,1057590.12,1236148.9,C1979982010,901308.28,722749.49
168,PAYMENT,3019.24,C658793905,40920.0,37900.76,M1025890860,0.0,0.0
168,TRANSFER,142175.94,C786949353,37900.76,0.0,C472024941,411581.83,553757.77
168,CASH_IN,108311.58,C837540940,29854.0,138165.58,C1393554309,1317233.19,1208921.62
168,PAYMENT,12013.35,C889609773,16942.0,4928.65,M652281371,0.0,0.0
168,CASH_OUT,426814.58,C925924994,4928.65,0.0,C310574694,1321991.51,1748806.09
168,PAYMENT,8673.82,C1482087828,50370.0,41696.18,M1596327813,0.0,0.0
168,PAYMENT,17032.72,C1901659044,41696.18,24663.46,M1168750435,0.0,0.0
168,PAYMENT,4416.56,C729638975,10252.0,5835.44,M1141393658,0.0,0.0
168,PAYMENT,4645.62,C2104834044,172.0,0.0,M1978635678,0.0,0.0
168,PAYMENT,3879.56,C898840460,9907.0,6027.44,M861595228,0.0,0.0
168,PAYMENT,7590.04,C1740959004,6027.44,0.0,M1854854943,0.0,0.0
168,PAYMENT,6654.13,C1108193813,20352.0,13697.87,M637654030,0.0,0.0
168,CASH_OUT,156363.88,C1718448607,13697.87,0.0,C2034025029,3573693.66,3730057.54
168,PAYMENT,1096.67,C2126738466,33898.0,32801.33,M1366424821,0.0,0.0
168,PAYMENT,14157.61,C2046358385,21427.0,7269.39,M1956025880,0.0,0.0
168,PAYMENT,636.9,C294751948,82050.0,81413.1,M1339645535,0.0,0.0
168,PAYMENT,4196.15,C1896107950,81413.1,77216.95,M828514752,0.0,0.0
168,PAYMENT,2433.02,C748175054,113.0,0.0,M691447460,0.0,0.0
168,CASH_OUT,60094.26,C2057102611,0.0,0.0,C192931543,178723.76,238818.02
168,PAYMENT,6134.91,C1515239329,105740.0,99605.09,M928226411,0.0,0.0
168,PAYMENT,3729.76,C734797731,93810.0,90080.24,M912638900,0.0,0.0
168,PAYMENT,5396.21,C1767343974,90080.24,84684.03,M1112342243,0.0,0.0
168,PAYMENT,3533.16,C162975758,205406.0,201872.84,M290900719,0.0,0.0
168,PAYMENT,931.83,C1156514580,1007.0,75.17,M1643206284,0.0,0.0
168,CASH_OUT,548217.93,C1584978972,75.17,0.0,C75204353,2160552.63,2708770.56
168,PAYMENT,16303.15,C2036229262,1933.0,0.0,M1167408914,0.0,0.0
168,PAYMENT,2623.75,C784024602,85317.0,82693.25,M918283757,0.0,0.0
168,PAYMENT,5831.68,C1011588512,20743.0,14911.32,M1355438228,0.0,0.0
168,CASH_OUT,539198.27,C614812931,11330.0,0.0,C801227565,0.0,539198.27
168,PAYMENT,2212.85,C1297633527,38492.0,36279.15,M765354593,0.0,0.0
168,PAYMENT,3927.32,C789746110,32104.0,28176.68,M567352330,0.0,0.0
168,PAYMENT,5136.9,C780222255,54047.0,48910.1,M1892867572,0.0,0.0
