step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
644,PAYMENT,758.01,C723531416,10845.0,10086.99,M799165260,0.0,0.0
644,PAYMENT,7850.24,C294774012,11654.0,3803.76,M1096223531,0.0,0.0
644,CASH_OUT,126566.18,C1802072431,98755.0,0.0,C973492371,0.0,126566.18
644,PAYMENT,33701.19,C1445769061,26232.0,0.0,M1216612184,0.0,0.0
644,PAYMENT,7956.61,C838026032,189679.0,181722.39,M288472680,0.0,0.0
644,CASH_OUT,159004.01,C584416428,39943.0,0.0,C1858184451,113605.54,272609.55
644,PAYMENT,16957.3,C1250099561,0.0,0.0,M1631728074,0.0,0.0
644,PAYMENT,534.88,C2107380084,202553.0,202018.12,M1948590711,0.0,0.0
644,CASH_OUT,111862.8,C645918163,202018.12,90155.33,C1663775467,264899.11,376761.9
644,PAYMENT,7452.51,C1447253175,80076.0,72623.49,M1263139002,0.0,0.0
644,CASH_OUT,123897.66,C371350846,79366.0,0.0,C949597751,158725.56,282623.22
644,PAYMENT,2440.91,C1332362076,41412.0,38971.09,M62929130,0.0,0.0
644,CASH_OUT,8978.43,C122199040,5086.0,0.0,C2110311746,603782.54,612760.97
644,CASH_OUT,187734.68,C59243130,257831.0,70096.32,C304245972,1374113.45,1561848.12
644,PAYMENT,27859.63,C489263501,70096.32,42236.69,M523042218,0.0,0.0
644,CASH_IN,55240.54,C1556597459,119031.0,174271.54,C17922064,0.0,0.0
644,CASH_OUT,118682.38,C1622130459,294.0,0.0,C175654098,0.0,118682.38
644,PAYMENT,4907.26,C828108666,0.0,0.0,M1239582038,0.0,0.0
644,CASH_IN,144373.04,C722554859,32426.0,176799.04,C1233373800,288877.38,144504.34
644,CASH_IN,187678.77,C911964917,168822.0,356500.77,C1848036357,176241.45,0.0
644,CASH_OUT,256790.27,C1486185339,43478.0,0.0,C832637952,5970692.84,6227483.11
644,CASH_OUT,30550.11,C83920138,52375.0,21824.89,C1552256324,272221.7,302771.81
644,PAYMENT,31281.49,C617606230,100395.0,69113.51,M1236186856,0.0,0.0
644,PAYMENT,9779.5,C978557469,69113.51,59334.01,M1006268552,0.0,0.0
644,PAYMENT,14028.2,C1611433725,353.0,0.0,M1554605538,0.0,0.0
644,CASH_OUT,71153.39,C2047643416,1605.0,0.0,C2115621739,0.0,71153.39
644,PAYMENT,24446.32,C312139489,2045.0,0.0,M379947297,0.0,0.0
644,CASH_IN,223297.1,C28604514,0.0,223297.1,C452942789,434408.2,211111.1
644,CASH_IN,89346.35,C526275331,223297.1,312643.45,C1020411203,1314002.92,1224656.57
644,CASH_IN,352728.92,C1542974431,312643.45,665372.37,C1234737185,440381.47,87652.56
644,CASH_IN,74181.66,C1629592833,665372.37,739554.03,C1053279275,1204947.0,1130765.34
644,CASH_IN,344923.1,C1131716143,739554.03,1084477.13,C583920666,1086853.06,741929.96
644,CASH_IN,195019.19,C777980681,1084477.13,1279496.32,C802661549,270215.12,75195.93
644,CASH_IN,279372.72,C1251128334,1279496.32,1558869.04,C715143007,1492085.32,1212712.59
644,CASH_IN,330181.93,C666296776,1558869.04,1889050.97,C947890458,4096597.02,3766415.1
644,CASH_IN,256327.01,C1079285495,1889050.97,2145377.98,C1545721265,391343.37,135016.36
644,CASH_IN,28423.07,C377866935,2145377.98,2173801.05,C274441628,347793.76,319370.69
644,CASH_IN,163724.99,C1231568557,2173801.05,2337526.04,C511541453,3275353.71,3111628.72
644,CASH_IN,257736.72,C1505771241,2337526.04,2595262.76,C303806070,5869729.07,5611992.35
644,CASH_IN,49064.47,C1028122632,2595262.76,2644327.23,C1423742122,1273429.22,1224364.75
644,CASH_IN,151886.47,C95378789,2644327.23,2796213.7,C1806760084,471940.41,320053.94
644,CASH_IN,151273.12,C230327851,2796213.7,2947486.81,C1120805444,396480.42,245207.3
644,CASH_IN,11635.41,C1431684611,2947486.81,2959122.23,C1712200566,4132493.26,4120857.84
644,CASH_IN,26421.05,C1473278729,2959122.23,2985543.28,C984798635,1110258.35,1083837.3
644,CASH_IN,383373.08,C678119651,2985543.28,3368916.36,C8514010,643054.67,259681.59
644,CASH_IN,450011.42,C1899563035,3368916.36,3818927.78,C547644464,9947840.14,9497828.71
644,CASH_IN,131674.46,C170376673,3818927.78,3950602.24,C911466129,7832004.97,7700330.51
644,CASH_IN,93671.68,C1589366679,3950602.24,4044273.91,C1057539440,722664.25,628992.57
644,CASH_IN,18347.4,C744859891,4044273.91,4062621.31,C1321953097,765332.1,746984.7
644,CASH_IN,66217.15,C363136180,4062621.31,4128838.46,C472609226,1.984992065E7,1.978370351E7
644,CASH_IN,243449.89,C576351060,4128838.46,4372288.35,C16878689,573974.88,330524.99
644,CASH_IN,74478.58,C580767743,4372288.35,4446766.93,C1581522808,168059.53,93580.95
644,CASH_IN,68202.66,C599705967,4446766.93,4514969.59,C1931351575,2392907.4,2324704.74
644,CASH_IN,103417.36,C511965448,4514969.59,4618386.95,C966366907,2828042.14,2724624.78
644,CASH_IN,122437.62,C1878143303,4618386.95,4740824.57,C1457958658,1837721.5,1715283.88
644,CASH_IN,277574.07,C593291633,4740824.57,5018398.63,C1535206457,7550429.3,7272855.23
644,CASH_IN,13559.56,C1996270020,218954.0,232513.56,C2079219286,0.0,0.0
644,PAYMENT,8971.19,C2008438186,232513.56,223542.37,M154151442,0.0,0.0
644,PAYMENT,8097.81,C1306742052,1071.0,0.0,M1589805013,0.0,0.0
644,TRANSFER,259519.79,C454851234,67528.0,0.0,C914635664,1556346.89,1815866.68
644,PAYMENT,5882.89,C326411113,579817.0,573934.11,M1151944270,0.0,0.0
644,PAYMENT,28675.56,C156804569,40377.0,11701.44,M1902712634,0.0,0.0
644,CASH_OUT,145086.3,C1202757013,10233.0,0.0,C541394849,676550.45,821636.75
644,CASH_OUT,76310.86,C1227171867,276.0,0.0,C1822990628,615772.85,692083.72
644,CASH_IN,249957.56,C85928587,15194.0,265151.56,C1141382242,0.0,0.0
644,CASH_OUT,160167.05,C1022766549,848.0,0.0,C715166674,729508.47,889675.52
644,CASH_OUT,207040.57,C2145997803,103396.0,0.0,C864463732,0.0,207040.57
