step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
504,TRANSFER,262678.53,C678590002,262678.53,0.0,C1721123505,0.0,0.0
504,CASH_OUT,262678.53,C1216671275,262678.53,0.0,C1747817225,577129.04,839807.57
504,TRANSFER,219278.81,C1107477281,219278.81,0.0,C1615965100,0.0,0.0
504,CASH_OUT,219278.81,C1874877556,219278.81,0.0,C2097103123,22127.85,241406.66
504,TRANSFER,3018810.85,C1421370456,3018810.85,0.0,C386359877,0.0,0.0
504,CASH_OUT,3018810.85,C1000484178,3018810.85,0.0,C895750711,65126.98,3083937.83
504,TRANSFER,138048.52,C1877863116,138048.52,0.0,C1533281477,0.0,0.0
504,CASH_OUT,138048.52,C35858617,138048.52,0.0,C134087262,0.0,138048.52
504,TRANSFER,1380940.73,C355341825,1380940.73,0.0,C1803466498,0.0,0.0
504,CASH_OUT,1380940.73,C1061974347,1380940.73,0.0,C2132628284,185939.03,1566879.76
