step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
503,PAYMENT,3504.02,C132940949,3050.0,0.0,M292100364,0.0,0.0
503,CASH_IN,189631.54,C1699998154,69461.0,259092.54,C101508639,436790.83,247159.28
503,TRANSFER,1537922.52,C1027258829,259092.54,0.0,C1285503382,5260086.64,6798009.16
503,DEBIT,1196.92,C1586584275,245651.0,244454.08,C1116740105,130195.79,131392.7
503,PAYMENT,525.05,C132745588,39407.0,38881.95,M2098085370,0.0,0.0
503,DEBIT,2082.87,C353507143,30864.0,28781.13,C1423987421,1468289.14,1470372.02
503,PAYMENT,5199.97,C1099006196,29690.0,24490.03,M182977433,0.0,0.0
503,PAYMENT,511.71,C100998867,3525.0,3013.29,M61376891,0.0,0.0
503,CASH_OUT,152427.3,C1315127258,3013.29,0.0,C1014076027,432623.63,585050.93
503,CASH_OUT,152922.82,C73210180,0.0,0.0,C1304496787,174942.06,327864.88
503,TRANSFER,181284.73,C704670874,72024.0,0.0,C848207818,1.657820957E7,1.67594943E7
503,PAYMENT,12060.58,C1831128048,11686.0,0.0,M980333665,0.0,0.0
503,PAYMENT,3362.08,C1444220241,21183.0,17820.92,M2144919477,0.0,0.0
503,TRANSFER,84804.09,C887681269,42194.0,0.0,C1799701015,0.0,84804.09
503,CASH_OUT,129937.79,C2078971829,0.0,0.0,C510985116,290555.01,420492.8
503,CASH_OUT,158426.25,C90923548,0.0,0.0,C766726747,1011259.63,1169685.88
503,PAYMENT,7436.14,C1014440051,52298.0,44861.86,M1340801104,0.0,0.0
503,CASH_OUT,52202.09,C1620271399,182.0,0.0,C1371202852,0.0,52202.09
503,PAYMENT,6403.5,C1043764395,1547.0,0.0,M994529190,0.0,0.0
503,PAYMENT,8742.33,C750334238,0.0,0.0,M1473832951,0.0,0.0
503,PAYMENT,3117.37,C1564586603,104439.0,101321.63,M1559952410,0.0,0.0
503,PAYMENT,1097.23,C967710554,16909.0,15811.77,M702134471,0.0,0.0
503,PAYMENT,8554.57,C2036041085,25928.0,17373.43,M1917500512,0.0,0.0
503,PAYMENT,1991.67,C999776692,105420.0,103428.33,M1600973185,0.0,0.0
503,PAYMENT,4496.41,C2059009916,103428.33,98931.91,M1563948535,0.0,0.0
503,CASH_OUT,15716.31,C1571665188,30459.0,14742.69,C175574046,8884.94,24601.26
503,PAYMENT,2719.91,C1706389489,14742.69,12022.78,M1354903076,0.0,0.0
503,CASH_IN,213006.03,C842588550,281.0,213287.03,C830391473,3279892.51,3066886.48
503,PAYMENT,3252.51,C42755696,52112.0,48859.49,M1275611959,0.0,0.0
503,PAYMENT,3231.2,C226164636,103618.0,100386.8,M2017135460,0.0,0.0
503,CASH_OUT,68425.18,C434458101,101227.0,32801.82,C1318038006,0.0,68425.18
503,PAYMENT,9460.44,C398130189,53214.0,43753.56,M1298560889,0.0,0.0
503,PAYMENT,3865.98,C1831216538,43753.56,39887.58,M1579112238,0.0,0.0
503,PAYMENT,2024.77,C503681652,100061.0,98036.23,M1613165426,0.0,0.0
503,PAYMENT,9425.78,C1022365721,98036.23,88610.45,M418551438,0.0,0.0
503,PAYMENT,3239.18,C710287830,205499.0,202259.82,M2101144205,0.0,0.0
503,PAYMENT,12325.12,C1106267627,202259.82,189934.7,M1304098237,0.0,0.0
503,PAYMENT,19465.03,C1459168589,189934.7,170469.67,M1275843997,0.0,0.0
503,PAYMENT,29305.69,C265770722,170469.67,141163.98,M366632376,0.0,0.0
503,PAYMENT,9943.0,C169263363,141163.98,131220.98,M413358817,0.0,0.0
503,PAYMENT,21456.03,C762740561,131220.98,109764.95,M1787216090,0.0,0.0
503,PAYMENT,4547.57,C1445202512,109764.95,105217.38,M1414673959,0.0,0.0
503,PAYMENT,801.37,C1254119179,105217.38,104416.01,M370990745,0.0,0.0
503,PAYMENT,15223.31,C1620848768,104416.01,89192.7,M624611770,0.0,0.0
503,PAYMENT,2041.05,C1837802009,89192.7,87151.65,M487735591,0.0,0.0
503,PAYMENT,10947.4,C478902837,87151.65,76204.25,M1875889951,0.0,0.0
503,PAYMENT,6930.3,C1475158677,76204.25,69273.95,M1492732470,0.0,0.0
503,PAYMENT,11015.97,C535087566,69273.95,58257.98,M247613978,0.0,0.0
503,PAYMENT,61.25,C805644509,58257.98,58196.74,M574581777,0.0,0.0
503,PAYMENT,2042.15,C464288545,58196.74,56154.59,M128086228,0.0,0.0
503,PAYMENT,366.25,C511238973,56154.59,55788.34,M1207851783,0.0,0.0
503,PAYMENT,4033.08,C1072907690,55788.34,51755.26,M725853776,0.0,0.0
503,PAYMENT,8450.71,C1929103630,51755.26,43304.55,M1206424117,0.0,0.0
503,TRANSFER,993088.06,C1645429111,993088.06,0.0,C1386808946,0.0,0.0
503,CASH_OUT,993088.06,C1414793795,993088.06,0.0,C1137450827,244746.61,1237834.66
503,PAYMENT,13130.85,C2026576510,19964.0,6833.15,M2066826856,0.0,0.0
503,PAYMENT,558.92,C55683200,22768.0,22209.08,M1998830779,0.0,0.0
503,PAYMENT,2948.52,C1469792459,72709.0,69760.48,M644374102,0.0,0.0
503,DEBIT,1116.39,C687073203,30176.0,29059.61,C1540092616,1439378.15,1440494.54
503,PAYMENT,5989.25,C1113542770,209256.0,203266.75,M1339018730,0.0,0.0
503,PAYMENT,9640.39,C724672683,209.0,0.0,M482870273,0.0,0.0
503,PAYMENT,6885.97,C606866218,20305.0,13419.03,M356328152,0.0,0.0
503,PAYMENT,6191.34,C858778668,50051.0,43859.66,M1864044100,0.0,0.0
503,PAYMENT,10223.08,C732577238,43859.66,33636.58,M1467871641,0.0,0.0
503,PAYMENT,11917.8,C461318614,33636.58,21718.78,M740392403,0.0,0.0
503,PAYMENT,63030.84,C1444913420,21718.78,0.0,M1859548015,0.0,0.0
503,PAYMENT,15822.69,C210093818,0.0,0.0,M737017180,0.0,0.0
503,PAYMENT,14689.57,C13709036,0.0,0.0,M1572956306,0.0,0.0
503,PAYMENT,12491.72,C2144454598,0.0,0.0,M999473789,0.0,0.0
503,PAYMENT,52460.07,C851262893,0.0,0.0,M1684948624,0.0,0.0
503,PAYMENT,16517.14,C368071212,0.0,0.0,M945617861,0.0,0.0
503,PAYMENT,32390.41,C1675098422,0.0,0.0,M1973123354,0.0,0.0
503,PAYMENT,1640.97,C1651324087,0.0,0.0,M1026583020,0.0,0.0
503,PAYMENT,7980.89,C1634871605,0.0,0.0,M1326436264,0.0,0.0
503,PAYMENT,10630.61,C1154257522,0.0,0.0,M2056125454,0.0,0.0
