step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
158,CASH_OUT,679051.64,C895704774,24377.0,0.0,C1104416444,0.0,679051.64
158,CASH_OUT,130118.23,C1522558247,13914.0,0.0,C817368517,0.0,130118.23
158,TRANSFER,233782.86,C183047558,0.0,0.0,C2014998310,331381.4,565164.26
158,CASH_OUT,115330.19,C450782006,886.0,0.0,C1998096886,4797427.02,4965689.3
158,PAYMENT,9868.19,C895785925,0.0,0.0,M1817454867,0.0,0.0
158,PAYMENT,1993.27,C785601594,4183.0,2189.73,M1207780613,0.0,0.0
158,PAYMENT,21706.64,C1448498316,207823.0,186116.36,M453501924,0.0,0.0
158,CASH_OUT,162557.24,C801179194,152091.0,0.0,C1559181306,1206996.98,1369554.21
158,CASH_IN,215557.95,C37338026,23096.0,238653.95,C99586191,0.0,0.0
158,TRANSFER,556965.08,C1722776917,200594.0,0.0,C639580483,18268.28,575233.36
158,CASH_IN,337450.06,C1108585127,25532.0,362982.06,C511077710,0.0,0.0
158,PAYMENT,19377.75,C1707381769,362982.06,343604.31,M720340976,0.0,0.0
158,PAYMENT,4566.73,C934744621,343604.31,339037.58,M1756283118,0.0,0.0
158,PAYMENT,15069.89,C688616750,299316.0,284246.11,M2139994104,0.0,0.0
158,CASH_OUT,317439.3,C1881470046,738824.0,421384.7,C1786826920,0.0,317439.3
158,CASH_OUT,105531.87,C1855185668,421384.7,315852.84,C570425905,1473598.48,1579130.35
158,CASH_OUT,36494.6,C482560509,10225.0,0.0,C1333451052,1367858.22,1404352.82
158,CASH_OUT,191995.91,C241377258,24876.0,0.0,C2081285727,1.001953801E7,1.021153392E7
158,CASH_OUT,227401.6,C1504877692,82018.0,0.0,C1287626432,2531363.07,3073048.29
158,CASH_OUT,653821.83,C684253069,12654.0,0.0,C1940315565,0.0,653821.83
158,CASH_IN,339375.43,C784525256,692337.19,1031712.62,C133260041,0.0,0.0
158,PAYMENT,21179.4,C944255413,1031712.62,1010533.21,M1976835004,0.0,0.0
158,PAYMENT,3183.41,C453936700,1010533.21,1007349.8,M583786034,0.0,0.0
158,PAYMENT,14349.71,C1534559815,20809.0,6459.29,M237731694,0.0,0.0
158,DEBIT,39.81,C1635461105,113905.0,113865.19,C373585948,245112.07,468779.28
158,PAYMENT,10429.21,C490561442,113865.19,103435.98,M2057283580,0.0,0.0
158,DEBIT,1443.7,C790259662,41685.0,40241.3,C1847747372,1871964.26,1873407.96
158,PAYMENT,3787.46,C400988531,14508.0,10720.54,M1624314978,0.0,0.0
158,PAYMENT,4930.6,C1735847875,10720.54,5789.94,M456048884,0.0,0.0
158,CASH_OUT,262516.21,C941686755,40934.0,0.0,C373332292,377549.65,640065.86
158,CASH_OUT,725935.97,C1346018945,74172.0,0.0,C1663545890,217440.54,943376.51
158,CASH_IN,262501.76,C6454194,88.0,262589.76,C1629934439,3965535.94,3703034.18
158,CASH_OUT,51452.27,C1839604266,522.0,0.0,C1295702814,0.0,51452.27
158,CASH_OUT,194126.52,C1388713882,0.0,0.0,C1863303295,4952126.07,5146252.59
158,CASH_OUT,247635.19,C1443648981,33105.0,0.0,C2064970025,65848.4,313483.6
158,CASH_OUT,265797.47,C1159732045,9970.0,0.0,C763726785,120297.25,386094.72
158,PAYMENT,8009.0,C432789169,30618.0,22609.0,M2069063893,0.0,0.0
158,PAYMENT,4749.03,C1329932439,27062.0,22312.97,M184199233,0.0,0.0
158,CASH_IN,358960.8,C1304660465,32387.0,391347.8,C278884990,166782.26,0.0
158,PAYMENT,25114.33,C766924124,391347.8,366233.47,M1272037869,0.0,0.0
158,CASH_OUT,307822.25,C347525238,4265.0,0.0,C1694574182,131620.07,439442.32
158,CASH_OUT,52705.46,C1164660496,31413.0,0.0,C571369318,1062450.71,1115156.17
158,CASH_IN,147685.08,C1525218900,1043.0,148728.08,C766694712,0.0,0.0
158,CASH_OUT,20617.45,C536052301,12654.0,0.0,C506222767,0.0,20617.45
158,CASH_OUT,141024.38,C1038402725,115.0,0.0,C547277017,218534.97,359559.35
158,CASH_OUT,924.32,C577245126,0.0,0.0,C366727308,130489.84,131414.17
158,CASH_OUT,270031.98,C1064259457,50566.0,0.0,C2077385032,73345.18,343377.15
158,TRANSFER,451103.65,C1015890891,91954.0,0.0,C234655084,531936.17,983039.82
158,TRANSFER,790634.21,C668428563,151717.0,0.0,C841959247,3774239.25,4564873.46
158,CASH_IN,342298.89,C1168331792,0.0,342298.89,C732641257,493702.81,151403.91
158,CASH_IN,364370.66,C16062562,342298.89,706669.55,C1307732568,413458.27,49087.62
158,CASH_IN,158020.02,C1446019244,706669.55,864689.57,C603580770,8153829.65,7995809.63
158,CASH_IN,503017.91,C1253307528,864689.57,1367707.49,C1209501347,1323984.72,820966.81
158,CASH_IN,285533.48,C359610906,1367707.49,1653240.96,C1627403249,508875.97,223342.49
158,CASH_IN,22887.04,C1030817501,1653240.96,1676128.01,C1715875758,2019406.55,1996519.51
158,CASH_IN,152466.38,C1863767103,1676128.01,1828594.39,C1577763298,228360.27,75893.89
158,CASH_IN,151527.74,C978615009,1828594.39,1980122.13,C749397936,1810347.14,1991340.62
158,CASH_IN,151261.72,C1451698267,1980122.13,2131383.84,C1642666788,3180208.86,3028947.14
158,CASH_IN,260973.73,C1668647864,2131383.84,2392357.57,C1790831319,1.009281498E7,9831841.25
158,CASH_IN,169673.12,C974851269,2392357.57,2562030.7,C1161173332,1267381.28,1097708.16
158,CASH_IN,148000.94,C587332117,2562030.7,2710031.64,C1387939448,4094582.98,3946582.04
158,CASH_IN,53880.22,C1286331358,2710031.64,2763911.86,C653207751,2095587.63,2041707.42
158,CASH_IN,182991.76,C63742392,2763911.86,2946903.62,C1058817615,2332898.54,2149906.78
158,CASH_IN,299962.55,C1632888864,2946903.62,3246866.16,C553420231,564476.18,204650.22
158,CASH_IN,208736.27,C1294886733,3246866.16,3455602.44,C1520178672,511791.1,453791.55
158,CASH_IN,124557.5,C1607016477,3455602.44,3580159.93,C648114120,387092.44,262534.94
158,CASH_IN,153266.38,C971934525,3580159.93,3733426.31,C2002048877,282150.71,128884.33
158,CASH_IN,100943.79,C1191339720,3733426.31,3834370.1,C821597497,717871.02,616927.23
158,CASH_IN,232156.72,C2041083242,3834370.1,4066526.82,C371050495,2315728.55,2083571.83
158,CASH_IN,297369.51,C1870097290,4066526.82,4363896.33,C253852859,518849.91,377992.25
158,CASH_IN,85902.52,C571318842,4363896.33,4449798.84,C277553115,248906.6,163004.09
158,CASH_IN,66344.21,C1986901141,4449798.84,4516143.06,C1763232948,6243734.6,6259839.36
158,CASH_IN,16532.95,C1289002007,4516143.06,4532676.0,C667960698,126085.29,109552.34
158,CASH_IN,9986.79,C413898044,4532676.0,4542662.79,C585071267,423077.63,494595.54
158,CASH_IN,30040.9,C1475930209,4542662.79,4572703.68,C167273954,1531768.1,1501727.21
158,CASH_IN,196560.4,C1277830935,4572703.68,4769264.09,C8733802,9231254.4,9221851.52
158,CASH_IN,152017.74,C611724961,4769264.09,4921281.82,C259373099,587356.59,435338.85
158,CASH_IN,139434.41,C1622166886,4921281.82,5060716.23,C1537929982,712312.59,706740.15
158,CASH_IN,275962.45,C1880824561,5060716.23,5336678.69,C1454749283,529378.17,253415.71
158,CASH_IN,144959.6,C1838455162,5336678.69,5481638.29,C244668358,344862.62,199903.02
158,CASH_IN,164667.58,C2021826895,5481638.29,5646305.86,C83424335,415851.79,251184.21
158,CASH_IN,387962.76,C448469060,5646305.86,6034268.63,C1308781334,2126372.91,1738410.15
158,CASH_IN,127361.7,C853493104,6034268.63,6161630.33,C830664878,618564.41,491202.71
158,TRANSFER,1260298.44,C2076787992,31989.0,0.0,C1960916966,358017.27,1618315.71
158,CASH_IN,606755.44,C380374007,199186.0,805941.44,C2143181076,0.0,0.0
158,CASH_IN,147161.3,C1410811998,12137.0,159298.3,C238932771,23027.68,0.0
158,PAYMENT,24898.27,C480994153,33026.0,8127.73,M771429473,0.0,0.0
158,CASH_OUT,242886.78,C1535005082,118086.0,0.0,C133568979,64305.22,307192.01
158,CASH_OUT,85624.94,C893761299,52120.0,0.0,C888909478,0.0,85624.94
158,CASH_OUT,97943.83,C1915890425,125.0,0.0,C1983818176,194849.49,292793.31
158,PAYMENT,11207.52,C127889602,0.0,0.0,M784597802,0.0,0.0
158,PAYMENT,11638.8,C908182734,0.0,0.0,M1428641041,0.0,0.0
158,PAYMENT,11665.82,C700593687,0.0,0.0,M663862614,0.0,0.0
158,PAYMENT,11016.24,C523115230,0.0,0.0,M1884179447,0.0,0.0
158,PAYMENT,8105.84,C1208265063,0.0,0.0,M1649788476,0.0,0.0
158,PAYMENT,2348.1,C230869058,0.0,0.0,M256982014,0.0,0.0
158,PAYMENT,6214.01,C1660151010,0.0,0.0,M786152102,0.0,0.0
158,PAYMENT,9969.62,C901838823,0.0,0.0,M868791402,0.0,0.0
158,PAYMENT,12368.37,C1315013125,0.0,0.0,M1025253349,0.0,0.0
158,PAYMENT,7183.37,C257013870,0.0,0.0,M2043422218,0.0,0.0
158,PAYMENT,16097.09,C998240924,0.0,0.0,M1723937057,0.0,0.0
158,PAYMENT,10320.9,C1683060575,0.0,0.0,M2092294569,0.0,0.0
158,PAYMENT,28677.54,C941230001,0.0,0.0,M1472029098,0.0,0.0
158,PAYMENT,29270.98,C943263629,0.0,0.0,M1808931210,0.0,0.0
158,PAYMENT,29192.16,C60669134,0.0,0.0,M1066482982,0.0,0.0
158,PAYMENT,24786.84,C1327761470,0.0,0.0,M885085721,0.0,0.0
158,PAYMENT,1141.75,C1515517827,0.0,0.0,M1813678562,0.0,0.0
158,PAYMENT,9982.86,C51386791,0.0,0.0,M1038087746,0.0,0.0
158,PAYMENT,2056.06,C1087039125,0.0,0.0,M2015830775,0.0,0.0
158,PAYMENT,42262.03,C2071576949,0.0,0.0,M961955262,0.0,0.0
158,PAYMENT,13074.32,C784331343,0.0,0.0,M1867406837,0.0,0.0
158,PAYMENT,27819.87,C1518951168,154211.0,126391.13,M1366924890,0.0,0.0
158,CASH_OUT,28859.88,C8725424,126391.13,97531.25,C469698526,1202515.1,1535850.05
158,CASH_OUT,75750.33,C498694048,134834.0,59083.67,C453491960,228361.72,304112.06
158,CASH_OUT,84165.36,C234384972,90103.0,5937.64,C223899155,0.0,84165.36
158,CASH_IN,410296.6,C275692263,99726.0,510022.6,C1516723835,615872.06,205575.46
158,TRANSFER,171456.83,C970953721,171456.83,0.0,C574361249,0.0,0.0
158,CASH_OUT,171456.83,C1871574805,171456.83,0.0,C1987416199,546812.73,718269.56
158,CASH_IN,416880.91,C558460582,31503.0,448383.91,C1148018860,376582.44,0.0
158,CASH_OUT,113273.47,C1142243818,448383.91,335110.45,C1262598686,362100.48,475373.95
158,CASH_OUT,265003.62,C17846986,335110.45,70106.83,C280562727,1571509.76,1536472.28
158,CASH_OUT,103518.05,C27605154,70106.83,0.0,C1415823518,1618143.87,1721661.91
158,CASH_OUT,325848.67,C1802717806,0.0,0.0,C1254651837,1157202.18,1483050.85
158,CASH_OUT,155305.83,C92753147,0.0,0.0,C1356359366,7508063.32,7663369.15
158,CASH_OUT,189147.14,C109238403,0.0,0.0,C904184383,1857200.25,2046347.39
158,CASH_OUT,58691.66,C776638681,0.0,0.0,C1360691649,757821.54,816513.19
158,CASH_OUT,150402.24,C1604034372,0.0,0.0,C78554535,151877.55,302279.79
158,CASH_OUT,38603.31,C1623515352,0.0,0.0,C2086460682,576778.66,615381.97
158,CASH_OUT,230393.74,C1888647811,0.0,0.0,C647545018,657611.41,888005.15
158,CASH_OUT,159402.2,C178581520,0.0,0.0,C34335418,766544.39,925946.59
158,CASH_OUT,278682.07,C155594687,0.0,0.0,C1708145194,917642.59,1196324.66
158,CASH_OUT,425594.89,C1313070191,0.0,0.0,C1958561859,1323450.96,1749045.84
