step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
354,CASH_OUT,138071.12,C1536945017,10126.0,0.0,C85669447,3587901.19,3725972.31
354,CASH_OUT,255977.78,C1376774487,65379.0,0.0,C471401331,0.0,255977.78
354,PAYMENT,9695.72,C1995689010,99163.0,89467.28,M338204391,0.0,0.0
354,PAYMENT,16239.97,C283932472,89467.28,73227.31,M1032085795,0.0,0.0
354,CASH_OUT,336920.4,C1442752765,53072.0,0.0,C519228186,69853.86,406774.26
354,CASH_IN,221258.09,C87130891,16024.0,237282.09,C1730312920,4882308.52,4661050.43
354,PAYMENT,33452.78,C1981247778,34815.0,1362.22,M1753521082,0.0,0.0
354,DEBIT,4702.89,C1209892631,12168.0,7465.11,C722625909,153554.59,158257.48
354,CASH_IN,47183.42,C1094554820,20002.0,67185.42,C1658267191,3259.76,0.0
354,CASH_OUT,59504.98,C216953760,67185.42,7680.44,C1705565309,424154.62,483659.6
354,CASH_OUT,71947.99,C1081831628,7680.44,0.0,C1796492649,3805162.49,3877110.49
354,CASH_OUT,127047.57,C1673353747,0.0,0.0,C1185158601,1396455.93,1523503.5
354,CASH_OUT,65185.8,C1309374740,0.0,0.0,C962974341,1103779.53,1168965.33
354,CASH_OUT,19679.64,C830959622,0.0,0.0,C504878560,58624.85,78304.49
354,PAYMENT,24997.08,C719424490,132416.0,107418.92,M587538791,0.0,0.0
354,PAYMENT,8507.76,C919809994,4052.0,0.0,M1012825686,0.0,0.0
354,PAYMENT,17710.29,C449191148,0.0,0.0,M272763082,0.0,0.0
354,PAYMENT,24827.79,C1069598839,81639.0,56811.21,M1889778967,0.0,0.0
354,PAYMENT,7593.62,C1521020563,56811.21,49217.59,M1512880468,0.0,0.0
354,CASH_IN,228926.35,C1662406934,31313.0,260239.35,C833404136,1012677.37,783751.01
354,CASH_OUT,236967.44,C238031718,260239.35,23271.91,C1133638991,403842.24,640809.68
354,PAYMENT,167.53,C334608453,99689.0,99521.47,M749225334,0.0,0.0
354,PAYMENT,804.77,C2112302868,99521.47,98716.7,M1942137069,0.0,0.0
354,PAYMENT,32458.22,C1835996480,202438.0,169979.78,M50490990,0.0,0.0
354,CASH_OUT,48682.14,C1205431957,10786.0,0.0,C511764590,243766.68,292448.82
354,PAYMENT,13583.15,C565850947,0.0,0.0,M879421217,0.0,0.0
354,CASH_IN,169810.33,C613125852,16978.0,186788.33,C964325306,107324.85,0.0
354,CASH_IN,98013.05,C673902878,30980.0,128993.05,C2030211889,2893899.81,2795886.76
354,CASH_OUT,31564.96,C1492840307,71.0,0.0,C1837044842,8219143.36,8250708.31
354,CASH_IN,43411.27,C1003116706,21773.0,65184.27,C872458492,104208.0,0.0
354,CASH_OUT,213034.7,C1137691753,32255.0,0.0,C1188520506,979590.31,1192625.01
354,CASH_IN,273724.89,C1016231695,12969.0,286693.89,C660693448,326305.62,52580.73
354,TRANSFER,644168.04,C865896089,595.0,0.0,C854422464,0.0,644168.04
354,CASH_OUT,222269.58,C1526388480,31384.0,0.0,C275919940,327421.93,549691.51
354,TRANSFER,763718.29,C1743512754,0.0,0.0,C1598252879,3601399.31,4365117.6
354,PAYMENT,912.42,C1215221071,10669.0,9756.58,M529609365,0.0,0.0
354,CASH_IN,47869.76,C333427888,21434.0,69303.76,C1349102050,0.0,0.0
354,PAYMENT,4532.4,C724114445,2300.0,0.0,M362002578,0.0,0.0
354,CASH_OUT,107205.87,C58729775,38967.0,0.0,C156511458,685053.97,792259.84
354,CASH_IN,251698.81,C1838443483,125742.0,377440.81,C369224025,184396.63,0.0
354,CASH_IN,57594.07,C247388944,39757.0,97351.07,C1198200578,966022.27,908428.19
354,PAYMENT,7816.06,C107066749,11810.0,3993.94,M80363971,0.0,0.0
354,PAYMENT,8729.71,C1255028786,3993.94,0.0,M852499488,0.0,0.0
354,CASH_IN,557805.04,C957455706,32268.0,590073.04,C1920066597,0.0,0.0
354,CASH_OUT,43960.94,C1870862306,31808.0,0.0,C78139986,7516.88,51477.82
354,CASH_OUT,293715.02,C1412935048,30746.0,0.0,C2096131595,647557.05,941272.06
354,TRANSFER,37691.12,C1714719282,1559.0,0.0,C1134660360,0.0,37691.12
354,CASH_IN,304465.7,C1408905443,76856.0,381321.7,C834164453,1260272.87,955807.16
354,PAYMENT,6156.86,C607191417,381321.7,375164.84,M1300472730,0.0,0.0
354,CASH_OUT,283170.55,C254072066,31927.0,0.0,C1086371663,1303339.82,1586510.38
354,TRANSFER,501289.34,C232493357,21160.0,0.0,C1767418429,530757.25,1032046.6
354,CASH_OUT,333566.28,C567108390,23360.0,0.0,C948772832,375685.03,686741.32
354,CASH_OUT,82622.8,C1895992310,57023.0,0.0,C148759972,5617080.51,5699703.31
354,DEBIT,8596.49,C1479003153,453.0,0.0,C208753463,1169223.76,1177820.25
354,CASH_IN,210773.35,C161774785,23496.0,234269.35,C1000314808,451063.18,240289.83
354,CASH_OUT,307048.47,C1127938688,49444.0,0.0,C133222032,504500.24,811548.71
354,PAYMENT,9871.07,C637703210,24812.0,14940.93,M1084462015,0.0,0.0
354,PAYMENT,16224.37,C1791737118,399925.0,383700.63,M2125575229,0.0,0.0
354,CASH_IN,60007.44,C1277221893,414.0,60421.44,C703710198,921605.84,861598.4
354,PAYMENT,10782.21,C281182293,21152.0,10369.79,M660012062,0.0,0.0
354,CASH_OUT,516269.59,C1421194389,134478.0,0.0,C573432356,186360.58,702630.17
354,PAYMENT,6333.56,C507484914,0.0,0.0,M444293448,0.0,0.0
354,CASH_OUT,166416.24,C173922325,18225.0,0.0,C44311312,0.0,166416.24
354,PAYMENT,1662.68,C1932903639,428.0,0.0,M297744457,0.0,0.0
354,PAYMENT,7310.82,C1343191575,105733.0,98422.18,M888577395,0.0,0.0
354,CASH_OUT,1323.44,C1773728838,30457.0,29133.56,C1246819054,63852.69,128258.13
354,CASH_OUT,291535.96,C28177480,391.0,0.0,C339280612,1558077.11,1849613.08
354,TRANSFER,737741.57,C710535592,90860.0,0.0,C1255096858,3136668.5,4013505.71
