step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
445,PAYMENT,6070.4,C117646551,1081.0,0.0,M1958382859,0.0,0.0
445,PAYMENT,5387.1,C1950443225,49718.0,44330.9,M1999992998,0.0,0.0
445,CASH_OUT,34960.59,C1117507181,44330.9,9370.31,C886096623,55209.21,90169.81
445,CASH_OUT,173045.87,C1521466286,9370.31,0.0,C1674496104,726076.06,899121.93
445,CASH_OUT,148041.47,C623339916,603615.0,455573.53,C1520593498,641661.8,789703.27
445,PAYMENT,27345.87,C2039203270,455573.53,428227.66,M1702859836,0.0,0.0
445,TRANSFER,100433.21,C1110061558,100433.21,0.0,C1628647605,0.0,0.0
445,CASH_OUT,100433.21,C1558137654,100433.21,0.0,C1468294799,1935472.98,2035906.19
445,PAYMENT,14043.29,C2078085278,18322.0,4278.71,M1645913517,0.0,0.0
445,CASH_OUT,32952.76,C1898749337,4593.0,0.0,C1594854894,0.0,32952.76
445,TRANSFER,202286.85,C1460465265,0.0,0.0,C976431668,2721081.67,2923368.52
445,TRANSFER,703683.28,C1145458158,0.0,0.0,C842789060,945026.76,1648710.04
445,TRANSFER,766226.03,C1934012166,0.0,0.0,C757203848,1062236.69,1828462.72
445,TRANSFER,547563.0,C1720919202,0.0,0.0,C1450325892,3076549.21,3624112.2
445,TRANSFER,645344.7,C1448878439,0.0,0.0,C54400544,6538614.66,7183959.36
445,TRANSFER,154124.34,C545472383,0.0,0.0,C343756743,185735.36,339859.7
445,TRANSFER,2392886.85,C1719372534,0.0,0.0,C756666144,8172027.1,1.056491395E7
445,TRANSFER,145958.74,C431097007,0.0,0.0,C1179391231,372665.45,518624.19
445,TRANSFER,23511.83,C777144807,0.0,0.0,C1178139685,3704325.1,3727836.93
445,TRANSFER,355063.29,C395568021,0.0,0.0,C2092747918,615554.63,970617.92
445,TRANSFER,98047.46,C755365803,0.0,0.0,C1579001225,1.111152929E7,1.120957675E7
445,TRANSFER,1052531.27,C605751768,0.0,0.0,C1713104282,1.084867334E7,1.190120461E7
445,TRANSFER,891001.66,C406479309,0.0,0.0,C1683601412,1443022.48,2334024.14
445,TRANSFER,760965.72,C272475668,0.0,0.0,C1098065290,1165747.62,1926713.34
445,TRANSFER,219002.91,C302490391,0.0,0.0,C1567859503,3034930.15,3253933.05
445,TRANSFER,282320.83,C1856912710,0.0,0.0,C774818440,342668.46,624989.29
445,TRANSFER,141541.84,C626072919,0.0,0.0,C1940721827,2046704.43,2188246.26
445,TRANSFER,219466.47,C1478562543,0.0,0.0,C1681588333,313614.94,533081.41
445,TRANSFER,511439.96,C1997610471,0.0,0.0,C1162301075,4602649.97,5114089.93
445,TRANSFER,691046.95,C1758091854,0.0,0.0,C644151599,1070752.17,1761799.12
445,TRANSFER,150189.84,C1172068773,0.0,0.0,C126602027,1261880.21,1412070.05
445,TRANSFER,99705.25,C356158875,0.0,0.0,C1859480209,944092.3,1043797.54
445,TRANSFER,400566.61,C1782273278,0.0,0.0,C1091031433,847025.67,1247592.28
445,TRANSFER,919883.8,C1352235997,0.0,0.0,C830351523,5826000.78,6745884.59
445,CASH_OUT,125360.81,C1999573274,824201.0,698840.19,C481737866,4176.21,129537.02
445,PAYMENT,34955.63,C918031409,698840.19,663884.56,M101987004,0.0,0.0
445,CASH_IN,102980.7,C499705392,49745.0,152725.7,C1859850029,4081347.11,3978366.41
445,CASH_OUT,73636.53,C316707666,78448.0,4811.47,C972456850,0.0,73636.53
445,PAYMENT,2186.09,C1691339963,164687.0,162500.91,M1139376972,0.0,0.0
445,PAYMENT,7845.69,C432673895,162500.91,154655.22,M262569487,0.0,0.0
445,PAYMENT,1125.5,C362205524,12402.0,11276.5,M443204425,0.0,0.0
445,PAYMENT,4530.78,C1405781327,20648.0,16117.22,M1864421183,0.0,0.0
445,CASH_IN,328577.81,C1285533694,15647.0,344224.81,C378835381,343344.18,14766.37
445,TRANSFER,2277862.67,C10702255,2277862.67,0.0,C1366837839,0.0,0.0
445,CASH_OUT,2277862.67,C130301961,2277862.67,0.0,C338862629,6894555.29,9172417.96
445,TRANSFER,72901.03,C1861496569,72901.03,0.0,C286946367,0.0,0.0
445,CASH_OUT,72901.03,C1596300422,72901.03,0.0,C1818578637,0.0,72901.03
445,CASH_OUT,95426.02,C1165061368,865.0,0.0,C1849127472,5248596.27,5344022.29
445,CASH_OUT,88600.94,C1620097111,201982.0,113381.06,C23971354,0.0,88600.94
445,CASH_OUT,106527.01,C802996570,113381.06,6854.05,C849626741,4286472.62,4392999.63
445,CASH_OUT,8008.27,C1550756235,6854.05,0.0,C508619991,2131332.6,2139340.86
445,CASH_OUT,22386.04,C305535058,0.0,0.0,C244568913,9488600.18,9510986.22
445,CASH_OUT,158895.57,C1996572739,0.0,0.0,C1818701840,1089943.99,1248839.56
445,CASH_OUT,131277.21,C1042186728,0.0,0.0,C949465902,804771.2,936048.41
445,CASH_OUT,127975.04,C387269969,0.0,0.0,C295208509,292528.83,420503.87
445,CASH_OUT,472703.75,C893594473,0.0,0.0,C1703946326,910326.66,1383030.4
