step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
240,PAYMENT,6923.89,C837088235,20623.0,13699.11,M311991251,0.0,0.0
240,PAYMENT,6699.16,C154408832,13699.11,6999.94,M681352854,0.0,0.0
240,PAYMENT,7604.58,C1047616453,6999.94,0.0,M1759582683,0.0,0.0
240,CASH_IN,109807.24,C1094753104,12051.0,121858.24,C672003869,0.0,0.0
240,PAYMENT,4272.22,C224708032,139.0,0.0,M964626650,0.0,0.0
240,PAYMENT,12389.86,C1504764399,1137.0,0.0,M485456786,0.0,0.0
240,PAYMENT,2120.17,C923727626,0.0,0.0,M1995833577,0.0,0.0
240,PAYMENT,4554.9,C672606273,20679.0,16124.1,M1329853754,0.0,0.0
240,PAYMENT,7694.33,C255192447,42949.0,35254.67,M1224885560,0.0,0.0
240,PAYMENT,11513.61,C1489385849,9.0,0.0,M142404990,0.0,0.0
240,PAYMENT,8053.61,C671266587,848926.0,840872.39,M1936854182,0.0,0.0
240,PAYMENT,4592.5,C446099008,17473.0,12880.5,M1978591089,0.0,0.0
240,TRANSFER,338202.6,C1223244984,90668.0,0.0,C1768048876,5714.61,343917.21
240,PAYMENT,6465.57,C731713087,102315.0,95849.43,M114561506,0.0,0.0
240,TRANSFER,308538.06,C67349286,95849.43,0.0,C373225909,701054.73,1009592.79
240,TRANSFER,139485.21,C93215714,62646.0,0.0,C543552487,3312622.86,3452108.07
240,PAYMENT,3318.17,C1176588698,20928.0,17609.83,M1625035709,0.0,0.0
240,PAYMENT,15033.68,C2040520219,50077.0,35043.32,M238668673,0.0,0.0
240,TRANSFER,506894.16,C1113126493,35043.32,0.0,C1439594867,977262.54,1484156.71
240,TRANSFER,3460593.89,C1117340752,0.0,0.0,C1400980418,4545085.42,8005679.31
240,TRANSFER,31980.35,C1165047070,0.0,0.0,C152544720,1703659.23,1735639.58
240,TRANSFER,312164.64,C89431026,0.0,0.0,C2085557552,3850556.2,4162720.84
240,TRANSFER,81592.68,C3895067,0.0,0.0,C472150484,148621.82,230214.49
240,TRANSFER,1697044.74,C143130760,0.0,0.0,C2068785174,2378015.19,4075059.93
240,TRANSFER,81165.44,C1151143234,0.0,0.0,C1946024573,353059.47,434224.91
240,TRANSFER,611812.07,C1706525992,0.0,0.0,C1526669866,809203.69,1421015.77
240,TRANSFER,923610.95,C1051684146,0.0,0.0,C1390047811,938616.64,1862227.59
240,TRANSFER,305488.21,C1995159087,0.0,0.0,C1003200100,816343.38,1121831.59
240,TRANSFER,120162.17,C1521504941,0.0,0.0,C1725709705,330290.97,450453.14
240,TRANSFER,292762.87,C58135062,0.0,0.0,C300460332,5493996.31,5786759.18
240,TRANSFER,462633.36,C1182022071,0.0,0.0,C1112927619,707028.89,1169662.26
240,TRANSFER,233335.88,C1829086616,0.0,0.0,C126571264,1192451.77,1425787.65
240,TRANSFER,107530.64,C897103791,0.0,0.0,C1286586810,1350814.84,1458345.48
240,TRANSFER,82011.46,C245691572,0.0,0.0,C1914048823,3307398.95,3389410.41
240,TRANSFER,461223.31,C1778044246,0.0,0.0,C459128109,2.108703515E7,2.154825846E7
240,TRANSFER,130713.9,C697539732,0.0,0.0,C123767163,570449.27,701163.17
240,TRANSFER,536637.24,C1504084934,0.0,0.0,C569383688,1279678.68,1816315.92
240,PAYMENT,5899.04,C1888410898,26052.0,20152.96,M1327578664,0.0,0.0
240,PAYMENT,2849.1,C2053340260,20152.96,17303.86,M397834333,0.0,0.0
240,PAYMENT,31.18,C299258356,110.0,78.82,M1463877016,0.0,0.0
240,PAYMENT,11076.28,C916532040,496.0,0.0,M309446993,0.0,0.0
240,PAYMENT,16220.48,C831222554,10288.0,0.0,M1635247246,0.0,0.0
240,PAYMENT,2762.45,C1588820099,15626.0,12863.55,M1116997957,0.0,0.0
240,PAYMENT,14303.24,C686666158,154156.0,139852.76,M1986032553,0.0,0.0
240,CASH_OUT,281602.32,C869431942,139852.76,0.0,C1555697800,1016140.59,1297742.91
240,DEBIT,4313.81,C1374585752,694807.0,690493.19,C1420267024,48086.87,52400.68
240,PAYMENT,229.52,C348862666,39070.0,38840.48,M1640230081,0.0,0.0
240,PAYMENT,352.17,C1097182261,105059.0,104706.83,M1680999874,0.0,0.0
240,PAYMENT,4907.18,C703753446,10317.0,5409.82,M1462319357,0.0,0.0
240,PAYMENT,18961.67,C1002512937,5409.82,0.0,M1328098438,0.0,0.0
240,PAYMENT,18996.97,C1971780825,569271.0,550274.03,M1811340356,0.0,0.0
240,PAYMENT,5970.83,C1494510457,102982.0,97011.17,M1608462785,0.0,0.0
240,PAYMENT,4893.62,C494763735,32127.0,27233.38,M1085576640,0.0,0.0
240,PAYMENT,167.36,C973168908,9152.0,8984.64,M477499060,0.0,0.0
240,PAYMENT,12521.21,C1779122219,8984.64,0.0,M242602559,0.0,0.0
240,PAYMENT,44916.32,C1062063100,0.0,0.0,M333607183,0.0,0.0
240,PAYMENT,35250.78,C592994624,0.0,0.0,M60603198,0.0,0.0
240,PAYMENT,11689.7,C1381995162,0.0,0.0,M1379269591,0.0,0.0
240,PAYMENT,14837.29,C839369392,0.0,0.0,M1411697285,0.0,0.0
240,PAYMENT,9576.34,C2051099097,0.0,0.0,M123207173,0.0,0.0
240,PAYMENT,1569.91,C189378077,0.0,0.0,M2034973971,0.0,0.0
240,PAYMENT,1653.56,C162839650,0.0,0.0,M833346695,0.0,0.0
240,PAYMENT,2349.89,C2010424809,23419.0,21069.11,M1465363877,0.0,0.0
240,CASH_IN,134610.28,C2066504833,162627.0,297237.28,C1498481260,107415.09,0.0
240,PAYMENT,101.36,C336394375,67608.0,67506.64,M1176890370,0.0,0.0
240,PAYMENT,3162.54,C754273254,70820.0,67657.46,M891605677,0.0,0.0
240,PAYMENT,17578.41,C1184881742,67657.46,50079.04,M791899491,0.0,0.0
240,PAYMENT,12051.36,C689940760,22148.0,10096.64,M985507628,0.0,0.0
240,CASH_IN,175495.43,C41447833,10096.64,185592.07,C1597767136,2556999.79,2381504.37
240,CASH_IN,388437.48,C907300032,185592.07,574029.55,C1296798452,1049001.82,660564.34
240,CASH_IN,153265.6,C1654088819,574029.55,727295.16,C1567054269,333440.38,180174.78
240,CASH_IN,390195.76,C902048714,727295.16,1117490.92,C255246845,6192055.45,5801859.69
240,CASH_IN,39529.97,C1953591378,1117490.92,1157020.89,C176214818,295275.61,255745.63
240,CASH_IN,48995.6,C1612140624,1157020.89,1206016.49,C1262440010,347547.99,298552.39
240,CASH_IN,160701.87,C964297949,1206016.49,1366718.36,C1664240831,3392067.46,3231365.59
240,CASH_IN,277046.87,C762634819,1366718.36,1643765.23,C1046095966,1653555.64,1376508.77
240,CASH_IN,50156.61,C1392043103,1643765.23,1693921.84,C685876780,1567033.72,1516877.11
240,CASH_IN,239025.13,C137870208,1693921.84,1932946.97,C1691311990,380496.06,141470.94
240,CASH_IN,99532.47,C1635916471,1932946.97,2032479.44,C433618746,2208231.49,2108699.02
240,CASH_IN,70297.34,C1810795070,2032479.44,2102776.77,C1313858867,169451.21,99153.87
240,CASH_IN,89703.2,C2116108544,2102776.77,2192479.97,C1891885863,701703.01,611999.82
240,CASH_IN,173554.41,C1275010815,2192479.97,2366034.38,C1620942358,405152.3,231597.89
240,CASH_IN,203506.1,C987357845,2366034.38,2569540.48,C1817932973,331335.52,127829.42
240,CASH_IN,232551.66,C628695178,2569540.48,2802092.14,C798432879,2214877.96,1982326.3
240,CASH_IN,136709.5,C1361333348,2802092.14,2938801.64,C1310157507,241896.86,105187.36
240,CASH_IN,89957.19,C1654630489,2938801.64,3028758.83,C1574599369,149610.43,59653.24
240,CASH_IN,134552.37,C396833749,3028758.83,3163311.2,C215217103,1488009.13,1353456.76
240,CASH_IN,57380.76,C2067152091,3163311.2,3220691.96,C1455440730,277085.82,219705.06
240,CASH_IN,279107.75,C134351029,3220691.96,3499799.71,C654478397,744490.58,465382.83
240,CASH_IN,188248.39,C398501004,3499799.71,3688048.1,C2128147854,679667.41,491419.02
240,CASH_IN,18645.74,C970396730,3688048.1,3706693.84,C1703716701,33466.02,14820.28
240,CASH_IN,3399.22,C1934440255,3706693.84,3710093.05,C1263403029,275191.36,271792.15
240,CASH_IN,205547.09,C1804783171,3710093.05,3915640.14,C217458654,418762.79,213215.7
240,CASH_IN,182016.01,C2045043577,3915640.14,4097656.16,C468569709,810732.55,628716.53
240,CASH_IN,69758.08,C2022919867,4097656.16,4167414.24,C791059313,246596.62,176838.54
240,CASH_IN,45266.18,C1660775001,4167414.24,4212680.42,C1718446995,305344.75,260078.57
240,CASH_IN,130105.26,C534794387,4212680.42,4342785.68,C1182046380,2567685.72,2437580.46
240,CASH_IN,32791.39,C1103206205,4342785.68,4375577.06,C1626211051,115239.24,82447.85
240,CASH_IN,58680.71,C591785768,4375577.06,4434257.77,C1844441447,1356963.36,1298282.65
240,CASH_IN,116650.26,C711190203,4434257.77,4550908.03,C1549931745,387664.2,271013.94
240,CASH_IN,16669.3,C932863916,4550908.03,4567577.33,C1759643830,80416.11,63746.81
240,CASH_IN,156508.0,C2058313245,4567577.33,4724085.33,C1657811698,1214715.64,1058207.64
240,CASH_IN,21674.48,C1990181583,4724085.33,4745759.82,C1261137812,211546.0,189871.52
240,CASH_IN,474544.0,C1132242073,4745759.82,5220303.82,C1354245464,2650213.76,2175669.75
240,CASH_IN,119671.09,C654238821,5220303.82,5339974.91,C1404733994,571503.54,451832.45
240,CASH_IN,105637.62,C648087825,5339974.91,5445612.53,C1442333505,1066040.64,960403.02
240,CASH_IN,72902.33,C782253744,5445612.53,5518514.86,C908028341,246050.51,173148.18
240,CASH_IN,339464.37,C148774801,5518514.86,5857979.23,C1182549756,505522.19,166057.82
240,CASH_IN,154388.71,C1506942755,5857979.23,6012367.94,C1110039656,1646900.2,1492511.49
240,CASH_IN,320846.84,C1997896841,6012367.94,6333214.78,C127110828,340825.99,19979.14
240,CASH_IN,79555.35,C1492097381,6333214.78,6412770.13,C1942525888,118617.81,39062.46
240,CASH_IN,199603.79,C548747134,6412770.13,6612373.92,C472072449,437921.32,238317.53
240,CASH_IN,104308.89,C1767313228,6612373.92,6716682.81,C1623540151,1552565.15,1448256.26
240,CASH_IN,11515.95,C897239003,6716682.81,6728198.77,C873492763,181385.88,169869.93
240,CASH_IN,28649.2,C301614240,6728198.77,6756847.97,C259274469,2388263.52,2359614.32
240,CASH_IN,104783.49,C419270438,6756847.97,6861631.46,C421247036,3149515.77,3044732.28
240,CASH_IN,95564.54,C1224855066,6861631.46,6957195.99,C1387071904,259626.97,164062.43
240,CASH_IN,44363.32,C707169534,6957195.99,7001559.32,C1749952251,4614236.14,4569872.82
240,CASH_IN,47863.4,C1765409374,7001559.32,7049422.72,C141179246,134464.17,86600.77
240,CASH_IN,141099.58,C491402464,7049422.72,7190522.3,C598331995,314064.95,172965.37
240,CASH_IN,286397.92,C1526483021,7190522.3,7476920.22,C1982480848,7065704.38,6779306.45
240,CASH_IN,98316.46,C1143176848,7476920.22,7575236.68,C240200928,2149799.24,2051482.79
240,CASH_IN,359462.6,C2108865720,7575236.68,7934699.28,C889726700,1688836.47,1329373.88
240,CASH_IN,273770.62,C831744730,7934699.28,8208469.9,C1049262801,754953.96,481183.34
240,CASH_IN,141076.27,C160817797,8208469.9,8349546.18,C1460346967,782348.31,641272.04
240,CASH_IN,214926.41,C1453181657,8349546.18,8564472.59,C493055866,3737702.29,3522775.88
240,CASH_IN,136545.51,C1042480078,8564472.59,8701018.1,C194652688,261875.64,125330.13
240,CASH_IN,48226.33,C349012842,8701018.1,8749244.42,C1959224174,61043.64,12817.31
240,CASH_IN,49979.78,C854248124,8749244.42,8799224.21,C971197037,225338.27,175358.48
240,CASH_IN,156462.07,C169415994,8799224.21,8955686.27,C126608629,1691670.9,1535208.84
240,CASH_IN,323410.0,C600601404,8955686.27,9279096.27,C866141426,2.386711757E7,2.354370757E7
240,CASH_IN,132724.71,C1533174524,9279096.27,9411820.98,C1329006740,305987.58,173262.86
240,CASH_IN,29004.11,C1060760582,9411820.98,9440825.09,C956850864,257194.67,228190.57
240,CASH_IN,76477.46,C2110496286,9440825.09,9517302.55,C833441850,529777.64,453300.18
240,CASH_IN,90542.65,C1029592840,9517302.55,9607845.2,C47074764,117606.49,27063.85
240,CASH_OUT,61400.38,C1977858013,62030.0,629.62,C212030596,1.511814295E7,1.517954334E7
240,PAYMENT,12707.78,C88751291,629.62,0.0,M609253730,0.0,0.0
240,PAYMENT,17594.23,C1811520759,0.0,0.0,M63734538,0.0,0.0
240,PAYMENT,11776.95,C1471666220,0.0,0.0,M1879777489,0.0,0.0
240,PAYMENT,21953.52,C1462899715,0.0,0.0,M805378364,0.0,0.0
240,PAYMENT,35854.37,C1503576488,0.0,0.0,M1891266530,0.0,0.0
240,PAYMENT,7066.51,C938475514,0.0,0.0,M262133954,0.0,0.0
240,PAYMENT,15096.71,C547605272,0.0,0.0,M63268241,0.0,0.0
240,PAYMENT,3176.35,C1260214844,30327.0,27150.65,M984994389,0.0,0.0
240,PAYMENT,1679.73,C82846992,21204.0,19524.27,M741421554,0.0,0.0
240,PAYMENT,10709.04,C232542962,21155.0,10445.96,M426712678,0.0,0.0
240,PAYMENT,2667.04,C481452286,2134.0,0.0,M959020091,0.0,0.0
240,CASH_OUT,264848.24,C1443754542,0.0,0.0,C1585978661,1532593.93,1797442.17
240,PAYMENT,6361.94,C938494631,37554.0,31192.06,M952789303,0.0,0.0
240,PAYMENT,1157.38,C1248858801,108059.0,106901.62,M1943344467,0.0,0.0
240,PAYMENT,954.64,C1187372284,98639.0,97684.36,M766346946,0.0,0.0
240,PAYMENT,3650.46,C1728244828,52409.0,48758.54,M1009123938,0.0,0.0
240,TRANSFER,293378.97,C1416366886,54772.0,0.0,C296326444,0.0,293378.97
240,PAYMENT,2368.41,C355867903,100206.0,97837.59,M1705406985,0.0,0.0
240,PAYMENT,2421.45,C1763658189,41439.0,39017.55,M1570654963,0.0,0.0
240,PAYMENT,3218.76,C2028627035,360454.0,357235.24,M772433781,0.0,0.0
240,CASH_OUT,370773.43,C1036517976,357235.24,0.0,C1232522559,7533362.71,7904136.15
240,PAYMENT,11275.48,C305012416,71.0,0.0,M969762914,0.0,0.0
240,PAYMENT,12691.46,C1140953569,3051.0,0.0,M967217659,0.0,0.0
240,CASH_OUT,146222.74,C1528578065,660.0,0.0,C1321785721,132849.54,279072.28
240,DEBIT,7706.93,C163622248,31258.0,23551.07,C2062695733,675232.44,682939.38
240,PAYMENT,10564.03,C1099344680,934.0,0.0,M1277346730,0.0,0.0
240,PAYMENT,322.73,C1963396855,161.0,0.0,M2032162514,0.0,0.0
240,PAYMENT,8799.84,C227241269,31556.0,22756.16,M1466876093,0.0,0.0
240,PAYMENT,5980.16,C450042897,32156.0,26175.84,M1631473503,0.0,0.0
240,CASH_IN,95121.24,C931816584,49017.0,144138.24,C1477540445,260180.93,165059.69
240,PAYMENT,8163.54,C373301740,144138.24,135974.7,M351376545,0.0,0.0
240,DEBIT,287.13,C119956951,19100.0,18812.87,C1511891020,615467.68,615754.81
