step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
569,CASH_OUT,238705.89,C518902129,1356.0,0.0,C2129793804,3682.76,242388.65
569,CASH_IN,404899.6,C213809003,104472.0,509371.6,C1459119309,7232303.04,6827403.44
569,CASH_OUT,98364.89,C1211741820,509371.6,411006.71,C2049336134,690935.19,789300.07
569,CASH_OUT,269536.0,C577589302,411006.71,141470.71,C589942295,3014320.69,3283856.69
569,CASH_OUT,187414.62,C1392212819,141470.71,0.0,C1190929632,368827.38,556242.0
569,CASH_OUT,142930.07,C763452232,0.0,0.0,C131252801,2293565.78,2436495.85
569,CASH_OUT,786.45,C672039634,0.0,0.0,C1995916244,87237.08,88023.54
569,CASH_OUT,221219.94,C1613400837,0.0,0.0,C365552427,459492.64,680712.58
569,CASH_OUT,165996.14,C1770149296,0.0,0.0,C1582308971,1491798.07,1657794.2
569,CASH_OUT,268878.16,C1325275347,0.0,0.0,C2000614442,1024127.73,1293005.89
569,CASH_OUT,270870.22,C314186700,0.0,0.0,C1071225880,1203423.1,1474293.32
569,CASH_OUT,101103.5,C645711933,0.0,0.0,C1444689761,326239.93,427343.42
569,CASH_OUT,283322.21,C1562912407,0.0,0.0,C1991470070,714874.39,998196.6
569,CASH_OUT,489513.95,C1672381793,0.0,0.0,C1710675652,580732.39,1070246.34
569,CASH_OUT,118319.48,C554210979,0.0,0.0,C1819597887,193255.81,311575.29
569,PAYMENT,20144.76,C1635098527,411056.0,390911.24,M2113208760,0.0,0.0
569,CASH_IN,445300.0,C1785136874,1469.0,446769.0,C1900099671,0.0,0.0
569,TRANSFER,1155486.15,C255801483,9935.0,0.0,C2125517169,0.0,1155486.15
569,PAYMENT,31252.69,C1123796884,21436.0,0.0,M399959730,0.0,0.0
569,TRANSFER,98854.97,C1171579636,0.0,0.0,C1264944118,1690303.93,1789158.9
569,CASH_OUT,158150.38,C861499813,171165.0,13014.62,C1529762719,225165.85,383316.24
569,CASH_OUT,45362.98,C797103933,398589.0,353226.02,C1271811015,0.0,45362.98
569,CASH_IN,196715.72,C264324873,50317.0,247032.72,C535163549,0.0,0.0
569,PAYMENT,7126.07,C1843451719,247032.72,239906.65,M365713159,0.0,0.0
569,PAYMENT,15458.05,C751714748,480.0,0.0,M699572771,0.0,0.0
569,PAYMENT,7019.26,C1115886269,0.0,0.0,M889192837,0.0,0.0
569,PAYMENT,25128.64,C1797092664,9982.0,0.0,M1459773890,0.0,0.0
569,CASH_OUT,297506.81,C223254373,80594.0,0.0,C647696625,93605.59,391112.4
569,CASH_IN,12731.08,C955753312,11074.0,23805.08,C931464041,33265.94,20534.87
569,PAYMENT,29547.84,C952346099,10844.0,0.0,M2081148760,0.0,0.0
569,PAYMENT,8614.79,C84380163,59958.0,51343.21,M7263584,0.0,0.0
569,PAYMENT,4296.93,C623314083,69536.0,65239.07,M125070928,0.0,0.0
569,PAYMENT,14563.43,C1050327855,12076.0,0.0,M1210690633,0.0,0.0
569,PAYMENT,849.56,C1438039027,0.0,0.0,M1905543675,0.0,0.0
569,PAYMENT,7466.1,C440194853,0.0,0.0,M527596495,0.0,0.0
569,CASH_OUT,99085.45,C2138780401,100588.0,1502.55,C417974752,0.0,99085.45
569,CASH_IN,248930.3,C754153332,421.0,249351.3,C1261133517,3729957.24,3481026.94
569,PAYMENT,10409.82,C1351223344,249351.3,238941.48,M1554693613,0.0,0.0
569,PAYMENT,6757.59,C2061557811,238941.48,232183.89,M1293902028,0.0,0.0
569,PAYMENT,8810.06,C1297361623,232183.89,223373.83,M1142465349,0.0,0.0
569,PAYMENT,4414.47,C956572301,223373.83,218959.36,M262880353,0.0,0.0
569,PAYMENT,5551.9,C1673903569,218959.36,213407.47,M1657153639,0.0,0.0
569,PAYMENT,2118.3,C2060349176,213407.47,211289.17,M743443956,0.0,0.0
569,PAYMENT,1705.06,C1656034970,211289.17,209584.11,M837001147,0.0,0.0
569,PAYMENT,9327.91,C953388753,209584.11,200256.2,M339741586,0.0,0.0
569,PAYMENT,24211.82,C1577832006,200256.2,176044.38,M1933089915,0.0,0.0
569,PAYMENT,17096.39,C1471754699,5007.0,0.0,M1135721525,0.0,0.0
569,CASH_OUT,273608.83,C1137193979,19826.0,0.0,C1324215177,0.0,273608.83
569,CASH_IN,132370.39,C1956947133,11031.0,143401.39,C243670436,0.0,0.0
569,CASH_OUT,107253.6,C1779295371,143401.39,36147.78,C2067837542,476566.88,583820.48
569,CASH_OUT,78029.19,C613658091,9045.0,0.0,C669904384,51408.13,129437.32
569,CASH_IN,3824.76,C650511721,0.0,3824.76,C1609806734,194474.17,190649.41
569,CASH_IN,131224.99,C2006375488,3824.76,135049.75,C1823156981,234887.32,103662.34
569,CASH_IN,12771.65,C1924810629,135049.75,147821.4,C275076848,438436.92,425665.27
569,CASH_IN,150115.18,C1266630860,147821.4,297936.58,C515057460,8265601.21,8115486.03
569,CASH_IN,24898.19,C1560603015,297936.58,322834.78,C1927634204,461550.46,436652.27
569,CASH_IN,143248.24,C481385147,322834.78,466083.02,C203520403,6321598.96,6178350.72
569,CASH_IN,393058.89,C1016574151,466083.02,859141.91,C81833764,1528779.64,1135720.75
569,PAYMENT,5292.12,C224394937,25614.0,20321.88,M2012046916,0.0,0.0
569,CASH_OUT,317561.94,C1629462144,100337.0,0.0,C1086262670,109533.44,427095.38
569,PAYMENT,14589.92,C1611598828,21038.0,6448.08,M307731298,0.0,0.0
569,CASH_IN,156082.31,C236195882,26276.0,182358.31,C713148965,2091.27,0.0
569,CASH_IN,136942.79,C325215478,182358.31,319301.1,C1841891797,6805075.3,6668132.51
569,CASH_IN,256158.12,C187321629,319301.1,575459.22,C668496290,425424.93,169266.81
569,CASH_IN,152425.42,C629693329,575459.22,727884.64,C1602475148,7263658.21,7111232.79
569,CASH_IN,160477.99,C196319818,727884.64,888362.63,C1531311653,2581204.06,2420726.07
569,CASH_IN,183314.74,C192285214,888362.63,1071677.37,C1791011607,649790.52,466475.78
569,CASH_IN,382669.49,C1391328456,1071677.37,1454346.86,C432682656,4393123.98,4010454.49
569,CASH_IN,125386.71,C895381975,1454346.86,1579733.57,C941473170,283771.48,158384.76
569,CASH_IN,3599.01,C581487868,1579733.57,1583332.58,C304712675,92851.93,89252.92
569,CASH_IN,102870.99,C431297613,1583332.58,1686203.57,C958751535,266997.89,164126.91
569,CASH_IN,64594.44,C612605967,1686203.57,1750798.01,C1480054378,903769.87,839175.43
569,CASH_IN,188718.12,C1645591937,1750798.01,1939516.12,C433507615,259907.71,71189.6
569,CASH_IN,221009.96,C113136147,1939516.12,2160526.09,C2132623402,1167513.8,946503.84
569,CASH_IN,111544.1,C924334581,2160526.09,2272070.19,C840395757,477995.16,366451.06
569,CASH_IN,172851.79,C245527745,2272070.19,2444921.97,C361377095,531217.09,358365.3
569,CASH_IN,101807.81,C1100228897,2444921.97,2546729.78,C1013818678,1308654.08,1206846.27
569,CASH_IN,116105.99,C894354890,2546729.78,2662835.77,C49425776,2493242.08,2377136.09
