step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
182,CASH_OUT,584150.54,C263582753,9665.0,0.0,C890410950,153923.22,738073.75
182,PAYMENT,31082.21,C202502927,99288.0,68205.79,M694120862,0.0,0.0
182,CASH_IN,199369.37,C1766850761,41945.0,241314.37,C1318632519,399330.82,199961.45
182,TRANSFER,97954.22,C1231353150,49979.0,0.0,C181690060,844698.08,758495.61
182,CASH_IN,696358.18,C1257172630,758490.0,1454848.18,C661772608,941443.8,245085.62
182,CASH_IN,393995.82,C418358740,413091.0,807086.82,C1297203511,2687478.81,2293482.99
182,PAYMENT,17182.91,C1909504072,807086.82,789903.91,M536051273,0.0,0.0
182,PAYMENT,7790.67,C584362367,789903.91,782113.24,M1198549492,0.0,0.0
182,PAYMENT,29980.53,C865504170,782113.24,752132.71,M932424359,0.0,0.0
182,PAYMENT,18406.46,C814445179,752132.71,733726.25,M1953530455,0.0,0.0
182,PAYMENT,4102.48,C1941736616,733726.25,729623.77,M1498466026,0.0,0.0
182,PAYMENT,17166.04,C841182993,729623.77,712457.73,M1110516024,0.0,0.0
182,PAYMENT,4442.82,C1442786330,712457.73,708014.9,M180864985,0.0,0.0
182,PAYMENT,2914.04,C590703223,708014.9,705100.87,M1749465032,0.0,0.0
182,PAYMENT,6072.12,C1156962598,705100.87,699028.75,M1891116910,0.0,0.0
182,PAYMENT,2089.86,C2018938332,699028.75,696938.89,M636718569,0.0,0.0
182,PAYMENT,3706.91,C1327848600,696938.89,693231.98,M2123862341,0.0,0.0
182,PAYMENT,1077.36,C845404966,693231.98,692154.62,M189170758,0.0,0.0
182,PAYMENT,16409.95,C1851967530,692154.62,675744.67,M742220058,0.0,0.0
182,PAYMENT,4066.84,C11220304,675744.67,671677.83,M1064363447,0.0,0.0
182,PAYMENT,8237.14,C1194019307,671677.83,663440.69,M14276005,0.0,0.0
182,PAYMENT,13944.02,C1501651291,663440.69,649496.67,M1642359425,0.0,0.0
182,PAYMENT,355.39,C2082280263,649496.67,649141.28,M849839516,0.0,0.0
182,PAYMENT,18581.19,C1618915626,649141.28,630560.09,M579628998,0.0,0.0
182,PAYMENT,2429.46,C908052475,630560.09,628130.63,M949628865,0.0,0.0
182,PAYMENT,6184.0,C771243545,628130.63,621946.63,M1816888895,0.0,0.0
182,PAYMENT,636.82,C614704210,621946.63,621309.81,M1303274272,0.0,0.0
182,PAYMENT,760.25,C566920314,280784.0,280023.75,M285250562,0.0,0.0
182,CASH_OUT,338124.94,C683156292,20109.0,0.0,C1249131375,66889.23,405014.17
182,CASH_IN,284791.57,C380760592,14712.0,299503.57,C1697358837,0.0,0.0
182,CASH_OUT,298442.63,C1672306152,4787.0,0.0,C954602590,466741.36,1231787.44
182,PAYMENT,4918.96,C1981314331,0.0,0.0,M525589151,0.0,0.0
182,PAYMENT,120.27,C107715095,120499.0,120378.73,M253809967,0.0,0.0
182,CASH_OUT,118227.02,C975559037,14579.0,0.0,C382020273,0.0,118227.02
182,PAYMENT,28312.17,C1000569732,0.0,0.0,M1640162757,0.0,0.0
182,CASH_IN,157688.55,C1757601151,11388.0,169076.55,C533866202,6568692.25,6411003.7
182,CASH_OUT,72937.97,C2084048683,169076.55,96138.58,C2076768034,265945.96,338883.93
182,CASH_OUT,236777.45,C1550263411,96138.58,0.0,C75960272,398908.38,635685.83
182,CASH_OUT,92938.46,C712838903,0.0,0.0,C96983449,171158.59,264097.05
182,CASH_OUT,70701.23,C1412044770,0.0,0.0,C502311809,7670833.93,8349655.13
182,CASH_OUT,136976.46,C1758927643,0.0,0.0,C1986852398,379648.97,516625.43
182,CASH_OUT,218675.59,C234286798,0.0,0.0,C483552839,296379.91,515055.5
182,CASH_OUT,188990.92,C1337873201,0.0,0.0,C953601570,467944.08,656935.0
182,PAYMENT,35642.97,C1269811235,25362.0,0.0,M460332430,0.0,0.0
182,CASH_IN,169258.34,C558497968,11553.0,180811.34,C203492651,0.0,0.0
182,CASH_IN,124042.9,C483453043,11402.0,135444.9,C1698593276,7014103.29,6890060.39
182,TRANSFER,176194.69,C697029914,35188.0,0.0,C14131476,501090.65,677285.34
182,PAYMENT,12751.0,C848048584,0.0,0.0,M1127413929,0.0,0.0
182,CASH_OUT,98628.74,C1480197068,11879.0,0.0,C1113625553,11325.0,109953.74
182,PAYMENT,5028.96,C804138708,0.0,0.0,M2092910736,0.0,0.0
182,CASH_IN,235034.81,C672927774,700.0,235734.81,C828239075,0.0,0.0
182,CASH_OUT,277346.24,C548422322,57.0,0.0,C1314232994,5687.92,283034.15
182,CASH_OUT,266859.18,C2130071806,33429.0,0.0,C940645251,149392.46,416251.64
182,PAYMENT,10628.6,C2014018680,0.0,0.0,M819928967,0.0,0.0
182,CASH_OUT,45095.64,C316178172,11293.0,0.0,C139070823,990019.66,1035115.3
182,PAYMENT,6732.2,C1592110585,519.0,0.0,M2108617441,0.0,0.0
182,PAYMENT,22944.81,C902162932,297957.0,275012.19,M1681608238,0.0,0.0
182,PAYMENT,26680.62,C398634293,275012.19,248331.57,M493972694,0.0,0.0
182,PAYMENT,15041.6,C123845829,248331.57,233289.98,M966117433,0.0,0.0
182,PAYMENT,1362.43,C993816891,233289.98,231927.55,M759016790,0.0,0.0
182,PAYMENT,37842.52,C665889696,231927.55,194085.02,M812870511,0.0,0.0
182,PAYMENT,8838.96,C1755210227,194085.02,185246.06,M680081067,0.0,0.0
182,PAYMENT,2413.87,C172385713,185246.06,182832.19,M558190469,0.0,0.0
182,PAYMENT,1264.14,C986657703,182832.19,181568.05,M1527936571,0.0,0.0
182,PAYMENT,7276.96,C1656814341,181568.05,174291.09,M1769126335,0.0,0.0
182,PAYMENT,7873.67,C719580477,174291.09,166417.43,M1653143028,0.0,0.0
182,PAYMENT,909.89,C125121139,166417.43,165507.53,M2067192931,0.0,0.0
182,PAYMENT,3482.98,C1309236285,165507.53,162024.56,M1795897181,0.0,0.0
182,PAYMENT,7331.71,C1170433765,162024.56,154692.85,M148598778,0.0,0.0
182,PAYMENT,18718.08,C213332584,154692.85,135974.77,M1052003708,0.0,0.0
182,PAYMENT,957.32,C1621028865,135974.77,135017.46,M870971223,0.0,0.0
182,PAYMENT,24620.02,C116959024,135017.46,110397.44,M448517438,0.0,0.0
182,PAYMENT,2363.25,C229777552,110397.44,108034.18,M1906126142,0.0,0.0
182,PAYMENT,9523.04,C849335578,108034.18,98511.14,M1992942674,0.0,0.0
182,PAYMENT,5793.44,C1784937659,98511.14,92717.7,M1922029588,0.0,0.0
182,PAYMENT,4269.1,C1047848026,92717.7,88448.6,M128347314,0.0,0.0
182,PAYMENT,1031.58,C1918230233,88448.6,87417.03,M2115434495,0.0,0.0
182,PAYMENT,7990.95,C1733921363,87417.03,79426.08,M1395567094,0.0,0.0
182,PAYMENT,34700.37,C265360988,3703.0,0.0,M1177661782,0.0,0.0
182,PAYMENT,5043.61,C1829871825,0.0,0.0,M1263981980,0.0,0.0
182,PAYMENT,17225.7,C1286752604,0.0,0.0,M130214557,0.0,0.0
182,CASH_IN,112451.92,C1731581340,124095.0,236546.92,C91966766,1237368.57,1124916.64
182,CASH_OUT,70350.75,C439486163,24012.0,0.0,C1219508203,0.0,70350.75
182,PAYMENT,2402.36,C1150571616,610960.0,608557.64,M1410517101,0.0,0.0
182,PAYMENT,17079.83,C499281478,213842.0,196762.17,M390920115,0.0,0.0
182,CASH_OUT,145989.79,C1906148974,196762.17,50772.38,C1776538176,614993.55,760983.35
182,PAYMENT,24362.27,C856586640,106402.0,82039.73,M1034977769,0.0,0.0
182,TRANSFER,297904.17,C1303447683,82039.73,0.0,C1829458719,907865.47,1205769.64
182,PAYMENT,8852.97,C1350719917,243252.0,234399.03,M276854996,0.0,0.0
182,CASH_IN,16348.87,C688262372,16577.0,32925.87,C1737004240,152201.33,135852.46
