step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
449,CASH_IN,308378.81,C2048121985,100025.0,408403.81,C72375576,2326774.78,2018395.97
449,CASH_IN,113503.63,C1121146546,4034.0,117537.63,C572001427,239034.23,125530.6
449,CASH_IN,138686.72,C1001879707,117537.63,256224.35,C92348031,4032025.23,3893338.51
449,CASH_IN,309902.56,C1710304909,256224.35,566126.91,C1538702814,866578.0,556675.44
449,CASH_IN,133985.32,C31588710,566126.91,700112.24,C880534613,1565962.97,1431977.64
449,CASH_IN,155205.36,C1499246894,700112.24,855317.6,C76520372,839558.0,684352.64
449,CASH_IN,71495.54,C1496279358,855317.6,926813.14,C1436078394,1003769.6,932274.06
449,CASH_IN,24539.56,C893821392,926813.14,951352.7,C162736799,104629.51,80089.95
449,CASH_IN,157630.98,C608071471,951352.7,1108983.68,C789161813,274905.1,117274.12
449,CASH_IN,10237.03,C408387399,1108983.68,1119220.71,C2021194959,136899.53,126662.49
449,CASH_IN,91016.85,C974361578,1119220.71,1210237.56,C1506852322,102290.91,11274.06
449,CASH_IN,112810.94,C987491673,1210237.56,1323048.5,C1005473459,716640.47,603829.53
449,CASH_IN,51321.65,C1833679418,1323048.5,1374370.15,C675027871,377478.2,326156.55
449,CASH_IN,431576.67,C1321553299,1374370.15,1805946.82,C879593477,2003066.79,1571490.12
449,CASH_IN,84699.38,C1752111970,1805946.82,1890646.2,C749771815,621830.85,537131.47
449,CASH_IN,164805.58,C222007827,1890646.2,2055451.78,C1130786125,191984.02,27178.44
449,CASH_IN,109650.28,C1024549860,2055451.78,2165102.07,C1152098679,509908.08,400257.8
449,CASH_IN,15261.47,C1499203584,2165102.07,2180363.54,C1124510874,340656.82,325395.35
449,CASH_IN,198576.07,C1232649282,2180363.54,2378939.61,C1117000905,2152755.97,1954179.9
449,CASH_IN,302365.38,C402785396,2378939.61,2681304.99,C1636582489,890630.19,588264.81
449,CASH_IN,176169.66,C775572179,2681304.99,2857474.65,C506432690,677544.65,501374.99
449,CASH_IN,31542.18,C396319516,2857474.65,2889016.83,C1264733145,194090.68,162548.5
449,CASH_IN,20287.29,C453607169,2889016.83,2909304.12,C1215741533,2033841.16,2013553.87
449,CASH_IN,427574.23,C320924080,2909304.12,3336878.35,C1084522370,1179129.23,751555.0
449,CASH_IN,378049.7,C1873823189,3336878.35,3714928.05,C488047170,871506.79,493457.08
449,CASH_IN,212809.0,C43693188,3714928.05,3927737.04,C11440906,1918052.26,1705243.26
449,CASH_IN,107897.33,C1387999905,3927737.04,4035634.37,C1969901314,1269238.82,1161341.49
449,CASH_IN,55136.31,C1178741807,4035634.37,4090770.68,C143380403,490998.99,435862.68
449,CASH_IN,208275.57,C724654047,4090770.68,4299046.26,C1669820640,500071.73,291796.16
449,CASH_IN,340019.18,C2094590121,4299046.26,4639065.44,C1498793803,1.551946822E7,1.517944904E7
449,CASH_IN,183794.3,C2013131689,4639065.44,4822859.74,C907279355,3158441.99,2974647.7
449,CASH_IN,68121.8,C545884717,4822859.74,4890981.54,C1760203142,302250.25,234128.46
449,CASH_IN,68091.9,C19377740,4890981.54,4959073.44,C64663313,1386251.68,1318159.78
449,CASH_IN,81483.12,C973181793,4959073.44,5040556.56,C743174812,337871.32,256388.2
449,CASH_IN,300696.26,C586768179,5040556.56,5341252.81,C1725706751,904355.66,603659.4
449,CASH_IN,88667.3,C1313694115,5341252.81,5429920.11,C1641255803,352419.94,263752.64
449,CASH_IN,183214.05,C1915024360,5429920.11,5613134.16,C1316395492,4303995.34,4120781.29
449,CASH_IN,185137.7,C1141439574,5613134.16,5798271.86,C342723951,2345577.84,2160440.14
449,CASH_IN,148470.34,C752886563,5798271.86,5946742.2,C316103155,428582.19,280111.85
449,CASH_IN,244651.51,C159719269,5946742.2,6191393.72,C1988755075,310337.35,65685.84
449,CASH_IN,180313.29,C1550521870,6191393.72,6371707.01,C1257022754,240037.7,59724.41
449,CASH_IN,164516.13,C1594014617,6371707.01,6536223.14,C450293175,3672740.44,3508224.31
449,CASH_IN,232036.03,C1926652513,6536223.14,6768259.17,C465350675,257631.62,25595.6
449,CASH_IN,239610.34,C1401501033,6768259.17,7007869.51,C1171939278,1864113.21,1624502.88
449,CASH_IN,289753.96,C1465291376,7007869.51,7297623.46,C78730874,4288217.16,3998463.21
449,CASH_IN,78693.84,C490874224,7297623.46,7376317.3,C2049706933,411343.56,332649.73
449,CASH_IN,265242.12,C1556515283,7376317.3,7641559.42,C1319271082,4224573.31,3959331.19
449,CASH_IN,65871.67,C1182719327,7641559.42,7707431.09,C426354550,73498.45,7626.78
449,CASH_IN,47085.21,C634917618,7707431.09,7754516.3,C1251534887,490545.81,443460.6
449,CASH_IN,141905.58,C700304028,7754516.3,7896421.87,C1629052960,1.187193838E7,1.173003281E7
449,CASH_IN,62608.0,C1096631913,7896421.87,7959029.87,C393145532,152106.88,89498.88
449,CASH_IN,72206.93,C1912205112,7959029.87,8031236.8,C118714379,1421330.3,1349123.38
449,PAYMENT,8826.86,C349387895,9935.0,1108.14,M1400761691,0.0,0.0
449,PAYMENT,2104.89,C2016974675,10663.0,8558.11,M1183196995,0.0,0.0
449,PAYMENT,9026.4,C1270582112,8558.11,0.0,M2005971065,0.0,0.0
449,PAYMENT,6913.43,C1261315031,0.0,0.0,M1013299662,0.0,0.0
449,PAYMENT,9629.33,C731043241,0.0,0.0,M1509145562,0.0,0.0
449,PAYMENT,4152.33,C1668881320,0.0,0.0,M1925408192,0.0,0.0
449,PAYMENT,2478.77,C1329715628,0.0,0.0,M195598069,0.0,0.0
449,PAYMENT,29923.91,C539457651,0.0,0.0,M1227089106,0.0,0.0
